####################################################################################################
# Month: 03Mar                                                                                     #
# Station: NOR                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,03,1,0.07418473,22.64814625
2009,03,2,0.09540304,26.38260625
2009,03,3,0.23416855,56.62974375
2009,03,4,0.16331278,40.80160125
2009,03,5,0.29257079,66.7503425
2009,03,6,0.3237562,69.8936775
2009,03,7,0.09357763,26.63368375
2009,03,8,0.17291882,44.48546125
2009,03,9,0.27706776,64.3427775
2009,03,10,0.05840535,18.4662675
2009,03,11,0.04220211,14.80099625
2009,03,12,0.12481892,33.3129125
2009,03,13,0.4711143,101.57072375
2009,03,14,0.13483098,33.605505
2009,03,15,0.06099648,19.67090125
2009,03,16,0.19231678,48.086
2009,03,17,0.13001679,35.226025
2009,03,18,0.11793593,33.40679625
2009,03,19,0.25824,62.28343
2009,03,20,0.11506994,29.94460875
2009,03,21,0.21979039,54.12435375
2009,03,22,0.43819873,91.6170075
2009,03,23,0.12733453,34.26680625
2009,03,24,0.09233276,26.568375
2009,03,25,0.12465809,33.0899275
2009,03,26,0.20259453,49.6404075
2009,03,27,0.09393678,27.06556
2009,03,28,0.06223154,19.7561125
2009,03,29,0.08108021,23.9151475
2009,03,30,0.07051671,21.69140625
2009,03,31,0.12695076,34.69484625
2010,03,1,0.25565697,61.18245625
2010,03,2,0.13346333,36.67888125
2010,03,3,0.16875939,41.62132
2010,03,4,0.46589181,98.50862875
2010,03,5,0.27564036,63.22544875
2010,03,6,0.52160648,108.30298375
2010,03,7,0.33067523,74.59841375
2010,03,8,0.11561111,31.34417625
2010,03,9,0.41777533,91.1199725
2010,03,10,0.13347556,35.793525
2010,03,11,0.05800997,18.85003125
2010,03,12,0.10512783,29.81006
2010,03,13,0.15453004,40.15751125
2010,03,14,0.07649042,23.86325125
2010,03,15,0.55723391,112.59185625
2010,03,16,0.13876542,36.328955
2010,03,17,0.17486659,44.87596875
2010,03,18,0.1907801,47.5859525
2010,03,19,0.18690277,47.80197375
2010,03,20,0.20349463,49.90474375
