####################################################################################################
# Month: 08Aug                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/NOR                          #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2009,08,1,675.08516375
2009,08,2,676.3850225
2009,08,3,672.582835
2009,08,4,674.62729625
2009,08,5,669.18683625
2009,08,6,663.30199
2009,08,7,655.67916375
2009,08,8,654.655185
2009,08,9,654.04111875
2009,08,10,652.177475
2009,08,11,661.50345375
2009,08,12,672.22918125
2009,08,13,677.40734875
2009,08,14,675.6277825
2009,08,15,675.9213
2009,08,16,672.102025
2009,08,17,670.4040275
2009,08,18,664.6759575
2009,08,19,653.5113625
2009,08,20,652.53218125
2009,08,21,659.09952875
2009,08,22,660.0770925
2009,08,23,659.86139
2009,08,24,660.8998525
2009,08,25,668.0390675
2009,08,26,672.41902875
2009,08,27,668.77176625
2009,08,28,664.23995625
2009,08,29,661.4229375
2009,08,30,664.8544325
2009,08,31,665.41675
2010,08,1,658.89637625
2010,08,2,654.5422625
2010,08,3,658.30179875
2010,08,4,666.74104375
2010,08,5,670.34113
2010,08,6,668.2009475
2010,08,7,663.28443625
2010,08,8,658.42125625
2010,08,9,657.6255175
2010,08,10,657.69426625
2010,08,11,657.50667
2010,08,12,658.04176875
2010,08,13,663.37570125
2010,08,14,665.31193875
2010,08,15,665.403775
2010,08,16,663.72278625
2010,08,17,655.59231875
2010,08,18,649.26054375
2010,08,19,652.20844625
2010,08,20,652.83040625
2010,08,21,659.83589125
2010,08,22,664.77916375
2010,08,23,667.51670625
2010,08,24,669.51071625
2010,08,25,669.59592875
2010,08,26,668.1462925
2010,08,27,667.79603125
2010,08,28,660.70512625
2010,08,29,652.7462675
2010,08,30,654.64659125
2010,08,31,656.39807375
2011,08,1,698.00008125
2011,08,2,696.7518725
2011,08,3,689.11610625
2011,08,4,675.3491425
2011,08,5,669.38547625
2011,08,6,664.1587
2011,08,7,664.0438375
2011,08,8,671.63765125
2011,08,9,678.71453625
2011,08,10,678.904085
2011,08,11,667.61297625
2011,08,12,669.45460375
2011,08,13,678.65168625
2011,08,14,675.005295
2011,08,15,668.183075
2011,08,16,664.43633125
2011,08,17,658.41442875
2011,08,18,658.8398
2011,08,19,661.4296775
2011,08,20,662.97398625
2011,08,21,668.45424375
2011,08,22,670.7398025
2011,08,23,670.37821375
2011,08,24,672.24675125
2011,08,25,671.836635
2011,08,26,673.73708125
2011,08,27,678.872545
2011,08,28,682.43621375
2011,08,29,676.75626625
2011,08,30,674.98900125
2011,08,31,676.23260875
2012,08,1,666.65998125
2012,08,2,666.2719375
2012,08,3,660.37784875
2012,08,4,655.05783125
2012,08,5,657.46423625
2012,08,6,665.02799
2012,08,7,665.3667875
2012,08,8,659.3878425
2012,08,9,664.5829875
2012,08,10,664.6316275
2012,08,11,659.49265875
2012,08,12,653.75118625
2012,08,13,655.731955
2012,08,14,653.85854875
2012,08,15,655.04855875
2012,08,16,663.22277125
2012,08,17,663.74329375
2012,08,18,659.02904875
2012,08,19,660.54002625
2012,08,20,664.301485
2012,08,21,664.02070375
2012,08,22,661.61906125
2012,08,23,662.916475
2012,08,24,665.41187625
2012,08,25,664.57093625
2012,08,26,666.01713875
2012,08,27,669.02921375
2012,08,28,670.63737
2012,08,29,669.8506375
2012,08,30,671.14606375
2012,08,31,672.7958425
2013,08,1,662.8467825
2013,08,2,662.43195875
2013,08,3,663.94388375
2013,08,4,658.73844625
2013,08,5,661.31404875
2013,08,6,666.03907625
2013,08,7,673.83887375
2013,08,8,676.83729625
2013,08,9,676.5572275
2013,08,10,680.29149
2013,08,11,689.63889625
2013,08,12,690.5673725
2013,08,13,698.91633875
2013,08,14,698.69579125
2013,08,15,686.69486375
2013,08,16,685.21699375
2013,08,17,681.77359375
2013,08,18,673.5791525
2013,08,19,673.11053625
2013,08,20,672.1909175
2013,08,21,674.05212
2013,08,22,669.76785
2013,08,23,665.06118625
2013,08,24,662.77012625
2013,08,25,658.57133375
2013,08,26,657.80197125
2013,08,27,656.28223375
2013,08,28,657.537275
2013,08,29,661.08491625
2013,08,30,667.43736375
2013,08,31,670.8707725
2014,08,1,663.92405875
2014,08,2,659.5255025
2014,08,3,662.7632525
2014,08,4,663.4963325
2014,08,5,661.01841
2014,08,6,663.035725
2014,08,7,664.745125
2014,08,8,666.42231
2014,08,9,666.2260925
2014,08,10,662.21098875
2014,08,11,658.37137875
2014,08,12,658.793775
2014,08,13,662.00426375
2014,08,14,662.730625
2014,08,15,662.56875875
2014,08,16,658.760115
2014,08,17,653.58669875
2014,08,18,649.41417375
2014,08,19,655.6342
2014,08,20,662.373115
2014,08,21,665.2072525
2014,08,22,665.685445
2014,08,23,661.2900875
2014,08,24,671.55885125
2014,08,25,672.81719875
2014,08,26,675.8759325
2014,08,27,683.92938375
2014,08,28,684.4716
2014,08,29,682.271715
2014,08,30,679.85013375
2014,08,31,676.0442175
2015,08,1,670.702445
2015,08,2,674.4369325
2015,08,3,676.55142375
2015,08,4,669.13820125
2015,08,5,668.4980025
2015,08,6,670.2294275
2015,08,7,663.3368175
2015,08,8,655.170805
2015,08,9,660.193505
2015,08,10,660.12361875
2015,08,11,659.76704375
2015,08,12,659.91809
2015,08,13,657.78868375
2015,08,14,655.52612
2015,08,15,653.33420625
2015,08,16,650.573765
2015,08,17,654.0956875
2015,08,18,654.53926375
2015,08,19,654.374565
2015,08,20,659.71943125
2015,08,21,655.3642175
2015,08,22,651.94612375
2015,08,23,649.2421025
2015,08,24,648.15338875
2015,08,25,651.2636075
2015,08,26,656.44325
2015,08,27,660.5687275
2015,08,28,664.61225875
2015,08,29,667.76366125
2015,08,30,664.19283125
2015,08,31,654.67098625
2016,08,1,661.25588625
2016,08,2,666.6100325
2016,08,3,676.962475
2016,08,4,675.29654125
2016,08,5,670.32564375
2016,08,6,672.6398325
2016,08,7,677.3628575
2016,08,8,675.007605
2016,08,9,674.06659375
2016,08,10,672.89254
2016,08,11,675.19859
2016,08,12,685.62578875
2016,08,13,689.84285875
2016,08,14,686.99546875
2016,08,15,683.20925375
2016,08,16,671.00591625
2016,08,17,663.87359125
2016,08,18,672.4667075
2016,08,19,673.8900325
2016,08,20,670.7254675
2016,08,21,669.212595
2016,08,22,668.2529525
2016,08,23,668.8630725
2016,08,24,665.85049375
2016,08,25,662.75848875
2016,08,26,659.61713125
2016,08,27,657.56205625
2016,08,28,657.0696875
2016,08,29,660.59019375
2016,08,30,664.84534875
2016,08,31,657.66295625
2017,08,1,659.57825875
2017,08,2,659.490645
2017,08,3,663.94768125
2017,08,4,668.4556575
2017,08,5,669.53634875
2017,08,6,666.86007375
2017,08,7,665.06800375
2017,08,8,658.510375
2017,08,9,656.12705625
2017,08,10,657.65786875
2017,08,11,656.2574975
2017,08,12,657.60602875
2017,08,13,659.06311875
2017,08,14,663.30805625
2017,08,15,670.12175375
2017,08,16,672.57012875
2017,08,17,673.38646625
2017,08,18,673.6780825
2017,08,19,672.76758375
2017,08,20,671.49502875
2017,08,21,667.417205
2017,08,22,666.718405
2017,08,23,665.38704125
2017,08,24,662.6039
