####################################################################################################
# Month: 04Apr                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/NZ                                    #
# Columns are: year    month   day     segment         PWV (mm)                                    #
####################################################################################################
year,month,day,segment,PWV
2009,04,1,0,3.91225
2009,04,1,1,4.4075500000000005
2009,04,1,2,4.27306
2009,04,1,3,3.9772
2009,04,1,4,4.30678
2009,04,1,5,5.239850000000001
2009,04,1,6,7.348229999999999
2009,04,1,7,9.15136
2009,04,2,0,10.7045
2009,04,2,1,8.725040000000002
2009,04,2,2,11.7514
2009,04,2,3,6.42237
2009,04,2,4,1.99478
2009,04,2,5,3.1376
2009,04,2,6,3.97654
2009,04,2,7,4.75329
2009,04,3,0,5.612220000000001
2009,04,3,1,5.6288
2009,04,3,2,4.711060000000001
2009,04,3,3,5.02917
2009,04,3,4,5.59925
2009,04,3,5,5.18096
2009,04,3,6,7.90014
2009,04,3,7,9.55335
2009,04,4,0,9.39494
2009,04,4,1,9.13984
2009,04,4,2,9.08102
2009,04,4,3,7.40503
2009,04,4,4,5.71782
2009,04,4,5,4.816
2009,04,4,6,6.3555399999999995
2009,04,4,7,8.618540000000001
2009,04,5,0,8.89151
2009,04,5,1,9.98666
2009,04,5,2,10.188799999999999
2009,04,5,3,9.47377
2009,04,5,4,8.30739
2009,04,5,5,8.52958
2009,04,5,6,7.22184
2009,04,5,7,6.35375
2009,04,6,0,8.246879999999999
2009,04,6,1,11.4449
2009,04,6,2,7.51096
2009,04,6,3,9.607709999999999
2009,04,6,4,8.849950000000002
2009,04,6,5,8.91772
2009,04,6,6,8.1519
2009,04,6,7,13.184299999999999
2009,04,7,0,12.5191
2009,04,7,1,15.5268
2009,04,7,2,15.6691
2009,04,7,3,13.6712
2009,04,7,4,14.1757
2009,04,7,5,11.66
2009,04,7,6,9.13309
2009,04,7,7,8.08483
2009,04,8,0,8.262979999999999
2009,04,8,1,10.553799999999999
2009,04,8,2,11.78
2009,04,8,3,12.1361
2009,04,8,4,10.3478
2009,04,8,5,10.0659
2009,04,8,6,9.94324
2009,04,8,7,10.0808
2009,04,9,0,12.125
2009,04,9,1,12.8209
2009,04,9,2,9.45208
2009,04,9,3,3.87337
2009,04,9,4,1.68276
2009,04,9,5,2.02681
2009,04,9,6,4.221520000000001
2009,04,9,7,4.40854
2009,04,10,0,5.0950500000000005
2009,04,10,1,5.744560000000001
2009,04,10,2,5.967899999999999
2009,04,10,3,5.39731
2009,04,10,4,5.15096
2009,04,10,5,5.17839
2009,04,10,6,5.70799
2009,04,10,7,5.88369
2009,04,11,0,6.59599
2009,04,11,1,7.5653500000000005
2009,04,11,2,7.8695900000000005
2009,04,11,3,7.54563
2009,04,11,4,7.31936
2009,04,11,5,6.73138
2009,04,11,6,6.4995
2009,04,11,7,6.26907
2009,04,12,0,7.46276
2009,04,12,1,8.453059999999999
2009,04,12,2,9.349350000000001
2009,04,12,3,8.435319999999999
2009,04,12,4,8.10984
2009,04,12,5,8.77162
2009,04,12,6,8.94426
2009,04,12,7,8.208200000000001
2009,04,13,0,5.693359999999999
2009,04,13,1,5.82108
2009,04,13,2,6.71965
2009,04,13,3,6.49294
2009,04,13,4,7.516100000000001
2009,04,13,5,8.32092
2009,04,13,6,8.29398
2009,04,13,7,8.67455
2009,04,14,0,9.43175
2009,04,14,1,9.45598
2009,04,14,2,8.92876
2009,04,14,3,8.141020000000001
2009,04,14,4,7.33353
2009,04,14,5,9.36205
2009,04,14,6,10.5511
2009,04,14,7,9.07976
2009,04,15,0,8.52144
2009,04,15,1,10.129100000000001
2009,04,15,2,10.3104
2009,04,15,3,9.63967
2009,04,15,4,11.1569
2009,04,15,5,13.2648
2009,04,15,6,14.7538
2009,04,15,7,12.3002
2009,04,16,0,8.91217
2009,04,16,1,7.6738100000000005
2009,04,16,2,8.42532
2009,04,16,3,8.67009
2009,04,16,4,11.3316
2009,04,16,5,16.0605
2009,04,16,6,14.672
2009,04,16,7,13.767299999999999
2009,04,17,0,11.5477
2009,04,17,1,9.62025
2009,04,17,2,7.20974
2009,04,17,3,6.1749
2009,04,17,4,4.86775
2009,04,17,5,3.71689
2009,04,17,6,5.361149999999999
2009,04,17,7,6.7468699999999995
2009,04,18,0,7.54725
2009,04,18,1,8.273209999999999
2009,04,18,2,7.54429
2009,04,18,3,7.29389
2009,04,18,4,6.16021
2009,04,18,5,5.15074
2009,04,18,6,3.01089
2009,04,18,7,4.20759
2009,04,19,0,5.45646
2009,04,19,1,6.06838
2009,04,19,2,6.38336
2009,04,19,3,6.74653
2009,04,19,4,6.5111099999999995
2009,04,19,5,6.0847
2009,04,19,6,5.65693
2009,04,19,7,6.9229899999999995
2009,04,20,0,7.10158
2009,04,20,1,7.93316
2009,04,20,2,7.87216
2009,04,20,3,6.739310000000001
2009,04,20,4,4.73126
2009,04,20,5,3.43877
2009,04,20,6,6.46678
2009,04,20,7,8.924040000000002
2009,04,21,0,10.7514
2009,04,21,1,12.621799999999999
2009,04,21,2,11.2189
2009,04,21,3,11.6912
2009,04,21,4,12.8221
2009,04,21,5,12.711200000000002
2009,04,21,6,11.9
2009,04,21,7,10.882700000000002
2009,04,22,0,7.34872
2009,04,22,1,6.748069999999999
2009,04,22,2,6.73429
2009,04,22,3,7.24965
2009,04,22,4,6.4456999999999995
