####################################################################################################
# Month: 05May                                                                                     #
# Station: NZ                                                                                      #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,05,1,4.71775287,260.6184
2009,05,2,9.06505162,268.180675
2009,05,3,5.9679135,267.2894125
2009,05,4,6.94216987,269.0861625
2009,05,5,9.23442362,266.574925
2009,05,6,6.61584488,266.5611375
2009,05,7,9.27544388,267.670225
2009,05,8,5.19607962,258.7509375
2009,05,9,7.23898112,263.745775
2009,05,10,6.14829762,261.4278875
2009,05,11,4.49102038,257.332825
2009,05,12,8.62886238,266.0688
2009,05,13,6.15981575,265.742625
2009,05,14,8.87148662,269.101075
2009,05,15,9.976122,272.1841
2009,05,16,13.5526055,273.3871375
2009,05,17,7.81845138,267.8241125
2009,05,18,6.98845588,263.9125625
2009,05,19,5.442714,256.2799
2009,05,20,2.98838088,243.2358375
2009,05,21,6.63593975,262.001175
2009,05,22,4.54913225,246.2534375
2009,05,23,11.7011225,269.363475
2009,05,24,8.21203288,270.9232
2009,05,25,2.94790288,253.1879125
2009,05,26,5.22924938,270.27585
2009,05,27,5.53817562,270.9674125
2009,05,28,7.67001475,268.0596875
2009,05,29,7.6014145,267.38925
2009,05,30,5.53056312,263.858875
2009,05,31,4.82070075,259.9673875
2010,05,1,4.13034225,261.4737
2010,05,2,7.75986875,273.40645
2010,05,3,3.81358712,246.8013625
2010,05,4,4.68703888,266.32805
2010,05,5,2.5495115,243.820625
2010,05,6,8.25718412,265.091275
2010,05,7,16.99243887,275.1062125
2010,05,8,3.6836925,258.3249125
2010,05,9,6.80413938,273.83605
2010,05,10,5.82441037,273.9869375
2010,05,11,5.69425812,270.346375
2010,05,12,17.14180625,275.59635
2010,05,13,10.54819288,271.284025
2010,05,14,8.82064038,270.23205
2010,05,15,8.03555425,269.028975
2010,05,16,11.535415,269.6411625
2010,05,17,9.60585388,269.3185
2010,05,18,7.48650188,270.0101375
2010,05,19,6.032452,268.5385375
2010,05,20,5.57021075,266.4202
2010,05,21,4.89522538,263.7500875
2010,05,22,7.5492485,268.698375
2010,05,23,11.68242612,268.8979625
2010,05,24,13.30425375,270.6660375
2010,05,25,13.08506862,269.77745
2010,05,26,7.821851,264.22875
2010,05,27,5.5492625,258.02625
2010,05,28,9.03855962,266.200625
2010,05,29,8.49206962,266.9503625
2010,05,30,5.363534,264.691025
