####################################################################################################
# Month: 05May                                                                                     #
# Station: ORG                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,05,1,4.68188562
2009,05,2,9.286627
2009,05,3,12.924677
2009,05,4,8.13606762
2009,05,5,19.9759835
2009,05,6,13.13054812
2009,05,7,10.714058
2009,05,8,4.93819262
2009,05,9,2.8341775
2009,05,10,3.4229375
2009,05,11,8.06451037
2009,05,12,12.07164112
2009,05,13,9.038319
2009,05,14,11.93250712
2009,05,15,6.26667438
2009,05,16,3.85287562
2009,05,17,2.56330738
2009,05,18,7.73171612
2009,05,19,15.41160788
2009,05,20,6.53472375
2009,05,21,3.78708812
2009,05,22,2.80671375
2009,05,23,1.93556075
2009,05,24,4.62524162
2009,05,25,3.60293088
2009,05,26,1.91759225
2009,05,27,1.98377775
2009,05,28,1.33432112
2009,05,29,3.52154875
2009,05,30,1.9542405
2009,05,31,2.52692575
2010,05,1,10.34242538
2010,05,2,13.48364088
2010,05,3,13.10739088
2010,05,4,14.824306
2010,05,5,8.4381865
2010,05,6,8.91429025
2010,05,7,2.8689535
2010,05,8,5.24189388
2010,05,9,2.5050595
2010,05,10,7.65369812
2010,05,11,14.081756
2010,05,12,13.37199975
2010,05,13,5.14568875
2010,05,14,2.00266688
2010,05,15,2.17045563
2010,05,16,4.66207087
2010,05,17,6.19166438
2010,05,18,7.95487038
2010,05,19,6.64874188
2010,05,20,10.27227725
2010,05,21,5.11697538
2010,05,22,10.1520415
2010,05,23,8.43767238
2010,05,24,6.13601675
2010,05,25,6.04235325
2010,05,26,7.19121412
2010,05,27,4.59200975
2010,05,28,7.0171395
2010,05,29,7.85966312
2010,05,30,4.91872562
2010,05,31,7.04684188
2011,05,1,3.93009875
2011,05,2,6.53344212
2011,05,3,8.94775575
2011,05,4,5.91818163
2011,05,5,5.13616488
2011,05,6,10.27101675
2011,05,7,12.5042405
2011,05,8,6.39232175
2011,05,9,8.74638638
2011,05,10,12.399545
2011,05,11,5.268659
2011,05,12,8.23455988
2011,05,13,7.39268362
2011,05,14,7.70048825
2011,05,15,7.23225825
2011,05,16,9.04933812
2011,05,17,2.38781375
2011,05,18,5.21511662
2011,05,19,13.14469363
2011,05,20,7.82514575
2011,05,21,3.47111938
2011,05,22,2.73270975
2011,05,23,2.21133775
2011,05,24,6.6545785
2011,05,25,9.27470675
2011,05,26,11.95126612
2011,05,27,8.215188
2011,05,28,4.9720175
2011,05,29,12.34212638
2011,05,30,10.40122338
2011,05,31,9.36879075
2012,05,1,11.483348
2012,05,2,8.72659075
2012,05,3,12.363853
2012,05,4,8.0989905
2012,05,5,6.96960862
2012,05,6,3.71592562
2012,05,7,5.46629775
2012,05,8,3.0862845
2012,05,9,5.686295
2012,05,10,8.6868505
2012,05,11,3.06123012
2012,05,12,2.89747337
2012,05,13,2.41140063
2012,05,14,5.36754175
2012,05,15,5.9615305
2012,05,16,5.3772785
2012,05,17,5.26609375
2012,05,18,8.22964988
2012,05,19,5.37381488
2012,05,20,4.60225738
2012,05,21,7.84569762
2012,05,22,12.51904975
2012,05,23,10.314358
2012,05,24,5.41776088
2012,05,25,9.74736862
2012,05,26,11.52504538
2012,05,27,11.65033725
2012,05,28,3.5664775
2012,05,29,3.71277688
2012,05,30,4.67478188
2012,05,31,5.129346
2013,05,1,9.20061912
2013,05,2,5.626654
2013,05,3,4.1600655
2013,05,4,10.07639312
2013,05,5,9.46011338
2013,05,6,6.277688
2013,05,7,5.54214838
2013,05,8,8.57387162
2013,05,9,6.89104325
2013,05,10,4.4994705
2013,05,11,3.03852738
2013,05,12,6.66403275
2013,05,13,10.80960312
2013,05,14,9.39425362
2013,05,15,5.58265338
2013,05,16,6.40216338
2013,05,17,5.65737612
