####################################################################################################
# Month: 12Dec                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/OVRO                         #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2009,12,1,815.67921
2009,12,2,813.46383375
2009,12,3,812.69355125
2009,12,4,811.18346625
2009,12,5,813.11586625
2009,12,6,818.05826
2009,12,7,815.37729625
2009,12,8,814.8014725
2009,12,9,816.29459125
2009,12,10,814.26683125
2009,12,11,810.08556625
2009,12,12,813.65666625
2009,12,13,814.19021375
2009,12,14,813.1049825
2009,12,15,814.74915625
2009,12,16,815.33978625
2009,12,17,810.59520625
2009,12,18,806.0857325
2009,12,19,805.3868525
2009,12,20,808.04025375
2009,12,21,809.3742075
2009,12,22,809.84878875
2009,12,23,810.10108875
2009,12,24,814.476105
2009,12,25,815.07909
2009,12,26,815.400515
2009,12,27,813.760815
2009,12,28,813.835105
2009,12,29,816.0476775
2009,12,30,817.48412
2009,12,31,818.8730075
2010,12,1,811.358105
2010,12,2,813.37297625
2010,12,3,815.77297875
2010,12,4,814.7941325
2010,12,5,817.58331125
2010,12,6,825.2725875
2010,12,7,835.9527025
2010,12,8,847.83592125
2010,12,9,827.0536875
2010,12,10,820.367745
2010,12,11,819.13956
2010,12,12,819.85245
2010,12,13,817.37025125
2010,12,14,816.952135
2010,12,15,818.30071625
2010,12,16,813.9349675
2010,12,17,816.49720875
2010,12,18,815.473445
2010,12,19,812.91893375
2010,12,20,811.4435075
2010,12,21,814.72976
2010,12,22,816.35788375
2010,12,23,817.8369775
2010,12,24,820.77888875
2010,12,25,824.20767625
2010,12,26,823.84513625
2010,12,27,820.2682875
2010,12,28,817.98579625
2010,12,29,818.9889775
2010,12,30,820.2473
2010,12,31,818.98256125
2011,12,1,802.05667875
2011,12,2,805.83579625
2011,12,3,809.50198125
2011,12,4,810.47983875
2011,12,5,810.6701675
2011,12,6,807.18066375
2011,12,7,806.19616375
2011,12,8,804.83814625
2011,12,9,802.07623375
2011,12,10,803.0106925
2011,12,11,806.4228625
2011,12,12,809.81575625
2011,12,13,806.94789875
2011,12,14,805.53901
2011,12,15,810.65406
2011,12,16,812.15615625
2011,12,17,812.27056875
2011,12,18,808.86790875
2011,12,19,811.249
2011,12,20,811.93572375
2011,12,21,813.61163
2011,12,22,810.80108875
2011,12,23,812.85867875
2011,12,24,812.3030075
2011,12,25,809.450355
2011,12,26,811.4451225
2011,12,27,812.3203725
2011,12,28,811.737615
2011,12,29,809.74953875
2011,12,30,812.6190175
2011,12,31,811.23009125
2012,12,1,813.17414875
2012,12,2,812.13945875
2012,12,3,813.48230625
2012,12,4,815.18221125
2012,12,5,813.23294875
2012,12,6,812.73378125
2012,12,7,814.72595375
2012,12,8,815.29600875
2012,12,9,815.35400125
2012,12,10,817.60726875
2012,12,11,814.9251375
2012,12,12,813.08880375
2012,12,13,814.14802375
2012,12,14,815.0585825
2012,12,15,814.1832825
2012,12,16,815.2909225
2012,12,17,816.24655375
2012,12,18,815.5783875
2012,12,19,819.59632375
2012,12,20,818.90043375
2012,12,21,818.81713375
2012,12,22,821.0814875
2012,12,23,822.5566325
2012,12,24,821.40660875
2012,12,25,822.13017
2012,12,26,826.52906
2012,12,27,823.90223125
2012,12,28,818.17793625
2012,12,29,816.51853375
2012,12,30,815.94124625
2012,12,31,815.73036375
2013,12,1,810.7398675
2013,12,2,812.45174125
2013,12,3,811.2652
2013,12,4,808.92686
2013,12,5,811.35518
2013,12,6,812.52989
2013,12,7,809.09532
2013,12,8,815.46603375
2013,12,9,815.95143375
2013,12,10,812.87732875
2013,12,11,813.1671575
2013,12,12,814.49715
2013,12,13,813.09390875
2013,12,14,811.1779925
2013,12,15,813.54766875
2013,12,16,815.6804125
2013,12,17,814.746805
2013,12,18,814.44391875
2013,12,19,816.233745
2013,12,20,817.16158875
2013,12,21,812.4785825
2013,12,22,811.90321375
2013,12,23,813.31844875
2013,12,24,815.07504875
2013,12,25,814.57406875
2013,12,26,812.49041
2013,12,27,812.34236375
2013,12,28,817.28220375
2013,12,29,817.96675625
2013,12,30,818.81973875
2013,12,31,820.647545
2014,12,1,812.78820625
2014,12,2,806.288795
2014,12,3,808.7579625
2014,12,4,810.37034875
2014,12,5,806.2504025
2014,12,6,806.4084525
2014,12,7,806.315055
2014,12,8,811.7990175
2014,12,9,808.22604375
2014,12,10,807.94225125
2014,12,11,808.89845375
2014,12,12,810.15725125
2014,12,13,813.50950125
2014,12,14,815.84511
2014,12,15,811.036835
2014,12,16,808.48042875
2014,12,17,812.71351125
2014,12,18,814.51937625
2014,12,19,812.15980125
2014,12,20,813.87937625
2014,12,21,814.59821625
2014,12,22,817.58108625
2014,12,23,815.81829125
2014,12,24,813.6586575
2014,12,25,812.4333675
2014,12,26,814.43293
2014,12,27,812.21275125
2014,12,28,812.5930475
2014,12,29,812.25649875
2014,12,30,813.65405625
2014,12,31,815.562675
2015,12,1,809.15642875
2015,12,2,812.2658675
2015,12,3,816.25969375
2015,12,4,814.8474575
2015,12,5,816.3618025
2015,12,6,817.75313375
2015,12,7,815.90116125
2015,12,8,820.05553625
2015,12,9,821.016375
2015,12,10,819.25619
2015,12,11,817.4041575
2015,12,12,816.487695
2015,12,13,818.57375125
2015,12,14,819.6917425
2015,12,15,819.70045
2015,12,16,814.83217375
2015,12,17,813.314075
2015,12,18,809.299685
2015,12,19,807.0631075
2015,12,20,812.24352875
2015,12,21,815.43988125
2015,12,22,816.4352125
2015,12,23,820.246965
2015,12,24,814.9520925
2015,12,25,813.04889375
2015,12,26,817.49005125
2015,12,27,816.5774175
2015,12,28,811.3315575
2015,12,29,811.24914125
2015,12,30,814.39262875
2015,12,31,810.77170875
2016,12,1,818.18006
2016,12,2,819.80612
2016,12,3,819.05764625
2016,12,4,818.5209725
2016,12,5,816.80905875
2016,12,6,816.547145
2016,12,7,815.22105125
2016,12,8,814.0372875
2016,12,9,815.13769
2016,12,10,814.87820875
2016,12,11,813.46494875
2016,12,12,815.2265275
2016,12,13,820.0573875
2016,12,14,818.26977
2016,12,15,816.5235075
2016,12,16,821.36199
2016,12,17,822.0738975
2016,12,18,820.84672375
2016,12,19,819.97814875
2016,12,20,823.04486125
2016,12,21,821.82547125
2016,12,22,821.66826875
2016,12,23,822.767335
2016,12,24,818.95820625
2016,12,25,817.94114375
2016,12,26,817.08118125
2016,12,27,816.92491625
2016,12,28,815.97925125
2016,12,29,816.3101825
2016,12,30,815.47623875
2016,12,31,815.37651375
2017,12,1,812.3885725
2017,12,2,805.99136875
2017,12,3,804.9701475
2017,12,4,806.7121175
2017,12,5,809.45918875
2017,12,6,810.5221975
2017,12,7,811.38757
2017,12,8,809.5684
2017,12,9,811.16668875
2017,12,10,815.04071625
2017,12,11,816.29519625
2017,12,12,818.80177875
2017,12,13,820.70794625
2017,12,14,818.27980125
2017,12,15,819.81083875
2017,12,16,816.70122875
2017,12,17,808.7268725
2017,12,18,810.29621625
2017,12,19,812.41360125
2017,12,20,816.15504875
2017,12,21,814.2244125
2017,12,22,816.62720625
2017,12,23,817.5936725
2017,12,24,814.6659175
2017,12,25,813.6889325
2017,12,26,811.9368225
2017,12,27,812.96816125
2017,12,28,811.222015
2017,12,29,812.75554875
2017,12,30,816.94455875
2017,12,31,812.2466225
2018,12,1,811.1935525
2018,12,2,812.04548875
2018,12,3,817.240595
2018,12,4,816.2804925
2018,12,5,807.18891
2018,12,6,807.13954
2018,12,7,809.93871
2018,12,8,809.53211375
2018,12,9,809.58774
2018,12,10,815.79354625
2018,12,11,813.39145
2018,12,12,815.831245
2018,12,13,814.29135375
2018,12,14,808.7993925
2018,12,15,808.9332375
2018,12,16,812.5583125
2018,12,17,813.05471
2018,12,18,814.07616125
2018,12,19,833.2076875
2018,12,20,842.5322225
2018,12,21,829.16062625
2018,12,22,822.2338025
2018,12,23,818.7947725
2018,12,24,816.05886875
2018,12,25,815.4268
2018,12,26,813.98137375
2018,12,27,813.114505
2018,12,28,810.17214875
2018,12,29,815.07293375
2018,12,30,817.25769875
2018,12,31,816.84645125
2019,12,1,819.393515
2019,12,2,826.86546
2019,12,3,826.63886375
2019,12,4,826.14382875
2019,12,5,827.3744875
2019,12,6,826.53219125
2019,12,7,826.10777375
2019,12,8,825.19404375
2019,12,9,823.27057625
2019,12,10,823.115055
2019,12,11,822.91622375
2019,12,12,821.9737475
2019,12,13,818.93951125
2019,12,14,817.51931375
2019,12,15,820.9519725
2019,12,16,817.9913675
2019,12,17,813.5194225
2019,12,18,818.56978125
2019,12,19,826.7355275
2019,12,20,826.27525375
2019,12,21,821.70951375
2019,12,22,818.31236625
2019,12,23,817.49977375
2019,12,24,819.05439625
2019,12,25,815.3350225
2019,12,26,812.17522
2019,12,27,815.448535
2019,12,28,819.43515
2019,12,29,817.07819375
2019,12,30,814.78129
2019,12,31,816.6814375
