####################################################################################################
# Month: 12Dec                                                                                     #
# Station: PER                                                                                     #
# Frequency: 410 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,12,1,1.12502971,175.3309875
2009,12,2,1.64297101,216.1231125
2009,12,3,2.55567657,239.01485
2009,12,4,1.60931141,204.69355
2009,12,5,2.23875888,241.1693375
2009,12,6,2.46494462,249.7142375
2009,12,7,4.08267162,271.40615
2009,12,8,3.85577375,253.183125
2009,12,9,2.5998865,238.7485875
2009,12,10,3.3006605,235.184725
2009,12,11,2.1185092,225.9017625
2009,12,12,2.2468455,244.2009
2009,12,13,2.26658312,242.2216375
2009,12,14,2.11295613,238.6481375
2009,12,15,1.92258112,233.9294
2009,12,16,2.39640075,247.5555875
2009,12,17,4.59507806,253.4741625
2009,12,18,1.46957281,208.5004
2009,12,19,1.73579962,226.05315
2009,12,20,2.30227462,245.8918375
2009,12,21,2.83473112,256.9509375
2009,12,22,3.30906025,267.3819875
2009,12,23,4.74563075,277.0715875
2009,12,24,7.17067675,279.9720375
2009,12,25,5.57515212,277.839475
2009,12,26,3.37789788,271.1194875
2009,12,27,5.25605413,278.124275
2009,12,28,3.82441875,273.8891
2009,12,29,3.35625725,269.095875
2009,12,30,2.05932438,242.6244375
2009,12,31,7.01006662,280.0998875
2010,12,1,4.72698188,272.6018125
2010,12,2,5.32971425,274.8584
2010,12,3,4.50022338,272.67645
2010,12,4,4.44299275,271.056
2010,12,5,5.100392,276.1119875
2010,12,6,6.44654862,279.4942875
2010,12,7,8.23658788,281.289975
2010,12,8,9.23711025,283.369275
2010,12,9,4.40301937,271.226575
2010,12,10,2.11429,240.62995
2010,12,11,2.73114238,251.6643
2010,12,12,2.12580338,238.4617125
2010,12,13,2.717992,255.855775
2010,12,14,3.95297412,269.9837875
2010,12,15,5.16095713,274.878225
2010,12,16,1.03819939,174.7458625
2010,12,17,4.04557275,266.0839
2010,12,18,3.04987775,254.2218
2010,12,19,3.76755588,260.703025
2010,12,20,2.71855238,248.3230625
2010,12,21,2.257458,242.7828375
2010,12,22,2.29973087,247.6147625
2010,12,23,2.0964825,238.9877
2010,12,24,2.703065,252.016525
2010,12,25,5.57277512,277.0412375
2010,12,26,3.61882578,244.61185
2010,12,27,1.7975665,225.2575
2010,12,28,2.33367013,250.703975
2010,12,29,2.83754175,259.926375
2010,12,30,3.30752625,267.6607
2010,12,31,4.521445,279.2789625
2011,12,1,1.73321274,218.778175
2011,12,2,1.97457562,231.8736875
2011,12,3,2.18069987,232.43045
2011,12,4,1.02984536,170.3645625
2011,12,5,1.93823388,232.501425
2011,12,6,2.50689712,251.0557375
2011,12,7,3.822371,266.4796625
2011,12,8,2.99024988,252.7586375
2011,12,9,3.83168688,266.9424625
2011,12,10,5.85861525,274.7523875
2011,12,11,3.73341438,262.8252125
2011,12,12,2.77870625,254.001625
2011,12,13,1.39571744,199.436975
2011,12,14,2.0297215,233.0143
2011,12,15,3.47567012,264.41145
2011,12,16,3.82099762,266.6354625
2011,12,17,3.90182562,269.8763375
2011,12,18,6.07966275,277.17245
2011,12,19,3.78633775,265.47915
2011,12,20,3.45617413,267.949725
2011,12,21,5.41748562,273.768625
2011,12,22,4.85178987,272.600125
2011,12,23,4.1997215,273.0413625
2011,12,24,5.36485675,277.74325
2011,12,25,6.14531338,278.2198875
2011,12,26,3.74946288,267.4047125
2011,12,27,4.35684575,272.7036375
2011,12,28,2.568168,254.272975
2011,12,29,2.48239825,252.32425
2011,12,30,3.05503438,263.0752625
2011,12,31,2.95245512,264.1426
2012,12,1,6.62217025,279.9147
2012,12,2,1.28803324,182.295425
2012,12,3,1.65366921,215.1189875
2012,12,4,2.12623075,234.7582
2012,12,5,1.7576887,211.60155
2012,12,6,2.43231488,249.90325
2012,12,7,4.0618765,269.9061875
2012,12,8,4.843291,275.3529125
2012,12,9,3.102567,261.7240875
2012,12,10,2.15843338,238.9085875
2012,12,11,2.84712912,258.956075
2012,12,12,3.39023963,266.710975
2012,12,13,5.04345375,273.1228
2012,12,14,8.41355738,280.4413625
2012,12,15,6.04341675,276.564025
2012,12,16,3.56963988,252.4955375
2012,12,17,2.443231,246.6550875
2012,12,18,3.2199575,262.7968375
2012,12,19,4.64657637,276.488225
2012,12,20,1.40451442,201.6447375
2012,12,21,1.70330146,223.069475
2012,12,22,3.68495425,266.9498
2012,12,23,7.0273995,282.827325
2012,12,24,5.2409875,276.405
2012,12,25,3.74246812,269.285725
2012,12,26,3.04201638,262.7584375
2012,12,27,4.054114,269.32565
2012,12,28,2.05484237,238.98615
2012,12,29,2.29315025,247.372775
2012,12,30,2.49326063,253.37695
2012,12,31,1.99483112,238.8089875
2013,12,1,2.14946212,240.592325
2013,12,2,3.5450215,269.980425
2013,12,3,5.54525388,278.3367125
2013,12,4,4.59686675,259.2077375
2013,12,5,2.05822952,216.203
2013,12,6,0.99307278,162.67265
2013,12,7,1.4121639,202.9242
2013,12,8,4.4358235,269.6215625
2013,12,9,4.63372237,255.9796875
2013,12,10,1.88403175,233.537925
2013,12,11,1.87602355,223.12755
2013,12,12,2.40193975,247.5653875
2013,12,13,3.95590912,267.1373125
2013,12,14,3.3025365,264.8508
2013,12,15,4.913213,274.064325
2013,12,16,3.92737975,271.5124
2013,12,17,3.604101,271.7576625
2013,12,18,3.61261262,272.9875875
2013,12,19,5.13310925,280.6840125
2013,12,20,5.54138112,280.9374625
2013,12,21,4.25177725,276.8815125
2013,12,22,6.39797375,280.1719625
2013,12,23,3.48294312,239.0541375
2013,12,24,2.30077937,246.3266625
2013,12,25,3.47462862,264.5737125
2013,12,26,3.35927362,265.8568
2013,12,27,3.5999675,269.7684875
2013,12,28,3.04343068,240.58576
2013,12,29,0.96166811,165.678815
2013,12,30,0.97573529,169.3320125
2013,12,31,1.62643329,219.0188
2014,12,1,5.05362675,275.819425
2014,12,2,2.48469725,251.8322875
2014,12,3,5.49223838,277.459375
2014,12,4,3.948614,270.8919375
2014,12,5,4.127432,270.7473875
2014,12,6,5.13166988,272.73175
2014,12,7,4.29887963,270.354275
2014,12,8,4.36861362,268.3147125
2014,12,9,2.84294512,256.3930125
2014,12,10,5.8696055,276.4405
2014,12,11,2.34932541,214.728525
2014,12,12,1.34422466,193.37985
2014,12,13,1.90644938,233.663425
2014,12,14,3.4201805,265.676675
2014,12,15,4.77304263,274.4094375
2014,12,16,1.9625503,212.313425
2014,12,17,1.72482909,222.3382125
2014,12,18,1.86587892,220.5346
2014,12,19,2.82030962,253.288625
2014,12,20,3.0970675,263.045325
2014,12,21,3.16920188,265.98375
2014,12,22,6.72643212,278.401925
2014,12,23,5.45798975,277.6340375
2014,12,24,4.74318612,274.406025
2014,12,25,3.0180693,246.9051375
2014,12,26,1.14509894,187.75755
2014,12,27,2.50185944,246.7433875
2014,12,28,3.40465963,262.5310375
2014,12,29,2.820705,249.20145
2014,12,30,2.10121188,239.6979875
2014,12,31,2.22224062,247.4627875
2015,12,1,4.32216369,253.17245
2015,12,2,1.87075221,227.15315
2015,12,3,2.35265762,250.4137625
2015,12,4,2.65690625,258.295725
2015,12,5,4.75047263,275.7312875
2015,12,6,5.7808025,278.8270125
2015,12,7,7.14180688,280.0094875
2015,12,8,6.1183365,277.51855
2015,12,9,2.59218962,256.239425
2015,12,10,3.35887625,259.3771125
2015,12,11,1.25428425,179.15946875
2015,12,12,2.06537613,234.2926375
2015,12,13,2.68223575,250.3504875
2015,12,14,3.08548,262.4724375
2015,12,15,3.7884045,268.3224
2015,12,16,2.96062088,262.3886875
2015,12,17,3.01487575,265.7973875
2015,12,18,4.60182712,277.2557
2015,12,19,4.86823425,279.5533375
2015,12,20,6.05369888,269.01015
2015,12,21,2.02080632,226.8350475
2015,12,22,3.53615625,266.7276125
2015,12,23,4.22035762,270.7047375
2015,12,24,2.5284715,251.1324875
2015,12,25,2.83159088,246.9109625
2015,12,26,3.8540005,244.2295
2015,12,27,1.32363012,199.797325
2015,12,28,1.8348505,227.4661125
2015,12,29,2.411229,252.8119375
2015,12,30,2.85616375,263.6062625
2015,12,31,4.29090975,276.0691625
2016,12,1,3.10075688,263.3719375
2016,12,2,2.84102738,260.4902625
2016,12,3,2.2549975,247.3825125
2016,12,4,7.3661785,281.135825
2016,12,5,7.21534588,280.6319875
2016,12,6,2.75159602,238.1255125
2016,12,7,1.72098512,224.6875375
2016,12,8,3.12159875,239.7751125
2016,12,9,1.43118431,205.9394875
2016,12,10,1.61673975,218.0051125
2016,12,11,1.39393454,206.476
2016,12,12,1.52453649,214.66735
2016,12,13,5.65444375,275.624125
2016,12,14,5.70079638,275.9278875
2016,12,15,5.86121675,276.197025
2016,12,16,5.59716112,275.0487875
2016,12,17,1.77345775,205.5901875
2016,12,18,1.33999061,197.1929625
2016,12,19,2.73653063,249.9651625
2016,12,20,3.036712,245.4721625
2016,12,21,2.6303385,255.4802125
2016,12,22,3.36574388,268.5119375
2016,12,23,4.07137587,275.1721625
2016,12,24,3.85567388,272.8489625
2016,12,25,4.2035365,275.9911625
2016,12,26,7.12594425,280.696825
2016,12,27,6.965482,281.1798
2016,12,28,7.87392275,282.904775
2016,12,29,9.264069,283.8128875
2016,12,30,4.62317188,260.8725625
2016,12,31,1.3109196,206.6684875
2017,12,1,8.7518815,280.938725
2017,12,2,5.15096163,272.1317
