####################################################################################################
# Month: 09Sep                                                                                     #
# Station: PIKE                                                                                    #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,09,1,0.71196371,134.5955875
2009,09,2,0.75744366,138.803125
2009,09,3,0.64611456,125.17842625
2009,09,4,0.42189679,88.91154625
2009,09,5,0.64299286,126.3246
2009,09,6,0.81859026,146.58765
2009,09,7,0.70884366,131.86110125
2009,09,8,0.83485845,150.1297125
2009,09,9,0.70290469,131.9128775
2009,09,10,0.71760854,134.9229625
2009,09,11,0.59483929,119.8722625
2009,09,12,0.75108169,139.811875
2009,09,13,0.61286755,121.71455
2009,09,14,0.68236335,131.5356
2009,09,15,0.77367057,144.091825
2009,09,16,0.62056092,120.47455625
2009,09,17,0.64777792,125.98585
2009,09,18,0.3966261,88.5329975
2009,09,19,0.35099836,80.6324025
2009,09,20,0.67653426,129.26727875
2009,09,21,0.49194216,99.86920625
2009,09,22,0.30809484,71.24027625
2009,09,23,0.5182762,105.770815
2009,09,24,0.34338651,77.55874375
2009,09,25,0.48091044,100.80337625
2009,09,26,0.3955361,87.560355
2009,09,27,0.32796892,77.734515
2009,09,28,0.21723192,55.6603275
2009,09,29,0.51882668,108.28320375
2009,09,30,0.37214376,84.3848475
2010,09,1,0.38602348,85.5421425
2010,09,2,0.31584606,75.36212125
2010,09,3,0.24268178,61.33207875
2010,09,4,0.33625334,78.262185
2010,09,5,0.36951341,81.68367125
2010,09,6,0.22152312,56.33838375
2010,09,7,0.20920864,54.63443125
2010,09,8,0.91800462,158.5060625
2010,09,9,0.31202977,66.62885375
2010,09,10,0.12472931,36.38654375
2010,09,11,0.14750716,40.19706
2010,09,12,0.16278711,43.66814875
2010,09,13,0.55345971,112.543625
2010,09,14,0.64179705,126.6312375
2010,09,15,0.43519424,92.82978875
2010,09,16,0.51169905,106.8759775
2010,09,17,0.32579346,76.6513475
2010,09,18,0.39961421,87.8513775
2010,09,19,0.20542671,53.51223
2010,09,20,0.39895288,87.972995
2010,09,21,0.51558008,108.53827375
2010,09,22,0.89708571,147.94387125
2010,09,23,0.8931369,142.69820125
2010,09,24,0.12433524,35.87263375
2010,09,25,0.31748522,75.1256475
2010,09,26,0.37200857,86.10591625
2010,09,27,0.34734636,81.66593125
2010,09,28,0.38733799,87.98566375
2010,09,29,0.32451498,78.23495875
2010,09,30,0.40212426,91.5751425
2011,09,1,0.99482936,167.535125
2011,09,2,1.14209238,182.0129625
2011,09,3,0.66450981,125.04063875
2011,09,4,0.53450877,106.647305
2011,09,5,0.34232968,79.3802775
2011,09,6,0.87233042,152.274025
2011,09,7,0.88764218,153.7338875
2011,09,8,0.74562692,138.7994375
