####################################################################################################
# Month: 10Oct                                                                                     #
# Station: /n/holylfs05/LABS/bhi/Lab/doeleman_lab/freemanmd/am_output/SAL                          #
# Columns are: year    month   day     Tbase (K)                                                   #
####################################################################################################
year,month,day,Tbase
2009,10,1,282.3625
2009,10,2,284.675
2009,10,3,286.2375
2009,10,4,283.675
2009,10,5,284.0375
2009,10,6,281.7
2009,10,7,277.9375
2009,10,8,277.775
2009,10,9,279.8375
2009,10,10,283.7125
2009,10,11,281.625
2009,10,12,276.4125
2009,10,13,282.0
2009,10,14,286.925
2009,10,15,281.9875
2009,10,16,279.375
2009,10,17,281.0875
2009,10,18,284.325
2009,10,19,287.0875
2009,10,20,289.5625
2009,10,21,288.4375
2009,10,22,287.925
2009,10,23,289.3375
2009,10,24,287.7375
2009,10,25,283.7625
2009,10,26,283.775
2009,10,27,281.25
2009,10,28,280.95
2009,10,29,280.325
2009,10,30,283.8875
2009,10,31,286.8625
2010,10,1,286.6125
2010,10,2,285.4125
2010,10,3,284.025
2010,10,4,286.125
2010,10,5,286.8375
2010,10,6,290.45
2010,10,7,287.6625
2010,10,8,282.25
2010,10,9,283.9125
2010,10,10,278.8125
2010,10,11,274.8125
2010,10,12,275.1
2010,10,13,278.1875
2010,10,14,274.325
2010,10,15,274.775
2010,10,16,279.25
2010,10,17,285.5125
2010,10,18,286.075
2010,10,19,281.9125
2010,10,20,285.15
2010,10,21,281.2125
2010,10,22,276.825
2010,10,23,276.0125
2010,10,24,275.125
2010,10,25,275.8125
2010,10,26,280.9125
2010,10,27,282.0375
2010,10,28,280.3
2010,10,29,283.175
2010,10,30,283.8125
2010,10,31,285.7125
2011,10,1,283.3125
2011,10,2,274.825
2011,10,3,278.775
2011,10,4,278.175
2011,10,5,279.35
2011,10,6,283.9875
2011,10,7,287.6375
2011,10,8,287.225
2011,10,9,289.2125
2011,10,10,289.325
2011,10,11,289.1875
2011,10,12,288.625
2011,10,13,288.5375
2011,10,14,281.1625
2011,10,15,278.65
2011,10,16,281.925
2011,10,17,285.225
2011,10,18,279.6
2011,10,19,274.2875
2011,10,20,279.225
2011,10,21,284.375
2011,10,22,285.05
2011,10,23,285.5375
2011,10,24,283.9
2011,10,25,279.1875
2011,10,26,279.0125
2011,10,27,276.2
2011,10,28,277.325
2011,10,29,278.3875
2011,10,30,275.5875
2011,10,31,276.1375
2012,10,1,287.275
2012,10,2,288.45
2012,10,3,283.3
2012,10,4,279.05
2012,10,5,278.85
2012,10,6,280.8625
2012,10,7,278.1125
2012,10,8,280.4625
2012,10,9,278.7125
2012,10,10,278.6375
2012,10,11,279.5125
2012,10,12,282.175
2012,10,13,285.5
2012,10,14,287.55
2012,10,15,284.525
2012,10,16,282.6375
2012,10,17,281.15
2012,10,18,279.675
2012,10,19,270.8875
2012,10,20,272.525
2012,10,21,275.25
2012,10,22,279.4375
2012,10,23,281.45
2012,10,24,284.4375
2012,10,25,285.75
2012,10,26,282.975
2012,10,27,284.825
2012,10,28,286.3375
2012,10,29,283.575
2012,10,30,282.9
2012,10,31,280.8625
2013,10,1,287.125
2013,10,2,288.0125
2013,10,3,288.6125
2013,10,4,286.225
2013,10,5,282.9375
2013,10,6,279.65
2013,10,7,282.9875
2013,10,8,286.425
2013,10,9,287.1125
2013,10,10,289.375
2013,10,11,286.375
2013,10,12,276.325
2013,10,13,274.7875
2013,10,14,281.0375
2013,10,15,285.575
2013,10,16,280.875
2013,10,17,277.8875
2013,10,18,277.6375
2013,10,19,281.35
2013,10,20,280.4625
2013,10,21,275.575
2013,10,22,277.475
2013,10,23,280.75
2013,10,24,285.725
2013,10,25,280.85
2013,10,26,281.95
2013,10,27,284.8375
2013,10,28,286.05
2013,10,29,286.4375
2013,10,30,279.1125
2013,10,31,275.5625
2014,10,1,278.675
2014,10,2,279.5875
2014,10,3,280.525
2014,10,4,284.525
2014,10,5,287.125
2014,10,6,287.9
2014,10,7,284.4875
2014,10,8,276.1875
2014,10,9,273.425
2014,10,10,278.5375
2014,10,11,281.95
2014,10,12,280.9
2014,10,13,282.25
2014,10,14,284.8
2014,10,15,281.0
2014,10,16,276.4375
2014,10,17,280.0
2014,10,18,284.925
2014,10,19,286.975
2014,10,20,287.5375
2014,10,21,288.0375
2014,10,22,290.0
2014,10,23,290.0
2014,10,24,289.45
2014,10,25,287.5375
2014,10,26,289.3125
2014,10,27,288.55
2014,10,28,288.8375
2014,10,29,286.2125
2014,10,30,281.675
2014,10,31,283.625
2015,10,1,278.2875
2015,10,2,282.9625
2015,10,3,284.9375
2015,10,4,286.8375
2015,10,5,285.2875
2015,10,6,288.7625
2015,10,7,289.375
2015,10,8,288.1375
2015,10,9,286.775
2015,10,10,281.65
2015,10,11,285.8
2015,10,12,286.65
2015,10,13,280.3
2015,10,14,279.6
2015,10,15,276.175
2015,10,16,280.3125
2015,10,17,287.0875
2015,10,18,291.4
2015,10,19,287.8125
2015,10,20,288.75
2015,10,21,286.2
2015,10,22,287.2125
2015,10,23,289.1375
2015,10,24,291.8
2015,10,25,289.05
2015,10,26,287.225
2015,10,27,291.3
2015,10,28,293.2875
2015,10,29,293.4875
2015,10,30,290.15
2015,10,31,284.325
2016,10,1,278.5375
2016,10,2,279.175
2016,10,3,283.625
2016,10,4,285.575
2016,10,5,286.725
2016,10,6,279.8125
2016,10,7,277.3625
2016,10,8,276.675
2016,10,9,276.125
2016,10,10,283.175
2016,10,11,281.9
2016,10,12,278.9125
2016,10,13,282.7
2016,10,14,287.1875
2016,10,15,284.7375
2016,10,16,277.1375
2016,10,17,279.1375
2016,10,18,280.5375
2016,10,19,281.825
2016,10,20,285.7625
