####################################################################################################
# Month: 11Nov                                                                                     #
# Station: SAN                                                                                     #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,11,1,2.09638338,238.98205
2009,11,2,2.697792,256.0868625
2009,11,3,2.80628862,259.8317
2009,11,4,3.47978325,258.7057875
2009,11,5,3.265492,257.8752
2009,11,6,7.65869612,272.7845625
2009,11,7,4.75286437,268.5773625
2009,11,8,2.040762,233.9495625
2009,11,9,2.48758062,247.5361875
2009,11,10,3.19887875,256.626825
2009,11,11,4.4450095,270.8668875
2009,11,12,5.472224,272.482525
2009,11,13,5.6281525,264.7295875
2009,11,14,3.50066738,258.25335
2009,11,15,3.06236225,256.69905
2009,11,16,3.60886188,265.8052125
2009,11,17,2.58847525,252.646375
2009,11,18,2.75440212,253.5541625
2009,11,19,1.43632662,205.8959625
2009,11,20,1.61049075,218.013475
2009,11,21,2.90438112,247.683625
2009,11,22,2.19680712,228.5081375
2009,11,23,4.419541,270.5190375
2009,11,24,3.79328125,265.797725
2009,11,25,3.393135,261.5614
2009,11,26,2.46142762,245.393475
2009,11,27,2.06961725,233.2073625
2009,11,28,3.36030357,236.22865
2009,11,29,4.14896363,251.665475
2009,11,30,2.22298988,231.4876875
2010,11,1,4.09060462,268.9978625
2010,11,2,6.0839525,281.493075
2010,11,3,5.19200612,280.49225
2010,11,4,6.58706438,280.314925
2010,11,5,4.269435,266.5583625
2010,11,6,3.98925225,263.3397625
2010,11,7,5.20539163,265.866825
2010,11,8,5.24876571,234.1133125
2010,11,9,2.66209079,236.1250375
2010,11,10,2.47505234,226.518475
2010,11,11,1.25997284,183.269975
2010,11,12,2.01650036,216.600925
2010,11,13,4.24897613,264.3064875
2010,11,14,3.99038312,261.3042625
2010,11,15,5.64804037,273.4412125
2010,11,16,3.67273725,265.42175
2010,11,17,2.46439662,246.365525
2010,11,18,2.08278812,238.2358875
2010,11,19,2.63302138,245.799675
2010,11,20,7.21710312,270.082825
2010,11,21,1.84956788,206.4681625
2010,11,22,1.31151422,194.538675
2010,11,23,1.42030462,199.5599125
2010,11,24,3.52550612,243.8405125
2010,11,25,1.33289999,183.4145625
2010,11,26,1.59070175,214.8756375
2010,11,27,1.18816612,185.0884875
2010,11,28,1.16543829,171.902975
2010,11,29,1.33223985,188.5119375
2010,11,30,3.16234788,250.742225
2011,11,1,3.65840737,256.8033375
2011,11,2,1.62072362,218.88675
2011,11,3,3.2976075,252.7814875
2011,11,4,4.231025,259.72025
2011,11,5,5.51086238,260.7977375
2011,11,6,3.99949,255.941775
2011,11,7,2.925249,246.3966
2011,11,8,1.42500988,199.8270125
2011,11,9,1.2076096,188.529375
2011,11,10,1.523583,198.99075
2011,11,11,9.44147712,268.283025
2011,11,12,8.74548625,269.5383875
2011,11,13,7.81400338,268.9949375
2011,11,14,7.5277345,272.92835
2011,11,15,4.4637835,265.4974625
2011,11,16,3.45177138,259.48395
2011,11,17,2.5920985,252.679275
2011,11,18,3.16505112,250.5692625
2011,11,19,1.58237162,209.98095
2011,11,20,4.98839687,264.9018375
2011,11,21,4.69371988,241.0892625
2011,11,22,2.21223188,239.5740625
2011,11,23,1.4302705,206.0420875
2011,11,24,2.64206037,243.0110875
2011,11,25,2.83136438,250.8974625
