####################################################################################################
# Month: 02Feb                                                                                     #
# Station: SGO                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,02,1,0.31964256,76.0022225
2009,02,2,0.37688599,84.199365
2009,02,3,0.49486996,106.02185375
2009,02,4,0.39472538,86.19636875
2009,02,5,0.37938079,87.548215
2009,02,6,0.22373538,58.1924625
2009,02,7,0.3466895,82.128
2009,02,8,0.38636248,87.50012375
2009,02,9,1.45350974,203.651725
2009,02,10,1.02905419,170.45435
2009,02,11,0.51107411,108.9568425
2009,02,12,0.31791839,78.47288
2009,02,13,0.42346086,95.99158625
2009,02,14,0.90794359,157.873
2009,02,15,0.82169314,149.128875
2009,02,16,0.63247801,124.92738375
2009,02,17,0.94763668,162.3795
2009,02,18,1.19101075,181.21405
2009,02,19,1.18872378,182.2086375
2009,02,20,1.10240034,178.8887375
2009,02,21,0.5494633,116.0112125
2009,02,22,0.25303007,63.3069425
2009,02,23,0.3877273,89.26113125
2009,02,24,0.83609122,150.0363
2009,02,25,0.91024228,155.21075
2009,02,26,1.15511552,179.590475
2009,02,27,1.29757565,192.309925
2009,02,28,1.36430768,196.5475875
2010,02,1,0.39352391,91.69687625
2010,02,2,0.37845731,87.9083675
2010,02,3,0.4286488,95.9254125
2010,02,4,0.42045984,92.69932875
2010,02,5,0.57286501,118.963725
2010,02,6,0.51179249,109.23087875
2010,02,7,0.4445063,97.9009925
2010,02,8,0.41130876,93.1320575
2010,02,9,0.46342574,101.07627
2010,02,10,1.00313832,171.8447875
2010,02,11,0.55146181,117.23644625
2010,02,12,1.21126216,191.575525
2010,02,13,0.66717895,130.8879125
2010,02,14,0.44113946,97.8550925
2010,02,15,0.4529478,99.5626225
2010,02,16,0.44987219,98.55895
2010,02,17,0.65365619,129.8365875
2010,02,18,0.60444484,124.2147125
2010,02,19,0.41676256,94.73285625
2010,02,20,0.4040396,92.88586625
2010,02,21,0.46906849,104.51726625
2010,02,22,0.41259259,94.82486875
2010,02,23,0.31510701,77.11609375
2010,02,24,0.5618518,117.12506
2010,02,25,0.91837021,162.915425
2010,02,26,0.3393717,78.7680325
2010,02,27,0.52848824,107.23533125
2010,02,28,1.20436761,186.4250125
2011,02,1,0.30550727,75.53692125
2011,02,2,0.20993685,56.431835
2011,02,3,0.16403057,45.3682075
2011,02,4,0.48516171,108.14054
