####################################################################################################
# Month: 07Jul                                                                                     #
# Station: SGO                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,07,1,0,0.07772651,23.51466
2009,07,1,1,0.06605769,20.70795
2009,07,1,2,0.0602318,19.25214
2009,07,1,3,0.06048537,19.12621
2009,07,1,4,0.08836262,25.35083
2009,07,1,5,0.07310552,22.1684
2009,07,1,6,0.06885381,21.24836
2009,07,1,7,0.1340486,35.79258
2009,07,2,0,0.1680585,43.43773
2009,07,2,1,0.2229438,54.86615
2009,07,2,2,0.1993411,50.16263
2009,07,2,3,0.212675,52.95419
2009,07,2,4,0.1698225,44.33754
2009,07,2,5,0.1315336,36.17967
2009,07,2,6,0.134627,36.7257
2009,07,2,7,0.1664835,43.47921
2009,07,3,0,0.1961474,49.64507
2009,07,3,1,0.1975811,49.91531
2009,07,3,2,0.1849688,47.28065
2009,07,3,3,0.1330059,36.17286
2009,07,3,4,0.1555034,40.78581
2009,07,3,5,0.1029733,29.55226
2009,07,3,6,0.1088249,30.63532
2009,07,3,7,0.08264893,24.66613
2009,07,4,0,0.0984917,28.26175
2009,07,4,1,0.1385027,37.24358
2009,07,4,2,0.1261017,34.04941
2009,07,4,3,0.131402,35.55005
2009,07,4,4,0.1601909,41.6633
2009,07,4,5,0.1912663,48.32388
2009,07,4,6,0.2158639,53.30906
2009,07,4,7,0.1921618,48.22425
2009,07,5,0,0.1654056,43.01196
2009,07,5,1,0.1490041,39.8448
2009,07,5,2,0.09590117,27.88095
2009,07,5,3,0.1032859,29.29374
2009,07,5,4,0.1115204,31.1693
2009,07,5,5,0.1123169,31.38885
2009,07,5,6,0.1318457,35.84764
2009,07,5,7,0.1976069,49.63072
2009,07,6,0,0.252871,60.69132
2009,07,6,1,0.2473376,60.41924
2009,07,6,2,0.09712805,28.52326
2009,07,6,3,0.04006855,14.47756
2009,07,6,4,0.05073916,17.12427
2009,07,6,5,0.04920132,16.79363
2009,07,6,6,0.04248725,15.16373
2009,07,6,7,0.05002188,16.96516
2009,07,7,0,0.0475159,16.4317
2009,07,7,1,0.0300616,11.96971
2009,07,7,2,0.03077294,12.01531
2009,07,7,3,0.03997695,14.32501
2009,07,7,4,0.05661088,18.42433
2009,07,7,5,0.06397986,20.08627
2009,07,7,6,0.06081734,19.38228
2009,07,7,7,0.06021951,19.16208
2009,07,8,0,0.08690959,25.25878
2009,07,8,1,0.08091871,24.04085
2009,07,8,2,0.04431107,15.62246
2009,07,8,3,0.02901893,11.67781
2009,07,8,4,0.0305434,12.1064
2009,07,8,5,0.02581381,10.85322
2009,07,8,6,0.02905632,11.684
2009,07,8,7,0.03197965,12.42401
2009,07,9,0,0.03564918,13.4068
2009,07,9,1,0.03377999,12.95591
2009,07,9,2,0.03422499,13.08691
2009,07,9,3,0.03868939,14.25084
2009,07,9,4,0.03841337,14.16881
2009,07,9,5,0.05074304,17.15371
2009,07,9,6,0.07330779,22.42494
2009,07,9,7,0.08233593,24.34985
2009,07,10,0,0.1611988,41.4468
2009,07,10,1,0.2475984,59.46678
2009,07,10,2,0.111101,31.36366
2009,07,10,3,0.04096221,14.75564
2009,07,10,4,0.02162106,9.743422
2009,07,10,5,0.02706087,11.20819
2009,07,10,6,0.03637685,13.62543
2009,07,10,7,0.05311395,17.75589
2009,07,11,0,0.08298805,25.22743
2009,07,11,1,0.07734704,23.88614
2009,07,11,2,0.08370953,25.42567
2009,07,11,3,0.107132,30.89305
2009,07,11,4,0.1256878,35.31766
2009,07,11,5,0.1175026,33.52345
2009,07,11,6,0.1100073,31.77092
2009,07,11,7,0.1082766,31.35212
2009,07,12,0,0.1114293,32.03268
2009,07,12,1,0.123797,34.71708
2009,07,12,2,0.1264797,35.26111
2009,07,12,3,0.1224932,34.37689
2009,07,12,4,0.1259329,34.94282
2009,07,12,5,0.1406433,37.8289
2009,07,12,6,0.1742408,44.8784
2009,07,12,7,0.2302553,56.15628
2009,07,13,0,0.1799662,45.93906
2009,07,13,1,0.08612409,25.68779
2009,07,13,2,0.03345054,12.9481
2009,07,13,3,0.02465135,10.62285
2009,07,13,4,0.02956472,11.94714
2009,07,13,5,0.03623968,13.71534
2009,07,13,6,0.03611788,13.72025
2009,07,13,7,0.03117248,12.46224
2009,07,14,0,0.02979877,12.09846
2009,07,14,1,0.04038429,14.76205
2009,07,14,2,0.09084759,26.79263
2009,07,14,3,0.1362304,37.4788
2009,07,14,4,0.17246,45.60343
2009,07,14,5,0.267162,63.97587
2009,07,14,6,0.2541942,61.22599
2009,07,14,7,0.2674093,63.90778
2009,07,15,0,0.2869612,67.64612
2009,07,15,1,0.2643977,63.24642
2009,07,15,2,0.1706973,44.13805
2009,07,15,3,0.1234569,34.03079
2009,07,15,4,0.1164514,32.64959
2009,07,15,5,0.1040544,29.85824
2009,07,15,6,0.08362648,25.12924
2009,07,15,7,0.07048036,22.02087
2009,07,16,0,0.06466828,20.62059
2009,07,16,1,0.0591705,19.32298
2009,07,16,2,0.05103883,17.37131
2009,07,16,3,0.0387464,14.2913
2009,07,16,4,0.03736727,13.95964
2009,07,16,5,0.0401895,14.65121
2009,07,16,6,0.04516868,15.80892
2009,07,16,7,0.04153102,15.01954
2009,07,17,0,0.03908021,14.29857
2009,07,17,1,0.04329167,15.31278
2009,07,17,2,0.04704294,16.24702
2009,07,17,3,0.05545582,18.23283
2009,07,17,4,0.0573555,18.67006
2009,07,17,5,0.06898403,21.5206
2009,07,17,6,0.07541095,23.06625
2009,07,17,7,0.05775828,18.92578
2009,07,18,0,0.04221759,15.25791
2009,07,18,1,0.03633705,13.79449
2009,07,18,2,0.03425429,13.23444
2009,07,18,3,0.03532001,13.43938
2009,07,18,4,0.0319124,12.502
2009,07,18,5,0.03076637,12.20726
2009,07,18,6,0.03765223,13.99841
2009,07,18,7,0.03813659,14.14011
2009,07,19,0,0.02723067,11.32862
2009,07,19,1,0.02414232,10.47646
2009,07,19,2,0.02388721,10.31199
2009,07,19,3,0.02710982,11.08948
2009,07,19,4,0.0379837,13.78467
2009,07,19,5,0.07639844,22.83969
2009,07,19,6,0.1418682,37.43649
2009,07,19,7,0.1632511,42.21835
2009,07,20,0,0.1514156,39.79298
2009,07,20,1,0.2153241,53.13794
2009,07,20,2,0.2620541,62.30423
2009,07,20,3,0.1645535,42.80768
2009,07,20,4,0.1831549,46.67315
2009,07,20,5,0.2018549,50.44612
2009,07,20,6,0.1375617,36.83374
2009,07,20,7,0.1226566,33.51384
2009,07,21,0,0.1192627,32.77311
2009,07,21,1,0.1314251,35.36647
2009,07,21,2,0.1580344,40.93763
2009,07,21,3,0.1282902,34.64346
2009,07,21,4,0.1192186,32.53998
2009,07,21,5,0.2094458,51.71185
2009,07,21,6,0.2654145,62.49391
2009,07,21,7,0.1928457,48.41812
2009,07,22,0,0.1263116,34.40555
2009,07,22,1,0.06592615,20.65297
2009,07,22,2,0.0412338,14.66253
2009,07,22,3,0.02886754,11.5395
2009,07,22,4,0.03815148,13.88444
2009,07,22,5,0.03033443,11.90409
2009,07,22,6,0.03138243,12.16695
2009,07,22,7,0.02927126,11.63598
2009,07,23,0,0.028557,11.41917
2009,07,23,1,0.03018779,11.83072
2009,07,23,2,0.02592739,10.74546
2009,07,23,3,0.02146011,9.640861
2009,07,23,4,0.02448008,10.40034
2009,07,23,5,0.03729262,13.62475
2009,07,23,6,0.04916919,16.54368
2009,07,23,7,0.06440017,20.34921
2009,07,24,0,0.0491588,16.69811
2009,07,24,1,0.04417867,15.4537
2009,07,24,2,0.03639882,13.55798
2009,07,24,3,0.03974095,14.39154
2009,07,24,4,0.05192222,17.40368
2009,07,24,5,0.05657805,18.48035
2009,07,24,6,0.06707781,20.94014
2009,07,24,7,0.07925051,23.92227
2009,07,25,0,0.07629343,23.33737
2009,07,25,1,0.05928226,19.27091
2009,07,25,2,0.04626944,16.0834
2009,07,25,3,0.06137068,19.62043
2009,07,25,4,0.1064028,29.96347
2009,07,25,5,0.1422786,37.82736
2009,07,25,6,0.1369448,36.71985
2009,07,25,7,0.1144701,31.97081
2009,07,26,0,0.04271518,15.2235
2009,07,26,1,0.02499066,10.59682
2009,07,26,2,0.02549256,10.71358
2009,07,26,3,0.03242371,12.48909
2009,07,26,4,0.04046411,14.49172
2009,07,26,5,0.05660505,18.48245
2009,07,26,6,0.06993282,21.71697
2009,07,26,7,0.07093949,21.98349
2009,07,27,0,0.08156673,24.4176
2009,07,27,1,0.1052295,29.66351
2009,07,27,2,0.1051204,29.54137
2009,07,27,3,0.1041841,29.23746
2009,07,27,4,0.09742802,27.75029
2009,07,27,5,0.1134269,31.29797
2009,07,27,6,0.1109103,30.7139
2009,07,27,7,0.1140578,31.33736
2009,07,28,0,0.1379043,36.51832
2009,07,28,1,0.1285786,34.73662
2009,07,28,2,0.1063207,30.12353
2009,07,28,3,0.05720834,18.83912
2009,07,28,4,0.04263509,15.18256
2009,07,28,5,0.03902303,14.27943
2009,07,28,6,0.03637463,13.61408
2009,07,28,7,0.03509953,13.25144
2009,07,29,0,0.03048635,12.05008
2009,07,29,1,0.02620567,10.9214
2009,07,29,2,0.02835925,11.4407
2009,07,29,3,0.0306025,12.01536
2009,07,29,4,0.03665705,13.54224
2009,07,29,5,0.04017197,14.43207
2009,07,29,6,0.06553096,20.659
2009,07,29,7,0.09174531,26.85148
2009,07,30,0,0.1167176,32.63276
2009,07,30,1,0.1029338,29.64271
2009,07,30,2,0.105954,30.27211
2009,07,30,3,0.0877994,25.92561
2009,07,30,4,0.07764211,23.54627
2009,07,30,5,0.08931126,26.23871
2009,07,30,6,0.09333954,27.13467
2009,07,30,7,0.08839109,26.09644
2009,07,31,0,0.08920392,26.05149
2009,07,31,1,0.09381561,26.93074
2009,07,31,2,0.1428224,37.67774
2009,07,31,3,0.1825707,46.72102
2009,07,31,4,0.05058768,17.14427
2009,07,31,5,0.06331403,20.11771
2009,07,31,6,0.1064799,30.15019
2009,07,31,7,0.09371647,27.00937
2010,07,1,0,0.04751263,16.26595
2010,07,1,1,0.0386056,14.12571
2010,07,1,2,0.03447333,13.23246
2010,07,1,3,0.03606447,13.67977
2010,07,1,4,0.03692662,13.88774
2010,07,1,5,0.04235238,15.27891
2010,07,1,6,0.04995287,17.16447
2010,07,1,7,0.06168757,19.96785
2010,07,2,0,0.06535979,20.76312
2010,07,2,1,0.06043575,19.47336
2010,07,2,2,0.06927267,21.57239
2010,07,2,3,0.07816707,23.65919
2010,07,2,4,0.07056571,21.82773
2010,07,2,5,0.06669957,20.94254
2010,07,2,6,0.07208231,22.25669
2010,07,2,7,0.08757017,25.91885
2010,07,3,0,0.08026822,24.24387
2010,07,3,1,0.07075423,22.02259
2010,07,3,2,0.06892499,21.60962
2010,07,3,3,0.06566754,20.82915
2010,07,3,4,0.06179894,19.8756
2010,07,3,5,0.04997473,17.05229
2010,07,3,6,0.04381106,15.53889
2010,07,3,7,0.04445904,15.72605
2010,07,4,0,0.0433624,15.51223
2010,07,4,1,0.03910193,14.43954
2010,07,4,2,0.03868972,14.33696
2010,07,4,3,0.03553004,13.53121
2010,07,4,4,0.03446148,13.26286
2010,07,4,5,0.03082716,12.31225
2010,07,4,6,0.04231501,15.23053
2010,07,4,7,0.07443787,23.07415
2010,07,5,0,0.06511566,20.82707
2010,07,5,1,0.05393787,18.03849
2010,07,5,2,0.04193284,14.9971
2010,07,5,3,0.03759056,13.8293
2010,07,5,4,0.03015206,11.90038
2010,07,5,5,0.03778355,13.82719
2010,07,5,6,0.06323098,19.78078
2010,07,5,7,0.1103205,30.49687
2010,07,6,0,0.1672208,42.83756
2010,07,6,1,0.1681751,43.14961
2010,07,6,2,0.1597198,41.26669
2010,07,6,3,0.2231302,54.36861
2010,07,6,4,0.1512487,39.93717
2010,07,6,5,0.2376516,57.27377
2010,07,6,6,0.1749552,44.66443
2010,07,6,7,0.2234203,54.17789
2010,07,7,0,0.1676362,42.85438
2010,07,7,1,0.07723268,23.31662
2010,07,7,2,0.04483618,15.5483
2010,07,7,3,0.0887559,25.99684
2010,07,7,4,0.129055,35.23703
2010,07,7,5,0.1397218,37.63707
2010,07,7,6,0.1258388,34.85694
2010,07,7,7,0.1175197,32.97457
2010,07,8,0,0.1072152,30.65674
2010,07,8,1,0.1129096,31.92206
2010,07,8,2,0.1530244,40.67597
2010,07,8,3,0.1381603,37.61457
2010,07,8,4,0.09175144,27.24159
2010,07,8,5,0.08159253,24.7528
2010,07,8,6,0.108885,30.99665
2010,07,8,7,0.1129661,31.90855
2010,07,9,0,0.102655,29.57954
2010,07,9,1,0.1032268,29.65739
2010,07,9,2,0.1001923,29.00401
2010,07,9,3,0.07957827,24.19067
2010,07,9,4,0.06020091,19.49508
2010,07,9,5,0.06107253,19.62342
2010,07,9,6,0.08072925,24.37039
2010,07,9,7,0.09441863,27.79422
2010,07,10,0,0.06734009,21.316
2010,07,10,1,0.04933111,16.84645
2010,07,10,2,0.04235595,15.0669
2010,07,10,3,0.03774009,13.88637
2010,07,10,4,0.03842991,13.99409
2010,07,10,5,0.03786711,13.84649
2010,07,10,6,0.04355547,15.25196
2010,07,10,7,0.04211896,14.93037
2010,07,11,0,0.04223295,14.96766
2010,07,11,1,0.04784483,16.28849
2010,07,11,2,0.06354199,20.10056
2010,07,11,3,0.1087841,30.4244
2010,07,11,4,0.2280157,55.49392
2010,07,11,5,0.06795135,21.2663
2010,07,11,6,0.03194569,12.40283
2010,07,11,7,0.02712561,11.09418
2010,07,12,0,0.02711793,11.09049
2010,07,12,1,0.02545395,10.63825
2010,07,12,2,0.0217274,9.667411
2010,07,12,3,0.01703207,8.448616
2010,07,12,4,0.02178723,9.746151
2010,07,12,5,0.02539033,10.70545
2010,07,12,6,0.02797404,11.37548
2010,07,12,7,0.0276534,11.31528
2010,07,13,0,0.03018583,11.96507
2010,07,13,1,0.03388835,12.85582
2010,07,13,2,0.03778958,13.83902
2010,07,13,3,0.04009437,14.41485
2010,07,13,4,0.05771637,18.78556
2010,07,13,5,0.06364893,20.22159
2010,07,13,6,0.05603577,18.34508
2010,07,13,7,0.03375847,12.87642
2010,07,14,0,0.02249567,9.942302
2010,07,14,1,0.0205304,9.393256
2010,07,14,2,0.02208651,9.748024
2010,07,14,3,0.04054002,14.36724
2010,07,14,4,0.06376548,20.00341
2010,07,14,5,0.03739993,13.74664
2010,07,14,6,0.03511757,13.02139
2010,07,14,7,0.04281428,14.82851
2010,07,15,0,0.04128748,14.53474
2010,07,15,1,0.04020095,14.29735
2010,07,15,2,0.0442434,15.26402
2010,07,15,3,0.04701025,15.95117
2010,07,15,4,0.05152426,17.06198
