####################################################################################################
# Month: 03Mar                                                                                     #
# Station: SMA                                                                                     #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,03,1,0.41766714,92.82604625
2009,03,2,0.38719164,88.23625375
2009,03,3,2.03227972,193.7266375
2009,03,4,6.90809188,264.6947875
2009,03,5,8.0981785,266.7792625
2009,03,6,8.20965762,266.80505
2009,03,7,8.905104,267.6681
2009,03,8,9.22844825,268.014075
2009,03,9,8.064347,265.6924875
2009,03,10,3.24347175,250.34415
2009,03,11,1.07613921,154.4478325
2009,03,12,0.68513995,134.7837375
2009,03,13,0.6698161,131.72165
2009,03,14,0.56635146,119.111075
2009,03,15,0.49869281,108.24230125
2009,03,16,1.11915708,173.5835625
2009,03,17,4.53735425,249.00645
2009,03,18,6.03177962,259.5988
2009,03,19,6.04445212,260.9252875
2009,03,20,4.07243988,242.3313375
2009,03,21,1.23212424,184.7816
2009,03,22,1.06026976,170.4876875
2009,03,23,0.6837101,131.220375
2009,03,24,0.55584315,116.8541625
2009,03,25,0.59682941,124.018875
2009,03,26,0.60274158,125.1617625
2009,03,27,0.60679961,123.1005125
2009,03,28,1.10572422,169.6045375
2009,03,29,2.14995175,227.1091125
2009,03,30,1.13645031,173.7159
2009,03,31,1.13067981,169.0599375
2010,03,1,0.98572078,162.30815
2010,03,2,0.36448431,86.62508
2010,03,3,0.43444809,96.9418825
2010,03,4,0.96730575,162.5320625
2010,03,5,1.06151182,172.492125
2010,03,6,0.79375661,144.818275
2010,03,7,0.6570903,130.429075
2010,03,8,0.32535002,80.446735
2010,03,9,0.342792,83.00745375
2010,03,10,0.24205402,66.67961625
2010,03,11,0.27317425,71.856305
2010,03,12,0.44135936,99.70719
2010,03,13,0.42586162,95.6977725
2010,03,14,3.00836,241.7947375
2010,03,15,0.71831578,136.67899
2010,03,16,0.62544278,121.47215
2010,03,17,1.23347855,187.3517125
2010,03,18,0.53759029,113.85483125
2010,03,19,1.14556239,174.4952875
2010,03,20,1.07603618,168.3921925
2010,03,21,0.59678809,121.43104875
2010,03,22,1.84669155,200.78865
2010,03,23,6.44867612,265.8739375
2010,03,24,4.06024475,248.774
2010,03,25,1.40529162,202.589175
2010,03,26,1.28921799,190.2688625
2010,03,27,0.35978176,86.74104625
2010,03,28,0.79511695,149.8721625
2010,03,29,0.66305434,134.4782625
2010,03,30,0.86116485,156.0375
2010,03,31,1.05467253,172.5917875
2011,03,1,4.2588745,265.1938625
2011,03,2,3.30288812,256.4566
2011,03,3,2.7232475,247.1624875
2011,03,4,3.44210112,252.89105
2011,03,5,7.70413412,266.80065
2011,03,6,7.84157138,265.7821875
2011,03,7,3.79472938,255.3240875
2011,03,8,4.85397588,264.8682375
2011,03,9,2.77169412,246.04695
2011,03,10,3.869636,258.434825
2011,03,11,1.63325624,200.9676
2011,03,12,1.9626845,228.340675
2011,03,13,2.73089325,249.5183375
2011,03,14,1.85458738,225.7388375
2011,03,15,1.13903367,184.22765
2011,03,16,0.79881178,151.6042
2011,03,17,0.66611043,133.307225
2011,03,18,0.84241019,149.7263125
2011,03,19,1.9080625,223.0718
2011,03,20,0.95068455,156.365975
2011,03,21,1.17170778,180.8842
2011,03,22,1.704075,216.2173875
2011,03,23,2.2194805,236.88155
2011,03,24,1.64188242,208.7005625
2011,03,25,1.08856769,170.113875
2011,03,26,1.68981338,209.1205875
2011,03,27,4.25777762,250.847275
2011,03,28,4.69528925,261.4686875
2011,03,29,2.23157305,212.1031875
2011,03,30,0.42300744,98.2152675
2011,03,31,0.80401351,142.28554625
2012,03,1,3.29242975,250.4298
2012,03,2,2.02092438,225.6739625
2012,03,3,3.33893612,248.4526125
2012,03,4,6.2123095,262.981725
2012,03,5,4.25232188,259.2103
2012,03,6,5.02497138,249.58295
2012,03,7,6.60973012,264.7917625
2012,03,8,5.73385312,265.0167625
2012,03,9,4.81834025,262.3832625
2012,03,10,4.46996162,262.1176375
2012,03,11,3.59802425,258.46795
2012,03,12,3.7671015,258.9243125
2012,03,13,2.47635925,238.0249
2012,03,14,0.87258722,150.717575
2012,03,15,0.76064168,141.8475125
2012,03,16,0.53924078,118.1846
2012,03,17,0.42370109,99.53483375
2012,03,18,0.37767528,90.79037875
2012,03,19,0.67981499,134.41075
2012,03,20,0.50194506,110.70395125
2012,03,21,0.83594168,146.608675
2012,03,22,2.16919138,227.3553625
2012,03,23,3.21922988,252.3629625
2012,03,24,4.17944525,259.634125
2012,03,25,5.60292312,264.3081125
2012,03,26,2.70229775,227.4951875
2012,03,27,1.62307988,210.2301
2012,03,28,1.57605512,211.99825
2012,03,29,0.93780826,158.7358375
2012,03,30,0.77308142,145.012325
2012,03,31,0.92579596,164.0270125
2013,03,1,1.21487871,184.1773625
2013,03,2,0.70118295,125.13453125
2013,03,3,0.58508846,118.57387625
2013,03,4,1.25948955,176.633675
2013,03,5,2.00708587,222.45015
2013,03,6,0.87503069,154.7106625
2013,03,7,0.46146438,103.02390625
2013,03,8,0.68026611,132.3263125
2013,03,9,0.47791685,106.25692
2013,03,10,1.07856854,176.0228375
2013,03,11,1.60477725,212.748075
2013,03,12,4.00576355,234.5812
2013,03,13,2.60567728,201.2324875
2013,03,14,1.49297762,200.953375
2013,03,15,3.5452615,253.5143625
2013,03,16,6.0753175,264.203325
2013,03,17,6.03257762,264.8282625
2013,03,18,1.33052664,163.630825
2013,03,19,1.24671306,174.438025
2013,03,20,2.05814962,230.1788
2013,03,21,2.05297512,226.253475
2013,03,22,2.50620637,237.4995
2013,03,23,3.2411305,247.7670625
2013,03,24,6.85042325,265.4008625
2013,03,25,3.69127738,241.2217625
2013,03,26,2.162992,232.9013875
2013,03,27,3.59966088,252.8793125
2013,03,28,2.60400421,219.2375375
2013,03,29,0.52870022,114.7884625
2013,03,30,2.38928142,229.7320875
2013,03,31,2.01139555,198.388975
2014,03,1,0.44290226,100.9565125
2014,03,2,5.14525688,252.9263375
2014,03,3,9.19391138,267.4584125
2014,03,4,3.55647362,226.045825
2014,03,5,1.00906948,164.2196875
2014,03,6,4.3685695,256.6832125
2014,03,7,5.28528662,266.8322375
2014,03,8,8.21207213,269.3808625
2014,03,9,5.04857113,248.6500625
2014,03,10,2.6872585,245.6581375
2014,03,11,3.1328305,253.1698875
2014,03,12,1.21950594,186.3795375
2014,03,13,0.75530542,146.12475
2014,03,14,0.44295545,102.10483875
2014,03,15,0.92718029,146.461935
2014,03,16,1.23804401,173.0289375
2014,03,17,0.7337473,136.6106875
2014,03,18,1.12689875,174.5511875
2014,03,19,1.02584855,172.674375
2014,03,20,1.11900912,181.249925
2014,03,21,1.82571262,222.6004625
2014,03,22,2.30776762,236.1639
2014,03,23,2.411149,232.8379
2014,03,24,1.15776414,177.032975
2014,03,25,1.41184552,190.324525
2014,03,26,0.66620519,130.60918875
2014,03,27,0.67008488,132.3601875
2014,03,28,2.29838768,214.1226625
2014,03,29,5.82711125,264.1717
2014,03,30,6.417275,263.698975
2014,03,31,5.14230737,263.662275
2015,03,1,6.15619925,264.2036875
2015,03,2,3.63738012,250.981825
2015,03,3,3.02467837,247.9647875
2015,03,4,8.81809888,267.4851375
2015,03,5,6.78731562,264.2884
2015,03,6,2.75536162,243.551275
2015,03,7,3.41409887,253.988525
2015,03,8,8.47286612,267.9491375
2015,03,9,10.763726,269.3764125
2015,03,10,7.45380038,268.2829625
2015,03,11,8.26972612,268.3105875
2015,03,12,10.17648212,267.613075
2015,03,13,4.01503026,214.83595875
2015,03,14,0.60985212,122.04465375
2015,03,15,0.66015507,128.2696325
2015,03,16,2.790599,246.5438875
2015,03,17,1.79670112,222.063825
2015,03,18,0.9388161,163.6650375
2015,03,19,1.54729225,212.0178625
2015,03,20,2.21575062,232.2081125
2015,03,21,4.04575412,262.744825
2015,03,22,3.34763288,259.4357375
2015,03,23,3.011251,252.060125
2015,03,24,2.2839765,239.0875375
2015,03,25,1.31092982,190.655775
2015,03,26,1.34106825,194.6122
2015,03,27,1.56515788,208.75595
2015,03,28,0.87056611,156.5083375
2015,03,29,0.90271394,158.4226625
2015,03,30,0.87462755,155.8356
2015,03,31,0.9344705,162.2457625
2016,03,1,0.70041147,140.0011
2016,03,2,1.11255879,183.2512375
2016,03,3,0.99948837,171.403725
2016,03,4,0.72992342,142.439475
2016,03,5,0.53343789,115.966975
2016,03,6,0.53369806,115.299375
2016,03,7,0.66114356,131.75055
2016,03,8,0.61981615,128.01055
2016,03,9,1.02345426,169.1001
2016,03,10,1.28730301,193.9655375
2016,03,11,1.89527638,227.3517125
2016,03,12,1.718579,219.8253
2016,03,13,1.76277338,219.7940875
2016,03,14,3.37923338,254.4250875
2016,03,15,2.28342075,231.987525
2016,03,16,1.60199072,209.96945
2016,03,17,0.51805276,113.57313375
2016,03,18,1.02611256,166.188475
2016,03,19,0.5306324,115.570525
2016,03,20,0.61890191,128.4166
2016,03,21,0.88900162,148.3111375
2016,03,22,2.293693,235.225825
2016,03,23,2.98785625,248.095
2016,03,24,2.61405262,235.5456625
2016,03,25,2.22416975,237.042825
2016,03,26,4.42630425,258.30965
2016,03,27,0.8130177,144.01802125
2016,03,28,1.04400326,172.7385875
2016,03,29,1.02133141,173.1588875
2016,03,30,1.340905,197.4230125
2016,03,31,1.02797699,171.7289
2017,03,1,8.736687,267.534025
2017,03,2,5.0640235,258.5846
2017,03,3,2.1586335,230.537875
2017,03,4,1.47053564,201.8897875
2017,03,5,2.66718238,244.691
2017,03,6,1.82316925,217.2125625
2017,03,7,3.1622945,254.121075
2017,03,8,5.397926,262.5928625
2017,03,9,5.45144812,262.2961
2017,03,10,4.17661488,250.6106625
2017,03,11,2.601669,239.06595
2017,03,12,4.27643388,262.5486375
2017,03,13,3.74675513,260.9246625
2017,03,14,2.89517062,250.397075
2017,03,15,2.20483838,237.6329875
2017,03,16,2.41302525,239.590775
2017,03,17,1.277577,195.3157125
2017,03,18,2.36562525,233.6280625
2017,03,19,2.586116,246.6212125
2017,03,20,1.54821225,210.01695
2017,03,21,1.41279737,203.7633375
2017,03,22,1.255566,192.438175
2017,03,23,1.48068638,205.2340125
2017,03,24,1.48406469,201.3597875
2017,03,25,0.75384341,144.7316625
2017,03,26,0.92352266,161.8842375
