####################################################################################################
# Month: 03Mar                                                                                     #
# Station: /n/holyscratch01/doeleman_lab/freemanmd/am_output/SMT                                   #
# Columns are: year    month   day     Pbase (mbar)                                                #
####################################################################################################
year,month,day,Pbase
2009,03,1,642.87145906
2009,03,2,642.39994771
2009,03,3,641.08496885
2009,03,4,639.87434281
2009,03,5,639.45531646
2009,03,6,639.58505156
2009,03,7,638.97275927
2009,03,8,637.6749876
2009,03,9,637.0078726
2009,03,10,637.67315531
2009,03,11,638.95340896
2009,03,12,642.20880031
2009,03,13,642.72682062
2009,03,14,641.52799125
2009,03,15,640.50752948
2009,03,16,640.16788542
2009,03,17,638.26033906
2009,03,18,638.93786062
2009,03,19,639.57387219
2009,03,20,639.61765427
2009,03,21,638.31403385
2009,03,22,638.72249635
2009,03,23,641.19198688
2009,03,24,642.22965135
2009,03,25,642.54421135
2009,03,26,641.23498896
2009,03,27,640.66236656
2009,03,28,640.81923062
2009,03,29,641.12860943
2009,03,30,642.40086716
2009,03,31,640.7727025
2010,03,1,636.73172604
2010,03,2,638.89481042
2010,03,3,639.9471299
2010,03,4,642.25961573
2010,03,5,644.02811115
2010,03,6,642.46532406
2010,03,7,642.24753646
2010,03,8,641.72732802
2010,03,9,640.99463042
2010,03,10,639.85026656
2010,03,11,638.1038151
2010,03,12,637.1958349
2010,03,13,637.06375781
2010,03,14,636.76560833
2010,03,15,636.5269399
2010,03,16,635.5623274
2010,03,17,635.62453688
2010,03,18,636.14248333
2010,03,19,636.17478844
2010,03,20,635.33918646
2010,03,21,636.26724604
2010,03,22,638.68377625
2010,03,23,638.04502719
2010,03,24,638.26960187
2010,03,25,639.07419125
2010,03,26,639.14345729
2010,03,27,637.95387208
2010,03,28,638.49298979
2010,03,29,636.73319193
2010,03,30,634.78966716
2010,03,31,634.76655304
2011,03,1,644.19960854
2011,03,2,644.12553781
2011,03,3,644.66161875
2011,03,4,643.48756406
2011,03,5,642.51392417
2011,03,6,640.2860526
2011,03,7,640.34695771
2011,03,8,641.51294958
2011,03,9,642.3516849
2011,03,10,642.8755251
2011,03,11,641.25242917
2011,03,12,640.06457125
2011,03,13,641.18109323
2011,03,14,641.54581417
2011,03,15,643.09357677
2011,03,16,643.00411615
2011,03,17,640.11415042
2011,03,18,637.92893667
2011,03,19,639.71080125
2011,03,20,640.55420531
2011,03,21,640.47714021
2011,03,22,640.9450575
2011,03,23,640.35092729
2011,03,24,641.24699979
2011,03,25,643.25737365
2011,03,26,642.92295094
2011,03,27,641.65904
2011,03,28,643.61651979
2011,03,29,643.90817966
2011,03,30,644.78850216
2011,03,31,649.13112232
2012,03,1,640.05514885
2012,03,2,639.07325469
2012,03,3,638.72285031
2012,03,4,637.80509812
2012,03,5,636.43952458
2012,03,6,636.61147969
2012,03,7,638.85161052
2012,03,8,640.82205417
2012,03,9,640.95921792
2012,03,10,640.48473594
2012,03,11,638.75859083
2012,03,12,637.00049021
2012,03,13,636.71721625
2012,03,14,637.58196302
2012,03,15,638.30658667
2012,03,16,639.09415552
2012,03,17,639.13693344
2012,03,18,637.65823188
2012,03,19,636.88371271
2012,03,20,637.822395
2012,03,21,640.37276323
2012,03,22,641.36057927
2012,03,23,639.18744781
2012,03,24,639.45595396
2012,03,25,640.32001552
2012,03,26,641.49391312
2012,03,27,640.6971574
2012,03,28,639.17985281
2012,03,29,638.06452604
2012,03,30,638.93422659
2012,03,31,639.31807696
2013,03,1,639.88935875
2013,03,2,637.78559375
2013,03,3,637.58398083
2013,03,4,636.50387104
