####################################################################################################
# Month: 06Jun                                                                                     #
# Station: SMT                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2009,06,1,0.30867175
2009,06,2,0.35556325
2009,06,3,0.24297687
2009,06,4,0.28773075
2009,06,5,0.3632985
2009,06,6,0.48549575
2009,06,7,0.35124325
2009,06,8,0.42172088
2009,06,9,0.70192063
2009,06,10,0.63411375
2009,06,11,0.19408237
2009,06,12,0.24805675
2009,06,13,0.54490975
2009,06,14,0.80630525
2009,06,15,0.27677613
2009,06,16,0.25558212
2009,06,17,0.32639463
2009,06,18,0.4101305
2009,06,19,0.59164375
2009,06,20,0.72558975
2009,06,21,0.7474665
2009,06,22,0.53625075
2009,06,23,0.70165688
2009,06,24,0.80991738
2009,06,25,0.80146712
2009,06,26,0.8774285
2009,06,27,0.81836962
2009,06,28,0.81370275
2009,06,29,0.78115988
2009,06,30,0.62820162
2010,06,1,0.553156
2010,06,2,0.27838
2010,06,3,0.29352838
2010,06,4,0.26011063
2010,06,5,0.28288963
2010,06,6,0.3108125
2010,06,7,0.24063812
2010,06,8,0.09795338
2010,06,9,0.13398775
2010,06,10,0.22238825
2010,06,11,0.35124588
2010,06,12,0.38862088
2010,06,13,0.28907238
2010,06,14,0.27264813
2010,06,15,0.27397125
2010,06,16,0.17478763
2010,06,17,0.11386325
2010,06,18,0.10217888
2010,06,19,0.20058338
2010,06,20,0.36020787
2010,06,21,0.61289662
2010,06,22,0.3914445
2010,06,23,0.21984262
2010,06,24,0.61472225
2010,06,25,0.585561
2010,06,26,0.52433938
2010,06,27,0.501045
2010,06,28,0.41219338
2010,06,29,0.61673075
2010,06,30,0.71784975
2011,06,1,0.14703862
2011,06,2,0.18592788
2011,06,3,0.28346313
2011,06,4,0.28726738
2011,06,5,0.24652262
2011,06,6,0.26774525
2011,06,7,0.180968
2011,06,8,0.24360125
2011,06,9,0.12589288
2011,06,10,0.165609
2011,06,11,0.10486325
2011,06,12,0.08139687
2011,06,13,0.1020685
2011,06,14,0.11605563
2011,06,15,0.15210125
2011,06,16,0.18624738
2011,06,17,0.20995962
2011,06,18,0.33647788
2011,06,19,0.2675215
2011,06,20,0.252497
2011,06,21,0.18017675
2011,06,22,0.21250612
2011,06,23,0.16535362
2011,06,24,0.14420688
2011,06,25,0.27285088
2011,06,26,0.323393
2011,06,27,0.353865
2011,06,28,0.30644138
2011,06,29,0.44886538
2011,06,30,0.74497725
2012,06,1,0.19778963
2012,06,2,0.204812
2012,06,3,0.24440062
2012,06,4,0.142182
2012,06,5,0.15108363
2012,06,6,0.09972175
2012,06,7,0.13666775
2012,06,8,0.08586012
2012,06,9,0.0682745
2012,06,10,0.20768338
2012,06,11,0.26073862
2012,06,12,0.2394275
2012,06,13,0.21100962
2012,06,14,0.18360138
2012,06,15,0.256635
2012,06,16,0.32236437
2012,06,17,0.44104838
2012,06,18,0.27373625
2012,06,19,0.11944325
2012,06,20,0.07935162
2012,06,21,0.12737112
2012,06,22,0.21223538
2012,06,23,0.4466495
2012,06,24,0.43583962
2012,06,25,0.47482938
2012,06,26,0.520907
2012,06,27,0.617794
2012,06,28,0.49751888
2012,06,29,0.4331825
2012,06,30,0.38078525
2013,06,1,0.32132162
2013,06,2,0.30964737
2013,06,3,0.219431
2013,06,4,0.40290912
2013,06,5,0.23049675
2013,06,6,0.31154012
2013,06,7,0.39222212
2013,06,8,0.28177738
2013,06,9,0.24549688
2013,06,10,0.23238025
2013,06,11,0.27484088
2013,06,12,0.26023487
2013,06,13,0.289994
2013,06,14,0.329013
2013,06,15,0.46953512
2013,06,16,0.65160963
2013,06,17,0.4761475
2013,06,18,0.23564675
2013,06,19,0.159662
2013,06,20,0.17011138
2013,06,21,0.120334
2013,06,22,0.24700312
2013,06,23,0.17588462
2013,06,24,0.23214338
2013,06,25,0.124832
2013,06,26,0.13869075
2013,06,27,0.13043488
