####################################################################################################
# Month: 02Feb                                                                                     #
# Station: SPX                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,02,1,12.17661062
2009,02,2,10.46572838
2009,02,3,4.41796938
2009,02,4,8.90001688
2009,02,5,16.270806
2009,02,6,16.84701612
2009,02,7,8.97202413
2009,02,8,5.88906838
2009,02,9,17.02199638
2009,02,10,26.93397088
2009,02,11,14.64159138
2009,02,12,10.5869485
2009,02,13,14.52195512
2009,02,14,7.85728775
2009,02,15,14.61218788
2009,02,16,11.90989812
2009,02,17,20.37325075
2009,02,18,13.50239888
2009,02,19,12.79118125
2009,02,20,12.71944038
2009,02,21,18.4223525
2009,02,22,19.16123588
2009,02,23,16.1525695
2009,02,24,18.6459465
2009,02,25,13.95037825
2009,02,26,15.30269138
2009,02,27,18.53828012
2009,02,28,6.18316825
2010,02,1,12.48696762
2010,02,2,16.76365562
2010,02,3,20.97016775
2010,02,4,11.59555062
2010,02,5,7.57018962
2010,02,6,5.0088135
2010,02,7,10.68367538
2010,02,8,4.40706838
2010,02,9,8.04637725
2010,02,10,5.05799937
2010,02,11,6.20587312
2010,02,12,5.295335
2010,02,13,2.501408
2010,02,14,1.45637338
2010,02,15,8.31234512
2010,02,16,11.19425138
2010,02,17,12.056092
2010,02,18,12.72887125
2010,02,19,11.28105138
2010,02,20,9.3570575
2010,02,21,14.66274638
2010,02,22,16.76199237
2010,02,23,13.23390288
2010,02,24,9.082296
2010,02,25,15.73125075
2010,02,26,21.634498
2010,02,27,17.45559612
2010,02,28,26.80235837
2011,02,1,7.42883638
2011,02,2,12.24804425
2011,02,3,10.45589737
2011,02,4,12.61075475
2011,02,5,17.08454712
2011,02,6,13.563234
2011,02,7,13.35968038
2011,02,8,13.39965375
2011,02,9,8.28222875
2011,02,10,9.96367425
2011,02,11,10.78993125
2011,02,12,8.7396095
2011,02,13,7.59372462
2011,02,14,7.09895575
2011,02,15,13.15503538
2011,02,16,3.82501688
2011,02,17,2.81857525
2011,02,18,4.513027
2011,02,19,9.51457112
2011,02,20,5.83405938
2011,02,21,10.02658325
2011,02,22,12.44666138
2011,02,23,17.83075425
2011,02,24,18.21826588
2011,02,25,22.11689862
2011,02,26,12.52667438
2011,02,27,6.212995
2011,02,28,8.742348
2012,02,1,3.940334
2012,02,2,2.6752345
2012,02,3,4.75304062
2012,02,4,9.83019012
2012,02,5,17.36621912
2012,02,6,15.1923255
2012,02,7,14.69266425
2012,02,8,12.49693638
2012,02,9,17.16891462
2012,02,10,21.0615115
2012,02,11,14.60278925
2012,02,12,17.65398387
2012,02,13,12.4785285
2012,02,14,8.31186388
2012,02,15,20.36863112
2012,02,16,19.220045
2012,02,17,9.38412112
2012,02,18,6.221436
2012,02,19,12.70480675
2012,02,20,7.518348
2012,02,21,8.27656875
2012,02,22,7.18156362
2012,02,23,11.77158762
2012,02,24,8.13472612
2012,02,25,15.19885612
2012,02,26,21.28662112
2012,02,27,13.0994125
2012,02,28,13.91566625
2012,02,29,11.948588
2013,02,1,24.99429538
2013,02,2,14.2761655
2013,02,3,19.75637475
2013,02,4,20.96137275
2013,02,5,26.06990612
2013,02,6,12.21590125
2013,02,7,8.28287825
