####################################################################################################
# Month: 01Jan                                                                                     #
# Station: SUF                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2015,01,1,0.23610962
2015,01,2,0.844664
2015,01,3,0.78829025
2015,01,4,0.85579525
2015,01,5,0.68818825
2015,01,6,0.43632588
2015,01,7,0.1792715
2015,01,8,0.399458
2015,01,9,0.85252663
2015,01,10,0.42211512
2015,01,11,0.87963588
2015,01,12,0.48844713
2015,01,13,0.3218235
2015,01,14,0.2629715
2015,01,15,0.227665
2015,01,16,0.1575565
2015,01,17,0.35337288
2015,01,18,0.79510462
2015,01,19,0.84709412
2015,01,20,0.5988535
2015,01,21,0.61282225
2015,01,22,0.60612113
2015,01,23,0.7969735
2015,01,24,0.84060162
2015,01,25,0.60017188
2015,01,26,0.633938
2015,01,27,0.28708438
2015,01,28,0.54696738
2015,01,29,0.54874175
2015,01,30,0.86383188
2015,01,31,0.861526
2016,01,1,0.76492012
2016,01,2,0.7581055
2016,01,3,0.93383788
2016,01,4,0.76397775
2016,01,5,0.20006612
2016,01,6,0.42461988
2016,01,7,0.66876338
2016,01,8,0.29401688
2016,01,9,0.62944675
2016,01,10,0.49451862
2016,01,11,0.73510812
2016,01,12,0.12638962
2016,01,13,0.4027985
2016,01,14,0.61304263
2016,01,15,0.27003888
2016,01,16,0.61445313
2016,01,17,0.29056813
2016,01,18,0.15526988
2016,01,19,0.0922435
2016,01,20,0.05594688
2016,01,21,0.3974715
2016,01,22,0.50223875
2016,01,23,0.29498462
2016,01,24,0.21027838
2016,01,25,0.50415738
2016,01,26,0.9385745
2016,01,27,0.8750145
2016,01,28,0.8486435
2016,01,29,0.98483662
2016,01,30,0.60040875
2016,01,31,0.7213975
2017,01,1,0.52607312
2017,01,2,0.75308175
2017,01,3,0.42002175
2017,01,4,0.86885712
2017,01,5,0.60940288
2017,01,6,0.56226262
2017,01,7,0.51121625
2017,01,8,0.38590912
2017,01,9,0.211588
2017,01,10,0.06981575
2017,01,11,0.62145025
2017,01,12,0.85486013
2017,01,13,0.49136675
2017,01,14,0.32400675
2017,01,15,0.45271488
2017,01,16,0.578561
2017,01,17,0.78169562
2017,01,18,0.8618215
2017,01,19,0.45213575
2017,01,20,0.61572462
2017,01,21,0.95577062
2017,01,22,0.94990125
2017,01,23,0.91580125
2017,01,24,0.35505525
2017,01,25,0.22516512
2017,01,26,0.34167775
2017,01,27,0.80641925
2017,01,28,0.95519288
2017,01,29,0.69469538
2017,01,30,0.70645425
2017,01,31,0.49019725
2018,01,1,0.05637988
2018,01,2,0.07264262
2018,01,3,0.38481425
2018,01,4,0.92973562
2018,01,5,0.71958538
2018,01,6,0.46121837
2018,01,7,0.56943638
2018,01,8,0.95605975
2018,01,9,0.693439
2018,01,10,0.36397962
2018,01,11,0.81367112
2018,01,12,0.44308225
2018,01,13,0.50940075
2018,01,14,0.66069012
2018,01,15,0.39021462
2018,01,16,0.74484562
2018,01,17,0.7991095
2018,01,18,0.53778588
2018,01,19,0.43154425
2018,01,20,0.16545337
2018,01,21,0.16008812
2018,01,22,0.35783175
2018,01,23,0.31332912
2018,01,24,0.26813962
2018,01,25,0.45217125
2018,01,26,0.11884838
2018,01,27,0.09046888
2018,01,28,0.13596
2018,01,29,0.726582
2018,01,30,0.32271538
2018,01,31,0.4405975
2019,01,1,0.78775837
2019,01,2,0.56868325
2019,01,3,0.52915837
2019,01,4,0.78953425
2019,01,5,0.87943562
2019,01,6,0.12172012
2019,01,7,0.55541275
2019,01,8,0.677193
2019,01,9,0.25361775
2019,01,10,0.58273025
2019,01,11,0.78921375
2019,01,12,0.54460288
2019,01,13,0.07155838
2019,01,14,0.42335525
2019,01,15,0.89051162
2019,01,16,0.53072425
2019,01,17,0.29199313
2019,01,18,0.64577387
2019,01,19,0.54161425
2019,01,20,0.79514475
2019,01,21,0.72853788
2019,01,22,0.42790625
2019,01,23,0.57080875
2019,01,24,0.57093588
2019,01,25,0.18989938
2019,01,26,0.30986837
2019,01,27,0.67002438
2019,01,28,0.50662312
2019,01,29,0.89347662
2019,01,30,0.93777187
2019,01,31,0.65196612
2020,01,1,0.48809537
