####################################################################################################
# Month: 08Aug                                                                                     #
# Station: TRL                                                                                     #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,08,1,0,0.9113287,143.6444
2009,08,1,1,0.9224865,144.6295
2009,08,1,2,0.9974536,151.6987
2009,08,1,3,1.060369,157.7232
2009,08,1,4,1.079862,159.2613
2009,08,1,5,1.081308,159.0561
2009,08,1,6,1.049447,156.4242
2009,08,1,7,0.8401626,137.7988
2009,08,2,0,0.6631899,119.4784
2009,08,2,1,0.4996493,99.96074
2009,08,2,2,0.761454,131.3617
2009,08,2,3,1.053765,158.2711
2009,08,2,4,2.225975,216.5765
2009,08,2,5,2.177886,215.154
2009,08,2,6,2.326257,219.3255
2009,08,2,7,2.364627,221.0092
2009,08,3,0,2.132113,213.7851
2009,08,3,1,1.692705,196.3774
2009,08,3,2,1.563071,189.976
2009,08,3,3,1.803489,201.8475
2009,08,3,4,2.193526,216.9671
2009,08,3,5,1.922293,207.4368
2009,08,3,6,1.458724,185.0993
2009,08,3,7,1.285907,174.233
2009,08,4,0,1.179201,166.8081
2009,08,4,1,1.093514,159.5499
2009,08,4,2,1.013107,151.8325
2009,08,4,3,0.8806916,139.8785
2009,08,4,4,0.6869349,120.4224
2009,08,4,5,0.5201346,100.6928
2009,08,4,6,0.4921679,97.18639
2009,08,4,7,0.484517,96.16194
2009,08,5,0,0.4766568,94.86527
2009,08,5,1,0.4747195,94.65045
2009,08,5,2,0.4949638,97.57236
2009,08,5,3,0.7044954,122.4633
2009,08,5,4,0.8601821,136.8607
2009,08,5,5,0.6591733,116.6814
2009,08,5,6,0.6170391,111.9952
2009,08,5,7,0.6328981,113.9048
2009,08,6,0,0.6371631,114.0166
2009,08,6,1,0.625478,112.8161
2009,08,6,2,0.574423,106.8477
2009,08,6,3,0.5089319,98.59078
2009,08,6,4,0.4449354,90.16694
2009,08,6,5,0.7193641,120.9048
2009,08,6,6,1.097478,152.4716
2009,08,6,7,1.298046,165.8183
2009,08,7,0,1.526637,179.4033
2009,08,7,1,1.738127,189.7648
2009,08,7,2,1.694146,186.9432
2009,08,7,3,1.583899,182.542
2009,08,7,4,1.190277,160.5805
2009,08,7,5,0.6908493,120.9257
2009,08,7,6,0.6661156,117.6797
2009,08,7,7,0.5958598,109.0755
2009,08,8,0,0.5591661,104.4498
2009,08,8,1,0.5653426,105.378
2009,08,8,2,0.5583683,104.8844
2009,08,8,3,0.8204211,133.8968
2009,08,8,4,0.8743608,139.1846
2009,08,8,5,0.8203596,133.8866
2009,08,8,6,0.8124467,133.089
2009,08,8,7,0.8159276,133.7018
2009,08,9,0,0.8553004,137.5726
2009,08,9,1,0.9486814,146.3184
2009,08,9,2,0.9752828,148.79
2009,08,9,3,1.061643,156.3883
2009,08,9,4,1.074437,157.5445
2009,08,9,5,0.9840154,150.1669
2009,08,9,6,0.9009449,142.7516
2009,08,9,7,1.114168,160.8013
2009,08,10,0,1.540187,189.0452
2009,08,10,1,1.908003,207.7833
2009,08,10,2,1.873479,206.16
2009,08,10,3,1.699557,197.6889
2009,08,10,4,1.541535,188.5851
2009,08,10,5,1.050294,157.0233
2009,08,10,6,1.054921,158.0344
2009,08,10,7,1.817371,202.8626
2009,08,11,0,1.146044,164.0776
2009,08,11,1,1.565795,190.0355
2009,08,11,2,1.838748,203.5958
2009,08,11,3,1.813348,202.5928
2009,08,11,4,1.799834,202.1174
2009,08,11,5,1.974446,209.1644
2009,08,11,6,1.765181,200.4901
2009,08,11,7,1.507114,187.0471
2009,08,12,0,1.133792,162.0108
2009,08,12,1,0.8327467,135.777
2009,08,12,2,0.8140554,133.619
2009,08,12,3,0.7905953,131.0368
2009,08,12,4,0.7472591,126.5449
2009,08,12,5,0.7015886,121.6615
2009,08,12,6,0.7525875,127.0533
2009,08,12,7,0.9056081,141.8528
2009,08,13,0,0.9717427,147.5605
2009,08,13,1,0.9044564,141.6094
2009,08,13,2,0.8614564,137.0556
2009,08,13,3,0.8094789,131.5546
2009,08,13,4,0.7687758,127.6797
2009,08,13,5,0.7356491,124.6406
2009,08,13,6,0.6691785,118.0089
2009,08,13,7,0.6957945,121.7286
2009,08,14,0,0.730679,126.387
2009,08,14,1,0.7425144,128.3186
2009,08,14,2,0.8377124,139.1536
2009,08,14,3,0.8831777,144.4768
2009,08,14,4,0.88568,143.687
2009,08,14,5,0.7205642,124.2222
2009,08,14,6,0.7859507,128.0591
2009,08,14,7,1.010539,144.5924
2009,08,15,0,0.7129748,119.9166
2009,08,15,1,0.5570966,104.399
2009,08,15,2,0.5198902,99.98693
2009,08,15,3,0.5027636,97.75563
2009,08,15,4,0.5738442,106.7942
2009,08,15,5,0.6587172,117.0086
2009,08,15,6,0.7323986,125.0591
2009,08,15,7,0.7889521,131.1978
2009,08,16,0,0.8572115,138.8298
2009,08,16,1,0.9139062,145.0606
2009,08,16,2,0.9683341,149.9252
2009,08,16,3,1.039274,155.6709
2009,08,16,4,1.082285,159.2803
2009,08,16,5,1.135664,163.5601
2009,08,16,6,1.159053,165.2953
2009,08,16,7,1.036941,156.1887
2009,08,17,0,0.9952373,153.0326
2009,08,17,1,1.05383,158.392
2009,08,17,2,1.179514,167.52
2009,08,17,3,1.386213,179.7731
2009,08,17,4,1.600707,189.5724
2009,08,17,5,1.694702,196.2011
2009,08,17,6,1.314004,175.5947
2009,08,17,7,0.9404072,145.8971
2009,08,18,0,1.058633,155.241
2009,08,18,1,0.9675489,148.4457
2009,08,18,2,0.7991568,133.9255
2009,08,18,3,1.028495,154.718
2009,08,18,4,1.13596,163.9829
2009,08,18,5,1.237831,172.0329
2009,08,18,6,1.391733,185.4003
2009,08,18,7,1.133341,167.8642
2009,08,19,0,1.095835,163.9476
2009,08,19,1,1.140922,165.3338
2009,08,19,2,0.9738241,146.9935
2009,08,19,3,0.577449,108.507
2009,08,19,4,0.5613953,105.9026
2009,08,19,5,0.5503898,104.0893
2009,08,19,6,0.5924456,109.5056
2009,08,19,7,0.6410633,115.4637
2009,08,20,0,0.6575406,117.1247
2009,08,20,1,0.667303,117.96
2009,08,20,2,0.6853341,119.6072
2009,08,20,3,0.6959907,120.9018
2009,08,20,4,0.6572279,116.4874
2009,08,20,5,0.6278302,112.9923
2009,08,20,6,0.6079288,110.9672
2009,08,20,7,0.5804058,108.0169
2009,08,21,0,0.6879182,120.7576
2009,08,21,1,0.8221335,135.433
2009,08,21,2,0.9278412,145.5502
2009,08,21,3,0.9575519,147.9875
2009,08,21,4,0.916504,143.9815
2009,08,21,5,0.8952248,141.64
2009,08,21,6,0.8987741,141.5966
2009,08,21,7,0.8737182,138.8928
2009,08,22,0,0.7972484,131.4819
2009,08,22,1,0.6525393,116.1278
2009,08,22,2,0.4957136,97.61633
2009,08,22,3,0.5145161,100.082
2009,08,22,4,0.6115902,112.3962
2009,08,22,5,0.6352749,116.0015
2009,08,22,6,0.6837693,122.8827
2009,08,22,7,0.7050445,125.7395
2009,08,23,0,0.700404,124.1048
2009,08,23,1,0.6873958,121.629
2009,08,23,2,0.7014141,123.1299
2009,08,23,3,0.748034,128.3558
2009,08,23,4,0.847392,137.6585
2009,08,23,5,0.8868279,140.4781
2009,08,23,6,0.9387135,145.8902
2009,08,23,7,1.079112,157.7449
2009,08,24,0,1.24098,169.9006
2009,08,24,1,1.334847,176.2862
2009,08,24,2,1.349798,177.275
2009,08,24,3,1.27107,172.642
2009,08,24,4,1.686061,195.9953
2009,08,24,5,2.3306,219.8064
2009,08,24,6,1.629936,193.9863
2009,08,24,7,1.08469,160.7187
2009,08,25,0,1.071104,158.95
2009,08,25,1,1.117058,161.9714
2009,08,25,2,0.9483204,147.9452
2009,08,25,3,0.8802721,141.5513
2009,08,25,4,0.8039751,134.0578
2009,08,25,5,0.7279578,125.9909
2009,08,25,6,0.6358202,115.3257
2009,08,25,7,0.5529121,105.1079
2009,08,26,0,0.5275781,101.7594
2009,08,26,1,0.5239241,100.6468
2009,08,26,2,0.5058186,97.60647
2009,08,26,3,0.4964957,95.41126
2009,08,26,4,0.5075163,96.69078
2009,08,26,5,0.5291411,99.78749
2009,08,26,6,0.5479884,102.3508
2009,08,26,7,0.5598678,103.6571
2009,08,27,0,0.5766219,105.699
2009,08,27,1,0.5878606,107.5343
2009,08,27,2,0.5574572,104.1066
2009,08,27,3,0.5031219,97.57079
2009,08,27,4,0.4474186,89.49879
2009,08,27,5,0.4120225,83.88821
2009,08,27,6,0.4161804,83.35127
2009,08,27,7,0.4267698,83.95521
2009,08,28,0,0.4234325,83.29098
2009,08,28,1,0.4153462,82.53576
2009,08,28,2,0.4123129,82.86282
2009,08,28,3,0.4147016,83.80523
2009,08,28,4,0.4166805,84.2738
2009,08,28,5,0.4226562,84.9873
2009,08,28,6,0.417967,84.21815
2009,08,28,7,0.4240689,85.27989
2009,08,29,0,0.4365652,87.45616
2009,08,29,1,0.4304042,86.71349
2009,08,29,2,0.4242699,86.08464
2009,08,29,3,0.4225056,86.23938
2009,08,29,4,0.4230137,86.05759
2009,08,29,5,0.4310727,86.66687
2009,08,29,6,0.4520963,89.84939
2009,08,29,7,0.4751744,93.36457
2009,08,30,0,0.477235,94.3486
2009,08,30,1,0.470497,94.04534
2009,08,30,2,0.5972909,109.6325
2009,08,30,3,0.6266495,112.8817
2009,08,30,4,0.5949625,109.2526
2009,08,30,5,0.5073653,98.96275
2009,08,30,6,0.4725435,94.48871
2009,08,30,7,0.4787394,95.23235
2009,08,31,0,0.4840865,96.05099
2009,08,31,1,0.4829024,96.02984
2009,08,31,2,0.4790023,95.69536
2009,08,31,3,0.5335953,103.0918
2009,08,31,4,0.5291294,102.2775
2009,08,31,5,0.495575,97.78604
2009,08,31,6,0.4838974,96.00689
2009,08,31,7,0.4578863,92.47556
2010,08,1,0,1.480363,185.3409
2010,08,1,1,1.277942,172.6011
2010,08,1,2,1.055544,156.1844
2010,08,1,3,0.8818006,140.7865
2010,08,1,4,0.6237133,113.3369
2010,08,1,5,0.5550806,104.5295
2010,08,1,6,0.4774362,94.19725
2010,08,1,7,0.4437581,89.30913
2010,08,2,0,0.4238033,86.52263
2010,08,2,1,0.4019303,83.54048
2010,08,2,2,0.3881398,81.59924
2010,08,2,3,0.3885036,81.61372
2010,08,2,4,0.3971808,82.88415
2010,08,2,5,0.4669194,92.30448
2010,08,2,6,0.578469,106.2553
2010,08,2,7,0.7054597,120.3449
2010,08,3,0,0.7386827,123.4014
2010,08,3,1,0.6376036,112.9906
2010,08,3,2,0.513393,98.78375
2010,08,3,3,0.5306035,100.7603
2010,08,3,4,0.56285,105.1648
2010,08,3,5,0.5398605,102.6523
2010,08,3,6,0.5034069,97.90045
2010,08,3,7,0.4496721,90.72168
2010,08,4,0,0.4762475,94.2678
2010,08,4,1,0.4651342,92.51695
2010,08,4,2,0.468757,92.10864
2010,08,4,3,0.3365372,73.57399
2010,08,4,4,0.3576155,76.76595
2010,08,4,5,0.4812674,94.02109
2010,08,4,6,0.5263471,100.4274
2010,08,4,7,0.5049068,97.43794
2010,08,5,0,0.5132389,97.88149
2010,08,5,1,0.5070086,96.78067
2010,08,5,2,0.4957809,95.25974
2010,08,5,3,0.5667787,103.9947
2010,08,5,4,0.5785371,105.809
2010,08,5,5,0.6081883,109.7668
2010,08,5,6,0.6507383,115.5015
2010,08,5,7,0.6900702,120.5518
2010,08,6,0,0.7286668,124.4952
2010,08,6,1,0.7319822,123.9777
2010,08,6,2,0.5026579,97.37773
2010,08,6,3,0.4529373,90.65144
2010,08,6,4,0.416662,85.79437
2010,08,6,5,0.4980415,96.70293
2010,08,6,6,0.4557268,91.49551
2010,08,6,7,0.4758027,94.19189
2010,08,7,0,0.5676435,106.3398
2010,08,7,1,0.6636038,117.6759
2010,08,7,2,0.6445219,115.1248
2010,08,7,3,0.7509889,126.7474
2010,08,7,4,0.7310738,124.5357
2010,08,7,5,0.6143662,111.264
2010,08,7,6,0.4735043,93.40656
2010,08,7,7,0.4338779,87.66584
2010,08,8,0,0.3935039,81.87592
2010,08,8,1,0.375285,79.21298
2010,08,8,2,0.5167979,97.53778
2010,08,8,3,0.7393515,121.8866
2010,08,8,4,0.8979069,136.8358
2010,08,8,5,1.014722,148.117
2010,08,8,6,0.7082732,122.1937
2010,08,8,7,0.9347839,145.4209
2010,08,9,0,1.356659,178.0202
2010,08,9,1,1.757942,200.4106
2010,08,9,2,2.110223,215.3082
2010,08,9,3,1.778377,202.4111
2010,08,9,4,1.187083,166.739
2010,08,9,5,0.7238875,125.4013
2010,08,9,6,0.6458349,115.3612
2010,08,9,7,0.5756749,106.504
2010,08,10,0,0.5078275,97.45223
2010,08,10,1,0.4556893,90.17594
2010,08,10,2,0.4291306,86.3519
2010,08,10,3,0.4156696,84.44474
2010,08,10,4,0.4048543,82.86437
2010,08,10,5,0.4003017,82.21917
2010,08,10,6,0.402978,82.53763
2010,08,10,7,0.4048493,82.80278
2010,08,11,0,0.4174075,84.69129
2010,08,11,1,0.4565959,90.08275
2010,08,11,2,0.4580232,90.34807
2010,08,11,3,0.4776559,92.87249
2010,08,11,4,0.6333548,110.3498
2010,08,11,5,0.5306469,99.51174
2010,08,11,6,0.5657942,104.6082
2010,08,11,7,0.5792222,106.1323
2010,08,12,0,0.5621739,104.6214
2010,08,12,1,0.5464038,102.9944
2010,08,12,2,0.5100853,98.59561
2010,08,12,3,0.5184666,99.74668
2010,08,12,4,0.5304958,101.0245
2010,08,12,5,0.7521648,125.5388
2010,08,12,6,0.9535717,144.5345
2010,08,12,7,0.8584032,137.8862
2010,08,13,0,0.6266687,113.2779
2010,08,13,1,0.4720684,92.95925
2010,08,13,2,0.3184264,71.27916
2010,08,13,3,0.323686,72.09554
