####################################################################################################
# Month: 08Aug                                                                                     #
# Station: TRL                                                                                     #
# Frequency: 690 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,08,1,0.99280218,151.279525
2009,08,2,1.5091004,172.6421425
2009,08,3,1.7564785,198.215275
2009,08,4,0.7937835,129.06656625
2009,08,5,0.61501601,111.124185
2009,08,6,0.73822744,120.2041025
2009,08,7,1.21073884,155.8643375
2009,08,8,0.7282991,123.558875
2009,08,9,0.98930911,150.0417
2009,08,10,1.56066838,188.39785
2009,08,11,1.67631375,194.8900875
2009,08,12,0.83477909,134.9445125
2009,08,13,0.80206654,131.2297375
2009,08,14,0.82460218,134.8620875
2009,08,15,0.63082966,112.7647325
2009,08,16,1.0240836,154.2263625
2009,08,17,1.27057681,170.747875
2009,08,18,1.09408734,160.2013125
2009,08,19,0.76666551,127.4678875
2009,08,20,0.64744514,115.5071875
2009,08,21,0.87245824,139.4799
2009,08,22,0.63696204,115.29099125
2009,08,23,0.82366166,134.8739
2009,08,24,1.49099775,183.3263125
2009,08,25,0.84217746,136.362525
2009,08,26,0.52479126,99.7387625
2009,08,27,0.49093161,94.45052125
2009,08,28,0.41839572,83.90674125
2009,08,29,0.43688775,87.80401125
2009,08,30,0.52816039,101.10556875
2009,08,31,0.49325932,97.4267475
2010,08,1,0.84945473,132.03571
2010,08,2,0.46880074,91.8831125
2010,08,3,0.55950904,104.04691
2010,08,4,0.45210159,90.13997
2010,08,5,0.57629262,105.6932125
2010,08,6,0.53280965,100.58584625
2010,08,7,0.60994754,110.345
2010,08,8,0.69757804,116.635085
2010,08,9,1.26696016,163.76945
2010,08,10,0.42766254,86.106095
2010,08,11,0.51483758,97.32458
2010,08,12,0.65397064,114.36776125
2010,08,13,0.4759121,93.760765
2010,08,14,0.82497721,137.96915
2010,08,15,0.69138325,122.1511
2010,08,16,0.58727021,107.8062
2010,08,17,0.6328175,113.9335875
2010,08,18,0.53734409,99.404345
2010,08,19,0.9189646,140.0558875
2010,08,20,0.8426568,134.0178625
2010,08,21,1.33793153,169.39075
2010,08,22,1.33866412,176.1744375
2010,08,23,0.78406776,133.0823375
2010,08,24,0.90279372,146.3357
2010,08,25,0.86708781,139.6571
2010,08,26,0.81153198,132.7194625
2010,08,27,0.6336327,113.2932425
2010,08,28,0.43965834,88.0115925
2010,08,29,0.43363616,87.58551375
2010,08,30,0.50415629,96.054035
2010,08,31,0.55047102,103.47691625
2011,08,1,2.69744862,226.6948625
2011,08,2,1.80771899,197.270875
2011,08,3,0.88603579,143.1362875
2011,08,4,1.00842076,154.5939375
2011,08,5,0.60063319,107.721225
2011,08,6,0.7364933,121.712645
2011,08,7,0.93529802,140.9117125
2011,08,8,1.68606425,192.9310875
2011,08,9,1.347816,178.3699
2011,08,10,0.90198496,142.1389
2011,08,11,1.26289785,163.7394875
2011,08,12,1.79472488,202.1515
2011,08,13,1.49770612,189.29275
2011,08,14,1.20587925,171.0476125
2011,08,15,1.53787475,188.0220875
2011,08,16,1.45935712,181.1211125
2011,08,17,1.40980335,172.02255
2011,08,18,1.77840737,198.976775
2011,08,19,0.80425288,134.8053
2011,08,20,1.09738167,158.6470375
2011,08,21,1.09688248,159.7832125
2011,08,22,0.70986061,122.255195
2011,08,23,0.54468901,104.1453475
2011,08,24,0.95115281,146.353625
2011,08,25,1.69853589,196.9496125
2011,08,26,1.19936778,167.463375
2011,08,27,1.15039336,158.1514
2011,08,28,1.24224718,171.6346125
2011,08,29,1.764126,209.5799125
2011,08,30,1.07796429,157.3472375
2011,08,31,0.99721679,152.5692625
2012,08,1,0.42771459,85.79735
2012,08,2,0.4060403,81.34326625
2012,08,3,0.52651358,99.09197
2012,08,4,0.65998789,117.894125
2012,08,5,1.20488875,167.6522875
2012,08,6,1.42516412,180.7929625
2012,08,7,1.31778812,168.989825
2012,08,8,1.54568968,183.559475
2012,08,9,1.29877305,172.8352875
2012,08,10,1.68953758,188.404125
2012,08,11,0.65437288,116.109925
2012,08,12,0.60093917,109.7607375
2012,08,13,0.68379804,118.31873
2012,08,14,0.83585865,135.3397625
2012,08,15,0.58728808,105.63278375
2012,08,16,0.56437656,104.21602625
2012,08,17,0.79440688,132.59435
2012,08,18,0.72723895,125.235875
2012,08,19,0.74618724,126.1670375
2012,08,20,1.09919336,150.9020125
2012,08,21,1.27554361,169.572125
2012,08,22,1.44983261,181.8038625
2012,08,23,1.91627811,202.947775
2012,08,24,1.12642792,158.8123
2012,08,25,0.44403694,89.23070875
2012,08,26,0.71657734,124.777325
2012,08,27,1.28382238,171.9244625
2012,08,28,1.67761688,197.8682625
2012,08,29,1.810509,208.029025
2012,08,30,2.23128775,220.4688125
2012,08,31,1.73972595,195.7508625
2013,08,1,0.65132275,118.25293375
2013,08,2,1.28207805,168.66641375
2013,08,3,1.04079456,156.0234125
2013,08,4,1.16565219,164.9229875
2013,08,5,1.03121679,155.7586875
2013,08,6,1.02028225,155.0076875
2013,08,7,0.82909259,134.6274875
2013,08,8,0.60928821,111.220075
2013,08,9,0.93862244,146.95045
2013,08,10,1.16863556,168.284525
2013,08,11,1.48857408,188.55635
2013,08,12,1.40356376,184.5108375
2013,08,13,1.39703626,182.4216625
2013,08,14,1.23040762,171.8067625
2013,08,15,1.58221525,192.9224625
2013,08,16,1.40526012,182.6152625
2013,08,17,1.52531111,186.9971125
2013,08,18,2.09131063,214.923
2013,08,19,1.83761225,205.15805
2013,08,20,2.0410205,205.5353125
2013,08,21,1.30287631,175.3355875
2013,08,22,2.07083341,202.7705625
2013,08,23,1.84880488,199.081125
2013,08,24,1.36550031,172.1721625
2013,08,25,0.9462174,145.515625
2013,08,26,0.67262741,119.6076375
2013,08,27,0.67358485,119.463175
2013,08,28,0.57700301,107.526555
2013,08,29,0.83477592,135.6068125
2013,08,30,1.07664247,158.5881875
2013,08,31,0.71923589,125.569675
2014,08,1,0.97917518,147.7562125
2014,08,2,0.75101668,129.202975
2014,08,3,0.68008864,120.3096625
2014,08,4,0.59628404,109.3428
2014,08,5,0.68042628,119.12975
2014,08,6,0.59657681,107.160325
2014,08,7,0.52954125,99.69050125
2014,08,8,0.46798068,92.78505
2014,08,9,0.48674481,95.41366875
