####################################################################################################
# Month: 01Jan                                                                                     #
# Station: VLA                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,01,1,10.6741275
2009,01,2,6.12209012
2009,01,3,13.682048
2009,01,4,7.36182038
2009,01,5,8.08159463
2009,01,6,13.18775188
2009,01,7,14.907997
2009,01,8,10.98172662
2009,01,9,9.78347588
2009,01,10,10.7942865
2009,01,11,10.93116588
2009,01,12,12.88030025
2009,01,13,9.06579838
2009,01,14,11.07085312
2009,01,15,3.54676038
2009,01,16,2.34374188
2009,01,17,4.16633488
2009,01,18,1.72071538
2009,01,19,3.60150275
2009,01,20,4.62939625
2009,01,21,4.56575775
2009,01,22,5.19241138
2009,01,23,8.85339175
2009,01,24,5.01361425
2009,01,25,12.9165715
2009,01,26,19.33887775
2009,01,27,12.85124025
2009,01,28,13.39255962
2009,01,29,13.15817362
2009,01,30,8.08928063
2009,01,31,2.92963812
2010,01,1,3.94882362
2010,01,2,4.41288825
2010,01,3,7.36259912
2010,01,4,1.78522388
2010,01,5,1.97926975
2010,01,6,8.81826212
2010,01,7,5.763215
2010,01,8,2.4327705
2010,01,9,3.95976925
2010,01,10,1.764209
2010,01,11,3.50187762
2010,01,12,5.05379812
2010,01,13,5.72427213
2010,01,14,5.896447
2010,01,15,7.33372312
2010,01,16,5.84719225
2010,01,17,5.222772
2010,01,18,8.40395162
2010,01,19,12.6705765
2010,01,20,13.34715212
2010,01,21,10.82192212
2010,01,22,14.398352
2010,01,23,11.101083
2010,01,24,14.39382125
2010,01,25,10.15252812
2010,01,26,5.25294662
2010,01,27,5.73302912
2010,01,28,7.25766013
2010,01,29,3.64695612
2010,01,30,1.81126225
2010,01,31,5.78775125
2011,01,1,8.52196488
2011,01,2,5.55839112
2011,01,3,6.90617975
2011,01,4,6.481657
2011,01,5,9.430619
2011,01,6,7.88647375
2011,01,7,6.38505388
2011,01,8,4.20367838
2011,01,9,11.8545625
2011,01,10,13.81780175
2011,01,11,5.949308
2011,01,12,3.61243875
2011,01,13,5.79071738
2011,01,14,7.13629925
2011,01,15,6.33919612
2011,01,16,9.10508162
2011,01,17,14.79118
2011,01,18,13.72820025
2011,01,19,10.7216085
2011,01,20,9.752896
2011,01,21,9.14116388
2011,01,22,8.63606238
2011,01,23,6.97283088
2011,01,24,10.23246575
2011,01,25,4.20726912
2011,01,26,7.89044312
2011,01,27,4.644806
2011,01,28,2.45947837
2011,01,29,7.30048388
2011,01,30,8.73355888
2011,01,31,7.66014925
2012,01,1,3.93294862
2012,01,2,3.30598662
2012,01,3,5.82456425
2012,01,4,9.1572195
2012,01,5,2.84093337
2012,01,6,8.19215738
2012,01,7,7.89542312
2012,01,8,6.26280688
2012,01,9,8.41560413
2012,01,10,7.3189465
2012,01,11,13.24912625
2012,01,12,8.958749
2012,01,13,8.3627165
2012,01,14,3.995663
2012,01,15,8.6490065
2012,01,16,17.29365487
2012,01,17,15.02413688
2012,01,18,11.46320375
2012,01,19,10.87997388
2012,01,20,13.63365975
2012,01,21,8.84614675
2012,01,22,20.09062813
2012,01,23,8.77099112
2012,01,24,9.50102625
2012,01,25,9.81014263
2012,01,26,11.6793215
2012,01,27,12.02396012
2012,01,28,4.47812737
2012,01,29,3.53781212
2012,01,30,4.78419812
2012,01,31,10.08657475
2013,01,1,8.69972913
2013,01,2,4.35302975
2013,01,3,5.50098162
2013,01,4,5.05998712
2013,01,5,7.65102275
2013,01,6,5.62140088
2013,01,7,10.45546925
2013,01,8,8.6156085
2013,01,9,11.4648085
2013,01,10,6.07801913
2013,01,11,17.51142088
2013,01,12,5.513307
2013,01,13,5.92677062
2013,01,14,6.36404438
2013,01,15,9.60764912
2013,01,16,9.2158705
2013,01,17,4.1516655
2013,01,18,6.50341325
2013,01,19,3.56298512
2013,01,20,4.88372812
2013,01,21,2.6136835
2013,01,22,4.68661138
2013,01,23,2.94125462
2013,01,24,7.04904612
2013,01,25,7.194858
2013,01,26,8.98870638
2013,01,27,11.6913635
2013,01,28,13.14311662
2013,01,29,13.442275
2013,01,30,15.869925
2013,01,31,10.6634
2014,01,1,9.7074335
2014,01,2,4.51282163
2014,01,3,4.7137045
2014,01,4,14.9032165
2014,01,5,14.14007438
2014,01,6,9.67920975
2014,01,7,3.51898725
2014,01,8,8.96355587
2014,01,9,7.4938985
2014,01,10,13.03796712
2014,01,11,13.16362612
2014,01,12,14.30607788
2014,01,13,15.08075062
2014,01,14,14.08747288
2014,01,15,10.508979
2014,01,16,12.26008238
2014,01,17,9.0562415
2014,01,18,8.24192488
2014,01,19,4.5473805
2014,01,20,9.406671
2014,01,21,4.137657
2014,01,22,4.26661912
2014,01,23,4.57781163
2014,01,24,4.681629
2014,01,25,3.94564888
2014,01,26,12.00867912
2014,01,27,7.68246875
2014,01,28,11.4604565
2014,01,29,6.81988662
2014,01,30,15.2526115
2014,01,31,19.64310988
2015,01,1,10.1008515
2015,01,2,5.28540025
2015,01,3,13.0630195
2015,01,4,8.65241562
2015,01,5,3.79026425
2015,01,6,4.88379738
2015,01,7,6.22552612
2015,01,8,8.4293075
2015,01,9,5.77003112
2015,01,10,4.39822225
2015,01,11,9.21025525
2015,01,12,4.942744
2015,01,13,9.42390112
2015,01,14,3.99400025
2015,01,15,6.3153155
2015,01,16,3.006705
2015,01,17,9.634589
2015,01,18,6.4579695
2015,01,19,6.30282562
2015,01,20,7.22316537
2015,01,21,4.70545425
2015,01,22,9.61771137
2015,01,23,6.27126362
2015,01,24,3.56377238
2015,01,25,6.6680725
