####################################################################################################
# Month: 01Jan                                                                                     #
# Station: WF                                                                                      #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2009,01,1,0,0.891254
2009,01,1,1,0.907961
2009,01,1,2,0.920871
2009,01,1,3,0.884715
2009,01,1,4,0.813696
2009,01,1,5,0.787337
2009,01,1,6,0.772739
2009,01,1,7,0.711913
2009,01,2,0,0.400227
2009,01,2,1,0.222147
2009,01,2,2,0.252485
2009,01,2,3,0.173574
2009,01,2,4,0.151486
2009,01,2,5,0.183718
2009,01,2,6,0.676897
2009,01,2,7,0.901494
2009,01,3,0,0.824011
2009,01,3,1,0.768482
2009,01,3,2,0.788722
2009,01,3,3,0.869543
2009,01,3,4,0.758152
2009,01,3,5,0.834275
2009,01,3,6,0.732214
2009,01,3,7,0.689029
2009,01,4,0,0.72014
2009,01,4,1,0.831124
2009,01,4,2,0.834298
2009,01,4,3,0.770842
2009,01,4,4,0.756065
2009,01,4,5,0.755565
2009,01,4,6,0.737799
2009,01,4,7,0.629767
2009,01,5,0,0.530545
2009,01,5,1,0.537967
2009,01,5,2,0.56502
2009,01,5,3,0.612127
2009,01,5,4,0.878752
2009,01,5,5,0.783237
2009,01,5,6,0.757407
2009,01,5,7,0.772406
2009,01,6,0,0.637634
2009,01,6,1,0.670626
2009,01,6,2,0.716941
2009,01,6,3,0.6882
2009,01,6,4,0.635849
2009,01,6,5,0.655486
2009,01,6,6,0.697991
2009,01,6,7,0.680821
2009,01,7,0,0.640568
2009,01,7,1,0.609064
2009,01,7,2,0.79034
2009,01,7,3,0.975564
2009,01,7,4,0.984646
2009,01,7,5,1.00506
2009,01,7,6,0.964615
2009,01,7,7,0.990422
2009,01,8,0,0.998093
2009,01,8,1,0.99536
2009,01,8,2,0.973576
2009,01,8,3,0.860181
2009,01,8,4,0.847308
2009,01,8,5,0.80293
2009,01,8,6,0.786491
2009,01,8,7,0.834676
2009,01,9,0,0.804128
2009,01,9,1,0.818563
2009,01,9,2,0.822039
2009,01,9,3,0.821664
2009,01,9,4,0.818169
2009,01,9,5,0.88755
2009,01,9,6,0.925366
2009,01,9,7,0.888468
2009,01,10,0,0.878249
2009,01,10,1,0.729437
2009,01,10,2,0.652002
2009,01,10,3,0.564388
2009,01,10,4,0.495634
2009,01,10,5,0.50017
2009,01,10,6,0.620478
2009,01,10,7,0.659033
2009,01,11,0,0.541589
2009,01,11,1,0.696983
2009,01,11,2,0.953048
2009,01,11,3,0.990503
2009,01,11,4,0.96726
2009,01,11,5,0.996287
2009,01,11,6,0.979954
2009,01,11,7,0.814374
2009,01,12,0,0.821162
2009,01,12,1,0.842267
2009,01,12,2,0.902691
2009,01,12,3,0.936495
2009,01,12,4,0.923587
2009,01,12,5,0.794413
2009,01,12,6,0.691096
2009,01,12,7,0.814521
2009,01,13,0,0.764985
2009,01,13,1,0.608931
2009,01,13,2,0.597332
2009,01,13,3,0.595764
2009,01,13,4,0.586498
2009,01,13,5,0.666634
2009,01,13,6,0.841475
2009,01,13,7,0.93116
2009,01,14,0,0.967298
2009,01,14,1,1.029632
2009,01,14,2,0.868496
2009,01,14,3,0.849166
2009,01,14,4,0.870579
2009,01,14,5,0.655716
2009,01,14,6,0.78229
2009,01,14,7,0.706314
2009,01,15,0,0.571441
2009,01,15,1,0.448238
2009,01,15,2,0.450894
