####################################################################################################
# Month: 08Aug                                                                                     #
# Station: WF                                                                                      #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2014,08,1,0.7938195
2014,08,2,0.62699
2014,08,3,0.80804725
2014,08,4,0.89672163
2014,08,5,0.68222525
2014,08,6,0.71678175
2014,08,7,0.67248575
2014,08,8,0.76603912
2014,08,9,0.63199675
2014,08,10,0.54607288
2014,08,11,0.580206
2014,08,12,0.58284062
2014,08,13,0.84585025
2014,08,14,0.75872812
2014,08,15,0.728598
2014,08,16,0.76893638
2014,08,17,0.75236712
2014,08,18,0.71919162
2014,08,19,0.67974012
2014,08,20,0.59605762
2014,08,21,0.48205175
2014,08,22,0.864133
2014,08,23,0.82112988
2014,08,24,0.751994
2014,08,25,0.62800663
2014,08,26,0.57938012
2014,08,27,0.76208688
2014,08,28,0.6685895
2014,08,29,0.660622
2014,08,30,0.6480375
2014,08,31,0.79416825
2015,08,1,0.5138585
2015,08,2,0.54078638
2015,08,3,0.47075912
2015,08,4,0.65921213
2015,08,5,0.645999
2015,08,6,0.59279638
2015,08,7,0.63434238
2015,08,8,0.6483525
2015,08,9,0.72609863
2015,08,10,0.745025
2015,08,11,0.81364312
2015,08,12,0.84120875
2015,08,13,0.65592825
2015,08,14,0.57973625
2015,08,15,0.69217562
2015,08,16,0.68782188
2015,08,17,0.61198762
2015,08,18,0.564568
2015,08,19,0.546038
2015,08,20,0.73077475
2015,08,21,0.97549375
2015,08,22,0.85318412
2015,08,23,0.90454838
2015,08,24,0.82151475
2015,08,25,0.76763725
2015,08,26,0.79015762
2015,08,27,0.69675762
2015,08,28,0.6822595
2015,08,29,0.56581462
2015,08,30,0.59761475
2015,08,31,0.641075
2016,08,1,0.89456388
2016,08,2,0.623755
2016,08,3,0.4463245
2016,08,4,0.48557138
2016,08,5,0.47889588
2016,08,6,0.7183835
2016,08,7,0.54172325
2016,08,8,0.54002412
2016,08,9,0.46449688
2016,08,10,0.6761225
2016,08,11,0.7332655
2016,08,12,0.65620888
2016,08,13,0.85684688
2016,08,14,0.79720512
2016,08,15,0.71321475
2016,08,16,0.72308575
2016,08,17,0.8260055
2016,08,18,0.6439125
2016,08,19,0.6239515
2016,08,20,0.6629235
2016,08,21,0.5470425
2016,08,22,0.80350725
2016,08,23,0.53096725
2016,08,24,0.55484412
2016,08,25,0.59671738
2016,08,26,0.7941835
2016,08,27,0.58463987
2016,08,28,0.66073875
2016,08,29,0.73823388
2016,08,30,0.63174162
2016,08,31,0.5712045
2017,08,1,0.68981088
2017,08,2,0.66755363
2017,08,3,0.72520962
2017,08,4,0.7873135
2017,08,5,0.69275925
2017,08,6,0.68033462
2017,08,7,0.62103
2017,08,8,1.25349463
2017,08,9,0.61909238
2017,08,10,0.61943788
2017,08,11,0.52685425
2017,08,12,0.77637438
2017,08,13,0.71128325
2017,08,14,0.51922838
2017,08,15,0.68792512
2017,08,16,0.71853737
2017,08,17,0.52991088
2017,08,18,0.65209562
2017,08,19,0.88041188
2017,08,20,0.6774945
2017,08,21,0.604473
2017,08,22,0.67129288
2017,08,23,0.67963813
2017,08,24,0.60015013
2017,08,25,0.67316525
2017,08,26,0.58544525
2017,08,27,0.57289162
2017,08,28,0.517689
2017,08,29,0.48481375
2017,08,30,0.692619
2017,08,31,0.57218675
2018,08,1,0.65243263
2018,08,2,0.81562975
2018,08,3,0.78818575
2018,08,4,0.84950888
2018,08,5,0.67505575
2018,08,6,0.56556075
2018,08,7,0.622382
2018,08,8,0.77307688
2018,08,9,0.7933705
2018,08,10,0.58611525
2018,08,11,0.69264225
2018,08,12,0.89404375
2018,08,13,0.9545915
2018,08,14,0.94117338
2018,08,15,0.7968925
2018,08,16,0.71302538
2018,08,17,0.69801225
2018,08,18,0.797533
2018,08,19,0.73192363
2018,08,20,0.84064788
2018,08,21,0.83486375
2018,08,22,0.94623688
2018,08,23,0.67798475
2018,08,24,0.485967
2018,08,25,0.64100162
2018,08,26,0.5769
2018,08,27,0.7459875
2018,08,28,0.72995038
2018,08,29,0.68567262
2018,08,30,0.78690875
2018,08,31,0.75417475
2019,08,1,0.87755675
2019,08,2,0.46080238
2019,08,3,0.59653925
2019,08,4,0.65160362
2019,08,5,0.47625775
2019,08,6,0.57468712
2019,08,7,0.83090888
2019,08,8,0.80303662
2019,08,9,0.64874462
2019,08,10,0.62751987
2019,08,11,0.64912838
2019,08,12,0.58015525
2019,08,13,0.688298
2019,08,14,0.71750962
2019,08,15,0.65627987
2019,08,16,0.57550612
2019,08,17,0.79367475
2019,08,18,0.84863938
2019,08,19,0.7192235
2019,08,20,0.50724375
2019,08,21,0.5459005
2019,08,22,0.94760462
2019,08,23,0.60805837
2019,08,24,0.66058912
2019,08,25,0.71052762
2019,08,26,0.5046235
2019,08,27,0.52587425
2019,08,28,0.45732438
2019,08,29,0.81233
2019,08,30,0.5828635
2019,08,31,0.51611137
