####################################################################################################
# Month: 10Oct                                                                                     #
# Station: WF                                                                                      #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,10,1,3.22053125,261.6319625
2009,10,2,3.3178605,262.8679375
2009,10,3,7.168144,280.76925
2009,10,4,6.97990175,283.5349375
2009,10,5,4.60454362,276.8413875
2009,10,6,4.08369,272.1352125
2009,10,7,5.60847975,278.2500375
2009,10,8,4.12044375,272.407
2009,10,9,5.19503738,276.58595
2009,10,10,6.92227575,280.140425
2009,10,11,2.45826638,248.357625
2009,10,12,2.053393,235.57005
2009,10,13,3.55709162,261.9365375
2009,10,14,2.01448812,231.7644625
2009,10,15,1.99793437,229.250375
2009,10,16,3.03017088,254.508825
2009,10,17,2.80635925,252.4722625
2009,10,18,3.7845455,264.0219625
2009,10,19,2.76422662,251.1229375
2009,10,20,2.59679,251.2070375
2009,10,21,4.34063975,274.659675
2009,10,22,4.79410375,277.947825
2009,10,23,2.67201962,247.2730875
2009,10,24,6.93358325,277.0530125
2009,10,25,6.31528575,280.906
2009,10,26,2.046754,230.405625
2009,10,27,2.84063662,248.96225
2009,10,28,6.4277915,276.8688375
2009,10,29,4.51183975,265.6723875
2009,10,30,3.37857388,274.2239125
2009,10,31,6.54106088,283.7985625
2010,10,1,11.55320738,289.9977375
2010,10,2,4.10479637,270.925525
2010,10,3,3.31651838,265.6209
2010,10,4,4.43041975,273.374175
2010,10,5,5.94041125,279.6059625
2010,10,6,7.11461862,281.75065
2010,10,7,5.7787705,277.84675
2010,10,8,3.47410612,269.530225
2010,10,9,2.93993387,256.095375
2010,10,10,2.26847387,246.7859625
2010,10,11,2.98880837,263.941325
2010,10,12,3.54736288,268.22395
2010,10,13,2.7859065,258.5206
2010,10,14,3.37517875,265.26625
2010,10,15,5.42623125,274.0605625
2010,10,16,3.59833088,264.7351625
2010,10,17,3.05644962,260.9008375
2010,10,18,2.2495825,242.3179375
2010,10,19,2.00736712,234.8556625
2010,10,20,2.978776,259.914525
2010,10,21,3.524638,265.4721875
2010,10,22,2.03042275,229.8319
2010,10,23,1.5239515,209.6220875
2010,10,24,2.68936037,244.6188125
2010,10,25,5.00120137,278.4472625
2010,10,26,8.19416012,284.9800875
2010,10,27,10.18801688,288.2334875
2010,10,28,4.76245875,277.2608875
2010,10,29,3.53809975,267.065925
2010,10,30,2.42984,240.3277625
2010,10,31,2.75204325,251.866475
2011,10,1,7.95414162,286.3323625
2011,10,2,8.94181775,284.7989875
2011,10,3,5.547254,280.7295
2011,10,4,6.40853025,279.48135
2011,10,5,4.49035025,272.9040375
2011,10,6,1.97217875,234.75685
2011,10,7,2.35182675,246.3975625
2011,10,8,3.48282512,272.874075
2011,10,9,2.35774575,258.8838625
2011,10,10,4.01853438,273.8285875
2011,10,11,2.891716,261.5237
2011,10,12,3.84945675,269.6726375
2011,10,13,9.1358655,283.014125
2011,10,14,9.71391375,287.147275
2011,10,15,5.60165538,277.796125
2011,10,16,3.84455,269.6109375
2011,10,17,3.93004488,269.3958875
2011,10,18,3.3638615,267.1656375
2011,10,19,4.93884462,273.364775
2011,10,20,8.37402075,284.9533625
2011,10,21,3.96649362,273.1799375
2011,10,22,3.47544912,268.7147375
2011,10,23,2.97731338,260.4096375
2011,10,24,3.65401638,266.427775
2011,10,25,3.595522,264.7478875
2011,10,26,2.86982038,256.168425
2011,10,27,4.22393288,268.3164625
2011,10,28,1.97328612,222.1514625
2011,10,29,2.3003385,235.8486875
2011,10,30,2.93400775,251.1619125
2011,10,31,1.91475938,228.098175
2012,10,1,5.386927,277.838825
2012,10,2,5.86829338,282.91215
2012,10,3,10.21789588,287.63285
2012,10,4,10.10013875,286.59625
2012,10,5,6.45305625,284.299
2012,10,6,6.53599788,286.5808125
2012,10,7,3.6682605,267.2070125
2012,10,8,3.40922025,263.0114
2012,10,9,4.40453012,270.943175
2012,10,10,5.93918188,277.244125
2012,10,11,3.53677388,260.73725
2012,10,12,2.87034938,254.423975
2012,10,13,1.79007425,215.195275
2012,10,14,4.97688738,268.0536625
2012,10,15,6.70363238,284.396625
2012,10,16,5.3416845,272.3819
2012,10,17,2.2550585,245.4005375
2012,10,18,3.09720775,264.34625
2012,10,19,5.9999695,280.4290875
2012,10,20,8.21974225,286.4211875
2012,10,21,3.66497525,270.25255
2012,10,22,3.70152663,269.4182375
2012,10,23,2.95072362,259.8801
2012,10,24,2.59788688,254.251575
2012,10,25,2.45411612,250.4808625
2012,10,26,4.58614837,277.7839375
2012,10,27,5.44204188,281.548775
2012,10,28,5.24093462,274.8243125
2012,10,29,7.88135975,280.675075
2012,10,30,7.85043838,284.52745
2012,10,31,6.62515,280.3768875
2013,10,1,4.07008462,278.474175
2013,10,2,6.1868695,286.4702
2013,10,3,4.18159825,279.7881125
2013,10,4,5.5353225,282.50975
2013,10,5,6.11886138,281.9871875
2013,10,6,7.75403425,280.5441
2013,10,7,9.1282555,286.2272625
2013,10,8,4.76979062,271.2935875
2013,10,9,2.40298937,258.070575
2013,10,10,1.57515232,206.0924375
2013,10,11,2.046999,236.669025
2013,10,12,5.12833163,279.731675
2013,10,13,3.89547725,272.4195
2013,10,14,2.64905287,255.511375
2013,10,15,5.37374062,280.35235
2013,10,16,6.241998,279.9095
2013,10,17,6.26926762,283.0871375
2013,10,18,5.63938638,280.3270875
2013,10,19,3.3020815,267.52345
2013,10,20,3.7859955,268.4051875
2013,10,21,3.29935625,264.9327625
2013,10,22,4.09449638,272.0169625
2013,10,23,2.63903462,250.7227625
2013,10,24,2.51588812,245.2346125
2013,10,25,2.39626775,243.42135
2013,10,26,2.33415838,241.152925
2013,10,27,2.85709475,255.4060375
2013,10,28,2.58058775,251.3499625
2013,10,29,1.6743335,218.6562875
2013,10,30,2.61795562,245.5471
2013,10,31,5.184836,272.8912375
2014,10,1,7.72859475,282.07705
2014,10,2,7.28842788,280.077675
2014,10,3,4.03773575,274.2136625
2014,10,4,7.84598925,282.8599
2014,10,5,5.13740738,272.1231125
2014,10,6,2.47993275,252.4092125
2014,10,7,5.61774762,279.956325
2014,10,8,5.63563512,281.161775
2014,10,9,2.948731,260.617625
2014,10,10,2.72133988,256.743975
2014,10,11,3.64456025,266.744
2014,10,12,2.6836975,256.02845
2014,10,13,3.09533575,261.3960125
2014,10,14,7.37396812,284.9014125
2014,10,15,7.57493387,287.4870625
2014,10,16,10.4355325,288.83095
2014,10,17,6.96898138,283.7352375
2014,10,18,5.80841438,282.38305
2014,10,19,3.83954037,265.8146
2014,10,20,2.31679187,242.9437875
2014,10,21,4.89315375,272.74195
2014,10,22,6.63272388,278.0108375
2014,10,23,6.87520688,277.982
2014,10,24,5.64673575,275.774975
2014,10,25,3.97457312,272.1309875
2014,10,26,4.05007113,272.1424125
2014,10,27,3.38791362,265.1533
2014,10,28,4.16915688,273.433325
2014,10,29,5.6691135,283.7343
2014,10,30,3.35521475,264.4091375
2014,10,31,2.61408112,252.917725
2015,10,1,5.35833025,278.885325
2015,10,2,4.9325275,280.5274375
2015,10,3,5.40079875,282.9890625
2015,10,4,3.54713662,273.4888125
2015,10,5,3.70556912,273.2061375
2015,10,6,3.99830025,275.736825
2015,10,7,4.1802865,276.0083
2015,10,8,3.32627075,266.48595
2015,10,9,5.65007787,276.5079125
2015,10,10,3.75770488,260.256575
2015,10,11,3.32424938,264.566975
2015,10,12,3.70934862,276.790025
2015,10,13,5.842178,270.364725
2015,10,14,5.25208688,279.99845
2015,10,15,2.54562325,250.0760875
2015,10,16,3.21257875,263.570875
2015,10,17,2.811574,253.9915875
2015,10,18,1.52561675,205.7957125
2015,10,19,1.39545688,198.6559375
2015,10,20,3.746733,267.1151875
2015,10,21,5.6689215,279.10485
2015,10,22,5.430537,280.734625
2015,10,23,3.02216137,255.2788125
2015,10,24,2.52581862,261.6910875
2015,10,25,5.095437,275.1437875
2015,10,26,2.22230312,238.4407625
2015,10,27,2.21615175,236.889525
2015,10,28,3.3145965,252.484775
2015,10,29,8.6321675,285.526975
2015,10,30,2.64226862,254.2163375
2015,10,31,1.48296921,205.740375
2016,10,1,6.95058863,276.5058625
2016,10,2,8.2270785,281.5283875
2016,10,3,6.36364338,282.01795
2016,10,4,4.69591,275.7397125
2016,10,5,2.41771788,254.579525
2016,10,6,1.97165162,239.8929
2016,10,7,4.09671925,279.44125
2016,10,8,4.17094538,265.195475
2016,10,9,7.58416138,281.5874
2016,10,10,2.93502075,254.935
2016,10,11,2.07354312,242.903025
2016,10,12,2.32809712,246.063025
2016,10,13,4.91458762,276.682275
2016,10,14,2.30285225,235.3455375
2016,10,15,2.0868775,238.1489625
2016,10,16,3.92635075,269.414425
2016,10,17,5.4297375,279.94195
2016,10,18,6.92058375,285.227
2016,10,19,5.99461862,286.608175
2016,10,20,4.07937275,274.6479
2016,10,21,8.40783788,284.813575
2016,10,22,9.33340538,285.0884625
2016,10,23,2.85698675,251.4915375
2016,10,24,2.96689288,256.2569
2016,10,25,2.0566565,233.2197125
2016,10,26,2.05424238,231.2512
2016,10,27,2.7127435,242.7238125
2016,10,28,5.36561588,272.7073625
2016,10,29,3.62380625,266.0967625
2016,10,30,6.06035212,278.9883625
2016,10,31,2.77104525,250.5497
2017,10,1,2.95039538,261.8362125
2017,10,2,3.22096438,268.2859375
2017,10,3,4.33004387,276.125075
2017,10,4,4.56322438,281.6286125
2017,10,5,6.22723162,286.5600625
2017,10,6,4.78977062,280.6198125
2017,10,7,6.25528888,284.042225
2017,10,8,9.66487012,289.7153125
2017,10,9,9.69133962,289.4628125
2017,10,10,8.14165687,288.384275
2017,10,11,6.2256945,284.236425
2017,10,12,3.30033162,259.8203375
2017,10,13,2.77422788,255.1472875
2017,10,14,5.6462825,281.5774375
2017,10,15,7.412673,286.2417625
2017,10,16,5.66501775,277.8198625
2017,10,17,2.26630575,243.3980875
2017,10,18,2.91466813,260.16695
2017,10,19,3.26228037,272.055075
2017,10,20,3.28767525,269.8642625
2017,10,21,3.04156562,267.57405
2017,10,22,4.50638763,282.081
2017,10,23,3.68976538,270.0948375
2017,10,24,8.43579388,286.70805
2017,10,25,10.34879988,287.460925
2017,10,26,7.46696038,281.8029875
2017,10,27,3.28279275,263.2363
2017,10,28,3.15828112,265.1015125
2017,10,29,5.64595762,281.1652125
2017,10,30,7.4705095,280.12335
2017,10,31,2.74882312,255.926825
2018,10,1,5.82046525,279.2111125
2018,10,2,7.3166885,280.2288
2018,10,3,8.80259088,285.2089875
2018,10,4,7.83047262,285.0023875
2018,10,5,4.1162555,272.659275
2018,10,6,3.85723238,271.5246375
2018,10,7,9.4611765,286.8624625
2018,10,8,6.63465688,279.356575
2018,10,9,8.78313488,287.2455875
2018,10,10,8.91027462,290.93355
2018,10,11,11.13110725,289.5485125
2018,10,12,7.09843688,282.351725
2018,10,13,3.60605625,265.2346375
2018,10,14,2.75993,254.826475
2018,10,15,4.77441938,271.315075
2018,10,16,4.30676638,257.1514
2018,10,17,3.002862,259.4027
2018,10,18,1.92920362,224.6495125
2018,10,19,2.39578675,243.0328375
2018,10,20,3.73660612,269.6935875
2018,10,21,2.47345288,245.5199625
2018,10,22,1.56726212,210.8373
2018,10,23,2.94006075,251.6547875
2018,10,24,3.605936,261.47775
2018,10,25,2.27789962,239.067025
2018,10,26,1.60034612,212.7583125
2018,10,27,3.64894212,260.3194875
2018,10,28,6.57163225,278.7725
2018,10,29,4.27648425,268.9828625
2018,10,30,2.75884225,252.5470125
2018,10,31,2.13457112,236.00365
