####################################################################################################
# Month: 08Aug                                                                                     #
# Station: APEX                                                                                    #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,08,1,0,0.03834133,13.88795
2009,08,1,1,0.03532673,13.1711
2009,08,1,2,0.02902148,11.65194
2009,08,1,3,0.02729861,11.23479
2009,08,1,4,0.02542599,10.7543
2009,08,1,5,0.02597572,10.88558
2009,08,1,6,0.0326839,12.61323
2009,08,1,7,0.03653241,13.55794
2009,08,2,0,0.03190856,12.40489
2009,08,2,1,0.02994395,11.94927
2009,08,2,2,0.02637098,11.03389
2009,08,2,3,0.02852017,11.56672
2009,08,2,4,0.032477,12.53139
2009,08,2,5,0.03649484,13.50288
2009,08,2,6,0.03959117,14.30601
2009,08,2,7,0.03655318,13.54913
2009,08,3,0,0.03469666,13.07843
2009,08,3,1,0.03030263,12.00028
2009,08,3,2,0.02564886,10.79197
2009,08,3,3,0.01990202,9.263201
2009,08,3,4,0.01621112,8.266426
2009,08,3,5,0.01570834,8.129618
2009,08,3,6,0.01584758,8.170084
2009,08,3,7,0.01520058,8.00135
2009,08,4,0,0.01463221,7.867829
2009,08,4,1,0.0140991,7.731559
2009,08,4,2,0.0138799,7.674316
2009,08,4,3,0.01682695,8.495092
2009,08,4,4,0.02263501,10.05053
2009,08,4,5,0.02434012,10.52515
2009,08,4,6,0.02766523,11.40681
2009,08,4,7,0.03009082,12.05838
2009,08,5,0,0.03152565,12.45194
2009,08,5,1,0.03132201,12.41396
2009,08,5,2,0.02967598,11.97649
2009,08,5,3,0.0266452,11.17719
2009,08,5,4,0.02632171,11.08529
2009,08,5,5,0.02630499,11.06935
2009,08,5,6,0.02472704,10.64358
2009,08,5,7,0.02359559,10.35316
2009,08,6,0,0.02502006,10.73919
2009,08,6,1,0.0263828,11.08928
2009,08,6,2,0.0259937,10.96316
2009,08,6,3,0.02341855,10.27963
2009,08,6,4,0.02163921,9.80637
2009,08,6,5,0.02347397,10.28164
2009,08,6,6,0.02546361,10.82993
2009,08,6,7,0.02707381,11.26759
2009,08,7,0,0.02671377,11.14495
2009,08,7,1,0.02507045,10.6914
2009,08,7,2,0.02400104,10.39832
2009,08,7,3,0.02380569,10.34516
2009,08,7,4,0.02602727,10.93361
2009,08,7,5,0.02815358,11.4923
2009,08,7,6,0.0342274,13.03227
2009,08,7,7,0.03916466,14.26553
2009,08,8,0,0.04022362,14.50615
2009,08,8,1,0.03696054,13.69575
2009,08,8,2,0.03447827,13.05274
2009,08,8,3,0.03625064,13.4696
2009,08,8,4,0.03432961,13.02683
2009,08,8,5,0.03348704,12.83914
2009,08,8,6,0.06110056,19.53998
2009,08,8,7,0.04254439,15.05536
2009,08,9,0,0.01192943,7.096032
2009,08,9,1,0.01067881,6.71395
2009,08,9,2,0.01283323,7.320908
2009,08,9,3,0.0163971,8.294729
2009,08,9,4,0.02231095,9.883294
2009,08,9,5,0.02952774,11.72495
2009,08,9,6,0.03223713,12.41061
2009,08,9,7,0.03305971,12.65106
2009,08,10,0,0.02923022,11.72856
2009,08,10,1,0.01773509,8.716251
2009,08,10,2,0.01211705,7.104387
2009,08,10,3,0.01320232,7.39262
2009,08,10,4,0.01431355,7.683018
2009,08,10,5,0.01534258,7.968941
2009,08,10,6,0.01734657,8.542842
2009,08,10,7,0.01697511,8.476755
2009,08,11,0,0.01544167,8.05815
2009,08,11,1,0.01556869,8.086752
2009,08,11,2,0.01699873,8.471197
2009,08,11,3,0.01868717,8.9429
2009,08,11,4,0.02080996,9.466702
2009,08,11,5,0.02327936,10.09408
2009,08,11,6,0.0260452,10.83194
2009,08,11,7,0.02901001,11.63479
2009,08,12,0,0.03251624,12.59879
2009,08,12,1,0.03257655,12.67716
2009,08,12,2,0.02926901,11.82929
2009,08,12,3,0.02682935,11.18801
2009,08,12,4,0.02505714,10.7165
2009,08,12,5,0.02763961,11.3859
