####################################################################################################
# Month: 04Apr                                                                                     #
# Station: BLDR                                                                                    #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,04,1,0,0.08367969,22.87969
2009,04,1,1,0.0615745,17.74256
2009,04,1,2,0.06798662,19.24385
2009,04,1,3,0.0804027,22.15021
2009,04,1,4,0.1044926,27.70304
2009,04,1,5,0.09047736,24.40846
2009,04,1,6,0.08834752,23.83622
2009,04,1,7,0.1033205,27.18664
2009,04,2,0,0.1150242,29.95594
2009,04,2,1,0.07733611,21.34971
2009,04,2,2,0.05740972,16.6844
2009,04,2,3,0.05054066,15.06674
2009,04,2,4,0.05261622,15.62164
2009,04,2,5,0.05533098,16.32948
2009,04,2,6,0.06544831,18.86409
2009,04,2,7,0.06981056,20.02135
2009,04,3,0,0.07717186,21.75885
2009,04,3,1,0.06426776,18.59835
2009,04,3,2,0.05814028,17.20109
2009,04,3,3,0.06372305,18.60951
2009,04,3,4,0.09038606,24.95749
2009,04,3,5,0.07252197,20.71288
2009,04,3,6,0.0952503,26.09746
2009,04,3,7,0.1301206,33.8632
2009,04,4,0,0.09132625,25.11281
2009,04,4,1,0.1395128,36.13141
2009,04,4,2,0.142318,36.83433
2009,04,4,3,0.09869939,26.88283
2009,04,4,4,0.1079997,28.91728
2009,04,4,5,0.1275998,33.10915
2009,04,4,6,0.1298147,33.40586
2009,04,4,7,0.1061648,28.10254
2009,04,5,0,0.1016346,26.93815
2009,04,5,1,0.09156822,24.59964
2009,04,5,2,0.08609176,23.29791
2009,04,5,3,0.06944877,19.48
2009,04,5,4,0.05596523,16.31297
2009,04,5,5,0.05280998,15.55153
2009,04,5,6,0.07660155,21.1527
2009,04,5,7,0.1046548,27.51216
2009,04,6,0,0.0736996,20.45992
2009,04,6,1,0.06862483,19.39845
2009,04,6,2,0.04586638,13.97931
2009,04,6,3,0.0453743,13.87372
2009,04,6,4,0.04407988,13.59286
2009,04,6,5,0.03966509,12.5217
2009,04,6,6,0.04161603,13.04752
2009,04,6,7,0.04361503,13.59099
2009,04,7,0,0.04505396,13.99478
2009,04,7,1,0.04194353,13.21006
2009,04,7,2,0.03999047,12.72598
2009,04,7,3,0.03884494,12.45215
2009,04,7,4,0.03698373,11.96092
2009,04,7,5,0.0370433,11.97518
2009,04,7,6,0.03900409,12.48923
2009,04,7,7,0.04367009,13.67598
2009,04,8,0,0.04373417,13.70305
2009,04,8,1,0.04212673,13.2993
2009,04,8,2,0.04245194,13.38095
2009,04,8,3,0.04448346,13.91865
2009,04,8,4,0.05168721,15.74877
2009,04,8,5,0.05807161,17.36309
2009,04,8,6,0.05663067,16.97969
2009,04,8,7,0.06083454,18.02975
2009,04,9,0,0.066012,19.18317
2009,04,9,1,0.05442275,16.35857
2009,04,9,2,0.04968604,15.13488
2009,04,9,3,0.04787162,14.62338
2009,04,9,4,0.05162662,15.47424
2009,04,9,5,0.07349858,20.66954
2009,04,9,6,0.08217223,22.65629
2009,04,9,7,0.08404261,23.16212
2009,04,10,0,0.09674139,26.14506
2009,04,10,1,0.09024742,24.69272
2009,04,10,2,0.0708717,20.26533
2009,04,10,3,0.06396099,18.61664
2009,04,10,4,0.05791944,17.1047
2009,04,10,5,0.06133794,17.91387
2009,04,10,6,0.09591126,25.99852
2009,04,10,7,0.1202425,31.54434
2009,04,11,0,0.09770217,26.56759
2009,04,11,1,0.07204692,20.62795
2009,04,11,2,0.06400681,18.72304
2009,04,11,3,0.06561012,19.07063
2009,04,11,4,0.09914483,26.87949
2009,04,11,5,0.09747719,26.72431
2009,04,11,6,0.162921,41.465
2009,04,11,7,0.09599257,26.37251
2009,04,12,0,0.1276841,33.42515
2009,04,12,1,0.09420552,25.92824
2009,04,12,2,0.07548499,21.52765
2009,04,12,3,0.08656804,24.15923
2009,04,12,4,0.1085707,29.34175
2009,04,12,5,0.146489,38.04071
2009,04,12,6,0.1849252,46.07298
2009,04,12,7,0.2226095,54.15466
2009,04,13,0,0.1803241,45.25466
2009,04,13,1,0.1019017,27.59956
2009,04,13,2,0.06719055,19.41101
2009,04,13,3,0.0491799,15.02959
2009,04,13,4,0.05186493,15.7152
2009,04,13,5,0.05771543,17.15817
2009,04,13,6,0.06986788,20.16807
2009,04,13,7,0.07169974,20.58613
2009,04,14,0,0.08063284,22.70124
2009,04,14,1,0.08051709,22.71102
2009,04,14,2,0.06984698,20.20256
2009,04,14,3,0.06763101,19.61145
2009,04,14,4,0.06886461,19.89194
2009,04,14,5,0.07011096,20.19558
2009,04,14,6,0.09859649,26.83095
2009,04,14,7,0.119875,31.66852
2009,04,15,0,0.09672737,26.54414
2009,04,15,1,0.0745723,21.39677
2009,04,15,2,0.07384285,21.09379
2009,04,15,3,0.08735852,24.29415
2009,04,15,4,0.06232137,18.47172
2009,04,15,5,0.06881729,19.98953
2009,04,15,6,0.0858112,23.92863
2009,04,15,7,0.09276827,25.46414
2009,04,16,0,0.06640098,19.28515
2009,04,16,1,0.05742971,17.18655
2009,04,16,2,0.07194699,20.71887
2009,04,16,3,0.08364839,23.53679
2009,04,16,4,0.07503209,21.41035
2009,04,16,5,0.1417279,36.96291
2009,04,16,6,0.1080428,29.23567
2009,04,16,7,0.1210775,32.15075
2009,04,17,0,0.1450437,37.55804
2009,04,17,1,0.1531605,39.53066
2009,04,17,2,0.1027796,28.0635
2009,04,17,3,0.1140257,30.61839
2009,04,17,4,0.1071407,28.98183
2009,04,17,5,0.1428202,37.1354
2009,04,17,6,0.1628648,41.13022
2009,04,17,7,0.1717646,43.06235
2009,04,18,0,0.1454001,37.50603
2009,04,18,1,0.10483,28.29557
2009,04,18,2,0.08944642,24.64755
2009,04,18,3,0.1096217,29.25744
2009,04,18,4,0.1544909,39.21556
2009,04,18,5,0.1567282,39.84092
2009,04,18,6,0.1639786,41.55132
2009,04,18,7,0.1425286,36.78685
2009,04,19,0,0.1304045,34.05588
2009,04,19,1,0.1607182,40.84456
2009,04,19,2,0.08397944,23.46861
2009,04,19,3,0.05814583,17.20648
2009,04,19,4,0.05843397,17.23319
2009,04,19,5,0.05763203,17.02624
2009,04,19,6,0.06583182,19.07193
2009,04,19,7,0.09360196,25.7636
2009,04,20,0,0.07910624,22.41107
2009,04,20,1,0.06531715,19.06553
2009,04,20,2,0.06976124,20.13163
2009,04,20,3,0.07054929,20.31883
2009,04,20,4,0.06896142,19.94846
2009,04,20,5,0.07049663,20.33949
2009,04,20,6,0.07580403,21.66723
2009,04,20,7,0.08296881,23.44122
2009,04,21,0,0.09125987,25.40501
2009,04,21,1,0.07643403,21.90165
2009,04,21,2,0.07603878,21.85691
2009,04,21,3,0.07428232,21.42769
2009,04,21,4,0.06921033,20.17519
2009,04,21,5,0.06740972,19.74796
2009,04,21,6,0.07109301,20.69089
2009,04,21,7,0.08433851,23.92576
2009,04,22,0,0.1006928,27.73239
2009,04,22,1,0.09318363,25.96552
2009,04,22,2,0.07963273,22.72536
2009,04,22,3,0.07278166,21.06136
2009,04,22,4,0.06521476,19.18359
2009,04,22,5,0.06291966,18.5682
2009,04,22,6,0.06775205,19.74418
2009,04,22,7,0.09099629,25.20266
