####################################################################################################
# Month: 05May                                                                                     #
# Station: BRZ                                                                                     #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,05,1,0.11204776,31.14117625
2009,05,2,0.15874729,41.64470875
2009,05,3,0.09105072,25.9920275
2009,05,4,0.09671705,27.25981125
2009,05,5,0.11135656,30.47749125
2009,05,6,0.11773548,32.64157875
2009,05,7,0.05723487,17.606245
2009,05,8,0.05409316,16.7245625
2009,05,9,0.06569553,19.61161
2009,05,10,0.11827701,32.23543375
2009,05,11,0.11957292,32.660885
2009,05,12,0.09468382,26.828305
2009,05,13,0.0508058,15.94695625
2009,05,14,0.08567537,24.46917625
2009,05,15,0.11891194,32.40251
2009,05,16,0.17443461,45.60836875
2009,05,17,0.06675094,20.08732125
2009,05,18,0.04305894,13.849075
2009,05,19,0.04565932,14.47408
2009,05,20,0.0497505,15.44059625
2009,05,21,0.04107068,13.35769125
2009,05,22,0.03579413,11.96746375
2009,05,23,0.03803678,12.56200875
2009,05,24,0.04456199,14.274495
2009,05,25,0.04706702,14.9334175
2009,05,26,0.06221593,18.77761375
2009,05,27,0.09920598,27.87014875
2009,05,28,0.05885021,17.98200125
2009,05,29,0.06504991,19.60213
2009,05,30,0.07044065,20.9719825
2009,05,31,0.08211097,23.85650125
2010,05,1,0.17200702,44.69042
2010,05,2,0.06781424,20.2008125
2010,05,3,0.04192652,13.5879175
2010,05,4,0.040026,13.1107875
2010,05,5,0.04693114,14.84229
2010,05,6,0.05786331,17.71908
2010,05,7,0.07330376,21.7777975
2010,05,8,0.0728619,21.63477125
2010,05,9,0.11037064,30.711625
2010,05,10,0.25537645,63.2258075
2010,05,11,0.22213318,56.05463
2010,05,12,0.13873388,37.44787875
2010,05,13,0.08503244,24.18026375
2010,05,14,0.0365356,12.20650875
2010,05,15,0.03847239,12.66322
2010,05,16,0.03701711,12.31700375
2010,05,17,0.04720278,14.9628975
2010,05,18,0.06462498,19.5336075
2010,05,19,0.07463095,21.7830575
2010,05,20,0.16810075,43.8627475
2010,05,21,0.05518947,17.051375
2010,05,22,0.11890543,32.59772875
2010,05,23,0.1276394,34.962925
2010,05,24,0.06546479,19.70313125
2010,05,25,0.07491157,21.8398575
2010,05,26,0.0897154,25.70373625
2010,05,27,0.14065428,36.97611625
2010,05,28,0.07791771,22.72071
2010,05,29,0.06350849,19.18516
2010,05,30,0.06403792,19.27750625
2010,05,31,0.08139098,23.5908825
2011,05,1,0.09370238,26.74082625
2011,05,2,0.07868072,22.93075625
2011,05,3,0.14874445,39.6820125
2011,05,4,0.14182963,38.058335
2011,05,5,0.06444616,19.4968125
2011,05,6,0.08802141,25.44601875
2011,05,7,0.04927123,15.5582775
2011,05,8,0.04017836,13.0757325
2011,05,9,0.04207946,13.596795
2011,05,10,0.09467935,26.971575
2011,05,11,0.10997898,30.79435375
2011,05,12,0.07919964,23.17433
2011,05,13,0.09339772,26.48597625
2011,05,14,0.11820783,32.6667425
2011,05,15,0.08115139,23.42036
2011,05,16,0.14413653,38.15459375
2011,05,17,0.07062634,20.869675
2011,05,18,0.05646519,17.34913
2011,05,19,0.07770144,22.44159875
2011,05,20,0.13167491,35.509965
2011,05,21,0.13552985,36.128855
2011,05,22,0.03601939,11.9758625
2011,05,23,0.0357403,11.93981375
2011,05,24,0.04092797,13.28448
2011,05,25,0.04208391,13.56801375
2011,05,26,0.04335244,13.89439625
2011,05,27,0.04045528,13.16422625
2011,05,28,0.07787826,22.69410125
2011,05,29,0.06748876,20.21354
2011,05,30,0.04740933,14.97903
2011,05,31,0.04378802,14.00985125
2012,05,1,0.14089012,37.77675875
2012,05,2,0.16703109,43.98104
2012,05,3,0.06897185,20.58913125
2012,05,4,0.07981465,23.20493375
2012,05,5,0.10285056,28.6733575
2012,05,6,0.20895595,53.17470625
2012,05,7,0.0716431,21.07025125
2012,05,8,0.12096456,32.56756125
2012,05,9,0.11248675,31.03993125
2012,05,10,0.09775429,27.70730625
2012,05,11,0.10127085,28.59357
2012,05,12,0.07613689,22.37632875
2012,05,13,0.17263109,44.9545225
2012,05,14,0.26639448,64.6984125
2012,05,15,0.2330886,57.64563
2012,05,16,0.17665005,45.36864375
2012,05,17,0.10573859,29.4584675
2012,05,18,0.10204747,28.43426625
2012,05,19,0.07660133,22.32202875
2012,05,20,0.06514415,19.41901125
2012,05,21,0.09567133,27.00180625
2012,05,22,0.10271871,28.75228625
2012,05,23,0.12394963,33.42098375
2012,05,24,0.10109967,28.22967
2012,05,25,0.09069285,25.6458975
2012,05,26,0.11775442,31.92182125
