####################################################################################################
# Month: 07Jul                                                                                     #
# Station: CAT                                                                                     #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,07,1,0,0.1091204,29.33402
2009,07,1,1,0.4256716,92.26649
2009,07,1,2,0.1359946,34.97289
2009,07,1,3,0.1808261,45.11511
2009,07,1,4,0.1134637,30.05456
2009,07,1,5,0.1601279,40.78754
2009,07,1,6,0.1632916,41.47679
2009,07,1,7,0.1306901,34.17337
2009,07,2,0,0.1236184,32.60358
2009,07,2,1,0.1415174,36.69056
2009,07,2,2,0.1090037,29.42251
2009,07,2,3,0.1167734,31.33351
2009,07,2,4,0.08661262,24.05414
2009,07,2,5,0.08667917,24.03009
2009,07,2,6,0.08383042,23.39262
2009,07,2,7,0.07879586,22.19659
2009,07,3,0,0.1037646,28.02316
2009,07,3,1,0.1157027,30.806
2009,07,3,2,0.1115926,29.99124
2009,07,3,3,0.129608,34.2325
2009,07,3,4,0.1222838,32.56042
2009,07,3,5,0.1384408,35.91386
2009,07,3,6,0.1180357,31.43327
2009,07,3,7,0.1366453,35.79783
2009,07,4,0,0.1829221,45.65828
2009,07,4,1,0.1492968,38.01829
2009,07,4,2,0.1538992,39.24501
2009,07,4,3,0.1448573,37.07107
2009,07,4,4,0.1483752,38.36679
2009,07,4,5,0.1540623,39.8455
2009,07,4,6,0.1460717,37.92992
2009,07,4,7,0.1244767,33.01418
2009,07,5,0,0.1420092,37.24794
2009,07,5,1,0.2042486,50.74023
2009,07,5,2,0.1436571,37.05846
2009,07,5,3,0.1602118,40.11029
2009,07,5,4,0.1835137,44.84366
2009,07,5,5,0.2100179,50.49244
2009,07,5,6,0.1923425,47.22922
2009,07,5,7,0.1523894,39.0749
2009,07,6,0,0.189863,47.68519
2009,07,6,1,0.1172699,31.36596
2009,07,6,2,0.1158254,31.01869
2009,07,6,3,0.09983179,27.20768
2009,07,6,4,0.1141001,30.68885
2009,07,6,5,0.1267548,33.503
2009,07,6,6,0.1820475,45.3266
2009,07,6,7,0.1458077,37.05677
2009,07,7,0,0.09909253,26.80968
2009,07,7,1,0.04447945,13.67869
2009,07,7,2,0.05649676,16.67096
2009,07,7,3,0.07672406,21.74384
2009,07,7,4,0.0983405,26.91887
2009,07,7,5,0.09370856,25.51149
2009,07,7,6,0.08309776,22.83277
2009,07,7,7,0.06689088,18.96249
2009,07,8,0,0.05955391,17.17405
2009,07,8,1,0.05780991,16.82313
2009,07,8,2,0.08561575,23.54409
2009,07,8,3,0.06906545,19.59919
2009,07,8,4,0.07033428,19.98198
2009,07,8,5,0.07936018,22.34874
2009,07,8,6,0.09202727,25.41157
2009,07,8,7,0.09239736,25.50328
2009,07,9,0,0.08142338,22.92941
2009,07,9,1,0.08341562,23.3735
2009,07,9,2,0.07555818,21.46442
2009,07,9,3,0.09582191,26.42276
2009,07,9,4,0.08525899,23.7692
2009,07,9,5,0.1226412,32.56356
2009,07,9,6,0.1095547,29.49236
2009,07,9,7,0.137462,35.79461
2009,07,10,0,0.161274,40.59188
2009,07,10,1,0.1178349,31.10208
2009,07,10,2,0.05340915,15.90763
2009,07,10,3,0.04600479,14.12911
2009,07,10,4,0.0466349,14.23118
2009,07,10,5,0.07535841,21.15009
2009,07,10,6,0.09011521,25.01466
2009,07,10,7,0.09360954,26.00895
2009,07,11,0,0.07702857,21.89292
2009,07,11,1,0.06943235,20.07957
2009,07,11,2,0.06955524,20.06405
2009,07,11,3,0.06165141,18.35561
2009,07,11,4,0.06547194,19.36862
2009,07,11,5,0.06108806,18.2842
2009,07,11,6,0.05943604,17.82393
2009,07,11,7,0.06470296,19.04784
2009,07,12,0,0.06272585,18.51081
2009,07,12,1,0.08471458,23.77808
2009,07,12,2,0.1032682,28.09984
2009,07,12,3,0.08794769,24.31247
2009,07,12,4,0.1265818,33.33648
2009,07,12,5,0.1986142,48.90555
2009,07,12,6,0.1504162,38.03363
2009,07,12,7,0.06768676,19.42363
2009,07,13,0,0.08385869,23.42557
2009,07,13,1,0.04539554,13.99218
2009,07,13,2,0.05058552,15.27084
2009,07,13,3,0.0610537,17.87424
2009,07,13,4,0.07258215,20.81337
2009,07,13,5,0.07448076,21.37733
2009,07,13,6,0.0756956,21.68275
2009,07,13,7,0.06949076,20.12156
2009,07,14,0,0.06376137,18.69997
2009,07,14,1,0.05771521,17.19253
2009,07,14,2,0.05316932,16.07415
2009,07,14,3,0.05256329,15.94231
2009,07,14,4,0.05377645,16.2431
2009,07,14,5,0.05551695,16.69039
2009,07,14,6,0.0536902,16.21588
2009,07,14,7,0.05319738,16.11814
2009,07,15,0,0.05340129,16.14587
2009,07,15,1,0.04844546,14.91484
2009,07,15,2,0.05470604,16.42046
2009,07,15,3,0.06099156,17.96269
2009,07,15,4,0.05947965,17.61863
2009,07,15,5,0.05167087,15.71154
2009,07,15,6,0.050134,15.34549
2009,07,15,7,0.05170474,15.74485
2009,07,16,0,0.05338528,16.17621
2009,07,16,1,0.05409231,16.3798
2009,07,16,2,0.05464722,16.54511
2009,07,16,3,0.05657322,17.03837
2009,07,16,4,0.06073829,18.07893
2009,07,16,5,0.05953601,17.71429
2009,07,16,6,0.05769688,17.19475
2009,07,16,7,0.05810364,17.25711
2009,07,17,0,0.05985745,17.61869
2009,07,17,1,0.05498381,16.48652
2009,07,17,2,0.05418434,16.31487
2009,07,17,3,0.05705339,17.02717
2009,07,17,4,0.0551539,16.55277
2009,07,17,5,0.0553432,16.64599
2009,07,17,6,0.0557817,16.75416
2009,07,17,7,0.05797147,17.30699
2009,07,18,0,0.05938192,17.63108
2009,07,18,1,0.06432045,18.8892
2009,07,18,2,0.06388919,18.86528
2009,07,18,3,0.07132194,20.61633
2009,07,18,4,0.07641543,21.82728
2009,07,18,5,0.08056821,22.763
2009,07,18,6,0.103825,27.99391
2009,07,18,7,0.1090264,29.43931
2009,07,19,0,0.1582077,40.16896
2009,07,19,1,0.1287427,33.68982
2009,07,19,2,0.09726765,26.57125
2009,07,19,3,0.0757555,21.44645
2009,07,19,4,0.0895847,24.7134
2009,07,19,5,0.1260983,33.19035
2009,07,19,6,0.07839288,22.01178
2009,07,19,7,0.08803097,24.28421
2009,07,20,0,0.08585023,23.56822
2009,07,20,1,0.09476872,25.51865
2009,07,20,2,0.08478464,23.47095
2009,07,20,3,0.08351667,23.29549
2009,07,20,4,0.06491462,18.73576
2009,07,20,5,0.0581521,17.03702
2009,07,20,6,0.05696958,16.74768
2009,07,20,7,0.05966658,17.40306
2009,07,21,0,0.06946098,19.76637
2009,07,21,1,0.09479974,25.62173
2009,07,21,2,0.09063224,24.71946
2009,07,21,3,0.07059632,19.90642
2009,07,21,4,0.0854414,23.17607
2009,07,21,5,0.09324367,24.94519
2009,07,21,6,0.07931153,21.69695
2009,07,21,7,0.07570799,20.84808
2009,07,22,0,0.1660354,41.19616
2009,07,22,1,0.07694647,21.22328
2009,07,22,2,0.05988216,17.23399
2009,07,22,3,0.128191,33.2458
2009,07,22,4,0.05193907,15.39813
2009,07,22,5,0.05755167,16.79694
2009,07,22,6,0.06325896,18.21387
2009,07,22,7,0.05173748,15.43879
2009,07,23,0,0.05269936,15.70166
2009,07,23,1,0.05559905,16.41558
2009,07,23,2,0.05809076,16.98285
2009,07,23,3,0.06382456,18.39109
2009,07,23,4,0.06239179,18.03329
2009,07,23,5,0.05818739,16.98135
2009,07,23,6,0.05863724,17.09858
2009,07,23,7,0.0609009,17.67963
2009,07,24,0,0.06515169,18.76752
2009,07,24,1,0.06740039,19.36096
2009,07,24,2,0.07196306,20.47274
2009,07,24,3,0.0778837,21.87176
2009,07,24,4,0.07447187,21.09074
2009,07,24,5,0.07104704,20.29733
2009,07,24,6,0.07339268,20.8366
2009,07,24,7,0.08437979,23.43232
2009,07,25,0,0.07431593,21.0996
2009,07,25,1,0.0981884,26.8551
2009,07,25,2,0.05573917,16.45416
2009,07,25,3,0.06137703,17.82092
2009,07,25,4,0.04969376,14.92544
2009,07,25,5,0.04852091,14.63478
2009,07,25,6,0.05168843,15.44967
2009,07,25,7,0.04886255,14.78111
2009,07,26,0,0.04687312,14.29009
2009,07,26,1,0.0493482,14.9087
2009,07,26,2,0.04912425,14.84361
2009,07,26,3,0.04829212,14.60337
2009,07,26,4,0.05476159,16.1403
2009,07,26,5,0.06735386,19.19599
2009,07,26,6,0.07394681,20.70953
2009,07,26,7,0.06717872,19.18595
2009,07,27,0,0.0492767,14.79753
2009,07,27,1,0.04621424,14.06229
2009,07,27,2,0.0455807,13.91024
2009,07,27,3,0.04648058,14.12122
2009,07,27,4,0.04779574,14.43262
2009,07,27,5,0.04911432,14.75567
2009,07,27,6,0.05026671,15.06279
2009,07,27,7,0.05137437,15.35368
2009,07,28,0,0.05048551,15.11562
2009,07,28,1,0.04937757,14.82856
2009,07,28,2,0.04925765,14.80803
2009,07,28,3,0.04763926,14.44927
2009,07,28,4,0.04860028,14.68898
2009,07,28,5,0.04973704,14.95244
2009,07,28,6,0.05247246,15.62803
2009,07,28,7,0.05275661,15.69969
2009,07,29,0,0.05847295,17.08331
2009,07,29,1,0.06253415,18.12066
2009,07,29,2,0.06346723,18.37417
2009,07,29,3,0.06382009,18.4276
2009,07,29,4,0.06782053,19.38905
2009,07,29,5,0.07023502,20.0021
2009,07,29,6,0.06973379,19.90935
2009,07,29,7,0.06809982,19.513
2009,07,30,0,0.06850209,19.60443
2009,07,30,1,0.07150138,20.30148
2009,07,30,2,0.07441468,20.96225
2009,07,30,3,0.07678456,21.48873
2009,07,30,4,0.06823333,19.48955
2009,07,30,5,0.07435814,20.91655
2009,07,30,6,0.07124028,20.22495
2009,07,30,7,0.05780676,16.96588
2009,07,31,0,0.06365076,18.2906
2009,07,31,1,0.09480861,25.58948
2009,07,31,2,0.1124007,29.66446
2009,07,31,3,0.1173813,30.78879
2009,07,31,4,0.1259197,32.78833
2009,07,31,5,0.1078491,28.99453
2009,07,31,6,0.08887995,24.55146
2009,07,31,7,0.09224363,25.42559
2010,07,1,0,0.09747983,26.8956
