####################################################################################################
# Month: 11Nov                                                                                     #
# Station: CNI                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,11,1,0,8.759891
2009,11,1,1,10.157025
2009,11,1,2,9.83966
2009,11,1,3,10.058307
2009,11,1,4,10.32812
2009,11,1,5,10.31001
2009,11,1,6,10.078722
2009,11,1,7,10.157619
2009,11,2,0,9.578889
2009,11,2,1,8.90902
2009,11,2,2,8.984048
2009,11,2,3,10.191261
2009,11,2,4,10.597751
2009,11,2,5,7.78446
2009,11,2,6,4.840123
2009,11,2,7,4.013836
2009,11,3,0,3.467362
2009,11,3,1,2.549926
2009,11,3,2,1.856422
2009,11,3,3,1.835637
2009,11,3,4,1.332787
2009,11,3,5,0.971553
2009,11,3,6,2.314991
2009,11,3,7,2.776327
2009,11,4,0,2.490479
2009,11,4,1,2.428604
2009,11,4,2,2.484502
2009,11,4,3,3.336386
2009,11,4,4,4.249302
2009,11,4,5,4.813951
2009,11,4,6,4.869497
2009,11,4,7,5.981743
2009,11,5,0,8.272803
2009,11,5,1,7.187317
2009,11,5,2,6.510976
2009,11,5,3,7.525166
2009,11,5,4,7.800297
2009,11,5,5,6.610999
2009,11,5,6,5.911197
2009,11,5,7,5.92106
2009,11,6,0,6.399194
2009,11,6,1,7.220129
2009,11,6,2,7.532434
2009,11,6,3,8.859089
2009,11,6,4,8.995855
2009,11,6,5,7.564624
2009,11,6,6,7.83271
2009,11,6,7,9.965027
2009,11,7,0,9.990072
2009,11,7,1,10.682493
2009,11,7,2,11.907752
2009,11,7,3,12.445003
2009,11,7,4,12.175058
2009,11,7,5,12.488868
2009,11,7,6,14.186557
2009,11,7,7,14.668953
2009,11,8,0,13.0052
2009,11,8,1,9.769357
2009,11,8,2,8.185065
2009,11,8,3,9.496663
2009,11,8,4,8.712138
2009,11,8,5,7.232334
2009,11,8,6,7.351983
2009,11,8,7,6.905505
2009,11,9,0,6.289872
2009,11,9,1,6.738823
2009,11,9,2,7.727968
2009,11,9,3,8.113271
2009,11,9,4,6.254338
2009,11,9,5,4.917799
2009,11,9,6,4.74795
2009,11,9,7,4.872985
2009,11,10,0,4.641102
2009,11,10,1,5.095715
2009,11,10,2,6.063707
2009,11,10,3,7.155905
2009,11,10,4,6.83768
2009,11,10,5,5.680692
2009,11,10,6,6.460411
2009,11,10,7,7.514565
2009,11,11,0,6.951754
2009,11,11,1,5.68512
2009,11,11,2,4.904303
2009,11,11,3,6.645736
2009,11,11,4,6.030614
2009,11,11,5,5.363483
2009,11,11,6,3.920726
2009,11,11,7,3.163412
2009,11,12,0,2.99566
2009,11,12,1,2.823197
2009,11,12,2,2.187727
2009,11,12,3,2.139466
2009,11,12,4,3.262246
2009,11,12,5,2.862069
2009,11,12,6,2.449025
2009,11,12,7,1.650328
2009,11,13,0,0.619621
2009,11,13,1,1.107329
2009,11,13,2,1.968303
2009,11,13,3,3.423809
2009,11,13,4,3.941544
2009,11,13,5,1.771771
2009,11,13,6,2.924724
2009,11,13,7,1.553935
2009,11,14,0,2.726324
2009,11,14,1,4.502279
2009,11,14,2,3.916901
2009,11,14,3,4.070291
2009,11,14,4,4.893756
2009,11,14,5,6.627498
2009,11,14,6,8.005972
2009,11,14,7,9.288574
2009,11,15,0,10.542574
2009,11,15,1,11.169322
2009,11,15,2,10.66553
2009,11,15,3,10.961597
2009,11,15,4,12.948698
2009,11,15,5,14.987985
2009,11,15,6,15.92338
2009,11,15,7,16.150126
2009,11,16,0,15.179679
2009,11,16,1,12.662227
2009,11,16,2,8.748021
2009,11,16,3,8.942379
2009,11,16,4,9.988512
2009,11,16,5,11.535515
2009,11,16,6,10.673001
2009,11,16,7,10.715925
2009,11,17,0,11.356997
2009,11,17,1,11.298133
2009,11,17,2,10.108132
2009,11,17,3,7.736412
2009,11,17,4,7.663431
2009,11,17,5,5.516702
2009,11,17,6,3.730389
2009,11,17,7,2.587489
2009,11,18,0,1.588348
2009,11,18,1,0.578679
2009,11,18,2,1.353889
2009,11,18,3,1.05731
2009,11,18,4,1.392923
2009,11,18,5,1.850667
2009,11,18,6,1.373456
2009,11,18,7,1.922633
2009,11,19,0,1.239973
2009,11,19,1,2.447731
2009,11,19,2,3.785339
2009,11,19,3,4.551983
2009,11,19,4,5.290511
2009,11,19,5,5.958196
2009,11,19,6,6.585107
2009,11,19,7,6.853343
2009,11,20,0,7.439653
2009,11,20,1,8.942111
2009,11,20,2,9.9092
2009,11,20,3,10.106436
2009,11,20,4,9.705398
2009,11,20,5,10.49805
2009,11,20,6,10.400259
2009,11,20,7,9.497287
2009,11,21,0,9.329032
2009,11,21,1,10.306897
2009,11,21,2,10.424833
2009,11,21,3,9.441661
2009,11,21,4,8.8018
2009,11,21,5,8.450853
2009,11,21,6,7.599349
2009,11,21,7,5.640544
2009,11,22,0,3.843766
2009,11,22,1,3.244195
2009,11,22,2,3.271873
2009,11,22,3,2.831298
2009,11,22,4,1.969814
2009,11,22,5,2.402665
2009,11,22,6,3.678001
2009,11,22,7,3.949825
2009,11,23,0,3.693401
2009,11,23,1,3.663976
2009,11,23,2,3.567083
2009,11,23,3,2.993825
2009,11,23,4,2.126273
2009,11,23,5,1.9155
2009,11,23,6,2.57939
2009,11,23,7,2.904879
2009,11,24,0,2.843575
2009,11,24,1,2.80409
2009,11,24,2,3.452195
2009,11,24,3,4.034056
2009,11,24,4,3.448028
2009,11,24,5,1.971306
2009,11,24,6,1.581449
2009,11,24,7,1.568275
2009,11,25,0,1.556164
2009,11,25,1,1.446324
