####################################################################################################
# Month: 08Aug                                                                                     #
# Station: GAM                                                                                     #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,08,1,0.04656257,14.72408
2009,08,2,0.04995994,15.682025
2009,08,3,0.04608134,14.70259375
2009,08,4,0.04587743,14.6567725
2009,08,5,0.0456378,14.50710875
2009,08,6,0.04500638,14.332025
2009,08,7,0.05034458,15.75152375
2009,08,8,0.06085728,18.4669875
2009,08,9,0.06752824,20.18169375
2009,08,10,0.05990322,18.24606625
2009,08,11,0.05718608,17.5446075
2009,08,12,0.05185996,16.1485425
2009,08,13,0.04860022,15.30500375
2009,08,14,0.05382393,16.6671525
2009,08,15,0.06491103,19.473775
2009,08,16,0.07013638,20.74772625
2009,08,17,0.08478131,24.31698125
2009,08,18,0.06564706,19.54095625
2009,08,19,0.04229279,13.5832675
2009,08,20,0.04334642,13.8844625
2009,08,21,0.04471731,14.234255
2009,08,22,0.05691414,17.382655
2009,08,23,0.05648109,17.291705
2009,08,24,0.05199068,16.139875
2009,08,25,0.06115721,18.44752875
2009,08,26,0.07512083,21.94814375
2009,08,27,0.0661235,19.76844375
2009,08,28,0.06536319,19.59812375
2009,08,29,0.05883158,17.8550775
2009,08,30,0.05767069,17.56165625
2009,08,31,0.05935139,18.07127125
2010,08,1,0.05907514,18.1133325
2010,08,2,0.05741648,17.6896225
2010,08,3,0.05503533,17.1080325
2010,08,4,0.05299714,16.59801125
2010,08,5,0.05224462,16.41500875
2010,08,6,0.04754461,15.19273375
2010,08,7,0.05058517,15.97680625
2010,08,8,0.0470053,15.00908625
2010,08,9,0.03678381,12.25717625
2010,08,10,0.03551795,11.880805
2010,08,11,0.03807935,12.5227375
2010,08,12,0.04029405,13.12279375
2010,08,13,0.03992374,13.0542
2010,08,14,0.03849072,12.699425
2010,08,15,0.03983052,13.0653825
2010,08,16,0.04243536,13.73945875
2010,08,17,0.04728278,14.9331075
2010,08,18,0.0484381,15.2561625
2010,08,19,0.04720814,14.98578375
2010,08,20,0.04756016,15.111875
2010,08,21,0.05042707,15.8731425
2010,08,22,0.05707278,17.55454875
2010,08,23,0.04297261,13.8623
2010,08,24,0.05573077,17.1791775
2010,08,25,0.07010364,20.84809875
2010,08,26,0.06192423,18.77358
2010,08,27,0.0588871,18.0209525
2010,08,28,0.06214136,18.82152875
2010,08,29,0.06543366,19.661005
2010,08,30,0.06476732,19.53135
2010,08,31,0.05866616,18.00632125
2011,08,1,0.05438629,16.7637075
2011,08,2,0.05638434,17.3292075
2011,08,3,0.05850382,17.9465975
2011,08,4,0.06702391,19.95845125
2011,08,5,0.0561502,17.170155
2011,08,6,0.05411018,16.7195425
2011,08,7,0.05638498,17.35135125
2011,08,8,0.06372996,19.25842125
2011,08,9,0.05989101,18.27296
2011,08,10,0.05690062,17.49386125
2011,08,11,0.05110043,15.99394125
2011,08,12,0.05570572,17.1441975
2011,08,13,0.06306907,18.9426
2011,08,14,0.04900672,15.37342375
2011,08,15,0.05072873,15.8055025
2011,08,16,0.05733745,17.469295
2011,08,17,0.06649195,19.70432125
2011,08,18,0.06563595,19.53800375
2011,08,19,0.05358856,16.4680725
2011,08,20,0.04876699,15.3139925
2011,08,21,0.0496943,15.5816875
2011,08,22,0.06378812,19.080595
2011,08,23,0.04334238,13.9651225
2011,08,24,0.04621416,14.80598125
2011,08,25,0.04789699,15.2632775
2011,08,26,0.04766759,15.20972125
2011,08,27,0.04753418,15.1609875
2011,08,28,0.05609271,17.4015475
2011,08,29,0.06385054,19.38911
2011,08,30,0.0621378,18.94967375
2011,08,31,0.06338587,19.261885
2012,08,1,0.05447737,16.7768475
