####################################################################################################
# Month: 09Sep                                                                                     #
# Station: GAM                                                                                     #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,0.05389902,16.68271
2009,09,1,1,0.05332115,16.53113
2009,09,1,2,0.05362948,16.60518
2009,09,1,3,0.05485779,16.90943
2009,09,1,4,0.05896646,17.95118
2009,09,1,5,0.06377505,19.16251
2009,09,1,6,0.06219765,18.79076
2009,09,1,7,0.06132039,18.57794
2009,09,2,0,0.06078784,18.43949
2009,09,2,1,0.05945847,18.10256
2009,09,2,2,0.05727087,17.54624
2009,09,2,3,0.05701235,17.48523
2009,09,2,4,0.05662791,17.39524
2009,09,2,5,0.05704963,17.50507
2009,09,2,6,0.05466509,16.90776
2009,09,2,7,0.05382583,16.68884
2009,09,3,0,0.0547824,16.9274
2009,09,3,1,0.05487203,16.95258
2009,09,3,2,0.05446652,16.85473
2009,09,3,3,0.05427945,16.81729
2009,09,3,4,0.05685269,17.47243
2009,09,3,5,0.06188613,18.72787
2009,09,3,6,0.06494593,19.46778
2009,09,3,7,0.06556521,19.6161
2009,09,4,0,0.06701154,19.98001
2009,09,4,1,0.06889167,20.44763
2009,09,4,2,0.06933062,20.54632
2009,09,4,3,0.06861546,20.35647
2009,09,4,4,0.06687113,19.91255
2009,09,4,5,0.06571462,19.62353
2009,09,4,6,0.06961765,20.58811
2009,09,4,7,0.07234848,21.22933
2009,09,5,0,0.06655284,19.77432
2009,09,5,1,0.06139361,18.48086
2009,09,5,2,0.05780823,17.59565
2009,09,5,3,0.05657397,17.29875
2009,09,5,4,0.05859823,17.81888
2009,09,5,5,0.06020817,18.22794
2009,09,5,6,0.06063951,18.3313
2009,09,5,7,0.05760669,17.58812
2009,09,6,0,0.0556652,17.117
2009,09,6,1,0.05605379,17.21729
2009,09,6,2,0.05806044,17.75662
2009,09,6,3,0.05433059,16.78853
2009,09,6,4,0.05497636,16.96211
2009,09,6,5,0.05588832,17.21354
2009,09,6,6,0.05606894,17.26387
2009,09,6,7,0.05405383,16.75374
2009,09,7,0,0.05280289,16.43025
2009,09,7,1,0.05874176,18.00697
2009,09,7,2,0.05419848,16.7913
2009,09,7,3,0.05625128,17.32265
2009,09,7,4,0.05899052,18.03984
2009,09,7,5,0.06081037,18.52153
2009,09,7,6,0.05955569,18.20743
2009,09,7,7,0.05743054,17.65754
2009,09,8,0,0.05957824,18.19252
2009,09,8,1,0.06345971,19.15717
2009,09,8,2,0.06328619,19.11332
2009,09,8,3,0.06086242,18.48988
2009,09,8,4,0.06273219,18.94986
2009,09,8,5,0.05762374,17.66526
2009,09,8,6,0.0527632,16.41645
2009,09,8,7,0.05089644,15.90736
2009,09,9,0,0.05436801,16.7901
2009,09,9,1,0.06022789,18.30897
2009,09,9,2,0.06580603,19.71649
2009,09,9,3,0.06838472,20.36324
2009,09,9,4,0.06964766,20.66637
2009,09,9,5,0.07273281,21.40345
2009,09,9,6,0.07451505,21.8282
2009,09,9,7,0.07810567,22.72201
2009,09,10,0,0.07886335,22.91053
2009,09,10,1,0.07794371,22.71004
2009,09,10,2,0.08236939,23.75331
2009,09,10,3,0.08688375,24.85772
2009,09,10,4,0.08488439,24.40285
2009,09,10,5,0.07911992,23.02314
2009,09,10,6,0.07732529,22.60499
2009,09,10,7,0.07728197,22.61418
2009,09,11,0,0.0792,23.07884
2009,09,11,1,0.0779928,22.80429
2009,09,11,2,0.07238925,21.43822
2009,09,11,3,0.06606299,19.87669
2009,09,11,4,0.06316801,19.12962
2009,09,11,5,0.06440668,19.43404
2009,09,11,6,0.06853391,20.49313
2009,09,11,7,0.07405651,21.87829
2009,09,12,0,0.07426093,21.92575
2009,09,12,1,0.07902528,23.18887
2009,09,12,2,0.07715206,22.66352
2009,09,12,3,0.07914109,23.1496
2009,09,12,4,0.08466295,24.47092
2009,09,12,5,0.09704436,27.4546
2009,09,12,6,0.09710681,27.57383
2009,09,12,7,0.1128831,31.37297
2009,09,13,0,0.1157858,31.97318
2009,09,13,1,0.1210076,33.14223
2009,09,13,2,0.1237556,33.80273
2009,09,13,3,0.1287836,35.01806
2009,09,13,4,0.1729048,45.2096
2009,09,13,5,0.2033896,51.90514
2009,09,13,6,0.1534175,41.09143
2009,09,13,7,0.153675,41.10741
2009,09,14,0,0.1515797,40.54906
2009,09,14,1,0.1444835,38.94329
2009,09,14,2,0.1109975,31.05608
2009,09,14,3,0.103921,29.35847
2009,09,14,4,0.102749,29.09816
2009,09,14,5,0.1031006,29.19982
2009,09,14,6,0.09984837,28.37702
2009,09,14,7,0.09513233,27.24816
2009,09,15,0,0.09255047,26.5792
2009,09,15,1,0.09542556,27.2449
2009,09,15,2,0.09755466,27.71718
2009,09,15,3,0.1067686,29.9061
2009,09,15,4,0.1273788,34.71192
2009,09,15,5,0.1149026,31.87999
2009,09,15,6,0.1036256,29.21984
2009,09,15,7,0.1059651,29.90325
2009,09,16,0,0.09691234,27.63783
2009,09,16,1,0.09378885,26.83829
2009,09,16,2,0.1071531,30.15542
2009,09,16,3,0.09442068,26.88672
2009,09,16,4,0.09248967,26.39781
2009,09,16,5,0.09130262,26.11821
2009,09,16,6,0.09544435,27.21753
2009,09,16,7,0.08754056,25.28966
2009,09,17,0,0.07374928,21.80463
2009,09,17,1,0.06122266,18.593
2009,09,17,2,0.05469808,16.91369
