####################################################################################################
# Month: 11Nov                                                                                     #
# Station: GARS                                                                                    #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,11,1,0,0.1147705,29.41239
2009,11,1,1,0.115852,29.67276
2009,11,1,2,0.1159595,29.74203
2009,11,1,3,0.1177351,30.22394
2009,11,1,4,0.1120294,29.08795
2009,11,1,5,0.1135031,29.615
2009,11,1,6,0.1219941,31.7797
2009,11,1,7,0.1537868,39.01834
2009,11,2,0,0.2757091,64.53952
2009,11,2,1,0.3423162,77.26788
2009,11,2,2,0.353626,79.0932
2009,11,2,3,0.1319381,33.9505
2009,11,2,4,0.1130739,29.51882
2009,11,2,5,0.1009333,26.61844
2009,11,2,6,0.1007586,26.58096
2009,11,2,7,0.1177147,30.46518
2009,11,3,0,0.1252621,32.17243
2009,11,3,1,0.1278707,32.73594
2009,11,3,2,0.1591239,39.61906
2009,11,3,3,0.1698797,41.95774
2009,11,3,4,0.1327425,33.85805
2009,11,3,5,0.1219324,31.46519
2009,11,3,6,0.1191625,30.83538
2009,11,3,7,0.1225308,31.57614
2009,11,4,0,0.1300413,33.11346
2009,11,4,1,0.1395609,35.17528
2009,11,4,2,0.1401305,35.27288
2009,11,4,3,0.1322465,33.44244
2009,11,4,4,0.1266114,32.22648
2009,11,4,5,0.1580447,39.24779
2009,11,4,6,0.2037383,49.14004
2009,11,4,7,0.1736787,42.89232
2009,11,5,0,0.1497064,37.71487
2009,11,5,1,0.1373412,35.01766
2009,11,5,2,0.1197717,31.09958
2009,11,5,3,0.1159396,30.26285
2009,11,5,4,0.1176752,30.78653
2009,11,5,5,0.1817778,45.19086
2009,11,5,6,0.1514037,38.56284
2009,11,5,7,0.1102394,29.2612
2009,11,6,0,0.1118051,29.67688
2009,11,6,1,0.1140781,30.21534
2009,11,6,2,0.1170405,30.93374
2009,11,6,3,0.1451022,37.35061
2009,11,6,4,0.1506253,38.63442
2009,11,6,5,0.1250952,32.87016
2009,11,6,6,0.1289081,33.79281
2009,11,6,7,0.1405541,36.49004
2009,11,7,0,0.1616215,41.13329
2009,11,7,1,0.2666397,62.86489
2009,11,7,2,0.1369035,35.24948
2009,11,7,3,0.152702,38.62396
2009,11,7,4,0.1574847,39.71807
2009,11,7,5,0.1465946,37.15782
2009,11,7,6,0.1211778,31.4145
2009,11,7,7,0.1230673,31.72904
2009,11,8,0,0.1229661,31.62307
2009,11,8,1,0.1253377,32.11324
2009,11,8,2,0.1430438,35.9494
2009,11,8,3,0.1183777,30.39634
2009,11,8,4,0.1072446,27.81535
2009,11,8,5,0.1054131,27.37262
2009,11,8,6,0.1068947,27.72383
2009,11,8,7,0.1161058,29.82928
2009,11,9,0,0.1108851,28.58874
2009,11,9,1,0.1066918,27.58784
2009,11,9,2,0.09913332,25.85492
2009,11,9,3,0.09466289,24.85804
2009,11,9,4,0.09563915,25.08047
2009,11,9,5,0.09873211,25.77977
2009,11,9,6,0.09952747,25.96466
2009,11,9,7,0.1036658,26.94077
2009,11,10,0,0.1061528,27.51091
