####################################################################################################
# Month: 05May                                                                                     #
# Station: HAY                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,05,1,7.131336,278.0277
2009,05,2,5.72159738,277.506525
2009,05,3,3.40297388,263.0109875
2009,05,4,4.38313125,273.5227625
2009,05,5,5.32309088,275.653025
2009,05,6,5.68843838,276.237075
2009,05,7,8.19486588,283.6444625
2009,05,8,5.42290662,280.516175
2009,05,9,7.19529925,284.913825
2009,05,10,5.1895365,276.3830875
2009,05,11,2.89166512,258.1920625
2009,05,12,2.73559775,255.9754
2009,05,13,2.74742425,257.2746625
2009,05,14,3.61921025,255.65075
2009,05,15,5.66928275,281.096175
2009,05,16,5.2232695,281.6895375
2009,05,17,7.16350875,279.7413625
2009,05,18,3.495426,264.461425
2009,05,19,2.06920712,238.9902125
2009,05,20,3.48651512,269.4891375
2009,05,21,3.26693788,270.0030625
2009,05,22,3.83080388,278.6229625
2009,05,23,5.17983938,278.7189625
2009,05,24,7.93531338,285.7252125
2009,05,25,4.26197212,274.58045
2009,05,26,2.56098188,250.4733125
2009,05,27,6.076662,276.730475
2009,05,28,8.72344288,280.186975
2009,05,29,8.66250812,283.1754125
2009,05,30,6.77934888,283.6142375
2009,05,31,4.209304,276.1236
2010,05,1,3.96701188,276.1842875
2010,05,2,6.94439575,290.6130875
2010,05,3,10.02483375,291.8534125
2010,05,4,4.81370238,281.94815
2010,05,5,3.9131435,273.493075
2010,05,6,5.188186,280.7045625
2010,05,7,3.16171438,265.2782625
2010,05,8,5.36987812,277.4096625
2010,05,9,2.8924415,253.0953875
2010,05,10,2.0993245,233.6445
2010,05,11,1.66761425,218.6884875
2010,05,12,2.97500712,254.9216875
2010,05,13,2.5246125,250.625975
2010,05,14,5.29483075,276.0825875
2010,05,15,4.66360675,276.4024125
2010,05,16,3.28697388,265.8639125
2010,05,17,2.129322,244.3952625
2010,05,18,2.94415362,261.47845
2010,05,19,6.53271712,277.2752625
2010,05,20,4.70949312,277.5184375
2010,05,21,4.822519,282.019875
2010,05,22,4.66819725,281.3900375
2010,05,23,4.35574863,278.2919
2010,05,24,5.70783375,284.280075
2010,05,25,6.51980813,290.0133
2010,05,26,8.16023238,293.9040375
2010,05,27,7.865556,286.343725
2010,05,28,4.63224088,279.5597
2010,05,29,6.381063,283.9903375
2010,05,30,6.614991,285.1467
2010,05,31,4.951904,279.98085
2011,05,1,2.1674705,242.561275
2011,05,2,3.098481,259.302575
2011,05,3,6.92692688,282.54385
2011,05,4,6.2785485,281.851975
2011,05,5,3.45438438,263.5374375
2011,05,6,2.379481,243.8779375
2011,05,7,4.2613625,271.628975
2011,05,8,4.96213725,275.659975
2011,05,9,3.3079935,266.041675
2011,05,10,4.16111525,272.0299625
2011,05,11,4.93347912,274.0592125
2011,05,12,4.07368125,271.92215
2011,05,13,4.71869775,277.66125
2011,05,14,5.95559775,280.8996625
2011,05,15,7.1552975,281.7308625
2011,05,16,8.15112525,281.472375
2011,05,17,8.34783125,282.5160375
2011,05,18,8.829348,283.74435
2011,05,19,7.97534425,283.44145
2011,05,20,7.53633388,283.6170375
2011,05,21,6.2560155,282.099525
2011,05,22,5.86599575,278.6442375
2011,05,23,7.07643175,280.4637
2011,05,24,9.06357062,286.978125
2011,05,25,5.97205625,284.3110125
2011,05,26,6.075403,286.440225
2011,05,27,7.69345988,291.08095
2011,05,28,7.54644512,289.1472875
2011,05,29,8.4003985,288.3156875
2011,05,30,10.21426763,291.5793875
2011,05,31,6.17979538,287.7523375
2012,05,1,4.47170962,267.4819875
2012,05,2,4.96204237,273.0118875
2012,05,3,6.11804738,278.444125
2012,05,4,7.74244975,281.2532125
2012,05,5,6.343036,279.9729
2012,05,6,4.806749,274.8250875
2012,05,7,3.62725925,270.628125
2012,05,8,5.18418012,276.9477
2012,05,9,7.98574738,283.1977125
2012,05,10,6.53039812,280.2255
2012,05,11,3.49960225,265.0328
2012,05,12,2.539811,251.5387125
2012,05,13,4.31490612,280.0740625
2012,05,14,7.054046,284.6123625
2012,05,15,6.97535375,282.6335
2012,05,16,8.47035462,284.9807875
2012,05,17,3.9669235,266.947475
2012,05,18,2.72044225,259.6221625
2012,05,19,3.62398962,274.7057
2012,05,20,4.5262215,283.258775
2012,05,21,5.05701787,279.1143625
2012,05,22,8.666798,284.599575
2012,05,23,7.70949112,284.5632
2012,05,24,7.272544,285.627875
2012,05,25,8.52861987,285.7355375
2012,05,26,8.73997138,289.4242875
2012,05,27,5.89810762,286.3137
2012,05,28,8.6939985,288.2894125
2012,05,29,10.65536688,291.709925
2012,05,30,9.452233,288.7951
2012,05,31,4.9567225,282.3613625
2013,05,1,2.03005625,237.1697625
2013,05,2,2.4684585,244.397675
2013,05,3,2.87751262,256.4383875
2013,05,4,3.128304,263.426675
2013,05,5,1.43814398,203.8672
2013,05,6,1.72265591,216.54405
2013,05,7,3.93363575,276.108125
2013,05,8,6.21676788,282.0374125
2013,05,9,6.76452875,281.5449125
2013,05,10,6.33647875,282.633875
2013,05,11,7.38194312,285.102875
2013,05,12,6.4186505,280.6174875
2013,05,13,2.11614238,238.2886625
2013,05,14,2.03972638,235.106425
2013,05,15,2.69857862,246.10995
2013,05,16,4.12643875,273.2422125
2013,05,17,3.170007,266.409025
2013,05,18,3.00177088,264.0118875
2013,05,19,5.01136175,277.0225875
2013,05,20,7.699834,284.165475
2013,05,21,9.31681613,288.3451625
2013,05,22,10.029209,286.3504625
2013,05,23,10.716909,288.9726625
2013,05,24,9.08570625,285.028725
2013,05,25,4.52555312,271.1664375
2013,05,26,3.54008488,262.819475
2013,05,27,2.75659875,257.8101375
2013,05,28,2.65729512,259.567025
2013,05,29,7.9559815,283.0416625
2013,05,30,9.13560513,290.3942
2013,05,31,7.81372762,292.624025
2014,05,1,6.94815188,279.9749
2014,05,2,4.09482538,271.831275
2014,05,3,3.57233162,269.5986375
2014,05,4,4.34715225,271.808825
2014,05,5,3.946296,268.6257625
2014,05,6,3.2082925,262.2876375
2014,05,7,2.44485225,250.037325
2014,05,8,2.92933862,260.2564375
2014,05,9,6.36407,280.1518875
2014,05,10,8.53531713,285.7823625
2014,05,11,4.90766813,277.2182625
2014,05,12,3.479991,271.9918375
2014,05,13,5.15307938,277.9470125
2014,05,14,4.515556,276.5208125
2014,05,15,8.62340725,285.639975
2014,05,16,8.69031838,285.5828625
2014,05,17,7.6987755,281.2652
2014,05,18,2.72862175,257.970875
2014,05,19,2.784719,254.4912375
2014,05,20,3.56573388,269.335325
2014,05,21,4.17309175,277.1626375
2014,05,22,5.287958,278.915625
2014,05,23,6.78667075,279.8647
2014,05,24,5.18827812,276.316475
2014,05,25,5.67852812,279.6255625
2014,05,26,5.851496,283.4359875
2014,05,27,7.572564,286.2968875
2014,05,28,6.8114325,277.1752
2014,05,29,3.34214112,266.9605125
2014,05,30,4.80679538,276.9173375
2014,05,31,5.28019538,276.390425
2015,05,1,4.20295688,269.6945125
2015,05,2,3.77160988,269.6163875
2015,05,3,3.661649,272.7469125
2015,05,4,3.22374975,269.788425
2015,05,5,5.08001912,281.2892875
2015,05,6,2.80106425,261.94975
2015,05,7,2.67808925,262.506675
2015,05,8,4.59599288,281.0934625
2015,05,9,5.98540238,283.48985
2015,05,10,8.08274325,287.82455
2015,05,11,8.627006,289.5902
2015,05,12,8.68214788,288.1146625
2015,05,13,4.28387375,272.77285
2015,05,14,2.149934,242.0903625
2015,05,15,2.63314262,249.2927
2015,05,16,5.41727138,278.1245125
2015,05,17,6.83756587,285.908825
2015,05,18,5.72142737,283.305325
2015,05,19,7.70904212,284.8477875
2015,05,20,4.39581988,271.9576
2015,05,21,2.40150188,249.7305
2015,05,22,3.0181155,263.5870375
2015,05,23,2.0795405,235.125525
2015,05,24,2.6417425,255.3316
2015,05,25,4.82120575,280.4955375
2015,05,26,7.88607088,288.925425
2015,05,27,9.35046875,290.7157
2015,05,28,9.4600285,290.1151375
2015,05,29,6.2603875,285.2362875
2015,05,30,7.05154688,288.4710875
2015,05,31,10.1081765,287.9647125
2016,05,1,3.95318063,269.3708875
2016,05,2,5.486797,273.7937125
2016,05,3,4.78815775,272.8274875
2016,05,4,4.351122,269.9553875
2016,05,5,4.98666762,271.542025
2016,05,6,4.66892125,273.3224375
2016,05,7,6.7906695,278.5941125
2016,05,8,5.34697662,274.0018
2016,05,9,2.55243862,249.7567375
2016,05,10,2.04418712,235.2008875
2016,05,11,2.59834862,257.6533875
2016,05,12,2.44811012,255.376025
2016,05,13,4.89386988,263.967075
2016,05,14,4.76037087,277.68405
2016,05,15,3.92669288,264.5514
2016,05,16,2.44018212,244.9109875
2016,05,17,3.32696238,263.61115
2016,05,18,3.1570045,263.6959125
2016,05,19,4.03641325,272.793675
2016,05,20,4.0377965,272.0687125
2016,05,21,3.46083025,270.9896625
2016,05,22,4.23558925,274.0381375
2016,05,23,5.02510988,279.654625
2016,05,24,6.31129525,280.3854875
2016,05,25,5.72298638,283.0911625
2016,05,26,6.475139,287.8817375
2016,05,27,8.03346562,289.1758125
2016,05,28,9.78877825,292.1772875
2016,05,29,8.1398215,290.32615
2016,05,30,9.15968362,287.7911875
2016,05,31,6.039015,285.6496
2017,05,1,6.64699538,279.02275
2017,05,2,8.32617338,284.9487875
2017,05,3,3.65043125,268.554825
2017,05,4,2.22096462,240.461275
2017,05,5,3.883697,258.377425
2017,05,6,8.53798937,284.246475
2017,05,7,4.48171088,273.2771125
2017,05,8,3.0516735,255.9264625
2017,05,9,2.53279463,246.9298625
2017,05,10,2.83423325,255.3477875
