####################################################################################################
# Month: 08Aug                                                                                     #
# Station: JCMT                                                                                    #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,08,1,0.03397643,11.43707375
2009,08,2,0.05344552,16.42416375
2009,08,3,0.07013887,20.535995
2009,08,4,0.03471192,11.6289175
2009,08,5,0.03415034,11.4602425
2009,08,6,0.02833936,9.94972575
2009,08,7,0.02543806,9.1910485
2009,08,8,0.02598635,9.33237262
2009,08,9,0.02644838,9.45322662
2009,08,10,0.03265848,11.04476
2009,08,11,0.03786929,12.37686375
2009,08,12,0.04252059,13.59565375
2009,08,13,0.03813514,12.48382125
2009,08,14,0.06758883,19.90676875
2009,08,15,0.06808837,19.9600275
2009,08,16,0.04630115,14.48995875
2009,08,17,0.03575023,11.80170125
2009,08,18,0.04522103,14.15693
2009,08,19,0.04499139,14.01866875
2009,08,20,0.04627897,14.44382
2009,08,21,0.03252699,10.967435
2009,08,22,0.02825213,9.914703
2009,08,23,0.02781162,9.82959863
2009,08,24,0.02699857,9.6502665
2009,08,25,0.02478043,9.0745185
2009,08,26,0.02517304,9.1925035
2009,08,27,0.02651009,9.50495012
2009,08,28,0.02630011,9.4292835
2009,08,29,0.03065457,10.5775245
2009,08,30,0.03641016,12.04013912
2009,08,31,0.03052314,10.52508625
2010,08,1,0.02410119,8.83903038
2010,08,2,0.02346899,8.66268875
2010,08,3,0.02416736,8.85383863
2010,08,4,0.02447509,8.94949038
2010,08,5,0.02726734,9.69329688
2010,08,6,0.02750492,9.77107025
2010,08,7,0.02479669,9.07239413
2010,08,8,0.03571463,11.87142838
2010,08,9,0.02865659,10.01580162
2010,08,10,0.02471084,9.01160738
2010,08,11,0.02408138,8.852031
2010,08,12,0.02438716,8.93565575
2010,08,13,0.02565747,9.25640213
2010,08,14,0.02710055,9.6137035
2010,08,15,0.02572818,9.26410938
2010,08,16,0.02577982,9.272618
2010,08,17,0.02861296,10.02612875
2010,08,18,0.02446521,8.93604275
2010,08,19,0.02666477,9.50260838
2010,08,20,0.02826095,9.89170562
2010,08,21,0.0252592,9.15634075
2010,08,22,0.02459626,8.98561625
2010,08,23,0.02498404,9.0978705
2010,08,24,0.02634497,9.45208362
2010,08,25,0.02602864,9.35712462
2010,08,26,0.02515464,9.11498025
2010,08,27,0.02542586,9.18551888
2010,08,28,0.02453644,8.9536955
2010,08,29,0.02390895,8.7977635
2010,08,30,0.02365356,8.73328125
2010,08,31,0.02392444,8.8033545
2011,08,1,0.03443232,11.50700125
2011,08,2,0.03230997,11.01272375
2011,08,3,0.03075014,10.59490375
2011,08,4,0.02711582,9.64996262
2011,08,5,0.02416291,8.87670388
2011,08,6,0.0243868,8.9283175
2011,08,7,0.02835211,9.9492145
2011,08,8,0.02898412,10.1037445
2011,08,9,0.03023744,10.43717412
2011,08,10,0.03129461,10.68553875
2011,08,11,0.03224017,10.858885
2011,08,12,0.04216317,13.25281875
2011,08,13,0.06544124,19.19073
2011,08,14,0.0655687,19.05623125
2011,08,15,0.03405284,11.376464
2011,08,16,0.02807474,9.86525975
2011,08,17,0.02646664,9.45176375
2011,08,18,0.02533425,9.15551338
2011,08,19,0.02451511,8.95529538
2011,08,20,0.0278584,9.791217
2011,08,21,0.043209,13.68176
2011,08,22,0.04627272,14.43336875
2011,08,23,0.03520545,11.67364875
2011,08,24,0.02952746,10.2526185
2011,08,25,0.02817994,9.92801337
2011,08,26,0.02540481,9.2310705
2011,08,27,0.02470083,9.0544985
2011,08,28,0.02660663,9.54419438
2011,08,29,0.02908648,10.142138
2011,08,30,0.03122713,10.69111537
2011,08,31,0.0278302,9.80361038
