####################################################################################################
# Month: 07Jul                                                                                     #
# Station: JELM                                                                                    #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,07,1,0.41180261,93.41528875
2009,07,2,0.74964124,143.2887
2009,07,3,0.89768648,162.4175
2009,07,4,0.68623162,133.93548125
2009,07,5,0.66503178,131.009055
2009,07,6,0.45878118,101.773805
2009,07,7,0.39507596,91.3874875
2009,07,8,0.2813311,70.37885875
2009,07,9,0.29694954,73.59623625
2009,07,10,0.26219391,66.338385
2009,07,11,0.47370776,105.07605
2009,07,12,0.7385985,144.652375
2009,07,13,0.72918896,143.0991625
2009,07,14,0.39301856,90.69783
2009,07,15,0.28652707,71.067295
2009,07,16,0.27716314,69.32614
2009,07,17,0.32927348,79.52160875
2009,07,18,0.42688071,97.46191875
2009,07,19,0.52566,112.90268125
2009,07,20,0.55692789,118.99465
2009,07,21,0.47985158,107.135565
2009,07,22,0.48232142,106.9742975
2009,07,23,0.49153864,108.7100825
2009,07,24,0.45758684,102.17775625
2009,07,25,0.77619192,147.2428
2009,07,26,0.77748592,147.2746375
2009,07,27,0.56965624,120.69550875
2009,07,28,0.69549726,137.7299625
2009,07,29,0.70667605,137.16971
2009,07,30,0.68686159,135.3041
2009,07,31,0.48473196,106.22382875
2010,07,1,0.62691997,127.9412125
2010,07,2,0.67310371,134.8041
2010,07,3,0.50397343,109.37316125
2010,07,4,0.34060525,79.62444125
2010,07,5,0.33042001,77.03414375
2010,07,6,0.30221175,73.91925875
2010,07,7,0.43303828,96.8678975
2010,07,8,0.5885447,121.7949
2010,07,9,0.45150057,99.89327625
2010,07,10,0.55714834,117.21498
2010,07,11,0.52124694,111.94598
2010,07,12,0.56051372,118.3553225
2010,07,13,0.46472294,105.21726125
2010,07,14,0.61650359,128.1258375
2010,07,15,0.33684605,77.60855625
2010,07,16,0.13279849,38.18725125
2010,07,17,0.36000668,83.16355875
2010,07,18,0.68364254,136.8574375
2010,07,19,0.51618656,111.95066625
2010,07,20,0.52068269,112.6766425
2010,07,21,0.87329023,158.2077125
2010,07,22,0.65528512,132.858475
2010,07,23,0.4382506,97.6930825
2010,07,24,0.30271185,75.0026
2010,07,25,0.38636034,90.92658125
2010,07,26,0.45122454,101.60006125
2010,07,27,0.67234276,133.7842875
2010,07,28,0.9087461,163.2522625
2010,07,29,1.0606542,179.0421125
2010,07,30,0.91701868,164.7245875
2010,07,31,0.86394652,157.981
2011,07,1,0.4923453,106.24125
2011,07,2,0.38488045,90.7428025
2011,07,3,0.4294823,98.6265075
2011,07,4,0.46024771,101.84389375
2011,07,5,0.74171166,143.648375
2011,07,6,0.81022871,151.5650625
2011,07,7,0.79936491,149.5776
2011,07,8,0.90447679,162.7971375
2011,07,9,0.9974073,172.78795
2011,07,10,0.72579316,139.9618625
2011,07,11,0.85229801,156.063275
2011,07,12,0.89598555,158.4007
2011,07,13,0.87229426,158.30535
2011,07,14,0.62910062,129.8462375
2011,07,15,0.33522411,80.77032625
2011,07,16,0.60673075,125.875975
2011,07,17,0.8636783,159.662075
2011,07,18,0.97640694,172.1922
2011,07,19,0.97805044,170.799475
2011,07,20,0.64975348,132.5552425
2011,07,21,0.56767009,121.48897125
2011,07,22,0.36463259,85.11253375
2011,07,23,0.27642365,69.88509
2011,07,24,0.30762998,76.80628375
2011,07,25,0.49491018,111.0730975
2011,07,26,0.86483051,153.5440625
2011,07,27,0.81632992,150.9099
2011,07,28,0.72931092,143.36165
2011,07,29,0.50119469,111.222395
2011,07,30,0.50497085,111.6722575
2011,07,31,0.9269302,164.083075
2012,07,1,0.36689681,86.66065375
2012,07,2,0.56626862,119.732975
2012,07,3,0.73205954,143.0824375
2012,07,4,0.62423416,128.2707625
2012,07,5,0.90623966,163.9278625
2012,07,6,0.94226461,165.565925
2012,07,7,1.05275979,177.46785
2012,07,8,1.24169038,195.0923875
2012,07,9,0.5087716,110.02810875
2012,07,10,0.43349595,98.20482375
2012,07,11,0.52149699,113.9304875
2012,07,12,0.42921114,97.8659625
2012,07,13,0.35426396,84.586485
2012,07,14,0.65195176,130.5933125
2012,07,15,0.78951849,149.41155
2012,07,16,0.76614476,145.2012125
2012,07,17,0.59955234,123.48018625
2012,07,18,0.34955186,83.92183375
2012,07,19,0.59311381,124.1251375
2012,07,20,0.63332784,128.0728675
2012,07,21,0.74165449,144.36085
2012,07,22,0.8504505,157.47975
2012,07,23,0.85581918,157.9672625
2012,07,24,0.95566901,168.92695
2012,07,25,0.84953506,157.8494625
2012,07,26,0.53196323,114.52234125
2012,07,27,0.50517186,109.7732025
2012,07,28,0.83308941,153.7940625
2012,07,29,0.80388126,151.0739625
2012,07,30,0.74719648,144.19795
2012,07,31,0.7448889,143.9068625
2013,07,1,0.62703705,128.870925
2013,07,2,0.53031209,113.99037875
2013,07,3,0.43561212,99.19473875
2013,07,4,0.66219771,134.3306625
2013,07,5,0.89191779,162.4174625
2013,07,6,0.77105641,147.0742625
2013,07,7,0.69524826,139.7912375
2013,07,8,0.58605059,124.06205
2013,07,9,0.45632394,102.989685
2013,07,10,0.5335522,116.3507125
2013,07,11,0.49631442,109.1583375
2013,07,12,1.11149274,184.3082
2013,07,13,0.90418124,162.780125
2013,07,14,0.86645315,157.3989
2013,07,15,0.93770969,164.9815625
2013,07,16,0.56728686,118.061395
2013,07,17,0.49097318,109.07095875
2013,07,18,0.67618721,135.13375
2013,07,19,0.89878104,163.437275
2013,07,20,0.50966839,110.88646625
2013,07,21,0.35695045,83.110135
2013,07,22,0.2180428,57.20055375
2013,07,23,0.18382292,50.1111825
2013,07,24,0.38867756,89.45858125
2013,07,25,0.63767241,128.844675
2013,07,26,0.44557158,99.9732225
2013,07,27,0.51810695,111.93945875
2013,07,28,0.9149218,163.577025
2013,07,29,0.67963589,133.439
2013,07,30,0.62826016,123.85225625
2013,07,31,0.509745,110.28115625
2014,07,1,0.19712244,52.58630375
2014,07,2,0.2871202,71.41873625
2014,07,3,0.34061986,81.20725875
2014,07,4,0.61163674,125.5204125
2014,07,5,0.47680269,105.22523
2014,07,6,0.54879009,117.6146125
2014,07,7,0.37765875,89.114205
2014,07,8,0.45439531,103.1663025
2014,07,9,0.43777374,100.04379875
2014,07,10,0.61478819,126.4398875
2014,07,11,0.93491452,165.5128125
2014,07,12,0.88685689,160.2417875
2014,07,13,0.63923364,127.93544
2014,07,14,0.59728447,123.889
2014,07,15,0.5517994,117.75712875
2014,07,16,0.64555032,128.168505
2014,07,17,0.46259576,98.816315
2014,07,18,0.50680239,110.09612875
2014,07,19,0.44662831,101.4670425
2014,07,20,0.43735671,99.91406875
2014,07,21,0.58081289,123.66791875
2014,07,22,0.32767794,79.900025
2014,07,23,0.37767666,89.52459625
2014,07,24,0.70906645,140.3776375
2014,07,25,0.70787035,140.0262125
2014,07,26,0.58552856,122.395565
2014,07,27,0.46343164,102.4006175
2014,07,28,0.56215004,118.46619875
2014,07,29,0.85049664,153.8013375
2014,07,30,1.2082725,191.2771625
2014,07,31,0.75420241,142.5266
2015,07,1,0.83437099,154.6981
2015,07,2,0.65952287,134.2475
2015,07,3,0.51698754,112.56493625
2015,07,4,0.60869172,126.868
2015,07,5,0.90584179,162.3265875
2015,07,6,0.82986906,151.342325
2015,07,7,0.74970272,141.4073125
2015,07,8,0.91157281,160.8507
2015,07,9,0.78058208,146.653175
2015,07,10,0.5836765,120.20519125
2015,07,11,0.42839052,96.4548675
2015,07,12,0.51100365,111.5839875
2015,07,13,0.57804225,120.04344875
2015,07,14,0.62574959,128.00115
2015,07,15,0.7858006,148.7935125
2015,07,16,0.59715898,124.26940375
2015,07,17,0.45363046,102.16066625
2015,07,18,0.46625372,102.86143375
2015,07,19,0.91590001,161.198275
2015,07,20,0.41093722,93.03260375
2015,07,21,0.90514786,162.3043
2015,07,22,0.63168242,125.21513625
2015,07,23,0.51360471,111.62421375
2015,07,24,0.31533569,77.5610525
2015,07,25,0.35322004,85.11673375
2015,07,26,0.38923449,91.1765675
2015,07,27,0.48693494,108.17284
2015,07,28,0.26191859,66.27162375
2015,07,29,0.23956996,61.5787225
2015,07,30,0.18404495,49.85486
2015,07,31,0.38594952,88.7905325
2016,07,1,0.87827685,157.9424375
2016,07,2,0.83759162,152.3321
2016,07,3,0.48511331,104.61175875
2016,07,4,0.5758854,120.7190125
2016,07,5,0.632675,129.2718125
2016,07,6,0.47095719,103.25966
2016,07,7,0.39896937,92.0808125
2016,07,8,0.4947154,108.36163875
2016,07,9,0.41865136,96.50805125
2016,07,10,0.4047448,94.70994125
2016,07,11,0.32218356,78.18803375
2016,07,12,0.19011194,50.3347825
2016,07,13,0.29960304,73.5915525
2016,07,14,0.27132663,67.80802375
2016,07,15,0.35288416,82.68038
2016,07,16,0.50635661,109.75587125
2016,07,17,0.50439498,109.38862875
2016,07,18,0.51273062,109.84028875
2016,07,19,0.69937264,138.15195
2016,07,20,0.69908392,134.1725375
2016,07,21,0.6646149,133.1037875
2016,07,22,0.75468894,145.760475
2016,07,23,0.52621126,114.16313
2016,07,24,0.51523689,110.32502125
2016,07,25,0.2694766,68.00296625
2016,07,26,0.4374278,98.8556375
2016,07,27,0.43162454,97.80780625
2016,07,28,0.33817835,81.8192175
2016,07,29,0.45856414,103.6581425
2016,07,30,0.45155966,102.32733875
2016,07,31,0.66744804,135.403
2017,07,1,0.25804555,64.83648
2017,07,2,0.32532626,77.65540125
2017,07,3,0.55247479,116.43164375
2017,07,4,0.49936346,109.46835625
2017,07,5,0.4266371,98.0920375
2017,07,6,0.49933071,108.74684125
2017,07,7,0.4647432,103.92747625
2017,07,8,0.63905251,130.669725
2017,07,9,0.45865936,103.121455
2017,07,10,0.69771731,138.7286125
2017,07,11,0.64245787,129.15356125
2017,07,12,0.82705658,153.0939
2017,07,13,0.51444152,109.89168875
2017,07,14,0.35333571,81.0061625
2017,07,15,0.21003055,54.48898
2017,07,16,0.39247282,91.05135625
2017,07,17,0.62202949,129.1287375
2017,07,18,0.68780169,138.1681125
2017,07,19,0.65892371,132.04040875
2017,07,20,0.73649109,143.8718
2017,07,21,0.83633856,156.0625
2017,07,22,0.61152841,123.2914975
2017,07,23,0.43912646,100.88610625
2017,07,24,0.61921118,128.1061625
2017,07,25,0.96305116,165.5553625
2017,07,26,1.433135,209.810025
2017,07,27,1.0194914,173.2031125
2017,07,28,0.61830828,128.0916875
2017,07,29,0.81933391,152.3813875
2017,07,30,0.67845319,133.0458625
2017,07,31,0.55662551,118.3828625
2018,07,1,0.21641569,55.94930625
2018,07,2,0.32228871,78.97511375
2018,07,3,0.39877929,92.6906125
2018,07,4,0.37666641,87.50979125
2018,07,5,0.48053859,104.97468125
2018,07,6,0.58648994,121.97739
2018,07,7,0.59471568,124.949475
2018,07,8,0.70102313,140.558725
2018,07,9,0.54023894,116.2553925
2018,07,10,0.46603709,104.50556
2018,07,11,0.70293774,137.5619125
2018,07,12,0.75838975,141.5921
2018,07,13,0.56788545,120.2033625
2018,07,14,0.51762846,112.4757375
2018,07,15,1.02396129,173.44805
2018,07,16,0.56699255,116.5144325
2018,07,17,0.65445986,133.0316
2018,07,18,0.41215144,93.40612375
2018,07,19,0.2746863,69.34171375
2018,07,20,0.42858366,97.4684875
2018,07,21,0.77148061,148.1403
2018,07,22,0.89797428,162.53055
2018,07,23,1.10862294,184.907025
2018,07,24,0.69234421,138.0306125
2018,07,25,0.65399198,131.6105875
2018,07,26,0.81300024,152.3791
2018,07,27,0.4895859,108.38699625
2018,07,28,0.5483936,117.82975
2018,07,29,0.56086215,118.8891425
2018,07,30,0.42514281,95.121145
2018,07,31,0.2451572,63.00718625
