####################################################################################################
# Month: 06Jun                                                                                     #
# Station: KEN                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2009,06,1,0.82383462
2009,06,2,0.68481088
2009,06,3,0.54344013
2009,06,4,0.62290938
2009,06,5,0.69566975
2009,06,6,0.75439962
2009,06,7,0.608541
2009,06,8,0.72126525
2009,06,9,0.77064538
2009,06,10,0.80646462
2009,06,11,0.84698688
2009,06,12,0.80350475
2009,06,13,0.80578375
2009,06,14,0.7535425
2009,06,15,0.72387062
2009,06,16,0.75847062
2009,06,17,0.78872838
2009,06,18,0.75520712
2009,06,19,0.80434238
2009,06,20,0.54449875
2009,06,21,0.664339
2009,06,22,0.52028575
2009,06,23,0.39455012
2009,06,24,0.61463862
2009,06,25,0.7232615
2009,06,26,0.7138205
2009,06,27,0.638295
2009,06,28,0.730196
2009,06,29,0.89595575
2009,06,30,0.89166175
2010,06,1,0.70798025
2010,06,2,0.85032662
2010,06,3,0.84033125
2010,06,4,0.67015038
2010,06,5,0.82338
2010,06,6,0.9668655
2010,06,7,0.80093138
2010,06,8,0.76419688
2010,06,9,0.782879
2010,06,10,0.72008312
2010,06,11,0.714138
2010,06,12,0.92042362
2010,06,13,0.98989338
2010,06,14,0.86543562
2010,06,15,0.83483525
2010,06,16,0.95702075
2010,06,17,0.88115812
2010,06,18,0.90372212
2010,06,19,0.85397938
2010,06,20,0.74845112
2010,06,21,0.729062
2010,06,22,0.90869812
2010,06,23,0.73968862
2010,06,24,0.86177962
2010,06,25,0.78876875
2010,06,26,0.71941462
2010,06,27,0.68880862
2010,06,28,0.77059775
2010,06,29,0.765601
2010,06,30,0.92369275
2011,06,1,0.87207
2011,06,2,0.9423195
2011,06,3,0.885779
2011,06,4,0.9082445
2011,06,5,0.78457288
2011,06,6,0.82219912
2011,06,7,0.8982745
2011,06,8,0.90072275
2011,06,9,0.9013335
2011,06,10,0.94998312
2011,06,11,0.86522338
2011,06,12,0.98677038
2011,06,13,0.91867912
2011,06,14,0.9185655
2011,06,15,0.90634312
2011,06,16,0.81142538
2011,06,17,0.77713362
2011,06,18,0.86305475
2011,06,19,0.88943138
2011,06,20,0.83829838
2011,06,21,0.87715138
2011,06,22,0.876726
2011,06,23,0.97477912
2011,06,24,0.9282665
2011,06,25,0.83384975
2011,06,26,0.94849225
2011,06,27,0.885417
2011,06,28,0.92315338
2011,06,29,0.88637925
2011,06,30,0.97671088
2012,06,1,0.72695412
2012,06,2,0.83951812
2012,06,3,0.79217075
2012,06,4,0.95248512
2012,06,5,0.78578788
2012,06,6,0.67464488
2012,06,7,0.85168688
2012,06,8,0.96066425
2012,06,9,0.67684838
2012,06,10,0.5578325
2012,06,11,0.59150725
2012,06,12,0.614868
2012,06,13,0.616304
2012,06,14,0.59465437
2012,06,15,0.56279975
2012,06,16,0.89157212
2012,06,17,0.92645625
2012,06,18,0.92038375
2012,06,19,0.89744925
2012,06,20,0.97802662
2012,06,21,0.94518375
2012,06,22,0.97088788
2012,06,23,0.95932062
2012,06,24,0.9599475
2012,06,25,0.96137375
2012,06,26,0.83164975
2012,06,27,0.71461512
2012,06,28,0.90082725
2012,06,29,0.87025112
2012,06,30,0.85491225
2013,06,1,0.77721438
2013,06,2,0.78283638
2013,06,3,0.719227
2013,06,4,0.73851
2013,06,5,0.75705188
2013,06,6,0.95674562
2013,06,7,0.99103388
2013,06,8,0.950009
2013,06,9,0.80848312
2013,06,10,0.88726938
2013,06,11,0.9274405
2013,06,12,0.88398212
2013,06,13,0.80093988
2013,06,14,0.8406865
2013,06,15,0.97572412
2013,06,16,0.92816538
2013,06,17,0.94653575
2013,06,18,0.91952825
2013,06,19,0.95835375
2013,06,20,0.95099325
2013,06,21,0.71848775
2013,06,22,0.64051912
2013,06,23,0.776534
2013,06,24,0.752202
2013,06,25,0.77287025
2013,06,26,0.86182913
2013,06,27,0.91538038
2013,06,28,0.83128875
2013,06,29,0.80399862
2013,06,30,0.75756762
2014,06,1,0.9687445
2014,06,2,0.8054625
2014,06,3,0.8210795
2014,06,4,0.845492
2014,06,5,0.96727475
2014,06,6,0.97350787
2014,06,7,0.952835
2014,06,8,0.7450565
2014,06,9,0.872831
2014,06,10,0.96385588
2014,06,11,0.9747465
2014,06,12,0.9726125
2014,06,13,0.87622775
2014,06,14,0.84976275
2014,06,15,0.75425075
2014,06,16,0.55639125
2014,06,17,0.6407245
2014,06,18,0.67449875
2014,06,19,0.70088675
2014,06,20,0.87944612
2014,06,21,0.9372665
2014,06,22,0.838357
2014,06,23,0.82297825
2014,06,24,0.83200462
2014,06,25,0.87324975
2014,06,26,0.79401775
2014,06,27,0.65343812
2014,06,28,0.66441138
2014,06,29,0.75769825
2014,06,30,0.6153725
2015,06,1,0.93092588
2015,06,2,0.92950712
2015,06,3,0.75341412
2015,06,4,0.83486338
2015,06,5,0.6956525
2015,06,6,0.73169762
2015,06,7,0.7233775
2015,06,8,0.69428688
2015,06,9,0.90497588
2015,06,10,0.8902605
2015,06,11,0.8189765
2015,06,12,0.73945512
2015,06,13,0.74726538
2015,06,14,0.83967275
2015,06,15,0.89901725
2015,06,16,0.88058912
2015,06,17,0.86768038
2015,06,18,0.89739875
2015,06,19,0.83417712
2015,06,20,0.76180512
2015,06,21,0.84947775
2015,06,22,0.670049
2015,06,23,0.94451975
2015,06,24,0.93882
2015,06,25,0.94820038
2015,06,26,0.91456738
2015,06,27,0.87543125
2015,06,28,0.833763
2015,06,29,0.91514862
2015,06,30,0.922028
2016,06,1,0.64165012
2016,06,2,0.62041688
2016,06,3,0.57606762
2016,06,4,0.53926025
2016,06,5,0.55431662
2016,06,6,0.77858238
2016,06,7,0.94334738
2016,06,8,0.7347215
2016,06,9,0.6725135
2016,06,10,0.6915575
2016,06,11,0.88190725
2016,06,12,0.54693075
2016,06,13,0.53307362
2016,06,14,0.52164625
2016,06,15,0.68824588
2016,06,16,0.8104145
2016,06,17,0.9920115
2016,06,18,0.97341175
2016,06,19,0.94713938
2016,06,20,0.98210375
2016,06,21,0.94139462
2016,06,22,0.94994562
2016,06,23,0.95824325
2016,06,24,0.9732095
2016,06,25,0.90894575
2016,06,26,0.73800362
2016,06,27,0.82521025
2016,06,28,0.90378262
2016,06,29,0.96461562
2016,06,30,0.99477962
2017,06,1,0.88007075
2017,06,2,0.79105412
2017,06,3,0.80802912
2017,06,4,0.78986838
2017,06,5,0.66457488
2017,06,6,0.53004438
2017,06,7,0.57448825
2017,06,8,0.66452675
2017,06,9,0.67863262
2017,06,10,0.5937725
2017,06,11,0.67075088
2017,06,12,0.71001162
2017,06,13,0.8471865
2017,06,14,0.90423025
2017,06,15,0.955848
2017,06,16,0.90707175
2017,06,17,0.89018525
2017,06,18,0.79719662
2017,06,19,0.75035688
2017,06,20,0.83405325
2017,06,21,0.90481438
2017,06,22,0.676819
2017,06,23,0.60634712
2017,06,24,0.56565125
2017,06,25,0.79015175
2017,06,26,0.79181488
2017,06,27,0.72392612
2017,06,28,0.71547625
2017,06,29,0.92324137
2017,06,30,0.94622675
2018,06,1,0.97630012
2018,06,2,0.95890162
2018,06,3,0.8556665
2018,06,4,0.9947095
2018,06,5,0.95555887
2018,06,6,0.94621925
2018,06,7,0.924127
2018,06,8,0.95109238
2018,06,9,0.8754025
2018,06,10,0.880124
2018,06,11,0.73853712
2018,06,12,0.54027938
2018,06,13,0.73775625
2018,06,14,0.82449012
2018,06,15,0.81826925
2018,06,16,0.92674162
2018,06,17,0.95466062
2018,06,18,0.84660075
2018,06,19,0.68709888
2018,06,20,0.80268712
2018,06,21,0.68214388
2018,06,22,0.6824405
2018,06,23,0.93853612
2018,06,24,0.9625155
2018,06,25,0.92916025
2018,06,26,0.97025525
2018,06,27,0.94688025
2018,06,28,0.93185012
2018,06,29,0.92899462
2018,06,30,0.932067
