####################################################################################################
# Month: 11Nov                                                                                     #
# Station: KVNYS                                                                                   #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,11,1,4.543457
2009,11,2,11.83624075
2009,11,3,12.49472875
2009,11,4,14.15210525
2009,11,5,7.15643762
2009,11,6,8.25304975
2009,11,7,10.869241
2009,11,8,3.06180038
2009,11,9,10.346067
2009,11,10,17.358045
2009,11,11,15.7801425
2009,11,12,13.05984225
2009,11,13,5.80309125
2009,11,14,13.719121
2009,11,15,13.26297112
2009,11,16,9.02705812
2009,11,17,9.47532937
2009,11,18,7.58509988
2009,11,19,7.77521562
2009,11,20,11.20836825
2009,11,21,6.65250288
2009,11,22,9.30149562
2009,11,23,5.6243245
2009,11,24,2.3756165
2009,11,25,2.08833763
2009,11,26,5.2311775
2009,11,27,4.90515738
2009,11,28,6.898169
2009,11,29,2.6600635
2009,11,30,5.6757265
2010,11,1,11.36944925
2010,11,2,9.8379665
2010,11,3,8.49719275
2010,11,4,6.76991788
2010,11,5,7.46746588
2010,11,6,5.676664
2010,11,7,8.01283312
2010,11,8,17.63770812
2010,11,9,12.63076675
2010,11,10,5.86925538
2010,11,11,15.59376962
2010,11,12,8.12769987
2010,11,13,10.67274375
2010,11,14,11.06857
2010,11,15,7.43940512
2010,11,16,6.26592088
2010,11,17,4.95344463
2010,11,18,2.53406875
2010,11,19,4.043349
2010,11,20,5.21556675
2010,11,21,11.37312712
2010,11,22,8.29609425
2010,11,23,6.4527015
2010,11,24,8.800656
2010,11,25,11.88328525
2010,11,26,7.00058612
2010,11,27,17.39507038
2010,11,28,11.60210762
2010,11,29,9.33622012
2010,11,30,8.51272088
2011,11,1,4.21264125
2011,11,2,2.03307713
2011,11,3,5.03575738
2011,11,4,4.80830988
2011,11,5,8.08596275
2011,11,6,6.04063638
2011,11,7,1.99245662
2011,11,8,6.72181112
2011,11,9,5.75485825
2011,11,10,4.33545188
2011,11,11,4.06460562
2011,11,12,8.01550962
2011,11,13,8.40326162
2011,11,14,8.47112262
2011,11,15,5.67829938
2011,11,16,5.77785975
2011,11,17,8.81155525
2011,11,18,9.2518435
2011,11,19,14.49061425
2011,11,20,14.14028038
2011,11,21,9.450062
2011,11,22,11.40059825
2011,11,23,14.98498525
2011,11,24,11.36124638
2011,11,25,6.2157375
2011,11,26,14.60709688
2011,11,27,12.25127812
2011,11,28,5.51032688
2011,11,29,10.6220555
2011,11,30,12.59021062
2012,11,1,9.16709225
2012,11,2,5.30422025
2012,11,3,6.68941838
2012,11,4,13.94446575
2012,11,5,6.27305725
2012,11,6,8.65585688
2012,11,7,9.92690788
2012,11,8,5.32147425
2012,11,9,5.93201575
2012,11,10,14.63749512
2012,11,11,18.54845562
2012,11,12,13.92346362
2012,11,13,12.699137
2012,11,14,9.89719575
2012,11,15,4.81686838
2012,11,16,10.47491875
2012,11,17,11.12019138
2012,11,18,6.4285025
2012,11,19,13.05733663
2012,11,20,8.56884237
2012,11,21,5.75215125
2012,11,22,7.72359338
2012,11,23,3.25473188
2012,11,24,5.963727
2012,11,25,7.08172812
2012,11,26,13.80994438
2012,11,27,9.9502975
2012,11,28,13.83867175
2012,11,29,6.49727888
2012,11,30,7.1911445
