####################################################################################################
# Month: 08Aug                                                                                     #
# Station: LLA                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,08,1,9.53171875
2009,08,2,10.96757013
2009,08,3,9.59221313
2009,08,4,7.27743425
2009,08,5,11.96556562
2009,08,6,18.44744125
2009,08,7,16.1343405
2009,08,8,23.4627995
2009,08,9,17.35644163
2009,08,10,9.34971375
2009,08,11,6.55981712
2009,08,12,7.12639388
2009,08,13,4.92263212
2009,08,14,8.47266775
2009,08,15,7.05209825
2009,08,16,19.00959012
2009,08,17,21.7420235
2009,08,18,25.677528
2009,08,19,28.20071625
2009,08,20,26.32017438
2009,08,21,12.42547538
2009,08,22,7.53619812
2009,08,23,9.06175925
2009,08,24,8.405539
2009,08,25,5.78719812
2009,08,26,7.37322875
2009,08,27,4.05973425
2009,08,28,2.32648175
2009,08,29,3.1367855
2009,08,30,4.12306412
2009,08,31,10.350548
2010,08,1,20.12357875
2010,08,2,18.59540663
2010,08,3,25.1950985
2010,08,4,27.008521
2010,08,5,14.73629375
2010,08,6,7.21721388
2010,08,7,11.72410775
2010,08,8,17.860968
2010,08,9,16.03125775
2010,08,10,10.02843938
2010,08,11,22.18862888
2010,08,12,32.08875738
2010,08,13,23.84056188
2010,08,14,23.75357175
2010,08,15,15.35648725
2010,08,16,17.844419
2010,08,17,8.38934375
2010,08,18,7.34358938
2010,08,19,10.85280975
2010,08,20,8.51397562
2010,08,21,10.0016005
2010,08,22,7.83379625
2010,08,23,9.46484575
2010,08,24,17.442619
2010,08,25,14.2335015
2010,08,26,16.49301338
2010,08,27,16.46901425
2010,08,28,18.34450425
2010,08,29,13.26604088
2010,08,30,16.36011988
2010,08,31,15.93708812
2011,08,1,34.35734788
2011,08,2,29.44987975
2011,08,3,23.27176375
2011,08,4,16.53986688
2011,08,5,12.76649825
2011,08,6,11.19599912
2011,08,7,14.72711112
2011,08,8,20.04751138
2011,08,9,11.1788245
2011,08,10,5.730283
2011,08,11,7.17654188
2011,08,12,7.04503512
2011,08,13,6.83933425
2011,08,14,10.45605738
2011,08,15,16.02252625
2011,08,16,22.84614062
2011,08,17,16.73549838
2011,08,18,15.5717835
2011,08,19,29.83373787
2011,08,20,31.73575925
2011,08,21,24.34888987
2011,08,22,22.34725675
2011,08,23,11.86431925
2011,08,24,18.47990988
2011,08,25,14.38965475
2011,08,26,16.65699588
