####################################################################################################
# Month: 11Nov                                                                                     #
# Station: LLA                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,11,1,0.56787919,114.89312125
2009,11,2,0.43682658,94.71733
2009,11,3,0.51978171,110.0981425
2009,11,4,0.38518192,87.44610125
2009,11,5,0.45235311,98.570225
2009,11,6,0.42855921,93.74123375
2009,11,7,0.23999114,59.8618575
2009,11,8,0.11901733,35.1473775
2009,11,9,0.13013718,37.19909
2009,11,10,0.13971671,39.46387125
2009,11,11,0.12736358,37.199815
2009,11,12,0.16102968,44.23383125
2009,11,13,0.4643831,97.32230125
2009,11,14,0.69411312,128.85864625
2009,11,15,0.89691186,152.4742125
2009,11,16,0.35170205,80.7649075
2009,11,17,0.3077326,71.5845825
2009,11,18,0.3578708,82.05267125
2009,11,19,0.25592618,62.88364625
2009,11,20,0.62697661,124.73556375
2009,11,21,0.21954018,55.7007825
2009,11,22,0.21269829,54.62556375
2009,11,23,0.28720176,69.277035
2009,11,24,0.92083391,156.78977875
2009,11,25,0.71017658,134.2533725
2009,11,26,0.88520931,156.4325375
2009,11,27,0.93257541,158.4225125
2009,11,28,0.50774685,103.2428875
2009,11,29,0.45031035,91.1325375
2009,11,30,0.65129999,124.6924675
2010,11,1,0.15897416,43.710395
2010,11,2,0.19424749,51.44077
2010,11,3,0.234928,59.15496375
2010,11,4,0.27211616,63.0153175
2010,11,5,0.19448744,50.010105
2010,11,6,0.13567455,38.57903375
2010,11,7,0.31768458,74.72247625
2010,11,8,0.26314068,64.90654875
2010,11,9,0.12829485,37.155065
2010,11,10,0.12779249,36.69376375
2010,11,11,0.10129369,30.60820625
2010,11,12,0.10193319,31.02297625
2010,11,13,0.10794447,32.27395375
2010,11,14,0.13795547,38.67249625
2010,11,15,0.1942111,50.60117875
2010,11,16,0.16424096,44.043975
2010,11,17,0.21184559,53.82853
2010,11,18,0.20707291,53.07719375
2010,11,19,0.12116502,34.76001875
2010,11,20,0.17407912,44.92241
2010,11,21,0.11327502,33.30822625
2010,11,22,0.18006525,46.64309875
2010,11,23,0.20784182,53.3190875
2010,11,24,0.19065008,49.55653875
2010,11,25,0.13492745,37.99009875
2010,11,26,0.1551671,42.88443375
2010,11,27,0.15486635,42.24971625
2010,11,28,0.1705206,45.91234
2010,11,29,0.10258299,30.93446875
2010,11,30,0.09849498,29.9757625
2011,11,1,0.36135381,82.48170875
2011,11,2,0.23417422,58.64770375
2011,11,3,0.36409405,83.70909
2011,11,4,0.42731076,90.05832875
2011,11,5,0.79897059,142.850005
2011,11,6,0.61517085,121.49258125
2011,11,7,0.36569774,82.65676125
2011,11,8,0.30350879,72.42956875
2011,11,9,0.19379552,49.45828875
2011,11,10,0.33067174,73.52811
2011,11,11,0.22235194,57.084435
2011,11,12,0.2972941,70.4126025
2011,11,13,0.28341668,67.83639875
2011,11,14,0.17086473,46.25495375
2011,11,15,0.32214535,76.34586
2011,11,16,0.31713428,75.3228275
2011,11,17,0.28689096,70.082785
2011,11,18,0.28604568,68.76147
2011,11,19,0.54654268,111.32898625
2011,11,20,0.43435475,93.78185375
2011,11,21,0.11922355,34.52495375
2011,11,22,0.15983407,43.67712125
2011,11,23,0.23778325,59.11804
2011,11,24,0.33820865,77.79678625
2011,11,25,0.3582595,82.21649625
2011,11,26,0.66292445,130.7851125
2011,11,27,0.39080458,88.11992125
2011,11,28,0.48606144,102.4905175
2011,11,29,0.28755526,63.1723275
2011,11,30,0.56664326,112.897635
2012,11,1,0.23046652,57.6769425
2012,11,2,0.31795568,73.82678125
2012,11,3,0.25452179,62.43719125
2012,11,4,0.52471953,108.874995
2012,11,5,0.50005385,103.41901625
2012,11,6,0.52301549,109.14496
2012,11,7,0.47249261,97.60378375
2012,11,8,0.2496249,62.297695
2012,11,9,0.18566668,46.68602875
2012,11,10,0.17327567,46.18207875
2012,11,11,0.10574221,32.0774525
2012,11,12,0.19749336,51.71829125
2012,11,13,0.30317091,73.3022575
2012,11,14,0.23324828,58.92043375
2012,11,15,0.28106189,68.04381125
2012,11,16,0.21386491,55.12794625
2012,11,17,0.25084724,61.74071875
2012,11,18,0.21937889,54.1524275
