####################################################################################################
# Month: 11Nov                                                                                     #
# Station: MOR                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,11,1,0,4.450479
2009,11,1,1,4.447028
2009,11,1,2,4.399714
2009,11,1,3,4.017776
2009,11,1,4,1.851291
2009,11,1,5,1.558234
2009,11,1,6,1.212494
2009,11,1,7,2.201841
2009,11,2,0,1.197842
2009,11,2,1,0.8207
2009,11,2,2,0.756422
2009,11,2,3,0.553908
2009,11,2,4,1.471634
2009,11,2,5,2.301959
2009,11,2,6,0.948953
2009,11,2,7,1.875523
2009,11,3,0,1.963162
2009,11,3,1,2.59547
2009,11,3,2,2.983931
2009,11,3,3,3.028959
2009,11,3,4,2.966802
2009,11,3,5,2.75882
2009,11,3,6,2.541414
2009,11,3,7,3.900419
2009,11,4,0,2.945965
2009,11,4,1,1.634244
2009,11,4,2,2.022724
2009,11,4,3,2.595231
2009,11,4,4,1.795339
2009,11,4,5,2.0451
2009,11,4,6,1.93036
2009,11,4,7,1.529244
2009,11,5,0,2.162558
2009,11,5,1,2.976315
2009,11,5,2,5.593915
2009,11,5,3,7.116308
2009,11,5,4,8.294574
2009,11,5,5,7.031267
2009,11,5,6,7.585111
2009,11,5,7,9.663451
2009,11,6,0,9.460592
2009,11,6,1,7.346911
2009,11,6,2,5.831586
2009,11,6,3,5.645152
2009,11,6,4,3.527148
2009,11,6,5,2.892861
2009,11,6,6,4.658891
2009,11,6,7,5.634275
2009,11,7,0,4.177999
2009,11,7,1,2.239516
2009,11,7,2,1.845897
2009,11,7,3,3.486734
2009,11,7,4,4.035214
2009,11,7,5,5.84516
2009,11,7,6,4.070943
2009,11,7,7,5.152671
2009,11,8,0,4.998327
2009,11,8,1,5.320516
2009,11,8,2,7.56862
2009,11,8,3,9.045824
2009,11,8,4,10.517348
2009,11,8,5,10.842125
2009,11,8,6,11.774584
2009,11,8,7,12.955971
2009,11,9,0,12.034773
2009,11,9,1,12.385273
2009,11,9,2,11.870647
2009,11,9,3,9.851386
2009,11,9,4,8.8074
2009,11,9,5,7.236274
2009,11,9,6,5.866906
2009,11,9,7,5.099433
2009,11,10,0,7.152349
2009,11,10,1,8.838998
2009,11,10,2,9.033407
2009,11,10,3,5.550765
2009,11,10,4,2.001125
2009,11,10,5,0.142536
2009,11,10,6,1.636586
2009,11,10,7,2.447997
2009,11,11,0,3.12483
2009,11,11,1,3.482108
2009,11,11,2,2.027818
2009,11,11,3,1.086717
2009,11,11,4,3.507088
2009,11,11,5,2.739032
2009,11,11,6,2.858724
2009,11,11,7,3.299009
2009,11,12,0,2.214587
2009,11,12,1,4.102552
2009,11,12,2,5.189879
2009,11,12,3,5.67711
2009,11,12,4,3.916363
2009,11,12,5,1.4177
2009,11,12,6,2.276046
2009,11,12,7,2.473432
2009,11,13,0,4.09587
2009,11,13,1,5.22528
2009,11,13,2,7.584657
2009,11,13,3,8.709326
2009,11,13,4,7.257861
2009,11,13,5,6.544477
2009,11,13,6,5.562784
2009,11,13,7,5.544365
2009,11,14,0,7.884681
2009,11,14,1,8.923697
2009,11,14,2,8.633841
2009,11,14,3,8.22888
2009,11,14,4,7.07452
2009,11,14,5,5.742347
2009,11,14,6,5.216014
2009,11,14,7,4.230369
2009,11,15,0,5.924948
2009,11,15,1,8.248747
2009,11,15,2,6.535958
2009,11,15,3,4.361119
2009,11,15,4,4.684102
2009,11,15,5,4.114223
2009,11,15,6,4.534854
2009,11,15,7,7.014073
2009,11,16,0,12.622734
2009,11,16,1,14.797543
2009,11,16,2,15.924911
2009,11,16,3,21.181491
2009,11,16,4,19.302485
2009,11,16,5,16.319033
2009,11,16,6,14.784974
2009,11,16,7,13.97771
2009,11,17,0,14.747035
2009,11,17,1,14.468624
2009,11,17,2,13.441332
2009,11,17,3,11.57078
2009,11,17,4,9.650189
2009,11,17,5,7.417775
2009,11,17,6,6.885783
2009,11,17,7,10.258926
2009,11,18,0,13.054624
2009,11,18,1,13.154147
2009,11,18,2,14.832137
2009,11,18,3,15.575969
2009,11,18,4,12.00689
2009,11,18,5,9.4961
2009,11,18,6,8.975846
2009,11,18,7,11.0547
2009,11,19,0,13.942062
2009,11,19,1,15.92069
2009,11,19,2,14.904015
2009,11,19,3,13.814831
2009,11,19,4,11.323079
2009,11,19,5,9.77972
2009,11,19,6,8.375979
2009,11,19,7,8.868537
2009,11,20,0,10.459973
2009,11,20,1,11.007143
2009,11,20,2,10.799315
2009,11,20,3,9.822059
2009,11,20,4,8.843603
2009,11,20,5,6.745627
2009,11,20,6,3.489185
2009,11,20,7,3.434639
2009,11,21,0,5.42773
2009,11,21,1,5.728124
2009,11,21,2,5.59787
