####################################################################################################
# Month: 10Oct                                                                                     #
# Station: NOR                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2009,10,1,0.56249462
2009,10,2,0.91411612
2009,10,3,0.22988838
2009,10,4,0.11578862
2009,10,5,0.69509675
2009,10,6,0.50721788
2009,10,7,0.88955588
2009,10,8,0.40780338
2009,10,9,0.44773775
2009,10,10,0.500826
2009,10,11,0.13318462
2009,10,12,0.21596375
2009,10,13,0.38363512
2009,10,14,0.77013
2009,10,15,0.4282635
2009,10,16,0.31299162
2009,10,17,0.60034088
2009,10,18,0.10717462
2009,10,19,0.2835785
2009,10,20,0.13623925
2009,10,21,0.046267
2009,10,22,0.08478712
2009,10,23,0.19835062
2009,10,24,0.45804262
2009,10,25,0.37409088
2009,10,26,0.84921025
2009,10,27,0.25968738
2009,10,28,0.15551512
2009,10,29,0.46771038
2009,10,30,0.18543762
2009,10,31,0.16198375
2010,10,1,0.18704525
2010,10,2,0.2967635
2010,10,3,0.810142
2010,10,4,0.46801737
2010,10,5,0.39125975
2010,10,6,0.54456237
2010,10,7,0.5796285
2010,10,8,0.75060888
2010,10,9,0.9196985
2010,10,10,0.47469175
2010,10,11,0.08885788
2010,10,12,0.541727
2010,10,13,0.52146088
2010,10,14,0.6017915
2010,10,15,0.32475712
2010,10,16,0.0882595
2010,10,17,0.06786938
2010,10,18,0.20997587
2010,10,19,0.40181412
2010,10,20,0.4270975
2010,10,21,0.37920488
2010,10,22,0.04062575
2010,10,23,0.05749012
2010,10,24,0.67187362
2010,10,25,0.711077
2010,10,26,0.11113125
2010,10,27,0.24170638
2010,10,28,0.7785705
2010,10,29,0.20373225
2010,10,30,0.54136375
2010,10,31,0.75164288
2011,10,1,0.17125
2011,10,2,0.18017825
2011,10,3,0.19198262
2011,10,4,0.27687162
2011,10,5,0.89832762
2011,10,6,0.2068485
2011,10,7,0.0593115
2011,10,8,0.30624712
2011,10,9,0.11380937
2011,10,10,0.37353362
2011,10,11,0.40929738
2011,10,12,0.092541
2011,10,13,0.553634
2011,10,14,0.84717112
