####################################################################################################
# Month: 01Jan                                                                                     #
# Station: ORG                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,01,1,20.68446862
2009,01,2,24.32878813
2009,01,3,8.52427638
2009,01,4,3.61598438
2009,01,5,20.23220325
2009,01,6,18.636078
2009,01,7,20.30264638
2009,01,8,19.38410638
2009,01,9,11.86210013
2009,01,10,9.51422125
2009,01,11,16.97616625
2009,01,12,12.96372837
2009,01,13,9.95187925
2009,01,14,11.75394938
2009,01,15,8.11693412
2009,01,16,6.8607525
2009,01,17,5.58925362
2009,01,18,9.336856
2009,01,19,7.76916787
2009,01,20,8.48360363
2009,01,21,6.42512975
2009,01,22,5.10506662
2009,01,23,4.50524738
2009,01,24,6.06005525
2009,01,25,7.42402237
2009,01,26,9.7214505
2009,01,27,8.79380688
2009,01,28,18.27937825
2009,01,29,11.73248462
2009,01,30,4.24355975
2009,01,31,8.88350462
2010,01,1,20.356813
2010,01,2,12.23587725
2010,01,3,5.50590175
2010,01,4,6.05106662
2010,01,5,10.06012325
2010,01,6,10.07362
2010,01,7,2.92416312
2010,01,8,6.47800538
2010,01,9,6.51677225
2010,01,10,4.38776462
2010,01,11,9.07921175
2010,01,12,20.03652775
2010,01,13,14.24460238
2010,01,14,7.34771362
2010,01,15,7.29477175
2010,01,16,11.91642838
2010,01,17,9.14981388
2010,01,18,15.936906
2010,01,19,19.41354862
2010,01,20,14.17381762
2010,01,21,15.69643388
2010,01,22,9.83597075
2010,01,23,10.33849275
2010,01,24,7.3802435
2010,01,25,9.99951487
2010,01,26,12.12206038
2010,01,27,5.33890388
2010,01,28,1.9507675
2010,01,29,3.59209738
2010,01,30,5.4421865
2010,01,31,8.31821538
2011,01,1,5.90512238
2011,01,2,4.34158137
2011,01,3,2.25270538
2011,01,4,4.97709362
2011,01,5,6.364988
2011,01,6,2.41389262
2011,01,7,2.66781563
2011,01,8,9.28183312
2011,01,9,7.34993638
2011,01,10,5.043096
2011,01,11,5.57656725
2011,01,12,11.45021012
2011,01,13,14.28669462
