####################################################################################################
# Month: 09Sep                                                                                     #
# Station: ORG                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,1.380152,209.5549
2009,09,1,1,2.191906,247.7338
2009,09,1,2,2.934344,264.6567
2009,09,1,3,2.727394,259.507
2009,09,1,4,2.335366,249.5731
2009,09,1,5,1.960065,237.3798
2009,09,1,6,1.525819,217.1772
2009,09,1,7,1.5428,218.8173
2009,09,2,0,1.687912,227.0753
2009,09,2,1,1.799443,232.4749
2009,09,2,2,1.685639,227.1601
2009,09,2,3,1.483825,215.8013
2009,09,2,4,1.375957,207.7467
2009,09,2,5,1.255423,198.3374
2009,09,2,6,1.524691,216.564
2009,09,2,7,1.860867,234.1251
2009,09,3,0,1.917987,237.4108
2009,09,3,1,1.865868,235.2918
2009,09,3,2,2.394612,254.2254
2009,09,3,3,2.538593,256.517
2009,09,3,4,2.368902,251.7703
2009,09,3,5,1.890209,236.1007
2009,09,3,6,1.6765,226.3973
2009,09,3,7,1.56967,221.1686
2009,09,4,0,1.414684,211.5632
2009,09,4,1,1.367056,207.7263
2009,09,4,2,1.271593,201.0924
2009,09,4,3,1.316956,203.7399
2009,09,4,4,1.773983,229.947
2009,09,4,5,1.981933,238.3926
2009,09,4,6,2.093404,242.1943
2009,09,4,7,2.031488,241.3813
2009,09,5,0,1.897368,236.8102
2009,09,5,1,1.855175,235.0884
2009,09,5,2,1.919029,237.4463
2009,09,5,3,1.90957,236.0918
2009,09,5,4,1.846776,233.5384
2009,09,5,5,1.926184,237.1612
2009,09,5,6,1.866736,234.2228
2009,09,5,7,1.404761,207.8612
2009,09,6,0,1.334025,199.9301
2009,09,6,1,1.186118,189.7116
2009,09,6,2,1.536984,214.5626
2009,09,6,3,1.774493,227.2625
2009,09,6,4,1.459472,209.889
2009,09,6,5,1.704683,223.4945
2009,09,6,6,1.785422,227.9049
2009,09,6,7,1.743534,225.5642
2009,09,7,0,1.755147,224.0704
2009,09,7,1,1.541047,212.9961
2009,09,7,2,1.25696,195.7879
2009,09,7,3,1.122479,185.3276
2009,09,7,4,0.8444811,157.5667
2009,09,7,5,0.6516086,132.846
2009,09,7,6,0.67663,136.0663
2009,09,7,7,0.6928948,139.2102
2009,09,8,0,0.7483933,145.9966
2009,09,8,1,0.7902962,150.6903
2009,09,8,2,0.7598737,146.5193
2009,09,8,3,0.7691846,147.2093
2009,09,8,4,0.8995221,161.7913
2009,09,8,5,0.8677366,159.0071
2009,09,8,6,0.8160357,153.8431
2009,09,8,7,0.8523063,158.1192
2009,09,9,0,0.8924596,163.1642
2009,09,9,1,0.8500206,158.7406
2009,09,9,2,0.8221983,155.6656
2009,09,9,3,0.8704573,160.8882
2009,09,9,4,0.9548603,170.3461
2009,09,9,5,0.8379956,157.5179
2009,09,9,6,0.8919857,164.0863
2009,09,9,7,1.025678,178.3539
2009,09,10,0,1.22778,196.6043
2009,09,10,1,1.363193,206.3352
2009,09,10,2,1.428081,210.2996
2009,09,10,3,1.578485,218.9927
2009,09,10,4,1.598771,220.21
2009,09,10,5,1.664041,223.3999
2009,09,10,6,1.614273,220.9574
2009,09,10,7,1.536053,217.5332
2009,09,11,0,1.43036,211.7871
2009,09,11,1,1.309818,203.5931
2009,09,11,2,1.316628,204.3249
2009,09,11,3,1.55929,220.8629
2009,09,11,4,1.39511,209.8228
2009,09,11,5,1.357264,207.4545
2009,09,11,6,1.340005,206.2723
2009,09,11,7,1.369074,208.5665
2009,09,12,0,1.323621,206.0621
2009,09,12,1,1.194226,196.3529
2009,09,12,2,1.143344,191.9089
2009,09,12,3,1.133206,190.6416
2009,09,12,4,1.112788,188.4663
2009,09,12,5,1.123321,189.1071
2009,09,12,6,1.211984,196.5855
2009,09,12,7,1.293069,203.1698
2009,09,13,0,1.339824,206.7542
2009,09,13,1,1.210317,197.4357
2009,09,13,2,1.306245,204.2171
2009,09,13,3,1.761467,229.7342
2009,09,13,4,1.786241,231.0399
2009,09,13,5,1.809472,232.1963
2009,09,13,6,1.887825,236.6127
2009,09,13,7,2.267387,249.8565
2009,09,14,0,2.403295,253.6494
2009,09,14,1,2.531702,256.5213
2009,09,14,2,3.066977,264.2993
2009,09,14,3,3.135357,263.366
2009,09,14,4,2.504612,253.0829
2009,09,14,5,2.580993,253.6241
2009,09,14,6,2.683726,254.6404
2009,09,14,7,2.793481,255.7563
2009,09,15,0,2.326007,246.4639
2009,09,15,1,2.009108,237.2715
2009,09,15,2,2.075226,240.0988
2009,09,15,3,2.134659,242.6061
2009,09,15,4,1.908042,235.3718
2009,09,15,5,1.681611,225.3249
2009,09,15,6,1.69929,226.305
2009,09,15,7,1.771673,230.3282
2009,09,16,0,1.803304,232.5679
2009,09,16,1,1.724703,229.687
2009,09,16,2,1.755914,231.4972
2009,09,16,3,1.778293,232.5349
2009,09,16,4,1.810641,233.7533
2009,09,16,5,1.734564,230.0438
2009,09,16,6,1.658305,226.2925
2009,09,16,7,1.695745,228.507
2009,09,17,0,1.777021,233.0758
2009,09,17,1,1.711631,230.3416
2009,09,17,2,1.656306,227.6068
2009,09,17,3,1.539101,221.0252
2009,09,17,4,1.762306,231.3456
2009,09,17,5,2.000652,240.8487
2009,09,17,6,2.070656,243.7888
2009,09,17,7,2.145886,246.8724
2009,09,18,0,2.030211,243.7403
2009,09,18,1,1.847164,237.0587
2009,09,18,2,1.906177,239.3633
2009,09,18,3,1.795045,234.503
2009,09,18,4,1.652752,227.3335
2009,09,18,5,1.550207,221.4567
2009,09,18,6,1.508499,219.0089
2009,09,18,7,1.439249,214.9849
2009,09,19,0,1.417827,213.7621
2009,09,19,1,1.354114,209.2429
2009,09,19,2,1.55398,221.8535
2009,09,19,3,1.963223,241.4122
2009,09,19,4,1.709028,227.9378
2009,09,19,5,1.673228,225.3922
2009,09,19,6,1.659719,225.0457
2009,09,19,7,1.618438,221.9342
2009,09,20,0,1.99847,240.0489
2009,09,20,1,2.38845,251.49
2009,09,20,2,2.148095,245.4985
2009,09,20,3,1.731564,229.2713
2009,09,20,4,1.345871,205.9722
2009,09,20,5,0.5087857,112.6861
2009,09,20,6,0.4516296,102.2731
2009,09,20,7,0.6106125,127.4439
2009,09,21,0,0.5700387,121.3679
2009,09,21,1,0.3663737,87.10647
2009,09,21,2,0.3879898,91.09262
2009,09,21,3,0.3867093,90.63778
2009,09,21,4,0.3685536,87.63545
2009,09,21,5,0.4542275,102.7804
2009,09,21,6,0.5772904,122.4184
2009,09,21,7,0.5978933,126.8968
2009,09,22,0,0.6229205,130.7489
2009,09,22,1,0.6308094,131.4766
2009,09,22,2,0.7181235,143.7077
2009,09,22,3,0.848795,160.2101
2009,09,22,4,0.9581277,173.0139
