####################################################################################################
# Month: 02Feb                                                                                     #
# Station: PAM                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,02,1,0,0.07879634,23.44328
2009,02,1,1,0.07285902,22.0908
2009,02,1,2,0.1034264,28.90034
2009,02,1,3,0.1335609,35.35505
2009,02,1,4,0.09604353,27.30131
2009,02,1,5,0.07794698,23.2682
2009,02,1,6,0.07498724,22.56677
2009,02,1,7,0.07046273,21.54266
2009,02,2,0,0.0695063,21.30423
2009,02,2,1,0.05834246,18.6619
2009,02,2,2,0.08971445,25.79782
2009,02,2,3,0.1154417,31.611
2009,02,2,4,0.1101326,30.53255
2009,02,2,5,0.1004937,28.44611
2009,02,2,6,0.08850313,25.85314
2009,02,2,7,0.09205289,26.60587
2009,02,3,0,0.09018845,26.12917
2009,02,3,1,0.1041367,29.16139
2009,02,3,2,0.119604,32.41606
2009,02,3,3,0.1247566,33.39106
2009,02,3,4,0.08636907,25.10063
2009,02,3,5,0.08449274,24.61488
2009,02,3,6,0.08194296,23.99605
2009,02,3,7,0.08518604,24.70944
2009,02,4,0,0.08956286,25.69856
2009,02,4,1,0.08531344,24.69838
2009,02,4,2,0.0944251,26.74594
2009,02,4,3,0.09734461,27.46238
2009,02,4,4,0.09952067,27.92951
2009,02,4,5,0.1105547,30.35203
2009,02,4,6,0.1202437,32.47838
2009,02,4,7,0.1220538,32.95704
2009,02,5,0,0.1063959,29.41973
2009,02,5,1,0.08424648,24.35906
2009,02,5,2,0.09901745,27.62754
2009,02,5,3,0.1038649,28.74398
2009,02,5,4,0.09101516,25.94129
2009,02,5,5,0.09647087,27.17019
2009,02,5,6,0.08261305,24.01044
2009,02,5,7,0.06948077,20.97611
2009,02,6,0,0.0655813,20.06237
2009,02,6,1,0.0612783,19.0631
2009,02,6,2,0.07398653,21.91557
2009,02,6,3,0.06551846,20.01523
2009,02,6,4,0.04974408,16.44708
2009,02,6,5,0.03081052,11.95995
2009,02,6,6,0.02615066,10.75378
2009,02,6,7,0.02911864,11.4258
2009,02,7,0,0.03300654,12.35048
2009,02,7,1,0.03551302,12.9531
2009,02,7,2,0.04433773,15.14203
2009,02,7,3,0.05616724,17.98597
2009,02,7,4,0.06282246,19.60971
2009,02,7,5,0.06450882,20.03755
2009,02,7,6,0.06905807,21.116
2009,02,7,7,0.07542323,22.67391
2009,02,8,0,0.06823996,21.01156
2009,02,8,1,0.06122719,19.33626
2009,02,8,2,0.05565433,18.03921
2009,02,8,3,0.06402669,20.02359
2009,02,8,4,0.07308288,22.08976
2009,02,8,5,0.06459103,20.24269
2009,02,8,6,0.05756772,18.6103
2009,02,8,7,0.05481074,17.87551
2009,02,9,0,0.06121626,19.31937
2009,02,9,1,0.0669948,20.63543
2009,02,9,2,0.09867555,27.91127
2009,02,9,3,0.1518611,39.45403
2009,02,9,4,0.110802,30.71103
2009,02,9,5,0.1045947,29.32993
2009,02,9,6,0.09551765,27.22585
2009,02,9,7,0.1082956,30.01976
2009,02,10,0,0.1183145,32.25579
2009,02,10,1,0.1152144,31.53929
2009,02,10,2,0.1243057,33.52227
2009,02,10,3,0.1313477,34.9227
2009,02,10,4,0.1024824,28.74642
2009,02,10,5,0.1041505,29.1147
2009,02,10,6,0.08146799,24.01969
2009,02,10,7,0.05742588,18.50694
2009,02,11,0,0.05643441,18.20192
2009,02,11,1,0.06616437,20.42278
2009,02,11,2,0.08380201,24.48043
2009,02,11,3,0.09499503,26.98932
2009,02,11,4,0.09023055,25.95992
2009,02,11,5,0.08860691,25.63988
2009,02,11,6,0.1013834,28.60204
2009,02,11,7,0.1154274,31.78123
2009,02,12,0,0.1583022,41.07443
2009,02,12,1,0.1307976,35.26369
2009,02,12,2,0.1335592,35.86397
2009,02,12,3,0.2368151,56.8055
2009,02,12,4,0.127253,34.56176
2009,02,12,5,0.1374158,36.63673
2009,02,12,6,0.1051614,29.54318
2009,02,12,7,0.0829072,24.71026
2009,02,13,0,0.104023,29.38795
2009,02,13,1,0.1187623,32.60769
2009,02,13,2,0.1545623,40.1984
2009,02,13,3,0.1695534,43.34103
2009,02,13,4,0.1340295,35.7765
2009,02,13,5,0.1416304,37.40653
2009,02,13,6,0.1231376,33.42282
2009,02,13,7,0.1003056,28.36009
2009,02,14,0,0.1010563,28.50165
2009,02,14,1,0.1115842,30.80133
2009,02,14,2,0.09498248,26.98015
2009,02,14,3,0.07052635,21.47182
2009,02,14,4,0.07386187,22.18057
2009,02,14,5,0.06749623,20.67064
2009,02,14,6,0.06871365,20.94493
2009,02,14,7,0.06278549,19.58271
2009,02,15,0,0.0669902,20.55029
2009,02,15,1,0.05683552,18.17412
2009,02,15,2,0.06359931,19.76542
2009,02,15,3,0.06185644,19.3889
2009,02,15,4,0.0583181,18.54866
2009,02,15,5,0.04874707,16.29225
2009,02,15,6,0.03602986,13.23513
2009,02,15,7,0.02648332,10.83386
2009,02,16,0,0.02477518,10.36875
2009,02,16,1,0.02432708,10.23813
2009,02,16,2,0.0265714,10.82437
2009,02,16,3,0.03726223,13.47749
2009,02,16,4,0.04899045,16.29292
2009,02,16,5,0.05945923,18.77074
2009,02,16,6,0.06725843,20.61267
2009,02,16,7,0.0686064,20.95743
2009,02,17,0,0.06902857,21.04093
2009,02,17,1,0.07749303,22.94205
2009,02,17,2,0.08162729,23.90123
2009,02,17,3,0.09879086,27.77929
2009,02,17,4,0.08834287,25.44749
2009,02,17,5,0.08305181,24.27063
2009,02,17,6,0.07577658,22.55595
2009,02,17,7,0.06890033,20.98058
2009,02,18,0,0.06884373,20.94131
2009,02,18,1,0.06228631,19.38576
2009,02,18,2,0.08075543,23.62908
2009,02,18,3,0.08296519,24.1681
2009,02,18,4,0.08461192,24.54393
