####################################################################################################
# Month: 03Mar                                                                                     #
# Station: PER                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,03,1,0.29836405,73.13964
2009,03,2,0.59477572,119.49961125
2009,03,3,1.39016264,199.53365125
2009,03,4,0.28485021,69.94538625
2009,03,5,0.17755811,48.2323275
2009,03,6,0.22542772,58.398235
2009,03,7,0.40011423,92.8344325
2009,03,8,0.39886032,93.29212625
2009,03,9,0.38411899,89.6549975
2009,03,10,0.79099496,147.32708
2009,03,11,0.67512099,135.872375
2009,03,12,0.860925,158.198
2009,03,13,0.84751891,153.2470875
2009,03,14,0.81744072,137.1637275
2009,03,15,0.2172099,55.73838125
2009,03,16,0.2551374,63.570485
2009,03,17,0.20548141,54.02020875
2009,03,18,0.1434062,40.22238
2009,03,19,0.27202845,68.93034
2009,03,20,0.36338591,86.91939125
2009,03,21,0.45763469,103.4622775
2009,03,22,0.6477665,130.244975
2009,03,23,0.40500989,92.9544925
2009,03,24,0.55899434,115.16381125
2009,03,25,0.8734928,157.5591
2009,03,26,0.35843254,78.705385
2009,03,27,0.25350385,63.6695825
2009,03,28,0.35057965,83.16952875
2009,03,29,0.37813968,89.20660125
2009,03,30,0.27968092,70.01847375
2009,03,31,0.26685795,67.01183125
2010,03,1,0.23458486,60.89342375
2010,03,2,0.38565934,91.00684375
2010,03,3,0.49619288,111.252855
2010,03,4,0.81883111,150.073425
2010,03,5,1.41621302,201.026825
2010,03,6,0.4878917,108.28038
2010,03,7,1.27992589,195.8729875
2010,03,8,0.70208722,137.39398
2010,03,9,0.1807609,48.782515
2010,03,10,0.18462157,49.48823625
2010,03,11,0.13247845,37.6854025
2010,03,12,0.24004485,60.69033375
2010,03,13,0.30183252,74.23697625
2010,03,14,0.46227649,103.7057525
2010,03,15,0.4833135,106.51992125
2010,03,16,0.35970641,85.91903125
2010,03,17,0.51740804,111.95421
2010,03,18,0.59860874,124.3701975
2010,03,19,0.70219529,140.66705
2010,03,20,0.67638301,138.0267875
2010,03,21,0.26732366,64.9092725
2010,03,22,0.36179052,85.80239375
2010,03,23,0.3208422,78.08659875
2010,03,24,0.29244599,73.52337375
2010,03,25,0.19984161,53.7842725
2010,03,26,0.41974425,94.96640375
2010,03,27,0.74087462,144.4433875
2010,03,28,1.11885366,182.043625
2010,03,29,0.84881765,153.099075
2010,03,30,0.76673189,143.92794
2010,03,31,0.35670472,83.79002125
2011,03,1,0.21509074,55.00093
2011,03,2,0.19419382,52.07217125
2011,03,3,0.13190809,37.96821375
2011,03,4,0.13366302,38.02430125
2011,03,5,0.1011649,30.21855875
2011,03,6,0.17033354,46.69784375
2011,03,7,0.1300666,37.90145125
2011,03,8,0.66242755,130.812925
2011,03,9,1.1679452,188.8466125
2011,03,10,1.11241244,183.4070375
2011,03,11,1.08707786,180.040575
2011,03,12,0.93327162,168.281925
2011,03,13,0.96095926,169.84325
2011,03,14,1.06015006,179.6520625
2011,03,15,0.75888002,146.124525
2011,03,16,0.37618105,85.13359375
2011,03,17,0.13581469,37.94469
2011,03,18,0.40021588,92.38126875
2011,03,19,0.60046439,126.215605
2011,03,20,0.83728414,156.644375
2011,03,21,1.22970942,190.5582375
2011,03,22,0.9328865,161.92267
2011,03,23,0.66926934,134.24545
2011,03,24,0.9692496,166.966225
2011,03,25,0.58395664,118.03737875
2011,03,26,0.29062105,71.583635
2011,03,27,0.24359226,62.6809975
2011,03,28,0.27471389,69.30767875
2011,03,29,0.55578651,119.57795875
2011,03,30,0.46794041,95.27987375
2011,03,31,0.23843344,60.52440125
2012,03,1,1.40987472,203.5531125
2012,03,2,1.2934409,199.392525
2012,03,3,1.90820288,235.5745375
2012,03,4,0.49206756,100.5960325
2012,03,5,0.36458105,86.0998125
2012,03,6,0.48483288,102.35570375
2012,03,7,0.66169656,129.84225625
2012,03,8,0.67508428,131.1928275
2012,03,9,0.49914616,106.56197625
2012,03,10,0.15330851,42.52843875
2012,03,11,0.19677619,51.8964475
2012,03,12,0.40551965,93.23830125
2012,03,13,0.54501199,118.161225
2012,03,14,0.94285908,166.7482
2012,03,15,0.88205408,161.3896
2012,03,16,1.0362551,161.62470875
2012,03,17,0.19369395,51.96782125
2012,03,18,0.20761538,55.51436375
2012,03,19,0.1254305,36.771115
2012,03,20,0.07075807,23.513295
2012,03,21,0.59876576,124.96388375
2012,03,22,0.18049746,48.90536125
2012,03,23,0.43109682,94.87412875
2012,03,24,0.20927395,54.9805375
2012,03,25,0.21784924,57.27300375
2012,03,26,0.25994005,65.21885125
2012,03,27,0.840328,152.0033375
2012,03,28,0.39764382,86.1923075
2012,03,29,0.47562522,103.19760875
2012,03,30,0.32196271,77.543
2012,03,31,0.61543219,126.4453125
2013,03,1,0.15176252,42.72472875
2013,03,2,0.1075555,32.505115
2013,03,3,0.16717304,46.094225
2013,03,4,0.14899926,42.004515
2013,03,5,0.11453931,33.870045
2013,03,6,0.39017555,88.686665
2013,03,7,0.84313649,157.9822625
2013,03,8,0.72455234,144.6955875
2013,03,9,0.69577332,141.622775
2013,03,10,0.76316682,149.8215375
2013,03,11,0.88483,163.296775
2013,03,12,0.63163583,132.00521
2013,03,13,0.81254158,153.9189375
2013,03,14,0.34044471,82.28457375
2013,03,15,0.31309699,75.91694875
2013,03,16,0.57598491,115.996725
2013,03,17,0.21255794,55.3235825
2013,03,18,0.2304765,59.174475
2013,03,19,0.27030947,67.621255
2013,03,20,0.56322025,118.5042575
2013,03,21,0.81420365,149.07308125
2013,03,22,0.37330205,86.78927
2013,03,23,0.29561392,72.89972625
2013,03,24,0.22912298,59.230935
2013,03,25,0.4411223,98.9928975
2013,03,26,0.39715169,92.8783075
2013,03,27,1.03958089,169.799345
2013,03,28,0.50778106,90.2598225
2013,03,29,0.29900424,73.985195
2013,03,30,0.513277,106.3579
2013,03,31,0.38686415,85.580275
2014,03,1,0.93447894,159.957925
2014,03,2,0.49249209,109.9062875
2014,03,3,0.52499096,115.771625
2014,03,4,0.54397281,118.072
2014,03,5,0.87413101,159.4567625
2014,03,6,0.52074862,111.4787275
