####################################################################################################
# Month: 06Jun                                                                                     #
# Station: SAL                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,06,1,1.7386045,224.9059375
2009,06,2,1.4732955,207.7276625
2009,06,3,2.34221425,245.206375
2009,06,4,1.55793719,212.599025
2009,06,5,1.95283475,228.3169125
2009,06,6,2.1626705,206.2578525
2009,06,7,0.82769396,146.7297525
2009,06,8,0.64422096,130.010645
2009,06,9,1.87717656,226.02805
2009,06,10,2.7739685,256.2704375
2009,06,11,2.28967063,245.6613375
2009,06,12,1.53193962,216.6112125
2009,06,13,2.49519475,250.9726
2009,06,14,1.60182038,214.809325
2009,06,15,1.17711159,190.0394625
2009,06,16,2.0628255,239.6261375
2009,06,17,0.73700239,141.81687125
2009,06,18,0.7281725,137.099925
2009,06,19,2.238332,247.237675
2009,06,20,2.50786862,252.5145375
2009,06,21,2.17305725,242.04515
2009,06,22,1.9598335,225.2821875
2009,06,23,2.79319862,249.743825
2009,06,24,1.76915275,224.0741375
2009,06,25,1.6241399,207.2989875
2009,06,26,1.01889728,175.575575
2009,06,27,0.7881168,146.46207125
2009,06,28,1.0564044,173.4166125
2009,06,29,0.92450585,166.3535
2009,06,30,0.83344001,157.350075
2010,06,1,1.30587925,202.299775
2010,06,2,2.027843,237.2411625
2010,06,3,2.2530882,239.2565
2010,06,4,1.12814566,184.0614
2010,06,5,1.22987545,195.0380125
2010,06,6,0.8223969,153.901825
2010,06,7,1.17217616,183.4559
2010,06,8,1.64006888,212.2061
2010,06,9,1.33357954,194.9502125
2010,06,10,0.97358556,168.261875
2010,06,11,0.60550536,126.8700125
2010,06,12,0.49034956,106.5040275
2010,06,13,1.84097062,221.6044125
2010,06,14,1.51032511,203.875075
2010,06,15,0.68443429,133.475725
2010,06,16,0.96933715,164.4368375
2010,06,17,0.34500131,82.4503025
2010,06,18,0.2307447,58.926335
2010,06,19,0.72748185,141.37705
2010,06,20,0.45368632,101.6496425
2010,06,21,0.72145536,142.2615375
2010,06,22,0.73635699,138.197465
2010,06,23,0.46396969,99.925375
2010,06,24,0.59527368,122.9394525
2010,06,25,0.42594851,98.36484625
2010,06,26,0.81836002,156.4308625
2010,06,27,0.74449255,147.108175
2010,06,28,1.06982364,179.55755
2010,06,29,1.04111944,177.9192
2010,06,30,0.76399689,140.81112875
2011,06,1,0.82634912,148.938075
2011,06,2,0.67911962,134.7509125
2011,06,3,0.67859985,132.4948125
2011,06,4,1.07002956,168.74545
2011,06,5,1.01616819,172.6893125
2011,06,6,0.6723268,133.5072125
2011,06,7,1.87317088,222.6785
2011,06,8,3.41254575,264.245125
2011,06,9,2.701874,252.7993125
2011,06,10,1.53167138,215.88405
2011,06,11,2.2647885,246.66395
2011,06,12,1.70355812,225.272275
2011,06,13,0.79127345,150.790375
2011,06,14,1.72494812,221.6363125
2011,06,15,2.4490385,247.6591625
2011,06,16,2.574971,249.7999375
2011,06,17,1.36151865,197.83015
2011,06,18,0.69739002,138.42755875
2011,06,19,1.59451125,196.1705325
2011,06,20,0.74355391,143.2885625
2011,06,21,0.82108978,153.99405
2011,06,22,1.55526938,213.9225125
2011,06,23,1.57515725,210.37285
2011,06,24,1.34598688,198.55745
2011,06,25,1.38168112,200.7258375
2011,06,26,1.24924232,193.9293625
2011,06,27,0.88116475,159.841175
2011,06,28,0.65624288,131.92198375
