####################################################################################################
# Month: 08Aug                                                                                     #
# Station: SMT                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,08,1,0,0.9152822,168.3288
2009,08,1,1,0.8213345,157.5106
2009,08,1,2,1.1122,187.0941
2009,08,1,3,1.504698,215.6353
2009,08,1,4,1.592355,220.6589
2009,08,1,5,1.513851,215.9699
2009,08,1,6,1.433159,211.5979
2009,08,1,7,1.553023,219.2422
2009,08,2,0,1.530496,218.0546
2009,08,2,1,1.572797,219.9895
2009,08,2,2,1.919995,236.5008
2009,08,2,3,1.920827,236.8327
2009,08,2,4,1.935201,237.045
2009,08,2,5,2.074785,241.4125
2009,08,2,6,1.824146,232.1624
2009,08,2,7,1.800078,232.0206
2009,08,3,0,1.765098,230.8016
2009,08,3,1,2.069017,242.4705
2009,08,3,2,2.224417,246.753
2009,08,3,3,2.067597,241.397
2009,08,3,4,2.116353,242.71
2009,08,3,5,2.1395,243.2484
2009,08,3,6,1.883979,234.6916
2009,08,3,7,1.934669,237.3607
2009,08,4,0,2.005299,240.4757
2009,08,4,1,2.463258,252.8587
2009,08,4,2,2.69621,256.9934
2009,08,4,3,2.643671,256.0051
2009,08,4,4,1.834603,232.8217
2009,08,4,5,1.617059,222.7686
2009,08,4,6,1.79898,231.6883
2009,08,4,7,2.163837,246.0603
2009,08,5,0,2.65761,258.3305
2009,08,5,1,3.249445,265.5533
2009,08,5,2,2.489748,253.6732
2009,08,5,3,2.03947,241.0441
2009,08,5,4,1.688005,224.3011
2009,08,5,5,1.668424,222.8077
2009,08,5,6,1.432672,209.2631
2009,08,5,7,1.883106,233.7674
2009,08,6,0,2.544747,254.6559
2009,08,6,1,2.605107,255.9624
2009,08,6,2,2.203807,245.1201
2009,08,6,3,1.992005,237.9597
2009,08,6,4,1.933545,235.8046
2009,08,6,5,2.033243,239.2357
2009,08,6,6,2.187421,244.3948
2009,08,6,7,1.820978,231.2678
2009,08,7,0,1.251588,198.0729
2009,08,7,1,1.07945,182.8558
2009,08,7,2,0.9976071,175.285
2009,08,7,3,1.034137,178.8954
2009,08,7,4,0.9006019,164.9567
2009,08,7,5,0.6099233,127.8167
2009,08,7,6,0.7105618,141.6471
2009,08,7,7,0.9762785,172.6891
2009,08,8,0,0.8073105,154.3548
2009,08,8,1,0.5267111,115.8296
2009,08,8,2,0.4078706,95.75476
2009,08,8,3,0.3482581,84.54662
2009,08,8,4,0.3294847,80.73274
2009,08,8,5,0.3501618,84.41887
2009,08,8,6,0.4059454,94.95359
2009,08,8,7,0.534406,116.5689
2009,08,9,0,0.6336425,131.5384
2009,08,9,1,0.613029,128.6226
2009,08,9,2,0.5459175,118.7188
2009,08,9,3,0.5629093,121.1485
2009,08,9,4,0.573069,122.6235
2009,08,9,5,0.5899338,125.009
2009,08,9,6,0.5667742,121.5792
2009,08,9,7,0.7550027,147.5666
2009,08,10,0,0.8758624,161.9736
2009,08,10,1,0.7698019,149.8679
2009,08,10,2,0.8414454,158.3656
2009,08,10,3,0.8692684,161.7201
2009,08,10,4,0.9834738,173.3804
2009,08,10,5,1.119972,185.9742
2009,08,10,6,1.18743,191.5779
2009,08,10,7,1.223218,194.1359
2009,08,11,0,1.306136,200.4351
2009,08,11,1,1.44961,210.1118
2009,08,11,2,1.929982,234.2587
2009,08,11,3,2.448983,250.8401
2009,08,11,4,2.298216,246.5676
2009,08,11,5,2.410547,248.7959
2009,08,11,6,2.594802,253.0919
2009,08,11,7,2.558531,252.9381
2009,08,12,0,2.368053,248.7111
2009,08,12,1,2.424398,250.2105
2009,08,12,2,2.666579,256.1181
2009,08,12,3,3.024055,261.5681
2009,08,12,4,2.487965,251.82
2009,08,12,5,1.914031,234.1896
2009,08,12,6,2.099203,241.6832
2009,08,12,7,2.295445,248.1957
2009,08,13,0,2.801691,259.692
2009,08,13,1,3.096635,263.9611
2009,08,13,2,2.709204,257.7258
2009,08,13,3,2.487396,252.6516
2009,08,13,4,2.346919,247.5086
2009,08,13,5,2.920993,258.2904
2009,08,13,6,3.680492,267.4461
2009,08,13,7,3.533729,267.505
2009,08,14,0,3.026066,262.8941
2009,08,14,1,2.456711,253.1146
2009,08,14,2,1.925823,236.9714
2009,08,14,3,1.349796,206.6854
2009,08,14,4,1.373032,208.0495
2009,08,14,5,1.390299,208.4451
2009,08,14,6,1.387553,207.7224
2009,08,14,7,1.311024,202.7804
2009,08,15,0,1.083504,185.3161
2009,08,15,1,0.8859594,165.269
2009,08,15,2,0.7312948,146.3483
2009,08,15,3,0.5689967,123.1157
2009,08,15,4,0.4544347,104.4923
2009,08,15,5,0.405511,95.72287
2009,08,15,6,0.6927802,140.9359
2009,08,15,7,0.8888656,165.3161
2009,08,16,0,0.8658073,163.043
2009,08,16,1,0.7033163,142.9186
2009,08,16,2,0.5990914,128.0945
2009,08,16,3,0.5570401,121.5238
2009,08,16,4,0.4678907,106.9046
2009,08,16,5,0.4213099,98.78927
2009,08,16,6,0.5874053,126.2356
2009,08,16,7,0.7152958,144.335
2009,08,17,0,0.6776536,139.371
2009,08,17,1,0.5252166,116.7598
2009,08,17,2,0.5038058,113.3064
2009,08,17,3,0.5970828,127.8349
2009,08,17,4,0.7709899,151.2508
2009,08,17,5,1.031115,179.7382
2009,08,17,6,1.030663,179.8023
2009,08,17,7,0.9436759,170.8705
2009,08,18,0,1.023168,178.698
2009,08,18,1,0.9407273,170.4106
2009,08,18,2,0.9985386,176.421
2009,08,18,3,1.06338,182.1508
2009,08,18,4,1.053769,180.9895
2009,08,18,5,0.9796753,173.7935
2009,08,18,6,1.062997,181.3222
2009,08,18,7,1.262052,197.6421
2009,08,19,0,1.205601,193.2277
2009,08,19,1,0.8959219,164.0728
2009,08,19,2,0.8723133,161.1304
2009,08,19,3,0.8554685,158.6925
2009,08,19,4,0.8262874,155.2608
2009,08,19,5,0.77618,149.5233
2009,08,19,6,0.7435475,145.4721
2009,08,19,7,0.7655215,148.3876
2009,08,20,0,0.6980947,139.8974
2009,08,20,1,0.7247279,143.2968
2009,08,20,2,1.082951,182.0388
2009,08,20,3,1.151886,187.5947
2009,08,20,4,0.9938912,172.8084
2009,08,20,5,0.9274501,165.757
2009,08,20,6,1.008643,174.1361
2009,08,20,7,1.133435,185.946
2009,08,21,0,1.131468,186.0751
2009,08,21,1,1.167172,188.6826
2009,08,21,2,1.413147,206.9057
2009,08,21,3,1.597242,218.7015
2009,08,21,4,1.72905,225.6253
2009,08,21,5,1.838968,230.5191
2009,08,21,6,1.998423,237.0711
2009,08,21,7,2.962523,260.5961
2009,08,22,0,2.854027,258.8571
2009,08,22,1,2.094556,240.4716
2009,08,22,2,1.769854,227.2428
2009,08,22,3,2.260412,245.2298
2009,08,22,4,2.321201,245.5561
2009,08,22,5,2.46757,249.01
2009,08,22,6,2.306967,245.9772
2009,08,22,7,2.638448,254.6115
2009,08,23,0,2.403624,249.6097
2009,08,23,1,2.281637,246.5407
2009,08,23,2,2.275468,246.4308
2009,08,23,3,2.212336,244.7275
2009,08,23,4,2.048631,239.5424
2009,08,23,5,1.852619,231.8268
2009,08,23,6,1.631143,220.9929
2009,08,23,7,1.986609,236.7405
2009,08,24,0,2.751387,256.6233
2009,08,24,1,3.066715,262.4534
2009,08,24,2,3.002732,261.3902
2009,08,24,3,2.627943,254.0511
2009,08,24,4,1.650357,221.5793
2009,08,24,5,1.115265,185.4159
2009,08,24,6,1.05412,179.8543
2009,08,24,7,1.630852,220.5166
2009,08,25,0,1.779556,227.6349
2009,08,25,1,1.758545,226.8992
2009,08,25,2,1.843551,230.5481
2009,08,25,3,1.754302,225.9057
2009,08,25,4,1.754101,225.7163
2009,08,25,5,1.736869,225.4201
2009,08,25,6,1.460952,211.1082
2009,08,25,7,1.3527,204.6923
2009,08,26,0,1.504569,214.8154
2009,08,26,1,1.781649,229.0811
2009,08,26,2,1.585945,219.622
2009,08,26,3,1.343136,204.6992
2009,08,26,4,1.172311,191.4682
2009,08,26,5,1.19403,192.8507
2009,08,26,6,0.9889324,174.6464
2009,08,26,7,0.9960868,175.5954
2009,08,27,0,1.101988,185.6035
2009,08,27,1,1.233756,196.1809
2009,08,27,2,1.417219,209.091
2009,08,27,3,1.433595,210.1798
2009,08,27,4,1.286146,199.6827
2009,08,27,5,1.202652,193.1212
2009,08,27,6,1.161629,189.9118
2009,08,27,7,1.271685,198.9522
2009,08,28,0,1.363014,205.5974
2009,08,28,1,1.58582,218.5954
2009,08,28,2,1.821941,230.2395
2009,08,28,3,1.894588,233.1398
2009,08,28,4,1.627448,220.7749
2009,08,28,5,1.36818,205.2373
2009,08,28,6,1.043365,178.9997
2009,08,28,7,0.8595051,160.0092
2009,08,29,0,1.219341,193.9716
2009,08,29,1,1.473601,211.4463
2009,08,29,2,1.280359,197.8454
2009,08,29,3,0.9743793,171.1032
2009,08,29,4,0.9237989,165.7187
2009,08,29,5,0.9156163,164.9724
2009,08,29,6,0.9507595,169.1375
2009,08,29,7,1.016811,175.8272
2009,08,30,0,1.223329,193.6472
2009,08,30,1,1.684636,221.9396
2009,08,30,2,1.781889,227.1443
2009,08,30,3,1.739103,225.426
2009,08,30,4,2.088268,238.4664
2009,08,30,5,2.003955,235.9906
2009,08,30,6,1.936525,233.2566
2009,08,30,7,1.842331,229.8448
2009,08,31,0,1.410328,207.0331
2009,08,31,1,1.334721,202.4014
2009,08,31,2,1.46531,211.4277
2009,08,31,3,1.486758,212.5433
2009,08,31,4,1.467422,211.2542
2009,08,31,5,1.474115,211.5074
2009,08,31,6,1.63604,220.4726
2009,08,31,7,2.232978,243.9805
2010,08,1,0,2.832385,258.7974
2010,08,1,1,2.5018,252.6298
2010,08,1,2,2.48608,251.6415
2010,08,1,3,2.460848,250.6425
2010,08,1,4,2.46759,250.7413
2010,08,1,5,2.597273,253.6995
2010,08,1,6,2.831426,258.0607
2010,08,1,7,2.904786,259.1396
2010,08,2,0,2.767622,256.8739
2010,08,2,1,2.587646,253.773
2010,08,2,2,2.2074,244.5892
2010,08,2,3,1.964063,236.1448
2010,08,2,4,1.896342,233.1541
2010,08,2,5,1.678306,223.3699
2010,08,2,6,1.742924,226.4441
2010,08,2,7,2.108277,241.2645
2010,08,3,0,2.348942,248.2401
2010,08,3,1,2.119352,241.231
2010,08,3,2,1.766618,227.643
2010,08,3,3,1.439082,209.2052
2010,08,3,4,1.253069,195.4033
2010,08,3,5,1.19105,190.3217
2010,08,3,6,1.321393,201.5584
2010,08,3,7,1.676576,223.8368
2010,08,4,0,1.662614,223.8799
2010,08,4,1,1.331904,204.2975
2010,08,4,2,1.408004,209.4829
2010,08,4,3,1.783477,230.2007
2010,08,4,4,1.950771,237.1537
2010,08,4,5,1.721866,227.343
2010,08,4,6,1.76047,229.4826
2010,08,4,7,2.09778,243.1409
2010,08,5,0,2.297829,249.8017
2010,08,5,1,2.139442,245.2625
2010,08,5,2,2.237267,248.3163
2010,08,5,3,2.437824,253.486
2010,08,5,4,2.350124,251.0298
2010,08,5,5,2.103714,243.6286
2010,08,5,6,2.03992,241.4479
2010,08,5,7,2.446424,253.5087
2010,08,6,0,2.857842,261.6712
2010,08,6,1,2.793154,260.3326
2010,08,6,2,2.614668,256.9305
2010,08,6,3,2.490523,253.5003
2010,08,6,4,2.343834,249.4625
2010,08,6,5,2.196795,245.0165
2010,08,6,6,2.476883,252.0024
2010,08,6,7,2.297607,247.5335
2010,08,7,0,2.094631,242.188
2010,08,7,1,2.314926,248.9184
2010,08,7,2,2.635609,256.4777
2010,08,7,3,3.104105,263.7021
2010,08,7,4,3.027861,262.0831
2010,08,7,5,2.4348,249.3905
2010,08,7,6,2.438069,249.2301
2010,08,7,7,2.620098,253.0091
2010,08,8,0,2.541283,251.0525
2010,08,8,1,2.164846,241.329
