####################################################################################################
# Month: 02Feb                                                                                     #
# Station: SPT                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,02,1,0,0.2030162,50.09807
2009,02,1,1,0.2032078,50.12287
2009,02,1,2,0.2034673,50.18385
2009,02,1,3,0.2028338,50.06244
2009,02,1,4,0.205641,50.59178
2009,02,1,5,0.2070722,50.88809
2009,02,1,6,0.2084627,51.08023
2009,02,1,7,0.2021626,49.77148
2009,02,2,0,0.1956419,48.43639
2009,02,2,1,0.194497,48.14932
2009,02,2,2,0.1937686,47.97226
2009,02,2,3,0.1934972,47.89943
2009,02,2,4,0.1932517,47.85654
2009,02,2,5,0.1903743,47.31171
2009,02,2,6,0.1882159,46.9191
2009,02,2,7,0.1867976,46.67021
2009,02,3,0,0.1836164,46.05551
2009,02,3,1,0.1775989,44.89742
2009,02,3,2,0.1726579,43.94499
2009,02,3,3,0.1674588,42.94394
2009,02,3,4,0.161304,41.78466
2009,02,3,5,0.1567896,40.929
2009,02,3,6,0.1524684,40.1224
2009,02,3,7,0.1492525,39.53116
2009,02,4,0,0.1482547,39.3139
2009,02,4,1,0.1476209,39.18095
2009,02,4,2,0.1492998,39.50551
2009,02,4,3,0.1533947,40.2809
2009,02,4,4,0.1584256,41.27852
2009,02,4,5,0.1651931,42.61497
2009,02,4,6,0.1733557,44.24487
2009,02,4,7,0.1763083,44.84383
2009,02,5,0,0.1723164,44.0644
2009,02,5,1,0.1677552,43.18426
2009,02,5,2,0.1609219,41.85793
2009,02,5,3,0.1561359,40.92456
2009,02,5,4,0.1552515,40.76172
2009,02,5,5,0.1541791,40.53006
2009,02,5,6,0.1550367,40.69632
2009,02,5,7,0.1551959,40.73338
2009,02,6,0,0.1605669,41.81263
2009,02,6,1,0.1628704,42.2381
2009,02,6,2,0.1616145,41.96208
2009,02,6,3,0.159688,41.56366
2009,02,6,4,0.1616616,41.94346
2009,02,6,5,0.165476,42.70511
2009,02,6,6,0.1663612,42.86932
2009,02,6,7,0.1669307,42.97548
2009,02,7,0,0.1667809,42.87291
2009,02,7,1,0.1644707,42.32317
2009,02,7,2,0.1651614,42.43155
2009,02,7,3,0.1654369,42.4564
2009,02,7,4,0.1662857,42.60646
2009,02,7,5,0.1691842,43.1621
2009,02,7,6,0.1723797,43.81567
2009,02,7,7,0.1747781,44.3247
2009,02,8,0,0.1779947,44.98223
2009,02,8,1,0.1786055,45.10693
2009,02,8,2,0.1771623,44.832
2009,02,8,3,0.1765305,44.73262
2009,02,8,4,0.175648,44.6078
2009,02,8,5,0.1759175,44.66656
2009,02,8,6,0.1768978,44.85232
2009,02,8,7,0.1787966,45.25016
2009,02,9,0,0.1789482,45.30629
2009,02,9,1,0.176498,44.82297
2009,02,9,2,0.1745106,44.41979
2009,02,9,3,0.1751151,44.52732
2009,02,9,4,0.1753575,44.58057
2009,02,9,5,0.1748254,44.49263
2009,02,9,6,0.1750453,44.52756
2009,02,9,7,0.1735925,44.23657
2009,02,10,0,0.1675659,43.08866
2009,02,10,1,0.160279,41.67285
2009,02,10,2,0.1542189,40.4451
2009,02,10,3,0.1477878,39.14706
2009,02,10,4,0.141731,37.93694
2009,02,10,5,0.139322,37.45325
2009,02,10,6,0.1397356,37.51317
2009,02,10,7,0.1377982,37.10233
2009,02,11,0,0.137472,37.04982
2009,02,11,1,0.1389931,37.34758
2009,02,11,2,0.1414205,37.78917
2009,02,11,3,0.1424987,37.92132
2009,02,11,4,0.1385823,37.02359
2009,02,11,5,0.1346903,36.17873
2009,02,11,6,0.1351227,36.21505
2009,02,11,7,0.1371759,36.57981
2009,02,12,0,0.1392813,36.99493
2009,02,12,1,0.1413967,37.42408
2009,02,12,2,0.1465045,38.4323
2009,02,12,3,0.1540181,39.89371
