####################################################################################################
# Month: 09Sep                                                                                     #
# Station: SUF                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,09,1,2.969456
2009,09,2,3.183714
2009,09,3,6.23747013
2009,09,4,8.21094612
2009,09,5,7.95946937
2009,09,6,7.3067885
2009,09,7,8.40197025
2009,09,8,7.99179325
2009,09,9,5.96969625
2009,09,10,3.7428055
2009,09,11,4.63434862
2009,09,12,6.56561162
2009,09,13,7.38803075
2009,09,14,6.4753055
2009,09,15,9.992337
2009,09,16,9.07420825
2009,09,17,7.28344275
2009,09,18,6.96669937
2009,09,19,7.3788795
2009,09,20,7.982325
2009,09,21,8.061114
2009,09,22,8.74277412
2009,09,23,7.46970838
2009,09,24,8.9629305
2009,09,25,9.3810315
2009,09,26,7.4367555
2009,09,27,5.71790762
2009,09,28,7.077864
2009,09,29,8.00120775
2009,09,30,6.5838375
2010,09,1,2.51115612
2010,09,2,4.94773838
2010,09,3,6.43661362
2010,09,4,2.83102775
2010,09,5,2.73289575
2010,09,6,3.02131688
2010,09,7,2.60595312
2010,09,8,2.6182865
2010,09,9,2.53618962
2010,09,10,4.13153363
2010,09,11,9.50366113
2010,09,12,5.005807
2010,09,13,2.02420262
2010,09,14,5.465759
2010,09,15,9.4712975
2010,09,16,5.17478337
2010,09,17,1.89598712
2010,09,18,3.30205512
2010,09,19,7.6549755
2010,09,20,7.97931975
2010,09,21,5.61296475
2010,09,22,3.1346155
2010,09,23,1.89469312
2010,09,24,2.20256488
2010,09,25,6.11031538
2010,09,26,10.2181055
2010,09,27,7.284853
2010,09,28,3.18716725
2010,09,29,4.44788475
2010,09,30,4.21091963
2011,09,1,3.15210462
2011,09,2,3.39231025
2011,09,3,1.96391938
2011,09,4,1.6885755
2011,09,5,2.77451112
2011,09,6,3.51513087
2011,09,7,2.89228062
2011,09,8,2.75569775
2011,09,9,3.93351525
2011,09,10,2.87364425
2011,09,11,1.39647088
2011,09,12,2.68352963
2011,09,13,1.97780512
2011,09,14,4.27876462
2011,09,15,2.480563
2011,09,16,1.57600975
2011,09,17,2.84503038
2011,09,18,7.311461
2011,09,19,6.08125687
2011,09,20,10.4929185
2011,09,21,12.81027375
2011,09,22,8.67475075
2011,09,23,6.55094188
2011,09,24,2.90904538
2011,09,25,5.926971
2011,09,26,5.67044862
2011,09,27,3.55563975
2011,09,28,7.31304388
2011,09,29,5.10105325
2011,09,30,7.03070075
2012,09,1,2.20979062
2012,09,2,3.77509175
2012,09,3,3.46072525
2012,09,4,4.22067575
2012,09,5,5.8694415
2012,09,6,6.41747462
2012,09,7,6.52003263
2012,09,8,5.2971165
2012,09,9,4.76368225
2012,09,10,3.36881388
2012,09,11,2.06855462
2012,09,12,2.15963225
2012,09,13,5.04202012
2012,09,14,4.16151263
2012,09,15,2.95512775
2012,09,16,2.17411137
2012,09,17,3.36170112
2012,09,18,4.53956225
2012,09,19,2.48957375
2012,09,20,2.37870737
2012,09,21,3.74945262
2012,09,22,1.94857762
2012,09,23,1.71327837
2012,09,24,3.88833225
2012,09,25,3.49298325
2012,09,26,2.717591
2012,09,27,3.2935455
2012,09,28,5.4797235
2012,09,29,11.16439787
2012,09,30,9.65524425
2013,09,1,1.97077388
2013,09,2,2.16349625
2013,09,3,2.50925662
2013,09,4,3.30014788
2013,09,5,4.61722812
2013,09,6,3.54683462
2013,09,7,3.38940825
2013,09,8,2.51758825
2013,09,9,8.44589075
2013,09,10,3.15141412
2013,09,11,3.01050912
2013,09,12,6.99080825
2013,09,13,7.149339
2013,09,14,5.03626887
2013,09,15,4.32098488
2013,09,16,3.93618238
2013,09,17,2.39831838
2013,09,18,6.90616362
2013,09,19,5.06625025
2013,09,20,3.32478925
2013,09,21,5.149829
2013,09,22,4.6225595
2013,09,23,3.29784212
2013,09,24,2.95937912
2013,09,25,5.15273212
2013,09,26,5.9357755
2013,09,27,3.664074
2013,09,28,7.04234287
2013,09,29,6.20726087
2013,09,30,2.17039012
2014,09,1,2.72766912
2014,09,2,1.91939538
2014,09,3,3.6862735
2014,09,4,3.22905088
2014,09,5,5.02703575
2014,09,6,7.50518088
2014,09,7,4.72559375
2014,09,8,4.63509263
2014,09,9,2.14100062
2014,09,10,4.41796325
2014,09,11,6.02710138
2014,09,12,4.61624612
2014,09,13,3.91794888
2014,09,14,5.02032562
2014,09,15,7.85019087
2014,09,16,6.75418138
2014,09,17,4.57469875
2014,09,18,9.575376
2014,09,19,4.17595788
2014,09,20,6.72030525
2014,09,21,6.02668462
2014,09,22,5.58385862
2014,09,23,7.03049888
2014,09,24,5.69753
2014,09,25,4.96954587
2014,09,26,9.02937788
2014,09,27,13.96176862
2014,09,28,12.3783445
2014,09,29,10.38335412
2014,09,30,11.74331025
2015,09,1,2.2928535
2015,09,2,8.40399562
2015,09,3,7.64994738
2015,09,4,4.76153425
2015,09,5,2.582557
2015,09,6,5.30740275
2015,09,7,4.12625138
2015,09,8,1.73150388
2015,09,9,1.88276612
2015,09,10,4.81614075
2015,09,11,5.76776575
2015,09,12,6.52315725
2015,09,13,9.97135162
2015,09,14,5.6002615
2015,09,15,5.88331212
2015,09,16,5.82484962
2015,09,17,5.16108038
2015,09,18,6.95972725
2015,09,19,4.63656412
2015,09,20,3.0178265
2015,09,21,2.29877162
2015,09,22,1.92471725
2015,09,23,1.66964513
2015,09,24,4.46191075
2015,09,25,4.47740462
2015,09,26,4.00780588
2015,09,27,3.07462638
2015,09,28,1.65296825
2015,09,29,5.486576
2015,09,30,7.531414
2016,09,1,2.92810075
2016,09,2,1.9442265
2016,09,3,1.77607662
2016,09,4,2.0711445
2016,09,5,4.05421688
2016,09,6,3.8517765
2016,09,7,5.37120988
2016,09,8,6.946194
2016,09,9,7.60618462
2016,09,10,6.73606737
2016,09,11,9.36627412
2016,09,12,8.06225938
2016,09,13,9.20454288
2016,09,14,6.272753
2016,09,15,4.63196888
2016,09,16,5.77415662
2016,09,17,7.11151512
2016,09,18,3.35990525
2016,09,19,3.10707538
2016,09,20,3.68401425
2016,09,21,2.608714
2016,09,22,3.26717488
2016,09,23,4.28594237
2016,09,24,6.564641
2016,09,25,5.633659
2016,09,26,5.05719263
2016,09,27,5.4673705
2016,09,28,6.90684825
2016,09,29,11.65528725
2016,09,30,12.56405788
2017,09,1,2.58220512
2017,09,2,2.92999062
2017,09,3,2.3267045
2017,09,4,3.65897312
2017,09,5,4.55742925
2017,09,6,4.238313
2017,09,7,5.8222385
2017,09,8,3.158066
2017,09,9,1.54613588
2017,09,10,5.6944895
2017,09,11,6.50237638
2017,09,12,4.169729
2017,09,13,2.66396575
2017,09,14,1.96901488
2017,09,15,2.78798188
2017,09,16,2.40557225
2017,09,17,2.06680538
2017,09,18,1.46143525
