####################################################################################################
# Month: 07Jul                                                                                     #
# Station: VLA                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,07,1,0,5.48776
2009,07,1,1,8.074527
2009,07,1,2,7.001348
2009,07,1,3,4.781898
2009,07,1,4,2.557518
2009,07,1,5,4.11821
2009,07,1,6,5.093445
2009,07,1,7,4.00765
2009,07,2,0,3.205486
2009,07,2,1,4.889681
2009,07,2,2,5.959339
2009,07,2,3,9.45987
2009,07,2,4,7.282661
2009,07,2,5,4.178669
2009,07,2,6,4.343107
2009,07,2,7,5.019675
2009,07,3,0,6.218275
2009,07,3,1,5.43692
2009,07,3,2,2.375905
2009,07,3,3,2.31879
2009,07,3,4,1.375258
2009,07,3,5,4.826039
2009,07,3,6,2.570334
2009,07,3,7,1.489345
2009,07,4,0,1.884358
2009,07,4,1,3.375087
2009,07,4,2,3.007699
2009,07,4,3,2.377489
2009,07,4,4,3.217974
2009,07,4,5,6.51334
2009,07,4,6,5.379996
2009,07,4,7,3.745252
2009,07,5,0,3.229982
2009,07,5,1,4.463153
2009,07,5,2,5.735023
2009,07,5,3,5.974651
2009,07,5,4,3.547561
2009,07,5,5,1.342267
2009,07,5,6,1.624379
2009,07,5,7,2.348958
2009,07,6,0,2.969542
2009,07,6,1,3.502961
2009,07,6,2,4.579319
2009,07,6,3,6.429556
2009,07,6,4,7.832337
2009,07,6,5,5.560466
2009,07,6,6,3.52642
2009,07,6,7,4.775343
2009,07,7,0,5.446515
2009,07,7,1,7.659591
2009,07,7,2,11.32539
2009,07,7,3,10.449593
2009,07,7,4,8.815236
2009,07,7,5,6.23909
2009,07,7,6,5.437188
2009,07,7,7,6.475391
2009,07,8,0,7.494278
2009,07,8,1,10.174128
2009,07,8,2,11.2098
2009,07,8,3,10.229677
2009,07,8,4,6.18096
2009,07,8,5,2.764704
2009,07,8,6,3.949626
2009,07,8,7,3.000956
2009,07,9,0,1.179857
2009,07,9,1,2.635834
2009,07,9,2,4.777693
2009,07,9,3,8.286731
2009,07,9,4,6.980244
2009,07,9,5,2.838374
2009,07,9,6,3.531834
2009,07,9,7,5.92207
2009,07,10,0,4.950701
2009,07,10,1,2.705721
2009,07,10,2,4.343357
2009,07,10,3,4.648404
2009,07,10,4,6.35967
2009,07,10,5,6.386518
2009,07,10,6,4.93224
2009,07,10,7,3.958909
2009,07,11,0,3.559569
2009,07,11,1,4.49902
2009,07,11,2,8.710734
2009,07,11,3,11.349606
2009,07,11,4,9.810208
2009,07,11,5,3.61145
2009,07,11,6,6.498443
2009,07,11,7,7.377929
2009,07,12,0,6.165009
2009,07,12,1,6.606199
2009,07,12,2,6.803503
2009,07,12,3,6.304504
2009,07,12,4,4.95902
2009,07,12,5,0.578299
2009,07,12,6,2.415135
2009,07,12,7,2.104824
2009,07,13,0,1.321472
2009,07,13,1,3.299858
2009,07,13,2,4.660438
2009,07,13,3,7.944859
2009,07,13,4,8.861315
2009,07,13,5,7.508481
2009,07,13,6,2.750775
2009,07,13,7,0.419476
2009,07,14,0,4.323429
2009,07,14,1,6.955552
2009,07,14,2,4.86799
2009,07,14,3,7.730926
2009,07,14,4,5.327191
2009,07,14,5,3.433592
2009,07,14,6,1.874955
2009,07,14,7,3.025529
2009,07,15,0,4.287409
2009,07,15,1,3.234653
2009,07,15,2,2.454622
2009,07,15,3,5.852226
2009,07,15,4,9.522213
2009,07,15,5,8.698819
2009,07,15,6,4.616645
2009,07,15,7,3.340278
2009,07,16,0,4.163707
2009,07,16,1,3.508738
2009,07,16,2,6.095158
2009,07,16,3,5.051603
2009,07,16,4,4.665293
2009,07,16,5,3.452407
2009,07,16,6,4.210752
2009,07,16,7,4.046366
2009,07,17,0,4.738788
2009,07,17,1,4.042065
2009,07,17,2,3.223786
2009,07,17,3,4.924003
2009,07,17,4,4.615933
2009,07,17,5,3.474414
2009,07,17,6,2.241588
2009,07,17,7,2.462105
2009,07,18,0,3.835634
2009,07,18,1,7.164232
2009,07,18,2,7.12516
2009,07,18,3,7.414872
2009,07,18,4,6.281117
2009,07,18,5,5.922791
2009,07,18,6,5.274907
2009,07,18,7,6.012895
2009,07,19,0,7.738611
2009,07,19,1,11.588304
2009,07,19,2,10.492324
2009,07,19,3,8.634242
2009,07,19,4,5.752382
2009,07,19,5,4.635863
2009,07,19,6,4.766493
2009,07,19,7,5.458462
2009,07,20,0,6.862391
2009,07,20,1,12.421393
2009,07,20,2,9.765318
2009,07,20,3,11.926868
2009,07,20,4,13.989814
2009,07,20,5,10.330406
2009,07,20,6,7.445747
2009,07,20,7,7.338093
2009,07,21,0,8.991201
2009,07,21,1,11.981742
2009,07,21,2,13.71085
2009,07,21,3,10.62465
2009,07,21,4,9.556326
2009,07,21,5,5.568991
2009,07,21,6,2.537369
2009,07,21,7,2.330114
2009,07,22,0,0.801887
2009,07,22,1,3.122504
2009,07,22,2,2.381066
2009,07,22,3,2.974744
2009,07,22,4,1.678846
2009,07,22,5,3.724138
2009,07,22,6,5.691054
2009,07,22,7,4.115564
2009,07,23,0,3.237284
2009,07,23,1,5.195937
2009,07,23,2,6.73333
2009,07,23,3,4.981401
2009,07,23,4,2.53692
2009,07,23,5,2.76136
2009,07,23,6,1.75655
2009,07,23,7,4.258945
2009,07,24,0,5.097771
2009,07,24,1,5.92526
2009,07,24,2,6.052165
2009,07,24,3,5.300403
2009,07,24,4,3.151621
2009,07,24,5,0.977444
2009,07,24,6,2.353061
2009,07,24,7,2.666387
2009,07,25,0,3.060123
2009,07,25,1,2.825147
2009,07,25,2,2.16662
2009,07,25,3,3.025736
2009,07,25,4,3.553613
2009,07,25,5,2.276265
2009,07,25,6,0.769159
2009,07,25,7,0.881734
2009,07,26,0,1.96876
2009,07,26,1,5.520962
2009,07,26,2,9.669554
2009,07,26,3,12.426587
2009,07,26,4,8.261847
2009,07,26,5,4.56687
2009,07,26,6,1.604185
2009,07,26,7,4.196486
2009,07,27,0,5.303663
2009,07,27,1,6.838855
2009,07,27,2,10.007631
2009,07,27,3,9.680419
2009,07,27,4,8.400768
2009,07,27,5,7.298122
2009,07,27,6,7.130479
2009,07,27,7,5.819625
2009,07,28,0,6.165265
2009,07,28,1,4.639166
2009,07,28,2,2.175619
2009,07,28,3,3.856355
2009,07,28,4,6.238238
2009,07,28,5,5.884612
2009,07,28,6,5.982256
2009,07,28,7,7.084994
2009,07,29,0,9.304133
2009,07,29,1,10.693645
2009,07,29,2,12.402516
2009,07,29,3,11.57441
2009,07,29,4,8.470264
2009,07,29,5,6.155868
2009,07,29,6,6.315638
2009,07,29,7,7.115855
2009,07,30,0,8.087205
2009,07,30,1,8.15878
2009,07,30,2,9.898409
2009,07,30,3,11.227772
2009,07,30,4,10.113122
2009,07,30,5,7.293015
2009,07,30,6,4.373708
2009,07,30,7,4.526921
2009,07,31,0,3.937486
2009,07,31,1,1.219414
2009,07,31,2,2.731352
2009,07,31,3,3.204531
2009,07,31,4,1.430003
2009,07,31,5,2.266062
2009,07,31,6,3.451717
2009,07,31,7,5.799412
2010,07,1,0,4.533428
2010,07,1,1,6.204962
2010,07,1,2,8.892166
2010,07,1,3,7.892479
2010,07,1,4,6.480679
2010,07,1,5,4.43634
2010,07,1,6,3.585378
2010,07,1,7,4.140239
2010,07,2,0,4.418199
2010,07,2,1,5.392326
2010,07,2,2,9.782156
2010,07,2,3,9.106433
2010,07,2,4,8.449521
2010,07,2,5,6.078038
2010,07,2,6,5.024647
2010,07,2,7,5.04882
2010,07,3,0,5.37708
2010,07,3,1,7.061651
2010,07,3,2,10.377408
2010,07,3,3,11.128223
2010,07,3,4,6.45332
2010,07,3,5,3.896202
2010,07,3,6,3.525767
2010,07,3,7,7.231044
2010,07,4,0,8.517777
2010,07,4,1,10.69372
2010,07,4,2,11.180967
2010,07,4,3,11.670394
2010,07,4,4,8.799579
2010,07,4,5,5.191996
2010,07,4,6,3.521831
2010,07,4,7,4.94617
2010,07,5,0,8.073098
2010,07,5,1,12.393531
2010,07,5,2,15.763
2010,07,5,3,15.683837
2010,07,5,4,13.520427
2010,07,5,5,9.489691
2010,07,5,6,5.449234
2010,07,5,7,3.345447
2010,07,6,0,3.363596
2010,07,6,1,3.93781
2010,07,6,2,6.15209
2010,07,6,3,6.119246
2010,07,6,4,6.600681
2010,07,6,5,5.359143
2010,07,6,6,5.162817
2010,07,6,7,5.103685
2010,07,7,0,5.359742
2010,07,7,1,5.705676
2010,07,7,2,5.339545
2010,07,7,3,10.298378
2010,07,7,4,7.34165
2010,07,7,5,4.517662
2010,07,7,6,2.610086
2010,07,7,7,4.138019
2010,07,8,0,2.690647
2010,07,8,1,1.583529
2010,07,8,2,3.160122
2010,07,8,3,3.32585
2010,07,8,4,3.571072
2010,07,8,5,4.743054
2010,07,8,6,5.249083
2010,07,8,7,5.32895
2010,07,9,0,5.373015
2010,07,9,1,7.27943
2010,07,9,2,9.397595
2010,07,9,3,7.941155
2010,07,9,4,6.356556
2010,07,9,5,5.358559
2010,07,9,6,4.738732
2010,07,9,7,4.137473
2010,07,10,0,3.538057
2010,07,10,1,5.154446
2010,07,10,2,8.654555
2010,07,10,3,7.290744
2010,07,10,4,2.183966
2010,07,10,5,3.149137
2010,07,10,6,2.448249
2010,07,10,7,1.381772
2010,07,11,0,1.239569
2010,07,11,1,1.503109
2010,07,11,2,1.388148
2010,07,11,3,2.411743
2010,07,11,4,5.144891
2010,07,11,5,5.149504
2010,07,11,6,2.716935
2010,07,11,7,1.813532
2010,07,12,0,2.492651
2010,07,12,1,3.225118
2010,07,12,2,8.131655
2010,07,12,3,14.49364
2010,07,12,4,13.43561
2010,07,12,5,10.330844
2010,07,12,6,9.211852
2010,07,12,7,7.93846
2010,07,13,0,8.734401
2010,07,13,1,10.815303
2010,07,13,2,13.093213
2010,07,13,3,12.805113
2010,07,13,4,10.449223
2010,07,13,5,7.411492
2010,07,13,6,3.736527
2010,07,13,7,0.907564
2010,07,14,0,1.778215
2010,07,14,1,5.651931
2010,07,14,2,4.43371
2010,07,14,3,4.154082
2010,07,14,4,5.648397
2010,07,14,5,4.96493
2010,07,14,6,1.036483
2010,07,14,7,0.860104
2010,07,15,0,1.937774
2010,07,15,1,4.496203
2010,07,15,2,6.67275
2010,07,15,3,6.132475
2010,07,15,4,5.440422
2010,07,15,5,3.958954
2010,07,15,6,1.802994
