####################################################################################################
# Month: 06Jun                                                                                     #
# Station: WF                                                                                      #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,06,1,2.829785,256.5158875
2009,06,2,4.9875485,280.4320125
2009,06,3,4.74770237,279.07575
2009,06,4,4.51579875,279.2388125
2009,06,5,4.27307662,276.994925
2009,06,6,4.75841788,278.58935
2009,06,7,4.934866,281.65015
2009,06,8,4.80284625,278.4625125
2009,06,9,5.53572338,279.3257
2009,06,10,6.54124613,281.0205875
2009,06,11,7.62629888,283.10005
2009,06,12,9.54549275,286.2383
2009,06,13,6.16231862,284.8191625
2009,06,14,7.04427238,282.242675
2009,06,15,6.65929762,280.3264375
2009,06,16,4.753442,275.133325
2009,06,17,2.97757375,266.0237125
2009,06,18,5.24083,274.06695
2009,06,19,9.24577113,285.0888875
2009,06,20,7.29385888,286.6683
2009,06,21,9.287236,286.0265875
2009,06,22,8.808669,284.588625
2009,06,23,8.56613975,285.1258125
2009,06,24,10.43855,286.57295
2009,06,25,9.766442,288.5098625
2009,06,26,11.0008525,291.392325
2009,06,27,8.634097,288.4428125
2009,06,28,10.21532725,287.4368125
2009,06,29,10.26988938,287.4586
2009,06,30,9.34935087,287.6428125
2010,06,1,9.81326325,289.559075
2010,06,2,7.36396038,287.178525
2010,06,3,8.5244425,289.7914875
2010,06,4,8.23987213,287.585175
2010,06,5,10.16746262,290.69825
2010,06,6,9.573802,289.7819875
2010,06,7,4.45356,276.860875
2010,06,8,3.54088988,270.1150375
2010,06,9,3.72553437,272.0962125
2010,06,10,6.14569525,277.900425
2010,06,11,5.14254212,277.9340625
2010,06,12,7.82431725,284.5287375
2010,06,13,8.31594088,284.1977625
2010,06,14,7.30429175,284.8851875
2010,06,15,4.08837962,275.23215
2010,06,16,4.136873,273.2841
2010,06,17,8.50297425,286.75145
2010,06,18,5.2942805,287.2245875
2010,06,19,4.94995888,286.9016625
2010,06,20,9.22599625,291.518575
2010,06,21,7.336794,289.3159
2010,06,22,4.20653512,279.7489
2010,06,23,9.37496812,288.82245
2010,06,24,10.32995675,293.2160875
2010,06,25,6.38369488,287.217225
2010,06,26,6.92985625,288.0297875
2010,06,27,8.00102337,287.2742625
2010,06,28,11.826495,293.490125
2010,06,29,8.82794675,291.449225
2010,06,30,4.27103012,278.029775
2011,06,1,8.247011,291.213725
2011,06,2,5.29399825,281.47555
2011,06,3,3.83233388,269.95695
2011,06,4,3.40747612,269.881875
2011,06,5,3.84404725,273.9277375
2011,06,6,5.3387695,282.56835
2011,06,7,6.00963588,286.2783
2011,06,8,6.60854562,290.6424625
2011,06,9,8.41670838,294.237025
2011,06,10,8.437963,289.2910375
2011,06,11,6.73856412,282.3916
2011,06,12,7.740576,279.3111
2011,06,13,6.45630175,280.2814125
2011,06,14,5.71114938,277.8073125
2011,06,15,5.29967212,280.1144875
2011,06,16,6.17542162,287.56255
2011,06,17,6.3961545,285.7638875
2011,06,18,8.25971238,287.072825
2011,06,19,4.76231025,281.393775
2011,06,20,4.67998737,282.8355125
2011,06,21,5.03290325,284.323225
2011,06,22,7.037348,286.5436875
2011,06,23,10.65366438,285.70735
2011,06,24,8.96035575,283.011025
2011,06,25,8.80803325,284.1013875
2011,06,26,8.4383985,286.7361375
2011,06,27,7.156005,287.5834
2011,06,28,7.3181305,289.736025
2011,06,29,8.03624088,288.8789125
2011,06,30,5.780797,284.1879
2012,06,1,4.49159312,277.3998125
2012,06,2,6.330741,273.9969375
2012,06,3,8.04283175,282.74055
2012,06,4,5.55563712,275.2012
2012,06,5,5.023109,273.340525
2012,06,6,4.83965038,275.1555875
2012,06,7,5.56610425,278.6654875
2012,06,8,5.544229,281.678725
2012,06,9,5.208053,281.7892
2012,06,10,3.7887075,277.3317875
2012,06,11,5.15062587,281.8442625
2012,06,12,5.53307238,283.1344875
2012,06,13,9.092968,285.576375
2012,06,14,5.482253,282.7191375
2012,06,15,4.02261125,278.0952125
2012,06,16,4.89154988,281.0219875
2012,06,17,4.42359388,277.2892375
2012,06,18,4.23985037,276.386775
2012,06,19,5.4891425,282.3723625
2012,06,20,10.5167105,292.7660625
2012,06,21,9.35698188,295.56155
2012,06,22,9.36732075,294.926575
2012,06,23,10.00832237,290.7283
2012,06,24,5.684614,285.2651375
2012,06,25,8.05447575,287.4913125
2012,06,26,7.7875925,284.354375
2012,06,27,7.1117895,283.74835
2012,06,28,7.05260875,286.83835
2012,06,29,8.30429475,292.7444375
2012,06,30,6.03319375,291.1838375
2013,06,1,7.48058412,294.253925
2013,06,2,9.17449512,292.910125
2013,06,3,9.26225675,289.2486625
2013,06,4,3.62052562,270.84205
2013,06,5,3.55904488,271.8560125
2013,06,6,4.71073712,279.2629625
2013,06,7,5.69300925,276.5736875
2013,06,8,8.51152388,284.2555875
2013,06,9,6.3360715,284.464025
2013,06,10,5.58044162,283.1280125
2013,06,11,8.464711,282.64085
2013,06,12,6.28124238,280.9038875
2013,06,13,5.0209925,278.3289125
