####################################################################################################
# Month: 09Sep                                                                                     #
# Station: YBG                                                                                     #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,0.1049422,29.06801
2009,09,1,1,0.1041642,28.89489
2009,09,1,2,0.1200432,32.40874
2009,09,1,3,0.1050823,29.02155
2009,09,1,4,0.09498201,26.66258
2009,09,1,5,0.08420763,24.14433
2009,09,1,6,0.08617279,24.67221
2009,09,1,7,0.09431739,26.32862
2009,09,2,0,0.1212504,32.83142
2009,09,2,1,0.1161601,31.76216
2009,09,2,2,0.1351176,35.60018
2009,09,2,3,0.1260171,33.4995
2009,09,2,4,0.09788684,27.35775
2009,09,2,5,0.0840101,24.05333
2009,09,2,6,0.0955544,26.87494
2009,09,2,7,0.08169366,23.47646
2009,09,3,0,0.08373978,24.04571
2009,09,3,1,0.1089799,30.07735
2009,09,3,2,0.1409502,36.93697
2009,09,3,3,0.1224712,33.04235
2009,09,3,4,0.09146058,25.87701
2009,09,3,5,0.07357279,21.60701
2009,09,3,6,0.06676676,19.93157
2009,09,3,7,0.07044775,20.81635
2009,09,4,0,0.05583039,17.1816
2009,09,4,1,0.07136416,21.04909
2009,09,4,2,0.06605383,19.63629
2009,09,4,3,0.09052361,25.30608
2009,09,4,4,0.07852638,22.6493
2009,09,4,5,0.0666691,19.78932
2009,09,4,6,0.05533074,16.94025
2009,09,4,7,0.0477557,14.99391
2009,09,5,0,0.05750284,17.34874
2009,09,5,1,0.07009799,20.4807
2009,09,5,2,0.122614,32.75145
2009,09,5,3,0.1336566,34.87844
2009,09,5,4,0.08938916,25.00529
2009,09,5,5,0.08864647,24.82033
2009,09,5,6,0.07874138,22.60667
2009,09,5,7,0.07223684,21.07894
2009,09,6,0,0.07139626,20.8738
2009,09,6,1,0.1011029,28.13759
2009,09,6,2,0.1368378,35.82444
2009,09,6,3,0.1874684,46.51339
2009,09,6,4,0.1537822,39.66472
2009,09,6,5,0.1100293,29.99838
2009,09,6,6,0.08523344,24.27518
2009,09,6,7,0.09525585,26.81474
2009,09,7,0,0.0926197,26.15219
2009,09,7,1,0.1057801,29.29825
2009,09,7,2,0.126269,33.89586
2009,09,7,3,0.1325721,34.74544
2009,09,7,4,0.1166048,31.54093
2009,09,7,5,0.1237686,33.35495
2009,09,7,6,0.129942,34.70284
2009,09,7,7,0.1203987,32.71937
2009,09,8,0,0.1185743,32.39279
2009,09,8,1,0.1137432,31.12041
2009,09,8,2,0.1144937,30.95047
2009,09,8,3,0.1482989,38.10275
2009,09,8,4,0.1019492,28.04952
2009,09,8,5,0.1058038,29.13826
2009,09,8,6,0.1225217,33.19032
2009,09,8,7,0.09631664,27.06511
2009,09,9,0,0.0774991,22.47077
2009,09,9,1,0.08504833,24.30385
2009,09,9,2,0.115925,31.45995
2009,09,9,3,0.1267095,33.82731
2009,09,9,4,0.08059282,23.13157
2009,09,9,5,0.07197507,21.11071
2009,09,9,6,0.07441657,21.71319
2009,09,9,7,0.07740079,22.47067
2009,09,10,0,0.08260008,23.74368
2009,09,10,1,0.08907976,25.28645
2009,09,10,2,0.1072308,29.13833
2009,09,10,3,0.1290581,33.83711
2009,09,10,4,0.1176655,31.46596
2009,09,10,5,0.1036035,28.48326
2009,09,10,6,0.1277429,34.22903
2009,09,10,7,0.1296066,34.67686
2009,09,11,0,0.1021883,28.30387
2009,09,11,1,0.111387,30.26034
2009,09,11,2,0.1301367,34.32277
2009,09,11,3,0.1202002,31.94225
2009,09,11,4,0.07933284,22.8441
2009,09,11,5,0.08059594,23.20524
2009,09,11,6,0.08867566,25.21498
2009,09,11,7,0.1286026,34.85706
2009,09,12,0,0.1152841,31.69618
2009,09,12,1,0.1043483,29.00985
2009,09,12,2,0.1166054,31.78186
2009,09,12,3,0.1092187,30.14644
2009,09,12,4,0.09412169,26.50669
2009,09,12,5,0.08591231,24.54441
2009,09,12,6,0.07870234,22.82677
2009,09,12,7,0.07525243,21.98786
2009,09,13,0,0.07591782,22.15908
2009,09,13,1,0.112317,30.74389
2009,09,13,2,0.1422371,37.1891
2009,09,13,3,0.1200157,32.13277
2009,09,13,4,0.06707442,19.98122
2009,09,13,5,0.05992857,18.22448
2009,09,13,6,0.06520239,19.51034
2009,09,13,7,0.06373209,19.13968
2009,09,14,0,0.07762879,22.529
2009,09,14,1,0.1335598,35.56433
2009,09,14,2,0.1141998,30.83098
2009,09,14,3,0.1134911,30.6253
2009,09,14,4,0.06491896,19.43057
2009,09,14,5,0.06632402,19.76829
2009,09,14,6,0.06987294,20.61386
2009,09,14,7,0.07849272,22.62034
2009,09,15,0,0.1305947,34.89012
2009,09,15,1,0.1394523,36.47707
2009,09,15,2,0.156692,40.22368
2009,09,15,3,0.1667966,42.36064
2009,09,15,4,0.1234666,33.05845
2009,09,15,5,0.1098058,29.99789
2009,09,15,6,0.1075169,29.89848
2009,09,15,7,0.1067181,29.74513
2009,09,16,0,0.08418399,24.20582
2009,09,16,1,0.09320385,26.19083
2009,09,16,2,0.135034,35.68925
2009,09,16,3,0.1604183,40.92699
2009,09,16,4,0.1221089,32.63437
2009,09,16,5,0.08896129,25.1463
2009,09,16,6,0.0733118,21.46559
2009,09,16,7,0.06914605,20.44773
2009,09,17,0,0.07242155,21.28216
2009,09,17,1,0.09577998,26.81714
2009,09,17,2,0.09744067,27.04392
2009,09,17,3,0.08695364,24.51027
2009,09,17,4,0.06365288,19.11527
2009,09,17,5,0.06416327,19.27907
