####################################################################################################
# Month: 01Jan                                                                                     #
# Station: ALMA                                                                                    #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2009,01,1,0.28090275
2009,01,2,0.22594825
2009,01,3,0.1973825
2009,01,4,0.22969175
2009,01,5,0.4003505
2009,01,6,0.32730638
2009,01,7,0.23575112
2009,01,8,0.11177225
2009,01,9,0.04184838
2009,01,10,0.0417825
2009,01,11,0.09532925
2009,01,12,0.044085
2009,01,13,0.10728162
2009,01,14,0.13027975
2009,01,15,0.08665312
2009,01,16,0.1627255
2009,01,17,0.3309645
2009,01,18,0.28610112
2009,01,19,0.21352688
2009,01,20,0.53949887
2009,01,21,0.26680587
2009,01,22,0.38086675
2009,01,23,0.26343412
2009,01,24,0.11783662
2009,01,25,0.2845115
2009,01,26,0.562125
2009,01,27,0.300979
2009,01,28,0.37170075
2009,01,29,0.40158538
2009,01,30,0.52871938
2009,01,31,0.24287812
2010,01,1,0.07188975
2010,01,2,0.25091725
2010,01,3,0.2409665
2010,01,4,0.17963788
2010,01,5,0.30670438
2010,01,6,0.41327338
2010,01,7,0.36074062
2010,01,8,0.105269
2010,01,9,0.1622605
2010,01,10,0.07366512
2010,01,11,0.1960765
2010,01,12,0.11240088
2010,01,13,0.15055862
2010,01,14,0.10576838
2010,01,15,0.07725538
2010,01,16,0.05172425
2010,01,17,0.04224875
2010,01,18,0.08673275
2010,01,19,0.04881025
2010,01,20,0.15502362
2010,01,21,0.32755712
2010,01,22,0.46235875
2010,01,23,0.289896
2010,01,24,0.31387012
2010,01,25,0.47695838
2010,01,26,0.63950775
2010,01,27,0.63606638
2010,01,28,0.6079055
2010,01,29,0.32739125
2010,01,30,0.77989275
2010,01,31,0.85470738
2011,01,1,0.17201412
2011,01,2,0.10212138
2011,01,3,0.11794125
2011,01,4,0.115891
2011,01,5,0.13800425
2011,01,6,0.16556262
2011,01,7,0.05589788
2011,01,8,0.17055088
2011,01,9,0.14463125
2011,01,10,0.22608762
2011,01,11,0.12173488
2011,01,12,0.11364088
2011,01,13,0.1017745
2011,01,14,0.114612
2011,01,15,0.11343538
2011,01,16,0.15772675
2011,01,17,0.102442
2011,01,18,0.09945925
2011,01,19,0.10597225
2011,01,20,0.1903525
2011,01,21,0.2028575
2011,01,22,0.17744262
2011,01,23,0.67502888
2011,01,24,0.88951175
2011,01,25,0.86036988
2011,01,26,0.78894375
2011,01,27,0.81686438
2011,01,28,0.7530505
2011,01,29,0.81186488
2011,01,30,0.7254345
2011,01,31,0.71818925
2012,01,1,0.4908065
2012,01,2,0.65634813
2012,01,3,0.75741012
2012,01,4,0.86846212
2012,01,5,0.8742135
2012,01,6,0.41002512
2012,01,7,0.36910138
2012,01,8,0.41261825
2012,01,9,0.77163912
2012,01,10,0.78534838
2012,01,11,0.37392875
2012,01,12,0.3248515
2012,01,13,0.26108125
2012,01,14,0.23045938
2012,01,15,0.07040038
2012,01,16,0.06965875
2012,01,17,0.07963162
2012,01,18,0.06706875
2012,01,19,0.09142
2012,01,20,0.20472438
2012,01,21,0.16309675
2012,01,22,0.24478912
2012,01,23,0.15294688
2012,01,24,0.24822412
2012,01,25,0.4659125
2012,01,26,0.70699525
2012,01,27,0.74451487
2012,01,28,0.76610262
2012,01,29,0.80389038
2012,01,30,0.8953865
2012,01,31,0.80290225
2013,01,1,0.28926775
2013,01,2,0.326916
2013,01,3,0.04560312
2013,01,4,0.04822875
2013,01,5,0.0782865
2013,01,6,0.30122525
2013,01,7,0.06298212
2013,01,8,0.34876088
2013,01,9,0.44244387
2013,01,10,0.83163825
2013,01,11,0.82899538
2013,01,12,0.82192812
2013,01,13,0.6194015
2013,01,14,0.62683512
2013,01,15,0.77439925
2013,01,16,0.4901015
2013,01,17,0.74326762
2013,01,18,0.76798188
2013,01,19,0.89316375
2013,01,20,0.8992405
2013,01,21,0.33102725
2013,01,22,0.1084185
2013,01,23,0.232335
2013,01,24,0.18652062
2013,01,25,0.1903205
2013,01,26,0.259237
2013,01,27,0.18769388
2013,01,28,0.24377275
2013,01,29,0.4713415
2013,01,30,0.61911688
2013,01,31,0.44447563
2014,01,1,0.34700712
2014,01,2,0.35663075
2014,01,3,0.19281638
2014,01,4,0.70059862
2014,01,5,0.66160762
2014,01,6,0.5983235
2014,01,7,0.65906912
2014,01,8,0.49439725
2014,01,9,0.31361038
2014,01,10,0.47728375
2014,01,11,0.39061938
2014,01,12,0.26026262
2014,01,13,0.335244
2014,01,14,0.40689362
2014,01,15,0.36924888
2014,01,16,0.81611988
2014,01,17,0.87729338
2014,01,18,0.43292388
2014,01,19,0.23619887
2014,01,20,0.17616612
2014,01,21,0.12370162
2014,01,22,0.60669438
2014,01,23,0.6014
2014,01,24,0.67833
2014,01,25,0.79819412
2014,01,26,0.40637
2014,01,27,0.16019
2014,01,28,0.14562075
2014,01,29,0.48973275
2014,01,30,0.83976225
2014,01,31,0.81517975
2015,01,1,0.07581025
2015,01,2,0.10049062
2015,01,3,0.250052
2015,01,4,0.29852888
2015,01,5,0.41535725
2015,01,6,0.62897962
2015,01,7,0.30756362
2015,01,8,0.31907212
2015,01,9,0.1796415
2015,01,10,0.25667188
2015,01,11,0.35346862
2015,01,12,0.46817988
2015,01,13,0.1876085
2015,01,14,0.43874338
2015,01,15,0.63263625
2015,01,16,0.4347935
2015,01,17,0.36592612
2015,01,18,0.35808612
2015,01,19,0.53954638
2015,01,20,0.58152112
2015,01,21,0.80931525
2015,01,22,0.451873
2015,01,23,0.4464275
2015,01,24,0.60651425
2015,01,25,0.61344212
2015,01,26,0.59072962
2015,01,27,0.49778088
2015,01,28,0.169098
2015,01,29,0.51878688
2015,01,30,0.7849025
2015,01,31,0.87603225
2016,01,1,0.11448638
2016,01,5,0.29983975
2016,01,6,0.33218338
2016,01,7,0.54109975
2016,01,8,0.29631362
2016,01,9,0.2006995
2016,01,10,0.24295675
2016,01,11,0.508143
2016,01,12,0.52042438
2016,01,13,0.565258
2016,01,14,0.52620575
2016,01,15,0.169288
2016,01,16,0.188337
2016,01,17,0.10426638
2016,01,18,0.45392312
2016,01,19,0.57576312
2016,01,20,0.62510975
2016,01,21,0.50613475
2016,01,22,0.596505
2016,01,23,0.68866288
2016,01,24,0.39311588
2016,01,25,0.14867875
2016,01,26,0.17903925
2016,01,27,0.20889375
2016,01,28,0.22355588
2016,01,29,0.409131
2016,01,30,0.41213525
2016,01,31,0.64700275
2017,01,1,0.57869912
2017,01,2,0.67645638
2017,01,3,0.650567
2017,01,4,0.45396225
2017,01,5,0.50775475
2017,01,6,0.8012875
2017,01,7,0.46962963
2017,01,8,0.54046313
2017,01,9,0.42133512
2017,01,10,0.60897875
2017,01,11,0.738303
2017,01,12,0.80173888
2017,01,13,0.70249788
2017,01,14,0.84430612
2017,01,15,0.5051695
2017,01,16,0.68009625
2017,01,17,0.80042375
2017,01,18,0.82571888
2017,01,19,0.84241275
2017,01,20,0.46103588
2017,01,21,0.51410938
2017,01,22,0.83843775
2017,01,23,0.60243438
2017,01,24,0.56966912
2017,01,25,0.6172515
2017,01,26,0.7309445
2017,01,27,0.62034275
2017,01,28,0.3104425
2017,01,29,0.16201625
2017,01,30,0.45903288
2017,01,31,0.36617262
2018,01,1,0.1576035
2018,01,2,0.18840138
2018,01,3,0.248472
2018,01,4,0.2906955
2018,01,5,0.15458625
2018,01,6,0.37063912
2018,01,7,0.317141
2018,01,8,0.740365
2018,01,9,0.87096688
2018,01,10,0.79048325
2018,01,11,0.77847438
2018,01,12,0.8541245
2018,01,13,0.8017265
2018,01,14,0.19503475
2018,01,15,0.25532038
2018,01,16,0.65071938
2018,01,17,0.50998012
2018,01,18,0.21663875
2018,01,19,0.18105038
2018,01,20,0.3066805
2018,01,21,0.09416675
2018,01,22,0.07452937
2018,01,23,0.18772112
2018,01,24,0.17634175
2018,01,25,0.80911212
2018,01,26,0.76153937
2018,01,27,0.6624895
2018,01,28,0.81388775
2018,01,29,0.77114838
2018,01,30,0.85177888
2018,01,31,0.836262
2019,01,1,0.88646913
