####################################################################################################
# Month: 09Sep                                                                                     #
# Station: ALMA                                                                                    #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,09,1,0.0275333,9.5662565
2009,09,2,0.02808926,9.6582275
2009,09,3,0.02055721,7.7797125
2009,09,4,0.01877893,7.33244875
2009,09,5,0.01972182,7.57826425
2009,09,6,0.02060142,7.81379062
2009,09,7,0.02123341,7.97433762
2009,09,8,0.02116301,7.95344088
2009,09,9,0.02055811,7.79796512
2009,09,10,0.01884056,7.36784412
2009,09,11,0.01895508,7.43124
2009,09,12,0.01908249,7.4821175
2009,09,13,0.01867766,7.374372
2009,09,14,0.02123227,7.99456538
2009,09,15,0.03325846,10.9412645
2009,09,16,0.05045987,15.0748575
2009,09,17,0.03625859,11.68320962
2009,09,18,0.01884641,7.42361912
2009,09,19,0.01900606,7.44863975
2009,09,20,0.01891673,7.41607612
2009,09,21,0.01893511,7.41260638
2009,09,22,0.01931846,7.51209512
2009,09,23,0.01916143,7.48115225
2009,09,24,0.019418,7.56218638
2009,09,25,0.01931062,7.53958675
2009,09,26,0.020795,7.91407225
2009,09,27,0.01988177,7.69174675
2009,09,28,0.01881208,7.42269075
2009,09,29,0.02342858,8.60037075
2009,09,30,0.0231869,8.54308737
2010,09,1,0.03262583,10.75733938
2010,09,2,0.03360573,11.01531912
2010,09,3,0.0224744,8.29963662
2010,09,4,0.0182837,7.290391
2010,09,5,0.01788138,7.17692312
2010,09,6,0.01740823,7.04747088
2010,09,7,0.01845227,7.30728612
2010,09,8,0.01832373,7.28093025
2010,09,9,0.01855952,7.34076925
2010,09,10,0.02053585,7.8480305
2010,09,11,0.01833813,7.25733012
2010,09,12,0.01783656,7.13055375
2010,09,13,0.01764998,7.08680638
2010,09,14,0.01960335,7.56262688
2010,09,15,0.01979146,7.63488213
2010,09,16,0.01938241,7.53652162
2010,09,17,0.01901361,7.43992912
2010,09,18,0.01974718,7.62633012
2010,09,19,0.02037278,7.79129688
2010,09,20,0.01972086,7.61913238
2010,09,21,0.02018837,7.73133425
2010,09,22,0.02148819,8.0486545
2010,09,23,0.02039251,7.78689313
2010,09,24,0.01905562,7.46984375
2010,09,25,0.01856174,7.36218312
2010,09,26,0.01914849,7.5203655
2010,09,27,0.01931634,7.56195025
2010,09,28,0.01966295,7.64132625
2010,09,29,0.01945148,7.57255625
2010,09,30,0.01936522,7.55459775
2011,09,1,0.01931827,7.5239375
2011,09,2,0.0247446,8.91760225
2011,09,3,0.0243149,8.81103613
2011,09,4,0.02354567,8.60519375
2011,09,5,0.0196952,7.60184075
2011,09,6,0.01897779,7.41777188
2011,09,7,0.01955325,7.5634325
2011,09,8,0.01963401,7.56735762
2011,09,9,0.01990743,7.6267655
2011,09,10,0.02088234,7.86761775
2011,09,11,0.0195784,7.55982238
2011,09,12,0.02028772,7.7634555
2011,09,13,0.02472508,8.8816845
2011,09,14,0.02171848,8.13315325
2011,09,15,0.01825371,7.24335825
2011,09,16,0.01827853,7.2512285
2011,09,17,0.01822811,7.222231
2011,09,18,0.01793355,7.141594
