####################################################################################################
# Month: 01Jan                                                                                     #
# Station: ATCA                                                                                    #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,01,1,0,0.8433975,166.3953
2009,01,1,1,0.92075,175.149
2009,01,1,2,1.019274,184.3917
2009,01,1,3,1.091058,189.4674
2009,01,1,4,1.151537,194.1268
2009,01,1,5,1.388864,211.4904
2009,01,1,6,1.457032,216.9557
2009,01,1,7,1.344485,209.9653
2009,01,2,0,1.56442,226.2442
2009,01,2,1,1.409325,219.1324
2009,01,2,2,1.245014,206.9722
2009,01,2,3,0.9395604,176.5464
2009,01,2,4,0.6241808,134.3866
2009,01,2,5,1.477231,221.998
2009,01,2,6,2.198277,254.6534
2009,01,2,7,1.903835,243.4658
2009,01,3,0,1.845313,242.6736
2009,01,3,1,1.567966,229.6663
2009,01,3,2,1.447901,222.2873
2009,01,3,3,1.527949,226.4373
2009,01,3,4,1.741485,237.5059
2009,01,3,5,1.683553,233.3632
2009,01,3,6,1.566873,226.4285
2009,01,3,7,1.582054,227.1821
2009,01,4,0,1.681861,234.6018
2009,01,4,1,1.607187,232.2918
2009,01,4,2,1.619789,233.3016
2009,01,4,3,1.66024,234.9247
2009,01,4,4,1.765452,239.1229
2009,01,4,5,1.650135,231.7831
2009,01,4,6,1.594356,228.6085
2009,01,4,7,1.466475,220.3604
2009,01,5,0,1.541991,226.2433
2009,01,5,1,1.562492,229.2787
2009,01,5,2,1.635825,234.8205
2009,01,5,3,1.630671,234.9388
2009,01,5,4,1.578179,231.3349
2009,01,5,5,1.615252,232.5883
2009,01,5,6,1.829386,242.6246
2009,01,5,7,1.924026,246.5289
2009,01,6,0,1.912549,247.1026
2009,01,6,1,1.513159,228.2202
2009,01,6,2,1.373914,219.3448
2009,01,6,3,1.391954,220.2969
2009,01,6,4,1.495502,226.7482
2009,01,6,5,1.634482,233.0399
2009,01,6,6,1.703589,236.012
2009,01,6,7,1.722061,235.9981
2009,01,7,0,1.943535,246.4707
2009,01,7,1,1.859651,244.2316
2009,01,7,2,1.926819,247.7585
2009,01,7,3,2.219162,257.9516
2009,01,7,4,2.40506,263.4816
2009,01,7,5,2.680982,269.1626
2009,01,7,6,2.887038,271.1227
2009,01,7,7,2.906239,270.859
2009,01,8,0,2.929877,271.8034
2009,01,8,1,2.978648,273.0261
2009,01,8,2,2.761773,270.1814
2009,01,8,3,3.29711,277.1882
2009,01,8,4,2.700545,268.0665
2009,01,8,5,2.56042,265.5803
2009,01,8,6,2.09476,250.9788
2009,01,8,7,1.775057,237.4055
2009,01,9,0,1.809508,240.793
2009,01,9,1,1.724541,237.5957
2009,01,9,2,1.458687,222.4759
2009,01,9,3,1.388638,216.9644
2009,01,9,4,1.649299,231.1863
2009,01,9,5,1.504477,221.1551
2009,01,9,6,1.338288,209.705
2009,01,9,7,1.370417,211.8026
2009,01,10,0,1.607766,228.6854
2009,01,10,1,1.808149,240.3653
2009,01,10,2,1.956694,246.8575
2009,01,10,3,1.894224,244.9201
2009,01,10,4,2.097104,251.5483
2009,01,10,5,2.378421,257.3327
2009,01,10,6,2.255313,253.3588
2009,01,10,7,2.219146,252.0238
2009,01,11,0,2.044965,248.1539
2009,01,11,1,2.043418,250.9169
2009,01,11,2,2.129345,253.6965
2009,01,11,3,2.335392,259.795
2009,01,11,4,2.303244,258.832
2009,01,11,5,2.455601,261.8678
2009,01,11,6,2.664281,265.2347
2009,01,11,7,2.780925,266.1447
2009,01,12,0,2.199309,254.6243
2009,01,12,1,1.762326,240.1387
2009,01,12,2,1.510177,226.697
2009,01,12,3,1.338902,214.4642
2009,01,12,4,1.661698,234.5422
2009,01,12,5,1.937382,246.1974
2009,01,12,6,1.759244,238.2891
2009,01,12,7,1.554115,226.6908
2009,01,13,0,1.596773,230.6117
2009,01,13,1,1.454077,223.0686
2009,01,13,2,1.456314,222.6525
2009,01,13,3,1.411738,218.9756
2009,01,13,4,1.606033,230.31
2009,01,13,5,1.655166,232.8547
2009,01,13,6,1.532226,225.2197
2009,01,13,7,1.441721,219.1863
2009,01,14,0,1.506015,224.7842
2009,01,14,1,1.364567,217.0517
2009,01,14,2,1.407704,220.0519
2009,01,14,3,1.485636,224.6642
2009,01,14,4,1.404541,218.9149
2009,01,14,5,1.373028,215.8451
2009,01,14,6,1.349182,213.3771
2009,01,14,7,1.64634,231.2232
2009,01,15,0,1.680692,234.5614
2009,01,15,1,1.529385,228.004
2009,01,15,2,1.519498,228.2029
2009,01,15,3,1.580886,231.7176
2009,01,15,4,1.56997,230.5872
2009,01,15,5,1.522385,227.0959
2009,01,15,6,1.515015,226.2677
2009,01,15,7,1.611978,231.2055
2009,01,16,0,1.75697,239.087
2009,01,16,1,1.668608,236.0724
2009,01,16,2,1.3787,218.6038
2009,01,16,3,0.9261625,177.1081
2009,01,16,4,0.4315292,103.6967
2009,01,16,5,0.5189538,118.731
2009,01,16,6,0.8051966,160.3472
2009,01,16,7,1.079401,190.1857
2009,01,17,0,1.069842,189.4371
2009,01,17,1,0.9618878,179.3546
2009,01,17,2,0.9390786,177.6406
2009,01,17,3,1.109746,194.3869
2009,01,17,4,1.443748,219.3278
2009,01,17,5,1.69219,232.5198
2009,01,17,6,1.488962,220.5046
2009,01,17,7,1.545704,223.9642
2009,01,18,0,1.713948,235.331
2009,01,18,1,1.667052,234.5625
2009,01,18,2,1.530845,227.7484
2009,01,18,3,1.478831,224.4658
2009,01,18,4,1.446046,222.0709
2009,01,18,5,1.634697,232.4686
2009,01,18,6,1.810432,239.4852
2009,01,18,7,1.826786,239.2382
2009,01,19,0,1.926128,243.2268
2009,01,19,1,2.041155,248.6166
2009,01,19,2,2.210314,254.6781
2009,01,19,3,2.387899,259.7811
2009,01,19,4,2.344195,259.2084
2009,01,19,5,2.306769,258.0682
2009,01,19,6,2.010623,246.4515
2009,01,19,7,1.943296,244.0091
2009,01,20,0,2.05973,249.7185
2009,01,20,1,2.135101,253.9046
2009,01,20,2,2.199301,256.2347
2009,01,20,3,2.131837,253.5294
2009,01,20,4,2.230193,256.1027
2009,01,20,5,2.546244,263.9632
2009,01,20,6,2.714782,267.446
2009,01,20,7,2.842965,269.0247
2009,01,21,0,2.930046,271.4814
2009,01,21,1,2.709535,268.3853
2009,01,21,2,2.638027,266.9183
2009,01,21,3,2.759779,268.8135
2009,01,21,4,2.720188,267.9621
2009,01,21,5,2.855785,269.9821
2009,01,21,6,3.705932,280.2759
2009,01,21,7,3.747746,280.2283
2009,01,22,0,4.247498,283.0489
2009,01,22,1,4.167102,283.1063
2009,01,22,2,3.779102,280.9163
2009,01,22,3,3.051899,274.3339
2009,01,22,4,2.648648,267.6857
2009,01,22,5,2.54081,265.624
2009,01,22,6,2.6087,267.4875
2009,01,22,7,2.752197,270.3796
2009,01,23,0,3.084348,276.8414
2009,01,23,1,3.060167,278.4451
2009,01,23,2,3.380472,283.1703
2009,01,23,3,3.706042,285.7681
2009,01,23,4,3.635505,284.9768
2009,01,23,5,3.507052,283.5293
2009,01,23,6,3.305189,280.854
2009,01,23,7,3.216013,279.6848
2009,01,24,0,3.15765,280.1625
2009,01,24,1,3.286193,281.8128
2009,01,24,2,3.20683,281.6967
2009,01,24,3,2.982176,278.861
2009,01,24,4,2.703045,274.2416
2009,01,24,5,2.389495,266.0174
2009,01,24,6,2.509186,268.2271
2009,01,24,7,3.284021,280.9179
2009,01,25,0,3.759505,284.4829
2009,01,25,1,3.313511,280.8369
2009,01,25,2,2.623325,271.0091
2009,01,25,3,2.265028,262.2818
2009,01,25,4,2.324202,263.1304
2009,01,25,5,2.739277,271.8971
2009,01,25,6,2.689978,270.1211
2009,01,25,7,2.762713,270.8829
2009,01,26,0,2.631785,269.5239
2009,01,26,1,2.34179,263.7188
2009,01,26,2,2.120612,257.4663
2009,01,26,3,1.84075,246.1022
2009,01,26,4,2.213461,259.0927
2009,01,26,5,2.368794,261.9357
2009,01,26,6,2.197131,255.8877
2009,01,26,7,2.034088,249.8534
2009,01,27,0,1.803208,241.6667
2009,01,27,1,1.610697,232.9051
2009,01,27,2,1.776916,241.3771
2009,01,27,3,2.004005,250.8687
