####################################################################################################
# Month: 11Nov                                                                                     #
# Station: BAN                                                                                     #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,11,1,0.06163023,17.5771725
2009,11,2,0.07517718,20.8131375
2009,11,3,0.06232374,17.8354725
2009,11,4,0.05204705,15.44288375
2009,11,5,0.10132826,27.3011425
2009,11,6,0.07725811,21.61714125
2009,11,7,0.0647534,18.37073125
2009,11,8,0.06588109,18.49428375
2009,11,9,0.06465679,18.316515
2009,11,10,0.08093216,22.06203875
2009,11,11,0.05829175,16.714535
2009,11,12,0.05660508,16.39496375
2009,11,13,0.07699406,21.37402875
2009,11,14,0.05675348,16.42260875
2009,11,15,0.0882531,24.06878875
2009,11,16,0.11281097,29.7014625
2009,11,17,0.09956994,26.53852625
2009,11,18,0.06429987,18.0632525
2009,11,19,0.07516087,20.6199225
2009,11,20,0.08929716,24.17112
2009,11,21,0.07315634,20.382295
2009,11,22,0.05038285,14.8925575
2009,11,23,0.06613731,18.67295125
2009,11,24,0.07348361,20.35386
2009,11,25,0.09722945,26.29889375
2009,11,26,0.07054441,19.9308775
2009,11,27,0.06720341,18.9221
2009,11,28,0.05565037,16.15568625
2009,11,29,0.07324577,20.5280675
2009,11,30,0.05622318,16.23218375
2010,11,1,0.074669,21.03852125
2010,11,2,0.06389787,18.348785
2010,11,3,0.06005678,17.478145
2010,11,4,0.07999427,22.8408775
2010,11,5,0.07956176,22.44199625
2010,11,6,0.04742743,14.42182125
2010,11,7,0.08515252,23.34943125
2010,11,8,0.05872551,17.04657
2010,11,9,0.05515178,16.0646475
2010,11,10,0.05451743,15.98506875
2010,11,11,0.04677332,14.1813725
2010,11,12,0.08705117,23.61621
2010,11,13,0.08408534,23.22987875
2010,11,14,0.08578476,23.48988
2010,11,15,0.09134014,24.6079475
2010,11,16,0.04719892,14.0161575
2010,11,17,0.05195816,15.0204325
2010,11,18,0.068137,18.696395
2010,11,19,0.046113,13.53521375
2010,11,20,0.05112453,14.617125
2010,11,21,0.04871703,14.05146375
2010,11,22,0.04821429,13.75045625
2010,11,23,0.04983396,14.422385
2010,11,24,0.04998195,14.7796
2010,11,25,0.08255385,22.52415125
2010,11,26,0.09053607,24.3270075
2010,11,27,0.06043174,17.1338925
2010,11,28,0.06022056,17.01221
2010,11,29,0.04900732,14.49265625
2010,11,30,0.10799403,28.49422
2011,11,1,0.06023957,17.19070875
2011,11,2,0.11475129,30.04801625
2011,11,3,0.08753576,23.7294975
2011,11,4,0.05403019,15.7639525
2011,11,5,0.06002305,17.33714125
2011,11,6,0.07927706,21.73331375
2011,11,7,0.06268592,17.833495
2011,11,8,0.07109531,19.60358875
2011,11,9,0.06382918,17.90916
2011,11,10,0.12096961,31.529035
2011,11,11,0.08406597,22.9972175
2011,11,12,0.0743278,20.5454575
2011,11,13,0.0945697,25.24428875
2011,11,14,0.09031718,24.00676375
2011,11,15,0.05352826,15.3420675
2011,11,16,0.05739756,16.32246375
2011,11,17,0.1035796,26.8999425
2011,11,18,0.05205612,14.98609625
2011,11,19,0.04536018,13.44856
2011,11,20,0.05868968,16.5081775
2011,11,21,0.07202568,19.91431625
2011,11,22,0.08910453,23.8917875
2011,11,23,0.07686214,21.05388125
2011,11,24,0.05741608,16.42941375
2011,11,25,0.07970752,21.751695
2011,11,26,0.07159669,19.7786
2011,11,27,0.10759017,28.595585
2011,11,28,0.06032739,17.1394125
2011,11,29,0.07576049,20.818535
2011,11,30,0.05591363,16.0378425
2012,11,1,0.08644418,23.87975625
2012,11,2,0.05403574,16.13383375
2012,11,3,0.09216318,25.10991
2012,11,4,0.07178137,20.1759025
2012,11,5,0.09254891,25.1266325
2012,11,6,0.05789106,16.86534625
2012,11,7,0.06816728,19.0026275
2012,11,8,0.05758,16.455205
2012,11,9,0.0631173,17.70956625
2012,11,10,0.05376934,15.60180375
2012,11,11,0.06981012,19.62147125
2012,11,12,0.09624514,25.7592875
2012,11,13,0.09364617,25.0557075
2012,11,14,0.06951692,19.42496125
2012,11,15,0.0778864,21.560245
2012,11,16,0.0791023,21.74209875
2012,11,17,0.07392606,20.60307125
2012,11,18,0.09437782,25.2424675
2012,11,19,0.07760264,21.3211875
2012,11,20,0.10669412,27.84846875
2012,11,21,0.07098693,19.69928875
2012,11,22,0.05721747,16.4344275
2012,11,23,0.09391922,25.148125
2012,11,24,0.06642592,18.58058125
2012,11,25,0.06831365,19.02665375
2012,11,26,0.08148468,21.9716225
2012,11,27,0.04996881,14.71226625
2012,11,28,0.09154864,24.45871875
2012,11,29,0.1260753,32.64488375
2012,11,30,0.10524196,27.87694875
2013,11,1,0.06593425,18.8025325
2013,11,2,0.06620454,18.67784625
2013,11,3,0.06470152,18.22337875
2013,11,4,0.04903757,14.50014
2013,11,5,0.05892495,16.94979375
2013,11,6,0.05782357,16.6425325
2013,11,7,0.05936197,17.01767625
2013,11,8,0.0882205,23.65788625
2013,11,9,0.06749696,18.79368125
2013,11,10,0.04491711,13.55135625
2013,11,11,0.05161248,15.46762875
2013,11,12,0.088483,24.36924
2013,11,13,0.09735488,26.16024125
2013,11,14,0.07394697,20.65122875
2013,11,15,0.10530001,27.71421625
2013,11,16,0.07829158,21.116365
2013,11,17,0.05839429,16.428485
2013,11,18,0.07408683,20.06650875
2013,11,19,0.04965664,14.37700625
2013,11,20,0.04824404,13.87808875
2013,11,21,0.06977555,18.92397875
2013,11,22,0.09107844,24.36116
2013,11,23,0.08658788,23.8103225
2013,11,24,0.06324982,18.02381875
2013,11,25,0.05431893,15.942545
2013,11,26,0.09489824,25.58093625
2013,11,27,0.0767875,21.48722375
2013,11,28,0.10359775,27.57315625
2013,11,29,0.05286111,15.64664
2013,11,30,0.0688408,19.504185
