####################################################################################################
# Month: 12Dec                                                                                     #
# Station: BAR                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2009,12,1,0,0.134559
2009,12,1,1,0.225698
2009,12,1,2,0.313847
2009,12,1,3,0.319727
2009,12,1,4,0.289364
2009,12,1,5,0.259045
2009,12,1,6,0.27863
2009,12,1,7,0.229489
2009,12,2,0,0.154955
2009,12,2,1,0.134269
2009,12,2,2,0.152136
2009,12,2,3,0.179696
2009,12,2,4,0.259045
2009,12,2,5,0.299194
2009,12,2,6,0.162378
2009,12,2,7,0.251019
2009,12,3,0,0.204803
2009,12,3,1,0.115586
2009,12,3,2,0.098323
2009,12,3,3,0.104103
2009,12,3,4,0.081294
2009,12,3,5,0.089339
2009,12,3,6,0.11276
2009,12,3,7,0.134714
2009,12,4,0,0.126441
2009,12,4,1,0.133856
2009,12,4,2,0.182832
2009,12,4,3,0.225576
2009,12,4,4,0.197636
2009,12,4,5,0.092555
2009,12,4,6,0.133745
2009,12,4,7,0.17239
2009,12,5,0,0.185603
2009,12,5,1,0.190342
2009,12,5,2,0.361527
2009,12,5,3,0.643716
2009,12,5,4,0.612197
2009,12,5,5,0.283467
2009,12,5,6,0.105508
2009,12,5,7,0.319764
2009,12,6,0,0.528342
2009,12,6,1,0.158209
2009,12,6,2,0.196052
2009,12,6,3,0.131263
2009,12,6,4,0.061923
2009,12,6,5,0.03927
2009,12,6,6,0.047092
2009,12,6,7,0.086259
2009,12,7,0,0.107936
2009,12,7,1,0.114082
2009,12,7,2,0.15394
2009,12,7,3,0.242624
2009,12,7,4,0.343289
2009,12,7,5,0.461459
2009,12,7,6,0.719686
2009,12,7,7,0.992523
2009,12,8,0,0.965887
2009,12,8,1,0.324758
2009,12,8,2,0.058898
2009,12,8,3,0.097608
2009,12,8,4,0.109842
2009,12,8,5,0.172402
2009,12,8,6,0.187228
2009,12,8,7,0.271726
2009,12,9,0,0.310513
2009,12,9,1,0.173909
2009,12,9,2,0.104195
2009,12,9,3,0.059119
2009,12,9,4,0.021465
2009,12,9,5,0.045341
2009,12,9,6,0.057207
2009,12,9,7,0.036221
2009,12,10,0,0.022012
2009,12,10,1,0.023207
2009,12,10,2,0.150409
2009,12,10,3,0.455035
2009,12,10,4,0.863527
2009,12,10,5,0.949855
2009,12,10,6,0.928043
2009,12,10,7,0.874614
2009,12,11,0,0.801786
2009,12,11,1,0.802501
2009,12,11,2,0.826277
2009,12,11,3,0.926024
2009,12,11,4,0.976141
2009,12,11,5,0.819551
2009,12,11,6,0.834213
2009,12,11,7,0.504204
2009,12,12,0,0.801274
2009,12,12,1,0.714305
2009,12,12,2,0.487373
2009,12,12,3,0.524108
2009,12,12,4,0.409176
2009,12,12,5,0.495096
2009,12,12,6,0.665087
2009,12,12,7,0.701652
2009,12,13,0,0.652724
2009,12,13,1,0.891338
2009,12,13,2,0.866367
2009,12,13,3,0.712493
2009,12,13,4,0.648024
2009,12,13,5,0.531815
2009,12,13,6,0.68659
2009,12,13,7,0.579144
2009,12,14,0,0.572417
2009,12,14,1,0.624003
2009,12,14,2,0.549543
2009,12,14,3,0.420467
2009,12,14,4,0.169207
2009,12,14,5,0.102306
2009,12,14,6,0.078661
2009,12,14,7,0.088227
2009,12,15,0,0.196258
2009,12,15,1,0.234383
2009,12,15,2,0.232323
2009,12,15,3,0.267982
2009,12,15,4,0.275981
2009,12,15,5,0.493241
2009,12,15,6,0.672638
2009,12,15,7,0.745372
2009,12,16,0,0.787798
2009,12,16,1,0.783226
2009,12,16,2,0.667197
2009,12,16,3,0.265239
2009,12,16,4,0.37308
2009,12,16,5,0.549932
2009,12,16,6,0.450097
2009,12,16,7,0.409256
2009,12,17,0,0.392149
2009,12,17,1,0.26824
2009,12,17,2,0.289273
2009,12,17,3,0.394551
2009,12,17,4,0.523447
2009,12,17,5,0.535341
2009,12,17,6,0.488243
2009,12,17,7,0.406712
2009,12,18,0,0.3971
2009,12,18,1,0.38643
2009,12,18,2,0.418319
2009,12,18,3,0.495302
2009,12,18,4,0.46987
2009,12,18,5,0.515798
2009,12,18,6,0.269484
2009,12,18,7,0.174461
2009,12,19,0,0.112709
2009,12,19,1,0.072249
2009,12,19,2,0.051069
2009,12,19,3,0.034608
2009,12,19,4,0.040936
2009,12,19,5,0.054313
2009,12,19,6,0.081777
2009,12,19,7,0.116584
2009,12,20,0,0.199847
2009,12,20,1,0.280257
2009,12,20,2,0.278177
2009,12,20,3,0.20173
2009,12,20,4,0.151837
2009,12,20,5,0.146072
