####################################################################################################
# Month: 01Jan                                                                                     #
# Station: BGK                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,01,1,0.75853726,137.86949375
2009,01,2,1.285488,193.2413375
2009,01,3,0.72618572,135.2315925
2009,01,4,0.56783459,116.30278
2009,01,5,0.60004409,114.0386825
2009,01,6,0.80530161,146.28725
2009,01,7,1.70252488,219.46475
2009,01,8,1.20187438,185.7803875
2009,01,9,0.71509081,131.26076
2009,01,10,0.78112231,141.538375
2009,01,11,0.64249996,123.1563875
2009,01,12,0.7129341,132.33975
2009,01,13,0.43777812,93.4913475
2009,01,14,0.48107359,98.12955
2009,01,15,0.71433245,132.7792125
2009,01,16,1.13690488,181.0053875
2009,01,17,0.78051774,138.3678325
2009,01,18,0.68993234,126.2391525
2009,01,19,0.83698604,146.6898125
2009,01,20,0.88982135,154.4849
2009,01,21,0.82525829,147.378975
2009,01,22,0.75631166,140.38165
2009,01,23,1.25189663,188.2242125
2009,01,24,1.3065175,193.9300625
2009,01,25,0.99160804,165.335625
2009,01,26,0.76747594,142.074075
2009,01,27,0.68910621,129.60580875
2009,01,28,0.5681985,114.03380625
2009,01,29,0.76282089,139.334625
2009,01,30,0.6479973,123.5728225
2009,01,31,0.3969407,84.58161375
2010,01,1,0.25784349,63.161585
2010,01,2,0.21467247,54.9071425
2010,01,3,0.28650676,69.3688675
2010,01,4,0.21631983,54.14707875
2010,01,5,0.75040946,136.4742775
2010,01,6,0.56020446,105.79086875
2010,01,7,0.83560915,142.08457625
2010,01,8,1.26054138,189.4961375
2010,01,9,1.64166812,212.962875
2010,01,10,1.28177026,192.4908875
2010,01,11,0.90403622,154.0254
2010,01,12,0.46199666,99.4818125
2010,01,13,0.59602009,119.8068375
2010,01,14,0.81452651,147.0404875
2010,01,15,0.68605559,133.296925
2010,01,16,0.9014954,156.8109125
2010,01,17,0.99394204,167.30395
2010,01,18,0.82492139,147.6415875
2010,01,19,1.28927922,189.8007625
2010,01,20,0.92579234,156.763535
2010,01,21,0.81987109,149.4008125
2010,01,22,0.74853498,136.4722625
2010,01,23,1.04455141,165.5598675
2010,01,24,1.3959073,197.7606
2010,01,25,1.53929058,200.2980875
2010,01,26,0.59981754,117.9933125
2010,01,27,0.34443294,79.33794
2010,01,28,0.83757362,145.53492875
2010,01,29,0.32491889,74.4909325
2010,01,30,0.27413,65.16285375
2010,01,31,0.79692911,138.23860625
2011,01,1,1.02223669,157.55703125
2011,01,2,1.44958974,202.86985
2011,01,3,0.55530584,98.44454
2011,01,4,0.14411349,38.409025
2011,01,5,0.35959748,78.0792275
2011,01,6,0.37761424,80.809845
2011,01,7,0.58386169,114.0166175
2011,01,8,0.4265848,90.52064
2011,01,9,0.42864441,89.3268225
2011,01,10,0.59339359,111.07986
2011,01,11,0.57903049,113.9713125
2011,01,12,0.57462406,113.1591175
2011,01,13,0.59672004,116.8881375
2011,01,14,0.80954462,145.8793625
2011,01,15,1.01503908,167.6557625
2011,01,16,1.04674958,171.617675
2011,01,17,0.91657161,157.270525
2011,01,18,0.62481091,120.9786725
2011,01,19,1.32455801,186.48985
2011,01,20,0.61749254,118.96242875
2011,01,21,1.01667748,160.4585025
2011,01,22,2.08516775,235.3704625
2011,01,23,1.48032158,197.3945125
2011,01,24,1.20932886,180.7036875
2011,01,25,0.78047114,133.25681875
2011,01,26,1.25822684,187.8734125
2011,01,27,0.92949245,150.43595
2011,01,28,0.47099551,97.92461125
2011,01,29,1.02254661,160.3536025
2011,01,30,1.10354355,175.3603
2011,01,31,0.75023831,137.17204875
2012,01,1,0.65632554,125.793225
2012,01,2,0.47075752,99.16286875
2012,01,3,0.82162914,146.1906875
2012,01,4,0.52516388,104.99154125
2012,01,5,0.48837025,100.00838
2012,01,6,0.91664374,157.4111625
2012,01,7,0.97712056,163.1651
2012,01,8,0.97233,154.4723075
2012,01,9,0.54530811,107.4029775
2012,01,10,0.32557454,73.27687875
2012,01,11,0.33016644,75.54268375
2012,01,12,0.5375538,107.803465
2012,01,13,1.8831635,222.3391625
2012,01,14,0.90771241,156.260775
2012,01,15,0.6332484,125.3889125
2012,01,16,0.92944304,158.4032
2012,01,17,0.61241475,117.54968375
2012,01,18,0.79459954,142.9619375
2012,01,19,0.66078927,126.58405
2012,01,20,0.74444654,138.3738125
2012,01,21,0.92670455,158.470975
2012,01,22,0.86201731,150.3976375
2012,01,23,0.96925049,160.2838875
2012,01,24,0.67916215,127.608025
2012,01,25,0.89396746,154.2257875
2012,01,26,0.40277714,83.524705
2012,01,27,0.7483086,130.999435
2012,01,28,1.28025281,191.080125
2012,01,29,1.23412811,182.0352625
2012,01,30,0.65234821,125.84169625
2012,01,31,0.80871709,145.1626125
2013,01,1,0.65148006,125.552675
2013,01,2,0.98517654,165.3377625
2013,01,3,1.18827406,183.954575
2013,01,4,1.62367993,203.8912875
2013,01,5,1.05733687,171.9758875
2013,01,6,0.66164936,127.0556475
2013,01,7,0.57025435,117.7657625
2013,01,8,0.91524871,150.577055
2013,01,9,0.99963259,158.71433625
2013,01,10,0.63618109,124.4221
2013,01,11,0.88881446,153.2527875
2013,01,12,0.52257699,104.67284125
2013,01,13,0.66307681,126.598855
2013,01,14,0.41285442,89.8602275
2013,01,15,1.3654216,195.449925
2013,01,16,1.13868478,179.7001375
2013,01,17,0.8267879,145.923175
2013,01,18,1.05004541,168.9697125
2013,01,19,0.58780696,118.1063375
2013,01,20,0.50445284,106.7088575
2013,01,21,0.45772578,99.07500625
2013,01,22,0.49154958,103.28614
2013,01,23,0.36582706,82.70863125
2013,01,24,0.56548533,110.98110875
2013,01,25,0.77275962,141.133275
2013,01,26,0.90148978,155.8070875
2013,01,27,0.92410512,158.6931375
2013,01,28,0.76859409,140.0493875
2013,01,29,0.63359879,123.6018375
2013,01,30,0.55167385,111.90233875
2013,01,31,0.46399281,98.70902375
2014,01,1,1.15430131,177.2590375
2014,01,2,0.92745579,158.282275
2014,01,3,1.1563816,181.270975
2014,01,4,0.97962932,164.9949625
2014,01,5,0.98964956,165.5606875
2014,01,6,0.94706691,160.541825
2014,01,7,1.11230878,177.11405
2014,01,8,0.98002464,165.263375
2014,01,9,0.48312299,103.61166125
2014,01,10,0.51319183,107.09918875
2014,01,11,0.6672445,125.55292625
2014,01,12,0.36518059,78.76681375
