####################################################################################################
# Month: 07Jul                                                                                     #
# Station: BGK                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,07,1,0,4.513648,274.5806
2009,07,1,1,5.389781,276.9981
2009,07,1,2,5.955584,277.6436
2009,07,1,3,6.00876,277.3087
2009,07,1,4,6.53611,277.2307
2009,07,1,5,7.579068,277.7223
2009,07,1,6,6.127013,276.3441
2009,07,1,7,4.586716,272.9433
2009,07,2,0,5.727383,275.9739
2009,07,2,1,6.012089,275.99
2009,07,2,2,5.744916,274.947
2009,07,2,3,5.783115,274.6776
2009,07,2,4,6.49329,275.434
2009,07,2,5,5.010552,273.8454
2009,07,2,6,5.541181,274.5612
2009,07,2,7,4.23141,270.6909
2009,07,3,0,4.196226,271.1214
2009,07,3,1,4.214733,271.7734
2009,07,3,2,4.471561,272.6891
2009,07,3,3,5.155176,274.3336
2009,07,3,4,5.689036,275.5258
2009,07,3,5,5.301241,275.0311
2009,07,3,6,4.558192,273.6182
2009,07,3,7,4.273017,273.1116
2009,07,4,0,4.086583,272.5746
2009,07,4,1,3.923356,271.9422
2009,07,4,2,4.060937,272.3671
2009,07,4,3,4.724195,274.3418
2009,07,4,4,5.201616,276.1783
2009,07,4,5,5.270917,277.7943
2009,07,4,6,5.239644,278.8002
2009,07,4,7,5.306157,278.84
2009,07,5,0,4.959002,277.0458
2009,07,5,1,5.270806,277.618
2009,07,5,2,5.129559,277.9413
2009,07,5,3,4.104309,274.7544
2009,07,5,4,3.799605,272.0781
2009,07,5,5,4.239257,274.1468
2009,07,5,6,4.213093,273.656
2009,07,5,7,3.925998,271.6391
2009,07,6,0,3.79972,270.8234
2009,07,6,1,3.812351,270.1808
2009,07,6,2,3.810804,268.7631
2009,07,6,3,4.085697,269.4487
2009,07,6,4,4.798025,271.9911
2009,07,6,5,4.207386,270.8363
2009,07,6,6,4.013634,270.2646
2009,07,6,7,3.648487,268.1919
2009,07,7,0,3.475119,267.3033
2009,07,7,1,3.402911,267.0016
2009,07,7,2,3.324933,265.7615
2009,07,7,3,3.219585,263.9271
2009,07,7,4,3.538867,266.3812
2009,07,7,5,3.509465,266.5834
2009,07,7,6,3.951782,269.6115
2009,07,7,7,3.950745,269.3085
2009,07,8,0,3.229875,264.0686
2009,07,8,1,3.166775,263.6677
2009,07,8,2,3.222586,263.6212
2009,07,8,3,3.511178,265.9978
2009,07,8,4,4.649996,271.6653
2009,07,8,5,4.858957,272.2583
2009,07,8,6,5.001263,272.682
2009,07,8,7,4.47717,271.2153
2009,07,9,0,3.660062,267.0139
2009,07,9,1,2.910195,259.3395
2009,07,9,2,2.864798,258.3209
2009,07,9,3,3.117717,261.7988
2009,07,9,4,3.183601,262.5186
2009,07,9,5,3.341761,264.527
2009,07,9,6,3.6575,267.6681
2009,07,9,7,4.95891,273.5858
2009,07,10,0,4.25537,271.5871
2009,07,10,1,4.001917,270.8252
2009,07,10,2,3.688495,268.6879
2009,07,10,3,3.350557,265.3778
2009,07,10,4,3.608863,267.1944
2009,07,10,5,3.55186,267.4564
2009,07,10,6,3.667819,268.7191
2009,07,10,7,3.460861,267.214
2009,07,11,0,3.013158,262.6426
2009,07,11,1,3.100323,263.8426
2009,07,11,2,3.216922,265.0672
