####################################################################################################
# Month: 07Jul                                                                                     #
# Station: BOL                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,07,1,0.03171648,12.507445
2009,07,2,0.07631014,23.286875
2009,07,3,0.08706167,25.83649625
2009,07,4,0.05678058,18.59437125
2009,07,5,0.03930188,14.24207112
2009,07,6,0.10883735,29.889945
2009,07,7,0.21057852,51.925665
2009,07,8,0.04519923,15.842075
2009,07,9,0.1318601,35.49151125
2009,07,10,0.06154739,19.91112
2009,07,11,0.06426213,20.60223625
2009,07,12,0.15420426,41.09072625
2009,07,13,0.08146886,24.7910925
2009,07,14,0.07633767,23.72290125
2009,07,15,0.0639543,20.717515
2009,07,16,0.08242666,25.00050625
2009,07,17,0.04363016,15.4861975
2009,07,18,0.02463555,10.514675
2009,07,19,0.03325685,12.60479625
2009,07,20,0.06697881,20.83791625
2009,07,21,0.08496632,24.2586985
2009,07,22,0.03868896,14.13757
2009,07,23,0.1659866,42.99533125
2009,07,24,0.29083719,68.03743125
2009,07,25,0.20918179,52.60203375
2009,07,26,0.15767614,41.40849125
2009,07,27,0.17642716,45.5379575
2009,07,28,0.11994332,33.07189375
2009,07,29,0.11898441,33.17399125
2009,07,30,0.07536664,23.31191375
2009,07,31,0.09108135,26.93711125
2010,07,1,0.053531,17.92849875
2010,07,2,0.03996671,14.591465
2010,07,3,0.03201944,12.5718975
2010,07,4,0.02368536,10.3615425
2010,07,5,0.02089741,9.6546915
2010,07,6,0.02056146,9.52781012
2010,07,7,0.04007009,14.26825513
2010,07,8,0.07777807,23.73407125
2010,07,9,0.08016209,24.142615
2010,07,10,0.24535509,59.47929125
2010,07,11,0.06184218,19.33941775
2010,07,12,0.01598189,8.26914788
2010,07,13,0.05827817,18.57355838
2010,07,14,0.02421529,10.42493288
2010,07,15,0.06765814,21.24512625
2010,07,16,0.17024099,43.60716625
2010,07,17,0.15261258,40.46784125
2010,07,18,0.03881346,13.81317588
2010,07,19,0.01381247,7.63541488
2010,07,20,0.01563654,8.15185338
2010,07,21,0.01807227,8.86821288
2010,07,22,0.01768302,8.741037
2010,07,23,0.02464066,10.57396075
2010,07,24,0.01668349,8.42803138
2010,07,25,0.02335044,10.183496
2010,07,26,0.05084703,17.25166875
