####################################################################################################
# Month: 07Jul                                                                                     #
# Station: DomeA                                                                                   #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,07,1,0,13.251965
2009,07,1,1,12.319406
2009,07,1,2,11.766277
2009,07,1,3,11.437735
2009,07,1,4,8.254806
2009,07,1,5,8.770261
2009,07,1,6,7.657111
2009,07,1,7,12.065741
2009,07,2,0,17.073674
2009,07,2,1,18.059931
2009,07,2,2,17.952719
2009,07,2,3,15.593555
2009,07,2,4,13.009436
2009,07,2,5,13.029836
2009,07,2,6,9.835283
2009,07,2,7,10.803046
2009,07,3,0,11.559906
2009,07,3,1,8.05748
2009,07,3,2,3.972154
2009,07,3,3,2.649408
2009,07,3,4,1.077922
2009,07,3,5,4.956344
2009,07,3,6,9.992293
2009,07,3,7,12.547815
2009,07,4,0,11.496711
2009,07,4,1,10.012493
2009,07,4,2,5.675533
2009,07,4,3,8.495089
2009,07,4,4,9.958126
2009,07,4,5,11.606155
2009,07,4,6,12.154319
2009,07,4,7,12.581413
2009,07,5,0,13.831137
2009,07,5,1,15.409416
2009,07,5,2,14.909024
2009,07,5,3,13.546547
2009,07,5,4,13.010769
2009,07,5,5,13.491726
2009,07,5,6,12.568532
2009,07,5,7,11.482625
2009,07,6,0,10.545567
2009,07,6,1,10.832924
2009,07,6,2,13.192368
2009,07,6,3,14.802734
2009,07,6,4,14.452456
2009,07,6,5,14.373452
2009,07,6,6,15.288773
2009,07,6,7,16.402602
2009,07,7,0,11.503364
2009,07,7,1,8.41806
2009,07,7,2,12.443455
2009,07,7,3,15.989882
2009,07,7,4,20.443885
2009,07,7,5,22.394944
2009,07,7,6,21.489482
2009,07,7,7,18.896981
2009,07,8,0,17.752255
2009,07,8,1,17.890745
2009,07,8,2,16.724126
2009,07,8,3,14.873489
2009,07,8,4,13.282008
2009,07,8,5,14.107647
2009,07,8,6,15.707333
2009,07,8,7,15.097719
2009,07,9,0,10.679677
2009,07,9,1,5.615366
2009,07,9,2,4.280647
2009,07,9,3,8.061081
2009,07,9,4,10.70653
2009,07,9,5,10.361579
2009,07,9,6,11.946551
2009,07,9,7,14.201307
2009,07,10,0,14.262202
2009,07,10,1,9.730456
2009,07,10,2,5.633511
2009,07,10,3,6.730361
2009,07,10,4,7.794974
2009,07,10,5,8.011297
2009,07,10,6,10.51394
2009,07,10,7,13.138553
2009,07,11,0,16.113411
2009,07,11,1,20.540055
2009,07,11,2,20.277264
2009,07,11,3,17.772947
2009,07,11,4,15.427448
2009,07,11,5,11.263482
2009,07,11,6,10.182361
2009,07,11,7,8.584301
2009,07,12,0,9.956119
2009,07,12,1,16.201499
2009,07,12,2,19.556685
2009,07,12,3,20.245003
2009,07,12,4,15.587689
2009,07,12,5,17.43499
2009,07,12,6,17.891918
2009,07,12,7,16.302407
2009,07,13,0,17.091639
2009,07,13,1,17.511287
2009,07,13,2,15.258725
2009,07,13,3,8.747337
2009,07,13,4,3.028059
2009,07,13,5,4.355173
2009,07,13,6,5.669505
2009,07,13,7,6.293086
2009,07,14,0,6.700179
2009,07,14,1,7.316462
2009,07,14,2,6.766615
2009,07,14,3,7.655703
2009,07,14,4,9.547073
2009,07,14,5,10.739641
2009,07,14,6,8.959995
2009,07,14,7,4.887057
2009,07,15,0,7.11519
2009,07,15,1,7.482027
2009,07,15,2,10.911196
2009,07,15,3,15.631529
2009,07,15,4,16.626634
2009,07,15,5,16.219767
2009,07,15,6,13.823531
2009,07,15,7,10.431452
2009,07,16,0,7.791233
2009,07,16,1,6.25409
2009,07,16,2,5.809296
2009,07,16,3,5.206991
2009,07,16,4,5.976409
2009,07,16,5,7.380919
2009,07,16,6,8.644784
2009,07,16,7,10.060046
2009,07,17,0,11.336648
2009,07,17,1,11.107534
2009,07,17,2,10.791752
2009,07,17,3,10.800359
2009,07,17,4,9.827275
2009,07,17,5,8.87399
2009,07,17,6,7.268121
2009,07,17,7,3.887618
2009,07,18,0,1.934752
2009,07,18,1,6.370512
2009,07,18,2,8.857583
2009,07,18,3,9.053273
2009,07,18,4,8.790585
2009,07,18,5,6.077765
2009,07,18,6,4.653739
2009,07,18,7,6.161127
2009,07,19,0,7.096616
2009,07,19,1,8.169533
2009,07,19,2,4.768599
2009,07,19,3,1.627954
2009,07,19,4,2.685084
2009,07,19,5,3.263847
2009,07,19,6,3.569523
2009,07,19,7,4.659253
2009,07,20,0,7.016754
2009,07,20,1,10.763754
2009,07,20,2,12.762625
2009,07,20,3,18.526961
2009,07,20,4,21.831633
2009,07,20,5,22.303885
2009,07,20,6,21.590433
2009,07,20,7,16.192683
2009,07,21,0,10.991319
2009,07,21,1,8.182705
2009,07,21,2,6.149189
2009,07,21,3,7.277549
2009,07,21,4,7.895108
2009,07,21,5,8.445775
2009,07,21,6,8.053902
2009,07,21,7,5.023376
2009,07,22,0,5.747171
2009,07,22,1,9.861178
2009,07,22,2,12.905076
2009,07,22,3,13.520475
2009,07,22,4,13.269798
2009,07,22,5,11.495843
2009,07,22,6,12.919064
2009,07,22,7,18.33302
2009,07,23,0,20.396742
2009,07,23,1,19.352621
2009,07,23,2,20.231012
2009,07,23,3,19.097253
2009,07,23,4,15.909062
2009,07,23,5,14.906019
2009,07,23,6,12.119748
2009,07,23,7,14.472683
2009,07,24,0,15.349417
2009,07,24,1,12.488839
2009,07,24,2,9.249391
2009,07,24,3,7.384082
2009,07,24,4,7.756134
2009,07,24,5,9.322138
2009,07,24,6,7.359311
2009,07,24,7,3.409614
2009,07,25,0,1.472546
2009,07,25,1,3.626882
2009,07,25,2,4.183321
2009,07,25,3,3.909227
2009,07,25,4,6.741334
2009,07,25,5,13.23217
2009,07,25,6,14.588764
2009,07,25,7,12.836485
2009,07,26,0,14.185265
2009,07,26,1,16.498178
2009,07,26,2,16.929747
2009,07,26,3,18.104643
2009,07,26,4,15.786184
2009,07,26,5,11.847208
2009,07,26,6,11.396844
2009,07,26,7,13.279107
2009,07,27,0,12.708894
2009,07,27,1,10.191238
2009,07,27,2,7.935295
2009,07,27,3,5.414662
2009,07,27,4,2.491974
2009,07,27,5,0.242743
2009,07,27,6,2.874375
2009,07,27,7,4.668185
2009,07,28,0,5.673727
2009,07,28,1,5.729877
2009,07,28,2,4.67011
2009,07,28,3,5.150552
2009,07,28,4,5.890988
2009,07,28,5,5.572156
2009,07,28,6,6.551648
2009,07,28,7,7.10146
2009,07,29,0,6.720713
2009,07,29,1,7.829236
2009,07,29,2,10.48242
2009,07,29,3,12.331556
2009,07,29,4,12.461149
2009,07,29,5,13.684469
2009,07,29,6,15.154112
2009,07,29,7,10.675518
2009,07,30,0,11.421105
2009,07,30,1,12.443469
2009,07,30,2,9.826994
2009,07,30,3,10.294282
2009,07,30,4,9.615669
2009,07,30,5,12.040439
2009,07,30,6,10.750675
2009,07,30,7,7.304455
2009,07,31,0,9.006796
2009,07,31,1,11.241507
2009,07,31,2,8.659737
2009,07,31,3,7.529765
2009,07,31,4,7.098435
2009,07,31,5,6.616193
2009,07,31,6,5.590751
2009,07,31,7,3.910676
2010,07,1,0,12.342165
2010,07,1,1,13.075958
2010,07,1,2,13.170151
2010,07,1,3,13.779275
2010,07,1,4,14.375709
2010,07,1,5,14.530544
2010,07,1,6,14.695661
2010,07,1,7,15.079211
2010,07,2,0,14.781429
2010,07,2,1,14.292596
2010,07,2,2,13.515224
2010,07,2,3,13.177544
2010,07,2,4,12.966047
2010,07,2,5,11.915684
2010,07,2,6,10.638663
2010,07,2,7,10.396276
2010,07,3,0,10.733447
2010,07,3,1,10.751559
2010,07,3,2,10.643421
2010,07,3,3,10.986059
2010,07,3,4,10.160042
2010,07,3,5,8.271606
2010,07,3,6,7.77696
2010,07,3,7,9.00333
2010,07,4,0,10.894867
2010,07,4,1,12.699245
2010,07,4,2,13.843307
2010,07,4,3,15.112036
2010,07,4,4,15.687471
2010,07,4,5,15.457124
2010,07,4,6,15.345354
2010,07,4,7,15.607344
2010,07,5,0,16.262942
2010,07,5,1,16.584558
2010,07,5,2,16.403982
2010,07,5,3,16.392336
2010,07,5,4,16.064816
2010,07,5,5,15.944123
2010,07,5,6,14.998015
2010,07,5,7,13.044809
2010,07,6,0,12.897833
2010,07,6,1,13.58865
2010,07,6,2,12.375442
2010,07,6,3,10.754281
2010,07,6,4,8.491859
2010,07,6,5,6.74595
2010,07,6,6,7.566463
2010,07,6,7,9.229788
2010,07,7,0,10.342609
2010,07,7,1,10.376544
2010,07,7,2,9.296137
2010,07,7,3,8.217043
2010,07,7,4,6.560681
2010,07,7,5,4.526736
2010,07,7,6,4.248756
2010,07,7,7,3.893487
2010,07,8,0,2.638627
2010,07,8,1,1.434997
2010,07,8,2,1.040379
2010,07,8,3,2.858288
2010,07,8,4,4.412495
2010,07,8,5,5.450965
2010,07,8,6,6.133308
2010,07,8,7,7.929697
2010,07,9,0,9.80145
2010,07,9,1,10.959754
2010,07,9,2,10.674121
2010,07,9,3,10.061463
2010,07,9,4,10.699699
2010,07,9,5,11.143326
2010,07,9,6,10.658441
2010,07,9,7,8.623683
2010,07,10,0,7.323469
2010,07,10,1,9.042557
2010,07,10,2,10.59982
2010,07,10,3,10.302087
2010,07,10,4,10.072148
2010,07,10,5,9.76662
2010,07,10,6,9.297533
2010,07,10,7,5.705035
2010,07,11,0,7.134981
2010,07,11,1,7.704781
2010,07,11,2,5.54296
2010,07,11,3,5.331518
2010,07,11,4,6.212817
2010,07,11,5,5.740922
2010,07,11,6,7.53357
2010,07,11,7,10.405355
2010,07,12,0,13.234083
2010,07,12,1,15.356307
2010,07,12,2,14.545931
