####################################################################################################
# Month: 05May                                                                                     #
# Station: GAM                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,05,1,1.60181688,220.0667625
2009,05,2,1.32162725,198.69575
2009,05,3,1.43831038,209.6222875
2009,05,4,1.31228462,201.06185
2009,05,5,1.255474,197.22825
2009,05,6,1.20428725,192.8437625
2009,05,7,0.66204123,135.93435
2009,05,8,0.59542321,125.71027375
2009,05,9,1.01782768,178.755025
2009,05,10,1.13767731,185.214075
2009,05,11,0.77718309,149.8831125
2009,05,12,1.10446285,182.849375
2009,05,13,2.116296,241.8246125
2009,05,14,2.1373015,240.7893625
2009,05,15,2.03291188,238.6541125
2009,05,16,0.55456999,111.0714375
2009,05,17,0.52721406,116.31299375
2009,05,18,0.49465889,112.06555
2009,05,19,0.7257384,142.8571
2009,05,20,1.26987088,196.7779375
2009,05,21,1.17524746,188.0455125
2009,05,22,0.98745782,172.6701625
2009,05,23,1.38049088,206.87475
2009,05,24,1.34680175,205.49675
2009,05,25,1.00998314,178.1046
2009,05,26,1.08574222,180.4273125
2009,05,27,1.3737565,204.106825
2009,05,28,1.23934624,194.1346875
2009,05,29,0.64344688,132.11109375
2009,05,30,0.50503482,111.74796125
2009,05,31,0.57357732,123.3821375
2010,05,1,2.92454062,263.820375
2010,05,2,2.720764,258.3560625
2010,05,3,0.84698908,155.4903375
2010,05,4,0.51521919,112.3880325
2010,05,5,0.61183634,129.3711875
2010,05,6,0.75375538,149.4997
2010,05,7,0.83876754,160.4160125
2010,05,8,1.7655906,221.0194125
2010,05,9,1.81227513,228.8551125
2010,05,10,0.46657044,105.459915
2010,05,11,0.25639195,66.083185
2010,05,12,0.50207536,109.1485225
2010,05,13,1.25270462,198.0023875
2010,05,14,1.95555462,237.3853875
2010,05,15,2.32871512,249.2864875
2010,05,16,1.64640025,222.3259
2010,05,17,1.63405075,220.4573125
2010,05,18,1.82999538,230.919325
2010,05,19,1.58745462,218.999
2010,05,20,1.18113055,188.214975
2010,05,21,1.10685699,183.67715
2010,05,22,1.0476897,180.4587875
2010,05,23,1.26380787,198.713225
