####################################################################################################
# Month: 09Sep                                                                                     #
# Station: GARS                                                                                    #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,09,1,0,6.802112
2009,09,1,1,8.292178
2009,09,1,2,9.99614
2009,09,1,3,10.715589
2009,09,1,4,10.265113
2009,09,1,5,10.034963
2009,09,1,6,10.943435
2009,09,1,7,12.398431
2009,09,2,0,13.690027
2009,09,2,1,15.70512
2009,09,2,2,16.264798
2009,09,2,3,16.102686
2009,09,2,4,12.34749
2009,09,2,5,9.364588
2009,09,2,6,7.939213
2009,09,2,7,6.268519
2009,09,3,0,3.567613
2009,09,3,1,6.818165
2009,09,3,2,7.303586
2009,09,3,3,5.65605
2009,09,3,4,4.431336
2009,09,3,5,3.929904
2009,09,3,6,4.540138
2009,09,3,7,5.582797
2009,09,4,0,6.755283
2009,09,4,1,8.181776
2009,09,4,2,9.49832
2009,09,4,3,8.08333
2009,09,4,4,5.309854
2009,09,4,5,6.723307
2009,09,4,6,12.531951
2009,09,4,7,18.406446
2009,09,5,0,17.770549
2009,09,5,1,18.978639
2009,09,5,2,17.74486
2009,09,5,3,16.361781
2009,09,5,4,14.321565
2009,09,5,5,11.802386
2009,09,5,6,3.805652
2009,09,5,7,5.021714
2009,09,6,0,7.256159
2009,09,6,1,8.461878
2009,09,6,2,8.995758
2009,09,6,3,10.668847
2009,09,6,4,10.996592
2009,09,6,5,15.336648
2009,09,6,6,16.688441
2009,09,6,7,17.914852
2009,09,7,0,18.776553
2009,09,7,1,18.555262
2009,09,7,2,15.819555
2009,09,7,3,9.548713
2009,09,7,4,5.781327
2009,09,7,5,6.386129
2009,09,7,6,6.243592
2009,09,7,7,5.703357
2009,09,8,0,7.875444
2009,09,8,1,12.96698
2009,09,8,2,18.049597
2009,09,8,3,21.135059
2009,09,8,4,24.552247
2009,09,8,5,26.105271
2009,09,8,6,27.167252
2009,09,8,7,27.638101
2009,09,9,0,23.824564
2009,09,9,1,20.012085
2009,09,9,2,16.503091
2009,09,9,3,15.81658
2009,09,9,4,15.170251
2009,09,9,5,10.609541
2009,09,9,6,7.581511
2009,09,9,7,7.259426
2009,09,10,0,5.632678
2009,09,10,1,5.482823
2009,09,10,2,6.41269
2009,09,10,3,7.322683
2009,09,10,4,6.046521
2009,09,10,5,10.272379
2009,09,10,6,11.389861
2009,09,10,7,15.637806
2009,09,11,0,13.239604
2009,09,11,1,13.971213
2009,09,11,2,14.31076
2009,09,11,3,12.819254
2009,09,11,4,12.692218
2009,09,11,5,12.228879
2009,09,11,6,9.656038
2009,09,11,7,4.636834
2009,09,12,0,3.713932
2009,09,12,1,4.720669
2009,09,12,2,6.1588
2009,09,12,3,12.227112
2009,09,12,4,12.530535
2009,09,12,5,11.4824
2009,09,12,6,9.286103
2009,09,12,7,15.241824
2009,09,13,0,20.964037
2009,09,13,1,21.162405
2009,09,13,2,18.341783
2009,09,13,3,17.796344
2009,09,13,4,17.536753
2009,09,13,5,17.700904
2009,09,13,6,17.254849
2009,09,13,7,16.239816
2009,09,14,0,15.04138
2009,09,14,1,11.870557
2009,09,14,2,11.794088
2009,09,14,3,12.224207
2009,09,14,4,17.051563
2009,09,14,5,19.599405
2009,09,14,6,19.592301
2009,09,14,7,13.711789
2009,09,15,0,20.884973
2009,09,15,1,16.574147
2009,09,15,2,20.605385
2009,09,15,3,20.018944
2009,09,15,4,20.474402
2009,09,15,5,20.893213
2009,09,15,6,19.874734
2009,09,15,7,19.674605
2009,09,16,0,19.517249
2009,09,16,1,14.050721
2009,09,16,2,12.004901
2009,09,16,3,12.110997
2009,09,16,4,12.72998
2009,09,16,5,16.749601
2009,09,16,6,15.137046
2009,09,16,7,14.822548
2009,09,17,0,15.355801
2009,09,17,1,14.05136
2009,09,17,2,12.064045
2009,09,17,3,13.298949
2009,09,17,4,23.30899
2009,09,17,5,14.838996
2009,09,17,6,19.423244
2009,09,17,7,18.067769
2009,09,18,0,11.103209
2009,09,18,1,12.7505
2009,09,18,2,13.572807
2009,09,18,3,12.110987
2009,09,18,4,11.310305
2009,09,18,5,6.065078
2009,09,18,6,7.979523
2009,09,18,7,4.969775
2009,09,19,0,9.444801
2009,09,19,1,14.187398
2009,09,19,2,14.344127
2009,09,19,3,10.714319
2009,09,19,4,6.024564
2009,09,19,5,8.834871
2009,09,19,6,13.602591
2009,09,19,7,12.287831
2009,09,20,0,10.656104
2009,09,20,1,10.266557
2009,09,20,2,10.183843
2009,09,20,3,11.604436
2009,09,20,4,11.838195
2009,09,20,5,7.621527
2009,09,20,6,3.725907
2009,09,20,7,5.766344
2009,09,21,0,6.491131
2009,09,21,1,6.406961
2009,09,21,2,6.592283
2009,09,21,3,7.074051
2009,09,21,4,7.407248
2009,09,21,5,6.687246
2009,09,21,6,5.466787
2009,09,21,7,4.756082
2009,09,22,0,3.679222
2009,09,22,1,3.856259
2009,09,22,2,5.829041
2009,09,22,3,6.524971
2009,09,22,4,6.093684
2009,09,22,5,6.513039
2009,09,22,6,6.936794
2009,09,22,7,7.904799
2009,09,23,0,11.442713
2009,09,23,1,16.45684
2009,09,23,2,19.940848
2009,09,23,3,26.996486
2009,09,23,4,12.677187
2009,09,23,5,7.936106
2009,09,23,6,7.059945
2009,09,23,7,6.630897
2009,09,24,0,8.961649
2009,09,24,1,14.231422
2009,09,24,2,16.86012
2009,09,24,3,17.394545
2009,09,24,4,18.526216
2009,09,24,5,17.395449
2009,09,24,6,17.956596
2009,09,24,7,18.099416
2009,09,25,0,16.624101
2009,09,25,1,14.311713
2009,09,25,2,15.572252
2009,09,25,3,16.745281
2009,09,25,4,18.101463
2009,09,25,5,19.795213
2009,09,25,6,16.578609
2009,09,25,7,14.797858
2009,09,26,0,14.468529
2009,09,26,1,11.085609
2009,09,26,2,7.125538
2009,09,26,3,3.986296
2009,09,26,4,3.888292
2009,09,26,5,3.609153
2009,09,26,6,5.046217
2009,09,26,7,4.428863
2009,09,27,0,7.309713
2009,09,27,1,9.110453
2009,09,27,2,10.197737
2009,09,27,3,11.039227
2009,09,27,4,11.548523
2009,09,27,5,14.728003
2009,09,27,6,11.417925
2009,09,27,7,16.726985
2009,09,28,0,19.732108
2009,09,28,1,21.86179
2009,09,28,2,28.606715
2009,09,28,3,30.722088
2009,09,28,4,28.341832
2009,09,28,5,27.426841
2009,09,28,6,25.029725
2009,09,28,7,23.508724
2009,09,29,0,20.2708
2009,09,29,1,18.652864
2009,09,29,2,18.635753
2009,09,29,3,19.700767
2009,09,29,4,20.282574
2009,09,29,5,21.012176
2009,09,29,6,19.525308
2009,09,29,7,12.443516
2009,09,30,0,4.488141
2009,09,30,1,5.99114
2009,09,30,2,17.693232
2009,09,30,3,20.548895
2009,09,30,4,17.459566
2009,09,30,5,15.321442
2009,09,30,6,14.425085
2009,09,30,7,17.662006
2010,09,1,0,9.819742
2010,09,1,1,7.384627
2010,09,1,2,7.800844
2010,09,1,3,6.930846
2010,09,1,4,1.694945
2010,09,1,5,4.370721
2010,09,1,6,6.432299
2010,09,1,7,7.946413
2010,09,2,0,11.982818
2010,09,2,1,15.461673
2010,09,2,2,12.640876
2010,09,2,3,11.389655
2010,09,2,4,12.509401
2010,09,2,5,14.056537
2010,09,2,6,10.058758
2010,09,2,7,5.787011
2010,09,3,0,7.466128
2010,09,3,1,10.271719
2010,09,3,2,12.620947
2010,09,3,3,15.065828
2010,09,3,4,13.652037
2010,09,3,5,16.014448
2010,09,3,6,17.061486
2010,09,3,7,18.406519
2010,09,4,0,14.38757
2010,09,4,1,8.302411
2010,09,4,2,5.886324
2010,09,4,3,6.573583
2010,09,4,4,5.455793
2010,09,4,5,2.768354
2010,09,4,6,8.035874
2010,09,4,7,11.750167
2010,09,5,0,18.721889
2010,09,5,1,20.228277
2010,09,5,2,15.91191
2010,09,5,3,18.840635
2010,09,5,4,22.271946
2010,09,5,5,25.105972
2010,09,5,6,25.249916
2010,09,5,7,22.867941
2010,09,6,0,15.932393
2010,09,6,1,8.334789
2010,09,6,2,4.44844
2010,09,6,3,3.468637
2010,09,6,4,4.072724
2010,09,6,5,4.921022
2010,09,6,6,9.565656
2010,09,6,7,12.540545
2010,09,7,0,16.291022
2010,09,7,1,17.615077
2010,09,7,2,14.652105
2010,09,7,3,14.756295
2010,09,7,4,20.579427
2010,09,7,5,23.343978
2010,09,7,6,23.636418
2010,09,7,7,22.505768
2010,09,8,0,18.109303
2010,09,8,1,13.279731
2010,09,8,2,9.011543
2010,09,8,3,9.892341
2010,09,8,4,9.040118
2010,09,8,5,7.493103
2010,09,8,6,8.13493
2010,09,8,7,6.182647
2010,09,9,0,3.83477
2010,09,9,1,4.580779
2010,09,9,2,7.086329
2010,09,9,3,11.292933
2010,09,9,4,11.806022
2010,09,9,5,10.696684
2010,09,9,6,12.055252
2010,09,9,7,13.657143
2010,09,10,0,14.23622
2010,09,10,1,14.091125
2010,09,10,2,15.28254
2010,09,10,3,15.547529
2010,09,10,4,15.63129
2010,09,10,5,16.463511
2010,09,10,6,17.270869
2010,09,10,7,15.055336
2010,09,11,0,10.738661
2010,09,11,1,5.613919
2010,09,11,2,3.121834
2010,09,11,3,6.312607
2010,09,11,4,8.534199
2010,09,11,5,12.843064
2010,09,11,6,15.896462
2010,09,11,7,17.647236
2010,09,12,0,18.121781
2010,09,12,1,18.535426
2010,09,12,2,18.177596
2010,09,12,3,18.444818
2010,09,12,4,16.899112
2010,09,12,5,16.089854
2010,09,12,6,17.286318
2010,09,12,7,17.460828
2010,09,13,0,16.543759
2010,09,13,1,17.199395
2010,09,13,2,16.238383
2010,09,13,3,16.63317
2010,09,13,4,13.99824
2010,09,13,5,12.325003
2010,09,13,6,12.354083
2010,09,13,7,11.282909
2010,09,14,0,13.05014
2010,09,14,1,14.24678
2010,09,14,2,12.955477
2010,09,14,3,11.683098
2010,09,14,4,5.591726
2010,09,14,5,10.914699
2010,09,14,6,11.26694
2010,09,14,7,9.024028
2010,09,15,0,8.530465
2010,09,15,1,9.780167
2010,09,15,2,7.115812
2010,09,15,3,3.672006
2010,09,15,4,5.192236
2010,09,15,5,6.140708
2010,09,15,6,5.843126
2010,09,15,7,6.040738
2010,09,16,0,6.195576
2010,09,16,1,6.077369
2010,09,16,2,6.7172
2010,09,16,3,3.282024
2010,09,16,4,4.720219
2010,09,16,5,9.002735
2010,09,16,6,13.033003
2010,09,16,7,14.917636
2010,09,17,0,15.609361
2010,09,17,1,15.688217
2010,09,17,2,14.892947
2010,09,17,3,13.550108
2010,09,17,4,9.54817
2010,09,17,5,5.683087
2010,09,17,6,3.061383
2010,09,17,7,1.139993
2010,09,18,0,6.948891
2010,09,18,1,10.939153
2010,09,18,2,15.564843
2010,09,18,3,19.561596
2010,09,18,4,13.244617
2010,09,18,5,16.944255
2010,09,18,6,19.995241
2010,09,18,7,20.07985
2010,09,19,0,16.817383
2010,09,19,1,14.252815
2010,09,19,2,12.589093
2010,09,19,3,11.256254
2010,09,19,4,12.980868
2010,09,19,5,11.429276
2010,09,19,6,9.620548
2010,09,19,7,12.115629
2010,09,20,0,13.356788
2010,09,20,1,12.828534
2010,09,20,2,11.307608
2010,09,20,3,10.878133
2010,09,20,4,10.603912
2010,09,20,5,8.429116
2010,09,20,6,6.524774
2010,09,20,7,4.915029
2010,09,21,0,6.034636
2010,09,21,1,7.021435
2010,09,21,2,9.532458
2010,09,21,3,14.429325
2010,09,21,4,16.888213
2010,09,21,5,16.59205
2010,09,21,6,15.642707
2010,09,21,7,14.491876
2010,09,22,0,14.639324
2010,09,22,1,14.465263
2010,09,22,2,9.899364
2010,09,22,3,7.489301
2010,09,22,4,7.755513
2010,09,22,5,6.767652
2010,09,22,6,4.938312
2010,09,22,7,4.254575
2010,09,23,0,3.426276
2010,09,23,1,6.214806
2010,09,23,2,6.134336
2010,09,23,3,7.74477
2010,09,23,4,12.886176
2010,09,23,5,17.816288
2010,09,23,6,14.11439
2010,09,23,7,7.451867
2010,09,24,0,10.413374
2010,09,24,1,10.947316
2010,09,24,2,10.189025
2010,09,24,3,8.456227
2010,09,24,4,7.388327
2010,09,24,5,6.282965
2010,09,24,6,3.466246
2010,09,24,7,3.56091
2010,09,25,0,6.642197
2010,09,25,1,9.344571
2010,09,25,2,10.333242
2010,09,25,3,9.346738
2010,09,25,4,8.306046
2010,09,25,5,8.408897
2010,09,25,6,6.82993
2010,09,25,7,5.230976
2010,09,26,0,3.590218
2010,09,26,1,3.956674
2010,09,26,2,6.555296
2010,09,26,3,10.133308
2010,09,26,4,10.819238
2010,09,26,5,11.348752
2010,09,26,6,11.714443
2010,09,26,7,11.871966
2010,09,27,0,11.671093
2010,09,27,1,12.017305
2010,09,27,2,11.589874
2010,09,27,3,12.219094
2010,09,27,4,7.927818
2010,09,27,5,6.046731
2010,09,27,6,5.279641
2010,09,27,7,4.654714
2010,09,28,0,6.010093
2010,09,28,1,10.93694
2010,09,28,2,15.972844
2010,09,28,3,18.153702
2010,09,28,4,16.651019
2010,09,28,5,17.190169
2010,09,28,6,17.836043
2010,09,28,7,17.096779
2010,09,29,0,15.278972
2010,09,29,1,15.173575
2010,09,29,2,14.697046
2010,09,29,3,14.711288
2010,09,29,4,14.730126
2010,09,29,5,15.023674
2010,09,29,6,16.890507
2010,09,29,7,18.370464
2010,09,30,0,19.063616
2010,09,30,1,19.890767
2010,09,30,2,18.098119
2010,09,30,3,23.533026
2010,09,30,4,22.932035
2010,09,30,5,24.93457
2010,09,30,6,27.39826
2010,09,30,7,26.011139
2011,09,1,0,3.976408
2011,09,1,1,5.553115
2011,09,1,2,9.105115
2011,09,1,3,11.788066
2011,09,1,4,13.606692
2011,09,1,5,15.037244
2011,09,1,6,16.918156
2011,09,1,7,17.882572
2011,09,2,0,16.877544
2011,09,2,1,15.851922
2011,09,2,2,16.613436
2011,09,2,3,12.733304
2011,09,2,4,15.520601
2011,09,2,5,16.510672
2011,09,2,6,17.301868
2011,09,2,7,15.121961
2011,09,3,0,14.09196
2011,09,3,1,15.88176
2011,09,3,2,14.74046
2011,09,3,3,9.309831
2011,09,3,4,6.479274
2011,09,3,5,6.009738
2011,09,3,6,7.980525
2011,09,3,7,11.399967
2011,09,4,0,14.728155
2011,09,4,1,16.448476
2011,09,4,2,16.495632
2011,09,4,3,17.78276
2011,09,4,4,18.55329
2011,09,4,5,15.679746
2011,09,4,6,9.581336
2011,09,4,7,7.635892
2011,09,5,0,8.586263
2011,09,5,1,10.745516
2011,09,5,2,11.541206
2011,09,5,3,14.145615
2011,09,5,4,17.640558
2011,09,5,5,18.655819
2011,09,5,6,19.937437
2011,09,5,7,19.043169
2011,09,6,0,17.788808
2011,09,6,1,16.333515
2011,09,6,2,14.90436
2011,09,6,3,15.147278
2011,09,6,4,15.732619
2011,09,6,5,16.077109
2011,09,6,6,14.977031
2011,09,6,7,13.978573
2011,09,7,0,12.723355
2011,09,7,1,8.64643
