####################################################################################################
# Month: 07Jul                                                                                     #
# Station: GLTS                                                                                    #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,07,1,0,0.06537259,18.68053
2009,07,1,1,0.05739725,16.7623
2009,07,1,2,0.08653979,23.51928
2009,07,1,3,0.07805881,21.61755
2009,07,1,4,0.05288668,15.66382
2009,07,1,5,0.04709308,14.26976
2009,07,1,6,0.05029243,15.05166
2009,07,1,7,0.05420279,15.9869
2009,07,2,0,0.04907026,14.73369
2009,07,2,1,0.06586369,18.59366
2009,07,2,2,0.07216056,20.12135
2009,07,2,3,0.05313177,15.68374
2009,07,2,4,0.07134332,19.911
2009,07,2,5,0.06230085,17.85425
2009,07,2,6,0.08155993,22.37508
2009,07,2,7,0.08038158,22.10779
2009,07,3,0,0.06233329,17.84458
2009,07,3,1,0.04830044,14.47838
2009,07,3,2,0.05638768,16.39985
2009,07,3,3,0.05306954,15.64747
2009,07,3,4,0.04203618,12.99036
2009,07,3,5,0.04884881,14.62321
2009,07,3,6,0.07555437,20.88852
2009,07,3,7,0.08026914,21.96144
2009,07,4,0,0.05827249,16.84253
2009,07,4,1,0.04568743,13.85488
2009,07,4,2,0.05018,14.92405
2009,07,4,3,0.05092995,15.07885
2009,07,4,4,0.08134786,22.22816
2009,07,4,5,0.05628719,16.44381
2009,07,4,6,0.06367665,18.24666
2009,07,4,7,0.06596137,18.79974
2009,07,5,0,0.05384234,15.9471
2009,07,5,1,0.06883792,19.45955
2009,07,5,2,0.09945766,26.51824
2009,07,5,3,0.09232698,24.92216
2009,07,5,4,0.07000931,19.81734
2009,07,5,5,0.08701794,23.86539
2009,07,5,6,0.07327197,20.72998
2009,07,5,7,0.05649657,16.71371
2009,07,6,0,0.05742498,16.93059
2009,07,6,1,0.06365322,18.46336
2009,07,6,2,0.06360387,18.45362
2009,07,6,3,0.07029706,20.0786
2009,07,6,4,0.06101089,17.82207
2009,07,6,5,0.05756581,16.98566
2009,07,6,6,0.06238774,18.17813
2009,07,6,7,0.05764815,17.00172
2009,07,7,0,0.05575213,16.51525
2009,07,7,1,0.06643405,19.10523
2009,07,7,2,0.07200061,20.42814
2009,07,7,3,0.06307923,18.2874
2009,07,7,4,0.057582,16.97121
2009,07,7,5,0.07492407,21.11497
2009,07,7,6,0.05727893,16.92967
2009,07,7,7,0.05741886,16.93841
2009,07,8,0,0.05361032,15.99375
2009,07,8,1,0.06868148,19.55266
2009,07,8,2,0.08411487,23.0021
2009,07,8,3,0.09828282,26.2303
2009,07,8,4,0.0642838,18.45864
2009,07,8,5,0.1147342,30.17963
2009,07,8,6,0.08756839,23.92959
2009,07,8,7,0.05826351,16.9841
2009,07,9,0,0.0489182,14.73168
2009,07,9,1,0.04386274,13.51171
2009,07,9,2,0.0425471,13.18284
2009,07,9,3,0.04499202,13.74502
2009,07,9,4,0.05731464,16.62398
2009,07,9,5,0.06269299,18.02109
2009,07,9,6,0.06324117,18.26379
2009,07,9,7,0.0563302,16.61652
2009,07,10,0,0.04733904,14.40481
2009,07,10,1,0.05121095,15.3227
2009,07,10,2,0.084378,23.05665
2009,07,10,3,0.09028099,24.60974
2009,07,10,4,0.08420282,23.12861
2009,07,10,5,0.06993388,19.8591
2009,07,10,6,0.0628783,18.20098
2009,07,10,7,0.05824131,17.06646
2009,07,11,0,0.06730936,19.18474
2009,07,11,1,0.084881,23.27552
2009,07,11,2,0.07320321,20.59224
2009,07,11,3,0.06302742,18.18824
2009,07,11,4,0.05474228,16.19787
2009,07,11,5,0.05200857,15.53137
2009,07,11,6,0.05947706,17.32436
2009,07,11,7,0.05384965,16.02232
2009,07,12,0,0.04907324,14.85419
2009,07,12,1,0.05031736,15.15303
2009,07,12,2,0.05146349,15.42334
2009,07,12,3,0.05570052,16.46993
2009,07,12,4,0.05177859,15.5099
2009,07,12,5,0.05403286,16.04992
2009,07,12,6,0.07633592,21.36714
2009,07,12,7,0.06360999,18.3625
2009,07,13,0,0.06033124,17.54491
2009,07,13,1,0.05451761,16.09625
2009,07,13,2,0.04792887,14.50654
2009,07,13,3,0.04626572,14.10656
2009,07,13,4,0.04433704,13.63031
