####################################################################################################
# Month: 01Jan                                                                                     #
# Station: JELM                                                                                    #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,01,1,0.20639966,51.966905
2009,01,2,0.19854505,50.77511875
2009,01,3,0.23932854,58.60165125
2009,01,4,0.04523644,15.54838125
2009,01,5,0.06232244,19.4375
2009,01,6,0.1660221,43.0721275
2009,01,7,0.33577391,76.95137625
2009,01,8,0.26244071,64.11424
2009,01,9,0.30535506,71.19761
2009,01,10,0.11548566,32.009105
2009,01,11,0.19872922,50.09878625
2009,01,12,0.21261121,52.06030375
2009,01,13,0.16072932,42.30817
2009,01,14,0.18948261,48.6119075
2009,01,15,0.22020118,54.93381375
2009,01,16,0.16977065,44.88289375
2009,01,17,0.08610768,26.0121075
2009,01,18,0.07080108,22.081265
2009,01,19,0.13893349,38.06559125
2009,01,20,0.05473387,18.55283375
2009,01,21,0.0426911,15.44680875
2009,01,22,0.23931819,59.82194375
2009,01,23,0.43089876,95.16862625
2009,01,24,0.29823856,70.081195
2009,01,25,0.3301387,76.17615625
2009,01,26,0.28048686,66.18734625
2009,01,27,0.13563383,35.87896875
2009,01,28,0.16039756,41.4368025
2009,01,29,0.12591408,33.8760675
2009,01,30,0.14847561,39.987755
2009,01,31,0.08409182,25.42487625
2010,01,1,0.21479487,53.6396525
2010,01,2,0.25561561,62.12938
2010,01,3,0.21383732,53.00074
2010,01,4,0.16649812,43.2901775
2010,01,5,0.23676894,58.434715
2010,01,6,0.29031678,69.157365
2010,01,7,0.05693116,18.19490375
2010,01,8,0.06682656,20.71663875
2010,01,9,0.10592103,30.31863875
2010,01,10,0.13403661,36.78541125
2010,01,11,0.07852382,24.2697025
2010,01,12,0.05317319,18.1575675
2010,01,13,0.12767391,35.5129175
2010,01,14,0.19206839,49.16014
2010,01,15,0.14645416,39.041025
2010,01,16,0.16351209,43.5403025
2010,01,17,0.2514532,61.4895475
2010,01,18,0.22201702,55.66029625
2010,01,19,0.29817845,70.3534125
2010,01,20,0.18412933,46.60438
2010,01,21,0.19427916,49.49948125
2010,01,22,0.34052206,78.61393625
2010,01,23,0.20880908,52.03533625
2010,01,24,0.18984229,47.82229
2010,01,25,0.13485757,36.40435875
2010,01,26,0.15700664,41.45957
2010,01,27,0.20769362,52.37039875
2010,01,28,0.30357636,71.4340425
2010,01,29,0.1190877,33.00933625
2010,01,30,0.22740084,56.58832875
2010,01,31,0.16350576,43.1541575
2011,01,1,0.0905731,25.7678125
2011,01,2,0.09431326,27.2427
2011,01,3,0.11780989,32.6810825
2011,01,4,0.07102948,21.99211
2011,01,5,0.17636945,45.5100325
2011,01,6,0.17455665,45.95451
2011,01,7,0.26191669,64.33363875
2011,01,8,0.27774098,67.21105
2011,01,9,0.28029969,66.096015
2011,01,10,0.10413332,28.84099
2011,01,11,0.0734394,22.04322125
2011,01,12,0.12584028,34.26155625
2011,01,13,0.23355404,58.16656
2011,01,14,0.24807205,60.6619875
2011,01,15,0.24010266,59.57033125
2011,01,16,0.28543571,67.8986675
2011,01,17,0.44635079,97.13147375
2011,01,18,0.29412004,68.2910775
2011,01,19,0.2896335,67.8293
2011,01,20,0.12060176,33.17874375
2011,01,21,0.20450822,51.0457225
2011,01,22,0.21869295,53.51523625
2011,01,23,0.14783576,38.64354
2011,01,24,0.16206165,41.68111375
2011,01,25,0.13149761,34.6174925
2011,01,26,0.18567755,46.95039375
2011,01,27,0.22470126,55.74375125
2011,01,28,0.19132825,49.80694375
2011,01,29,0.14996663,40.83824375
2011,01,30,0.17268359,45.3277925
2011,01,31,0.25670098,61.4943575
2012,01,1,0.140532,37.7411175
2012,01,2,0.14741591,39.9355125
2012,01,3,0.13827179,38.1639
2012,01,4,0.11179464,31.48352
2012,01,5,0.20613875,53.5934075
2012,01,6,0.16646552,43.48581875
2012,01,7,0.21794737,52.1197875
2012,01,8,0.11483694,31.673685
2012,01,9,0.23867546,59.454055
2012,01,10,0.0878898,26.59943625
2012,01,11,0.17723582,45.14847
2012,01,12,0.08292216,24.37624
2012,01,13,0.12393027,33.8203525
2012,01,14,0.13414822,36.33141875
2012,01,15,0.09957633,29.01863
2012,01,16,0.21037016,51.81352625
2012,01,17,0.07555382,22.26113
2012,01,18,0.13978923,36.74399125
2012,01,19,0.31393088,73.75841375
2012,01,20,0.27420484,66.1415575
2012,01,21,0.26568064,64.5853125
2012,01,22,0.26031669,62.603615
2012,01,23,0.12156298,33.69068125
2012,01,24,0.25625924,61.58114375
2012,01,25,0.11946286,33.2304825
2012,01,26,0.15961128,42.1140475
2012,01,27,0.24217582,58.05364
2012,01,28,0.0747662,22.4513975
2012,01,29,0.17508506,45.55008
2012,01,30,0.15652479,41.75096
2012,01,31,0.10518217,29.7089625
2013,01,1,0.12721836,34.38350375
2013,01,2,0.15080689,39.41269125
2013,01,3,0.09859984,28.17953375
2013,01,4,0.0980307,28.4400625
2013,01,5,0.06131434,19.88287625
2013,01,6,0.0462957,16.16305125
2013,01,7,0.10519392,29.95794
2013,01,8,0.18997001,48.5231625
2013,01,9,0.13338598,36.946965
2013,01,10,0.10825193,30.861035
2013,01,11,0.20739049,51.9996475
2013,01,12,0.09978082,27.9747525
2013,01,13,0.0877613,25.02711375
2013,01,14,0.06849052,20.7500175
2013,01,15,0.13289485,35.22752375
2013,01,16,0.22414181,55.74149625
2013,01,17,0.10994326,31.48871375
2013,01,18,0.08461999,25.556065
2013,01,19,0.08431787,25.283005
2013,01,20,0.10129919,29.01433
2013,01,21,0.14990898,40.43909375
2013,01,22,0.07875926,23.90098875
2013,01,23,0.05976598,19.52427
2013,01,24,0.20153908,50.18499875
2013,01,25,0.19242984,49.54730375
2013,01,26,0.27853405,67.26292625
2013,01,27,0.38501636,85.3513425
2013,01,28,0.30118482,71.18930125
2013,01,29,0.13856221,36.76053375
2013,01,30,0.166747,42.456315
2013,01,31,0.21830355,53.92415625
2014,01,1,0.2551811,61.48669
2014,01,2,0.16913015,44.16066125
2014,01,3,0.20191824,52.04124375
2014,01,4,0.27382882,64.80773
2014,01,5,0.10962894,30.19839125
2014,01,6,0.11043987,30.60851
2014,01,7,0.20586291,52.16482375
2014,01,8,0.2160951,53.78643875
2014,01,9,0.17939884,46.214995
2014,01,10,0.19760922,49.33029
2014,01,11,0.23116584,57.49470625
2014,01,12,0.29499434,68.77522125
2014,01,13,0.20357162,50.73889375
2014,01,14,0.2317539,56.665785
2014,01,15,0.20527759,52.21509625
